Physical Time (s),ea_left Monitor (kg-m/s^3)
0.605,-4.8698629032571205e-08
0.6075,-4.9631815309403316e-08
0.61,-5.0515901700309475e-08
0.6125,-5.1331431460286703e-08
0.615,-5.2060858362568952e-08
0.6175,-5.2689625742184483e-08
0.62,-5.3207137422763615e-08
0.6225,-5.3607481678401793e-08
0.625,-5.388974614665414e-08
0.6275,-5.40579356559446e-08
0.63,-5.4120520136028308e-08
0.6325,-5.4089694857904448e-08
0.635,-5.3980503805339295e-08
0.6375,-5.3809851531374214e-08
0.64,-5.3595553874566275e-08
0.6425,-5.3355438721473698e-08
0.645,-5.3106551516873903e-08
0.6475,-5.2864501708664167e-08
0.65,-5.2642806189833075e-08
0.6525,-5.2452383025397064e-08
0.655,-5.2301114780101154e-08
0.6575,-5.2193683061522682e-08
0.66,-5.2131726131064007e-08
0.6625,-5.2114286224224449e-08
0.665,-5.2138365145552964e-08
0.6675,-5.2199462013297694e-08
0.67,-5.2292067533409212e-08
0.6725,-5.241014773070456e-08
0.675,-5.2547606096468551e-08
0.6775,-5.2698695037276821e-08
0.68,-5.2858389585756017e-08
0.6825,-5.3022729416594184e-08
0.685,-5.3189124763308016e-08
0.6875,-5.3356594693091779e-08
0.69,-5.3525843375423602e-08
0.6925,-5.3699179239523048e-08
0.695,-5.3880265806200604e-08
0.6975,-5.4073723078517128e-08
0.7,-5.4284649092896992e-08
0.7025,-5.4518103546877666e-08
0.705,-5.4778603227494249e-08
0.7075,-5.5069678813023158e-08
0.71,-5.5393465390500854e-08
0.7125,-5.5750354493559448e-08
0.715,-5.6138768911819158e-08
0.7175,-5.6555005889630351e-08
0.72,-5.6993249251613515e-08
0.7225,-5.7445704227457551e-08
0.725,-5.790289669837828e-08
0.7275,-5.8354048292198947e-08
0.73,-5.8787635181963055e-08
0.7325,-5.9192200977887496e-08
0.735,-5.9557599864674696e-08
0.7375,-5.9875695858327395e-08
0.74,-6.0139842955339216e-08
0.7425,-6.0344889489492952e-08
0.745,-6.0487863572680191e-08
0.7475,-6.0568562998646621e-08
0.75,-6.0589722736425717e-08
0.7525,-6.0556756667953366e-08
0.755,-6.0477207273841043e-08
0.7575,-6.0360174793232103e-08
0.76,-6.0215927057014861e-08
0.7625,-6.005565109895556e-08
0.765,-5.9891187198308154e-08
0.7675,-5.9734529605567806e-08
0.77,-5.9597154246476017e-08
0.7725,-5.9489320087151624e-08
0.775,-5.9419562234105419e-08
0.7775,-5.9394384022359928e-08
0.78,-5.9418169053028498e-08
0.7825,-5.9493231835951387e-08
0.785,-5.9619963697502302e-08
0.7875,-5.9797043060336327e-08
0.79,-6.0021682478677077e-08
0.7925,-6.0289886795964036e-08
0.795,-6.0596706072321793e-08
0.7975,-6.0936508582151266e-08
0.8,-6.1303237434070308e-08
0.8025,-6.1690737198898019e-08
0.805,-6.2093098054418807e-08
0.8075,-6.2504996696098957e-08
0.81,-6.2921976326417571e-08
0.8125,-6.3340672855947995e-08
0.815,-6.3758947943060624e-08
0.8175,-6.4175969190949468e-08
0.82,-6.4592154994904945e-08
0.8225,-6.5009026994810244e-08
0.825,-6.5428984021773503e-08
0.8275,-6.5855044439141271e-08
0.83,-6.6290554639990028e-08
0.8325,-6.6738910968720841e-08
0.835,-6.7203308737294193e-08
0.8375,-6.7686488206454869e-08
0.84,-6.8190508877054621e-08
0.8425,-6.8716580671812222e-08
0.845,-6.926485490366273e-08
0.8475,-6.9834329454045054e-08
0.85,-7.0422775650260218e-08
0.8525,-7.1026718850919162e-08
0.855,-7.1641486397437747e-08
0.8575,-7.2261338578931359e-08
0.86,-7.2879588655074637e-08
0.8625,-7.3488821829481806e-08
0.865,-7.408111932850739e-08
0.8675,-7.4648316582696678e-08
0.87,-7.5182176931987302e-08
0.8725,-7.5674627270431009e-08
0.875,-7.6117927083285871e-08
0.8775,-7.6504851477190342e-08
0.88,-7.6828899914458421e-08
0.8825,-7.7084484984218072e-08
0.885,-7.7267109811693037e-08
