Physical Time (s),enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv7
0.25,-5.6310137536120928e-08,-5.8314867203767299e-09,8.3242867425066763e-08,1.2709091686799126e-07,1.4450692763815302e-07,1.5586409058692782e-07,1.7373510734503117e-07
0.2525,-4.1511026249986483e-08,5.0689072402555592e-10,7.6894803420737214e-08,1.1554993339438693e-07,1.3099258215676884e-07,1.3953208730221305e-07,1.4955879037635109e-07
0.255,-2.3869815867550982e-08,8.1640283388501855e-09,6.8630476705407946e-08,1.0049971642936875e-07,1.1361022193781295e-07,1.1999712626091835e-07,1.2282732197908432e-07
0.2575,-4.3179573881482346e-09,1.7208900089788573e-08,5.99602411765839e-08,8.3955297858709937e-08,9.4427712994002525e-08,9.9212558176672069e-08,9.661117039150576e-08
0.26,1.5775888394673049e-08,2.7118420577571352e-08,5.178682483269744e-08,6.7414003907238549e-08,7.5111054588996087e-08,7.8750996077335564e-08,7.2909302144786986e-08
0.2625,3.5030290670721421e-08,3.7395957457576677e-08,4.5194614374283515e-08,5.2555896179114339e-08,5.7436610983779093e-08,6.0174673312591143e-08,5.3157644561185649e-08
0.265,5.2107896952888811e-08,4.7164188913197171e-08,4.0327387580705693e-08,4.0006730886036706e-08,4.215129866160019e-08,4.4133908218209644e-08,3.7494201965900885e-08
0.2675,6.6081602958398279e-08,5.5835841120004382e-08,3.753524173098983e-08,3.0586104791729604e-08,3.0167958523927216e-08,3.1419063575676296e-08,2.6052624676623617e-08
0.27,7.6349189359761417e-08,6.2918291528287175e-08,3.6819201916927216e-08,2.4654078573225274e-08,2.1952771898689491e-08,2.2455175980291785e-08,1.8685586414186743e-08
0.2725,8.2209113965421543e-08,6.7811004599666013e-08,3.8149263980043571e-08,2.270198891041814e-08,1.8235736995090939e-08,1.8015466074104705e-08,1.5777129121329371e-08
0.275,8.3882329805728867e-08,7.047440127484378e-08,4.1211066616184473e-08,2.4485325965900136e-08,1.8881246280538537e-08,1.8026064792817001e-08,1.7054646722487085e-08
0.2775,8.1869048380889797e-08,7.1029021645115516e-08,4.5573345973615385e-08,2.9488582163373583e-08,2.3457983065948055e-08,2.2135266964205673e-08,2.2122135536537229e-08
0.28,7.7057034541607971e-08,6.9966394939075021e-08,5.1033195721865635e-08,3.7198045867253137e-08,3.1383633009119789e-08,2.9758206343260585e-08,3.0428354488329158e-08
0.2825,6.9815728255243877e-08,6.7193442808412163e-08,5.6706452728167957e-08,4.6487129889819787e-08,4.15447405093191e-08,3.9886263159132111e-08,4.101576135159637e-08
0.285,6.0673785735831185e-08,6.2934859133374713e-08,6.2231262184736927e-08,5.6688161424020908e-08,5.3164710287267029e-08,5.1729169579235061e-08,5.3129962284227048e-08
0.2875,5.0003903593836933e-08,5.707381717942868e-08,6.6429742642049648e-08,6.6149351621118641e-08,6.4486559947906103e-08,6.3608540657033686e-08,6.5132746158225473e-08
0.29,3.8332593053373977e-08,4.9842692081046468e-08,6.8793112881165697e-08,7.3897108812486455e-08,7.4356367243869165e-08,7.4328613479789639e-08,7.5852366447811259e-08
0.2925,2.6437038409188269e-08,4.1714923610327789e-08,6.897448293472392e-08,7.9024969072738162e-08,8.1628923013343635e-08,8.2665652867685267e-08,8.4103548699403335e-08
0.295,1.4727010721414727e-08,3.3027008509626787e-08,6.7084355470846992e-08,8.1376704758098564e-08,8.5978830834428512e-08,8.8162345757152494e-08,8.9448930456983361e-08
0.2975,3.3257687636861414e-09,2.3888404662175284e-08,6.3167088618874539e-08,8.0875608427864608e-08,8.7217285987339436e-08,9.0527401400287415e-08,9.162433349829927e-08
0.3,-8.030243028345876e-09,1.4132427242892022e-08,5.7193035724081254e-08,7.7519685027334141e-08,8.5302243824110991e-08,8.9656465911819253e-08,9.0548431209359863e-08
0.3025,-1.8850144129476228e-08,4.3759760854977698e-09,4.9821059088948593e-08,7.1876599623152349e-08,8.0704589739559195e-08,8.5928966331152147e-08,8.6626604093949498e-08
0.305,-2.8582352365076458e-08,-4.6456858010505357e-09,4.200807948731032e-08,6.4893794558776987e-08,7.4315049975482668e-08,8.0146837518268227e-08,8.0655136466603154e-08
0.3075,-3.7290462565902613e-08,-1.2860953030727589e-08,3.4150369008153446e-08,5.7071874407018862e-08,6.6646298848030457e-08,7.2771834224684983e-08,7.3059391122950956e-08
