Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.1875,8.0867838180365298e-06,2.7572303823290271e-07,9.8286904543054085e-09,1.1478934855131667e-09,1.9604283490437709e-10,3.7254005553522614e-11,7.1310220706530636e-10
0.19,7.9859206791278395e-06,2.9566951965300486e-07,1.0431423701767212e-08,1.2889882940359248e-09,2.2184335626854747e-10,5.2074392101042525e-11,2.9750135778051685e-10
0.1925,7.8697328020013853e-06,3.1743468678740787e-07,1.1116052210778312e-08,1.4787216965960953e-09,2.6689865055768787e-10,5.7065820749045656e-11,6.7443437393813053e-11
0.195,7.7387056014550342e-06,3.4107458443135219e-07,1.1862747397326169e-08,1.7202640480312475e-09,3.3760356141522273e-10,5.1027777731707161e-11,1.5413954498226088e-12
0.1975,7.5931681241324357e-06,3.6660085337719111e-07,1.2640692261528005e-08,2.011667059807255e-09,4.4064855621546736e-10,3.6140172790297482e-11,5.302649781969038e-11
0.2,7.4331082668481707e-06,3.9399437685390793e-07,1.3409858738282602e-08,2.3437070888738089e-09,5.8095396428200085e-10,1.762937919281357e-11,1.6650167359494443e-10
0.2025,7.2580445804841769e-06,4.2321204304154484e-07,1.4125412068480822e-08,2.6990018607551318e-09,7.5926584286403665e-10,3.4346359384734055e-12,2.9129006175394497e-10
0.205,7.0670344238389195e-06,4.5422129221469408e-07,1.4743888328914444e-08,3.052885087751451e-09,9.69997444675835e-10,3.3539106434352036e-12,3.8944407595139306e-10
0.2075,6.8587529480446593e-06,4.8700143293380413e-07,1.5230242015664295e-08,3.3763143878331535e-09,1.2000971265229772e-09,2.7311134754354248e-11,4.388612127793454e-10
0.21,6.6316600644794413e-06,5.2155633662676861e-07,1.556459079724874e-08,3.6406715926028179e-09,1.4298472529143715e-09,8.2763184775985936e-11,4.3290153453947085e-10
0.2125,6.3842195845316153e-06,5.5791357857065479e-07,1.5746915570703551e-08,3.8233396987035347e-09,1.6358614764507826e-09,1.7186468771009153e-10,3.778511699410188e-10
0.215,6.1151281121759512e-06,5.9611529490732485e-07,1.579805578601208e-08,3.91247891587633e-09,1.7956418535737801e-09,2.8943430437470843e-10,2.8923367572917995e-10
0.2175,5.823530669478037e-06,6.3620240558378102e-07,1.5756625060821227e-08,3.9096919606422388e-09,1.8924021772091844e-09,4.226857483314226e-10,1.8763490212968005e-10
0.22,5.509166949054864e-06,6.7819193109076909e-07,1.5672635582426509e-08,3.8296851746008543e-09,1.9187921879642173e-09,5.5320463772564726e-10,9.4498377259506692e-11
0.2225,5.1723574934792323e-06,7.220604549186093e-07,1.5599820522843726e-08,3.6971362014071057e-09,1.8783713269724262e-09,6.6084357978450982e-10,2.817886084443806e-11
0.225,4.8140168298229365e-06,7.6771378183797371e-07,1.55884658350502e-08,3.5418345364570724e-09,1.784474759352518e-09,7.2848620803524556e-10,6.7890946282632788e-13
0.2275,4.4355586675696547e-06,8.150006434712897e-07,1.5679911272168746e-08,3.3936356111120603e-09,1.6569183324495514e-09,7.4624264940396738e-10,1.5534454598258297e-11
0.23,4.0387850580073751e-06,8.6366375663999598e-07,1.5903104737148501e-08,3.278542028409468e-09,1.5176358964134624e-09,7.137339643652199e-10,6.7308935380444892e-11
0.2325,3.6256692821563073e-06,9.1339376460857988e-07,1.6272726877809742e-08,3.2166328444413467e-09,1.3867325501020255e-09,6.3973266975971595e-10,1.4290608749438103e-10
0.235,3.1981213663095263e-06,9.6379745776563348e-07,1.6788124267160251e-08,3.2215636172092615e-09,1.2800574396725647e-09,5.3945948692526205e-10,2.2449872997023719e-10
