Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.3125,3.1942850067948019e-05,2.002055584819064e-06,4.9071633047777545e-08,-1.0380265103653423e-09,-5.208422619969859e-09,-1.1384048135848426e-08,-2.2920256211134203e-08
0.315,3.2127637534876819e-05,2.0097436335013374e-06,4.6893465420942553e-08,-6.2667146167977362e-09,-9.416846202115367e-09,-1.3819006376730647e-08,-2.3816282116281633e-08
0.3175,3.2309863222815506e-05,2.022150259306952e-06,4.4932893165295963e-08,-1.2531916431393786e-08,-1.5063164905130057e-08,-1.7263181949705049e-08,-2.3920422293937672e-08
0.32,3.24792391592208e-05,2.0354499596109916e-06,4.3102972306505618e-08,-1.9196568498154507e-08,-2.1603611834846312e-08,-2.1549088960358119e-08,-2.3235052176372664e-08
0.3225,3.2642748050553789e-05,2.0481283511305481e-06,4.0977092463118685e-08,-2.6339285529746148e-08,-2.8943233056516687e-08,-2.6631478757873044e-08,-2.1761858271193061e-08
0.325,3.2794660844356123e-05,2.0568309939380149e-06,3.8234483318451395e-08,-3.3815696035407611e-08,-3.6769486650966088e-08,-3.2237374637827429e-08,-1.9530803015073886e-08
0.3275,3.2932049738137216e-05,2.0592668755192085e-06,3.4330575294172635e-08,-4.1536321703340877e-08,-4.4810680070884118e-08,-3.8003011741740703e-08,-1.6639705387116441e-08
0.33,3.3050751721982517e-05,2.0538001735930474e-06,2.8649934997219887e-08,-4.9478977080260731e-08,-5.2818927759509911e-08,-4.3513553876553404e-08,-1.3269192355012315e-08
0.3325,3.3146619868189259e-05,2.0393309335931407e-06,2.0623845687089834e-08,-5.7672475473940786e-08,-6.0557389498728327e-08,-4.8342867353574917e-08,-9.6817577847271216e-09
0.335,3.3225735722087725e-05,2.0128363788406709e-06,9.2460297684208384e-09,-6.6538314426376491e-08,-6.8064763489424539e-08,-5.2175083310884735e-08,-6.1167049524996361e-09
