Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.09,1.9330609465574937e-07,-2.8716777997515408e-08,-3.6747911407347986e-07,-5.6099066228309261e-07,-6.6819958161563813e-07,-7.4495984235125247e-07,-6.9583284914022791e-07
0.0925,2.0085819681472757e-07,-8.6550803621885917e-08,-5.3161972106960164e-07,-7.9532196946479038e-07,-9.5525696176496713e-07,-1.1122960396354726e-06,-1.0766340823919577e-06
0.095,2.1426900244593093e-07,-9.944252400370428e-08,-5.942451700251587e-07,-8.9410213715379288e-07,-1.0839350249919972e-06,-1.3080705553224121e-06,-1.3281911982033721e-06
0.0975,2.2610980582271377e-07,-6.9425367856780638e-08,-5.4791237605718317e-07,-8.4380263933806685e-07,-1.0350494170296718e-06,-1.2870046010378732e-06,-1.3808733052292603e-06
0.1,2.0934148309825688e-07,-2.8903088796715252e-08,-4.2962381057952894e-07,-6.8284612985288551e-07,-8.4826230890020296e-07,-1.0801472811850474e-06,-1.2234117003418406e-06
0.1025,1.347406777227051e-07,-2.274452668553755e-08,-3.0492525899870486e-07,-4.8838272348139695e-07,-6.0901167403902292e-07,-7.8342642034159548e-07,-9.2128920131341794e-07
0.105,-1.0462581651419459e-08,-8.4657827048814056e-08,-2.3833399787848289e-07,-3.4427738818467643e-07,-4.1455304519022046e-07,-5.1701865282154095e-07,-5.9638225879705603e-07
0.1075,-2.128355864905474e-07,-2.1940690989288516e-07,-2.6319242798336627e-07,-3.0290765226856536e-07,-3.3053664500288039e-07,-3.700504940377692e-07,-3.6827909970283334e-07
0.11,-4.3465605242187596e-07,-3.9878259971823823e-07,-3.6772200175025305e-07,-3.6370513726032214e-07,-3.6430809715929735e-07,-3.6410144687539409e-07,-2.9633507733858956e-07
0.1125,-6.2603380977225916e-07,-5.7223847570549217e-07,-5.0286652626504127e-07,-4.7855249968323628e-07,-4.6826580916384078e-07,-4.5325247050279995e-07,-3.5804338031660051e-07
0.115,-7.4266025667776372e-07,-6.8759974529711916e-07,-6.0673908294244575e-07,-5.7887815320629734e-07,-5.6874786372664303e-07,-5.5582538266631645e-07,-4.7134841630092377e-07
