Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.205,3.3112034256963251e-11,2.5046942329977739e-11,1.0497416159102672e-11,8.1508299024313115e-12,8.0015692234546765e-12,7.9909709655080172e-12,7.9822387988617488e-12
0.2075,3.4995525542934843e-11,2.692301469224991e-11,1.2213647782066837e-11,9.9104707280262135e-12,9.784434649856258e-12,9.7795884676127972e-12,9.7780238290814543e-12
0.21,3.6599376801077141e-11,2.8413086019701439e-11,1.3299245062037275e-11,1.0957928388292648e-11,1.0840558116251658e-11,1.0837803507820482e-11,1.0839010430118419e-11
0.2125,3.7728983070911302e-11,2.9301495393229871e-11,1.3504368228382373e-11,1.1035623005074829e-11,1.0913299035169076e-11,1.0911369151204774e-11,1.0918653883310459e-11
0.215,3.8234965658494061e-11,2.9419344431537447e-11,1.2628678670282384e-11,9.9343111784813703e-12,9.792249961001183e-12,9.7899533268849045e-12,9.8089800660978286e-12
0.2175,3.8049412813641356e-11,2.8681480466079352e-11,1.0559245709239899e-11,7.5311274462691248e-12,7.3510152271532622e-12,7.3462950043533056e-12,7.3789065610189571e-12
0.22,3.7207128105857498e-11,2.7109969265279038e-11,7.2981652687756209e-12,3.8190356708133459e-12,3.5770041373772689e-12,3.5663578716722788e-12,3.6079033860818485e-12
0.2225,3.5838381918708676e-11,2.4831037901347104e-11,2.9672717911136318e-12,-1.08494686840695e-12,-1.4191498096192934e-12,-1.4423044398517017e-12,-1.4006731864173459e-12
0.225,3.4144945347435376e-11,2.205661006321143e-11,-2.2000055438433911e-12,-6.9431250948555458e-12,-7.4047259593904073e-12,-7.4527080688485043e-12,-7.4190985375433354e-12
0.2275,3.2359711067974038e-11,1.904941493592393e-11,-7.8833928870574782e-12,-1.3417009791468268e-11,-1.4041842011427172e-11,-1.4134441089663013e-11,-1.4112733106083976e-11
0.23,3.0707510254423909e-11,1.6087004010316036e-11,-1.3705764581029764e-11,-2.0094154869400614e-11,-2.0911553337721895e-11,-2.1074310631295078e-11,-2.1064707222634521e-11
0.2325,2.9377579197202796e-11,1.3433291770526798e-11,-1.9263198590059035e-11,-2.6518610126672864e-11,-2.7543208084591864e-11,-2.7801255253994219e-11,-2.7804076379263162e-11
0.235,2.8510389025378582e-11,1.1319043718740717e-11,-2.4156236027085847e-11,-3.2227428146559269e-11,-3.3452449012266116e-11,-3.3821561140121044e-11,-3.3840957348320159e-11
0.2375,2.819642141798593e-11,9.9283681680196819e-12,-2.8025776125577562e-11,-3.6796487438402415e-11,-3.8191267764124234e-11,-3.8669961364849992e-11,-3.8714339931336641e-11
0.24,2.8481773719125086e-11,9.3945391587883327e-12,-3.0567883979294155e-11,-3.9860368722889317e-11,-4.1371499053022782e-11,-4.1937036209583974e-11,-4.201524262844819e-11
0.2425,2.9377662203638904e-11,9.7913001440027808e-12,-3.1598239166783339e-11,-4.120130481894804e-11,-4.2763154117775263e-11,-4.3375660912678044e-11,-4.3491255255844576e-11
0.245,3.0854000656073344e-11,1.1103881089189422e-11,-3.1097208382442425e-11,-4.079579505176621e-11,-4.2342095399307114e-11,-4.2954413484937089e-11,-4.3101605218471894e-11
0.2475,3.2833891637018823e-11,1.3224768760818529e-11,-2.9224639102499685e-11,-3.8832757764666746e-11,-4.0309254274537326e-11,-4.087943519157341e-11,-4.1043622500120331e-11
0.25,3.5189749309234784e-11,1.5955509592336881e-11,-2.6306510480465994e-11,-3.5692061759251496e-11,-3.7064552190922077e-11,-3.756521279726573e-11,-3.7727969715345172e-11
0.2525,3.7756552223514271e-11,1.9040476144273718e-11,-2.2764146105178138e-11,-3.1858064077830368e-11,-3.3113453469934372e-11,-3.3534319210066845e-11,-3.367954244890372e-11
0.255,4.0364327579178391e-11,2.2225740225116425e-11,-1.9019935019191479e-11,-2.7812379638137352e-11,-2.895497938114488e-11,-2.9299722663713548e-11,-2.9417454454025367e-11
0.2575,4.2848282610601835e-11,2.5265134428569936e-11,-1.5477249005386816e-11,-2.4007565394336191e-11,-2.5053804193640864e-11,-2.5334582456402322e-11,-2.5422138464523275e-11
0.26,4.5080337892633251e-11,2.7965150123229164e-11,-1.2461058455865838e-11,-2.0804897177672584e-11,-2.17781478700235e-11,-2.2010518289565012e-11,-2.2070839528145972e-11
0.2625,4.6977527143964778e-11,3.0200489587476306e-11,-1.0180504134247582e-11,-1.8433223461223208e-11,-1.9359106853110582e-11,-1.9558393892021408e-11,-1.9597474777990041e-11
0.265,4.8519663619507831e-11,3.1932111069042126e-11,-8.7162574447840992e-12,-1.6979242760625956e-11,-1.7882670799700219e-11,-1.8062184882853339e-11,-1.8086646302329766e-11
0.2675,4.9738456751595189e-11,3.3192511899656691e-11,-8.0362157010856441e-12,-1.6404811905185067e-11,-1.7307616186387131e-11,-1.747811491034045e-11,-1.7493633974484712e-11
0.27,5.070921825911021e-11,3.4070886987014848e-11,-8.025070636261021e-12,-1.6580716921996855e-11,-1.7500364902749492e-11,-1.7670096886527509e-11,-1.7680777874841819e-11
0.2725,5.1533234329588527e-11,3.4694827989452136e-11,-8.5020866447383726e-12,-1.7306267724171795e-11,-1.8254752261499177e-11,-1.8429491533048543e-11,-1.8437941868246799e-11
0.275,5.2323972483187337e-11,3.5209705337312859e-11,-9.2573718546714787e-12,-1.8349658307515672e-11,-1.9333431239398925e-11,-1.9516530546721815e-11,-1.9524269531911174e-11
0.2775,5.3184693030117458e-11,3.5753768170798692e-11,-1.0081919239572814e-11,-1.9480816183038829e-11,-2.0501272128816337e-11,-2.0693799965483994e-11,-2.0701651546317885e-11
0.28,5.4198219251653e-11,3.6440808099019174e-11,-1.0800115300994826e-11,-2.050602870056618e-11,-2.1560382841057306e-11,-2.1761363823250777e-11,-2.176972408962243e-11
0.2825,5.5421197629114942e-11,3.735611711614743e-11,-1.1273122704804914e-11,-2.1273578352441405e-11,-2.2356253256337245e-11,-2.2563157333029265e-11,-2.2572118354611328e-11
0.285,5.688583079884516e-11,3.8552108318433349e-11,-1.1411373337431658e-11,-2.168631103695045e-11,-2.2790387404052316e-11,-2.2999786654234573e-11,-2.3009210558706203e-11
0.2875,5.85933363217958e-11,4.004346851632534e-11,-1.1175871980979514e-11,-2.1703766609957739e-11,-2.282290291822329e-11,-2.3031421428605944e-11,-2.3041013304103558e-11
0.29,6.0514782997496429e-11,4.1804556984292668e-11,-1.0585165534935847e-11,-2.1347451236267758e-11,-2.2477302286923179e-11,-2.268249325572006e-11,-2.2691911754285346e-11
0.2925,6.2588145379724093e-11,4.3767962684030087e-11,-9.7152626058086806e-12,-2.0699882981765702e-11,-2.1838882772745989e-11,-2.2039761396390617e-11,-2.204874136215148e-11
0.295,6.4730220756439548e-11,4.5838945407985206e-11,-8.6836456425964318e-12,-1.9887309108930755e-11,-2.10367521410153e-11,-2.123387878666865e-11,-2.1242308949747864e-11
0.2975,6.6847046089357215e-11,4.7909254464371921e-11,-7.6318601806499173e-12,-1.9061979074061353e-11,-2.0225829169227602e-11,-2.0421098782275659e-11,-2.0429040943403517e-11
