Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.055,4.9384227284654584e-08,3.3042127356553129e-08,2.2593248780194169e-08,1.2334513055737459e-07,2.9677666147262511e-07,3.8624462153324083e-07,1.33382206662331e-06
0.0575,-2.7989231317471807e-08,-4.4817614943458226e-08,-8.7216398214423286e-08,-6.9837673422160875e-08,4.898980069271038e-08,1.4260758152249234e-07,9.6743793806510996e-07
0.06,-4.3973510161847995e-08,-5.6754412987747181e-08,-9.6519039578296354e-08,-1.1683143328121055e-07,-6.6286857472423257e-08,8.4891931422090445e-08,7.8941410284777879e-07
0.0625,-3.1330721365206393e-08,-3.9916366258350226e-08,-6.7387702462158804e-08,-9.0139215514917651e-08,-8.5223294961259697e-08,7.4173455267683502e-08,7.1918571128342429e-07
0.065,-9.1565202405594313e-09,-1.4050449429147703e-08,-3.0424982228604647e-08,-4.3666962644686435e-08,-5.3667495874070645e-08,6.1122908716954039e-08,6.558048068908327e-07
0.0675,2.6063144122008458e-08,2.4780108661966938e-08,1.9069209872113011e-08,1.2913216098832566e-08,6.2768968669689402e-09,6.3426488558668348e-08,5.5267441976415848e-07
0.07,7.8399549561907912e-08,8.0494090693077021e-08,8.7544039188659187e-08,8.539621237713162e-08,8.47477979366173e-08,1.0257852122041722e-07,4.3305615569020587e-07
0.0725,1.3634325730746375e-07,1.4041940670680323e-07,1.6023872448322196e-07,1.6378919279377699e-07,1.6489021158991357e-07,1.6807274934703561e-07,3.4392028770957412e-07
0.075,1.797339866796701e-07,1.8283312940559524e-07,2.095524959248691e-07,2.2162791825666424e-07,2.2240948017302618e-07,2.2533355947155919e-07,3.0165233238818731e-07
0.0775,1.9562293080086387e-07,1.9383754456458405e-07,2.1685590521006604e-07,2.3610267544753528e-07,2.3864468452281967e-07,2.4362732980454902e-07,2.8073903510823837e-07
0.08,1.8493040435280864e-07,1.7450687294312465e-07,1.8302514575128811e-07,2.029606558137368e-07,2.0985299196068403e-07,2.1418997284443295e-07,2.4438465451384991e-07
0.0825,1.5757793099630249e-07,1.3572128583313846e-07,1.2257854982864098e-07,1.3489370458747828e-07,1.4553598924666571e-07,1.4835576490456006e-07,1.7614342982542788e-07
0.085,1.2454414511954303e-07,8.9624112930019907e-08,5.2141051343105283e-08,5.0490279818509725e-08,6.0693729711261861e-08,6.443591144567069e-08,8.42197394700693e-08
0.0875,9.3686625907351831e-08,4.5189079785565385e-08,-1.6166315860521959e-08,-3.4629986559539472e-08,-3.0400338850289527e-08,-2.3205613902467106e-08,-1.3639390952599301e-08
0.09,6.9354119479231424e-08,8.0144650752248447e-09,-7.5083448255924965e-08,-1.1030715939914598e-07,-1.1643010429250465e-07,-1.0700471545672003e-07,-1.0400649618615231e-07
0.0925,5.2848798129773323e-08,-1.8953467520116192e-08,-1.2049570069486559e-07,-1.7067582173716515e-07,-1.8909036914050736e-07,-1.8331332268763077e-07,-1.8133454226796965e-07
0.095,4.2008160730413398e-08,-3.5961885507462482e-08,-1.5126971729250087e-07,-2.1357911576470894e-07,-2.4377645176368408e-07,-2.4957329159242692e-07,-2.4552451842918389e-07
0.0975,3.0866708039524728e-08,-4.7268629754421404e-08,-1.7001216168471388e-07,-2.4084182818940111e-07,-2.8047498284978796e-07,-3.0377163228549401e-07,-2.987958411382929e-07
0.1,1.083946999627543e-08,-6.0619816978630253e-08,-1.8299116460999063e-07,-2.5808017886718635e-07,-3.0370102931056831e-07,-3.4554263694835565e-07,-3.4412245872519341e-07
0.1025,-2.6326178623168718e-08,-8.4839741506691242e-08,-1.9833493009934372e-07,-2.7298618116390154e-07,-3.2073462036300737e-07,-3.7692703624398384e-07,-3.8461470358937999e-07
0.105,-8.4744330073924099e-08,-1.2615534282772425e-07,-2.2288236680876712e-07,-2.922781080033302e-07,-3.3840801412158742e-07,-4.0134103567790939e-07,-4.224274942010209e-07
0.1075,-1.6102782882461642e-07,-1.8439642869386106e-07,-2.586703024705869e-07,-3.1835930738725349e-07,-3.5954893989543165e-07,-4.2082956752182238e-07,-4.5662917105667036e-07
0.11,-2.4299266321249765e-07,-2.5075111141321184e-07,-3.0049596715178137e-07,-3.471732276144879e-07,-3.8074838626031052e-07,-4.333488536598471e-07,-4.8129410526870104e-07
0.1125,-3.1244701317639529e-07,-3.091324631276908e-07,-3.3608103225891681e-07,-3.6841419171343019e-07,-3.9265725023834702e-07,-4.3203163046225417e-07,-4.8596510782534947e-07
0.115,-3.5046951415975129e-07,-3.4079165894952256e-07,-3.4926356181781258e-07,-3.682879742422594e-07,-3.8285100609816266e-07,-4.0706916288269307e-07,-4.5855786707866574e-07
0.1175,-3.438231739148456e-07,-3.3107318187991112e-07,-3.2596863041792469e-07,-3.3469157871275387e-07,-3.4090412568915281e-07,-3.5041976679291001e-07,-3.9070064026890725e-07
0.12,-2.9080469785245007e-07,-2.7602277941944561e-07,-2.6070255264462579e-07,-2.628010270196155e-07,-2.6347160011479673e-07,-2.6088201938997207e-07,-2.8313313338299077e-07
0.1225,-2.032050739452588e-07,-1.8527777844326691e-07,-1.6015668046172115e-07,-1.5821127445991957e-07,-1.5672036083413785e-07,-1.4635965992943565e-07,-1.4756916860669065e-07
0.125,-1.029916476151225e-07,-7.9489346760049297e-08,-4.1901185347541505e-08,-3.5965740947029901e-08,-3.4886695602416574e-08,-2.1934807925559551e-08,-3.6459542812032358e-09
0.1275,-1.4622258595644786e-08,1.7074626448112589e-08,7.1632285371545077e-08,8.4354838158960593e-08,8.4492780374742792e-08,9.5453723004119905e-08,1.2781727604228363e-07
0.13,4.496401971003552e-08,8.6807701548104888e-08,1.6275767003172506e-07,1.8692230559593403e-07,1.8801630388440422e-07,1.9446473324392987e-07,2.3340909305937406e-07
0.1325,7.1267472319622751e-08,1.2415267883537723e-07,2.240580472918637e-07,2.6437993862845035e-07,2.7008083927269746e-07,2.7230668990430914e-07,3.1045678391209097e-07
0.135,7.0343734056701311e-08,1.3401139429393221e-07,2.5734018100916111e-07,3.1673647470716932e-07,3.3109865370488439e-07,3.3195126647088726e-07,3.6384361633820786e-07
0.1375,5.365329832632076e-08,1.2672092425136309e-07,2.6941858978321865e-07,3.4775016737451731e-07,3.7377580348179088e-07,3.7755214145084035e-07,4.0053559462668428e-07
0.14,3.2096803430780634e-08,1.1210988021254504e-07,2.6698024814383649e-07,3.6070376945158726e-07,3.9929733510270031e-07,4.1027084208942917e-07,4.2442669367759652e-07
0.1425,1.2067611502722069e-08,9.5566541633731814e-08,2.5341026789892156e-07,3.5618430053971318e-07,4.0579760990096544e-07,4.269250170769198e-07,4.3425396079844002e-07
0.145,-5.1437498745480307e-09,7.7524205616157126e-08,2.2871670923928662e-07,3.3277600091987375e-07,3.8981205718579834e-07,4.2201680859743238e-07,4.2526685881657632e-07
0.1475,-2.0772511097376218e-08,5.6225032481528376e-08,1.9212139561162865e-07,2.8985668969581203e-07,3.4958350032835606e-07,3.9174419011546932e-07,3.933389006931804e-07
0.15,-3.5069513689857417e-08,3.1508314965977e-08,1.454074592291052e-07,2.3063952245015298e-07,2.8822185135872768e-07,3.3765609229499816e-07,3.3908589330635147e-07
0.1525,-4.5456173921589951e-08,6.8105181204575141e-09,9.4474281080219595e-08,1.631760155592137e-07,2.1453670509408924e-07,2.6768277308064841e-07,2.6947154756250462e-07
0.155,-4.724306491763521e-08,-1.1680046328732816e-08,4.8087324751732479e-08,9.8521946417712977e-08,1.4086764917116877e-07,1.939447727664592e-07,1.9607237995353658e-07
0.1575,-3.6113362283120879e-08,-1.7853673666022331e-08,1.4693690386370121e-08,4.7120533558326858e-08,7.9108511511559775e-08,1.2865191435408977e-07,1.3115091998988914e-07
0.16,-1.0786725304567304e-08,-8.7598164582140662e-09,-9.5901034288180362e-10,1.5141775374523587e-08,3.6722747361808468e-08,7.9959509504518818e-08,8.3362538969875947e-08
0.1625,2.5714188691143688e-08,1.3775200760208626e-08,3.7729356694186822e-10,2.577782501176404e-09,1.4624387403079968e-08,4.9670972411044846e-08,5.5086413548490736e-08
0.165,6.6872852348963464e-08,4.3803103152214959e-08,1.3096082001606103e-08,3.9376665345800405e-09,7.7743742028547963e-09,3.3628506806138922e-08,4.2414266544779461e-08
0.1675,1.0494196091735172e-07,7.3647193337678389e-08,2.9363115564561898e-08,1.1090772071512765e-08,8.0904896389574794e-09,2.4462855634218826e-08,3.7651368508993985e-08
0.17,1.3332606422298161e-07,9.6569780780254107e-08,4.2138759421321696e-08,1.6575159756642669e-08,7.9268822134660513e-09,1.5021220862805399e-08,3.27471075581936e-08
0.1725,1.4824966916322908e-07,1.0862384062473203e-07,4.7244438140467884e-08,1.5861995924751524e-08,2.4983194467374908e-09,7.9824202714388149e-10,2.1947239067632687e-08
0.175,1.4925616909338112e-07,1.0920403959389867e-07,4.3985315456100896e-08,8.0913892639136927e-09,-9.2496524611151429e-09,-1.9114397475216181e-08,3.0863996839423219e-09
0.1775,1.3866909776788583e-07,1.0043542142697348e-07,3.4459657438875158e-08,-4.6077381996808174e-09,-2.5245562257477501e-08,-4.2524071260143509e-08,-2.2562515483864027e-08
0.18,1.2044092168489008e-07,8.5939252903721395e-08,2.2184959427387685e-08,-1.856028698918381e-08,-4.1723629875040569e-08,-6.5470172304836244e-08,-5.1362658498803407e-08
0.1825,9.8891040863856247e-08,6.9541565055764585e-08,1.0699909696777512e-08,-3.0054363262907796e-08,-5.4782970847630997e-08,-8.3742644682246886e-08,-7.8721677382472117e-08
