Physical Time (s),phi_alt_flux_left Monitor (kg-m/s^3)
1.8225,-2.6761867725594872e-08
1.825,-2.6729990616064538e-08
1.8275,-2.6693100367678512e-08
1.83,-2.664279370616514e-08
1.8325,-2.6590878183508114e-08
1.835,-2.6525740629315879e-08
1.8375,-2.6456468286258178e-08
1.84,-2.6382995983317684e-08
1.8425,-2.6293567661979381e-08
1.845,-2.6197588670142625e-08
1.8475,-2.609462555222168e-08
1.85,-2.598513612447364e-08
1.8525,-2.5868992767565523e-08
1.855,-2.5743999449570484e-08
1.8575,-2.5618462919290711e-08
1.86,-2.5481736153722681e-08
1.8625,-2.5336762444681495e-08
1.865,-2.518982560415198e-08
1.8675,-2.5038049377768192e-08
1.87,-2.4878931322110885e-08
1.8725,-2.4718883080914685e-08
1.875,-2.455515206856593e-08
1.8775,-2.4388165375445037e-08
1.88,-2.4217762611550134e-08
1.8825,-2.4041855666865586e-08
1.885,-2.3866332829339541e-08
1.8875,-2.3688401068593203e-08
1.89,-2.3505123785037786e-08
1.8925,-2.3320219093374249e-08
1.895,-2.3133611267141889e-08
1.8975,-2.2948773207603282e-08
1.9,-2.2762904003953112e-08
1.9025,-2.2575492905119572e-08
1.905,-2.2384820511930124e-08
1.9075,-2.2196750173783576e-08
1.91,-2.200771214503393e-08
1.9125,-2.1817943694554625e-08
1.915,-2.1628101901193709e-08
1.9175,-2.1441658444090988e-08
1.92,-2.1254439626311673e-08
1.9225,-2.1067353806039335e-08
1.925,-2.088040870076296e-08
1.9275,-2.0699429750935769e-08
1.93,-2.0515520870774926e-08
1.9325,-2.0329618352007724e-08
1.935,-2.0143721574232072e-08
1.9375,-1.9958950748690795e-08
1.94,-1.9773585900590595e-08
1.9425,-1.959189903794004e-08
1.945,-1.9410537725113737e-08
1.9475,-1.9229356209921897e-08
1.95,-1.9048565784884351e-08
1.9525,-1.8868848153664323e-08
1.955,-1.868849830899462e-08
1.9575,-1.8505649107985336e-08
1.96,-1.8326211893720804e-08
1.9625,-1.8146911831232671e-08
1.965,-1.7970066681188352e-08
1.9675,-1.7779445168339734e-08
1.97,-1.760065572760056e-08
1.9725,-1.74242723631265e-08
1.975,-1.7248005651284409e-08
1.9775,-1.7069433928572403e-08
1.98,-1.6891494649924765e-08
1.9825,-1.6713842010462286e-08
1.985,-1.653595094424596e-08
1.9875,-1.6361774370152394e-08
1.99,-1.6184760179645575e-08
1.9925,-1.6010636103559734e-08
1.995,-1.5836770251853396e-08
1.9975,-1.5659955274606869e-08
