Physical Time (s),drag Monitor (N)
0.7725,0.00030564578928022522
0.775,0.00030548261026271367
0.7775,0.0003053103815718808
0.78,0.00030513339748101259
0.7825,0.00030495644944107984
0.785,0.0003047844383223682
0.7875,0.00030462164120102368
0.79,0.0003044719213940219
0.7925,0.00030433809214059054
0.795,0.00030422181812073026
0.7975,0.00030412374047617175
0.8,0.00030404337713255922
0.8025,0.00030397878897539413
0.805,0.00030392694252820722
0.8075,0.0003038841654711519
0.81,0.00030384677875482281
0.8125,0.00030381158649732187
0.815,0.0003037757785940942
0.8175,0.00030373617873178521
0.82,0.00030369002638425656
0.8225,0.00030363502111978741
0.825,0.00030356969594542239
0.8275,0.00030349309083781552
0.83,0.00030340499130685297
0.8325,0.00030330603529046541
0.835,0.00030319770914879953
0.8375,0.000303081819244713
0.84,0.00030296104190364909
0.8425,0.00030283867041715201
0.845,0.00030271780556316905
0.8475,0.0003026017058669705
0.85,0.00030249367248969428
0.8525,0.00030239660194705288
0.855,0.00030231284867514264
0.8575,0.00030224434125195238
0.86,0.00030219304315613939
0.8625,0.00030216021828461835
0.865,0.00030214628515297241
0.8675,0.00030215081260698994
0.87,0.00030217329253181445
0.8725,0.00030221261416473431
0.875,0.00030226723659845041
0.8775,0.00030233542546476551
0.88,0.00030241437748610014
0.8825,0.00030250082965036786
0.885,0.00030259133670371168
0.8875,0.00030268267979519656
0.89,0.0003027721250546179
0.8925,0.00030285721788753648
0.895,0.00030293556811709514
0.8975,0.00030300527617435364
0.9,0.00030306537783818249
0.9025,0.00030311490462144492
0.905,0.00030315301773748326
0.9075,0.00030317983102700149
0.91,0.00030319539519125345
0.9125,0.00030319948421855277
0.915,0.00030319251748411706
0.9175,0.00030317559418876794
0.92,0.00030314992553732046
0.9225,0.00030311641946547356
0.925,0.00030307583110915793
0.9275,0.00030302905110322535
0.93,0.0003029767343701136
0.9325,0.00030291969565881649
0.935,0.00030285932241028987
0.9375,0.00030279748484421349
0.94,0.00030273541180578733
0.9425,0.00030267356607453506
0.945,0.00030261160566973479
0.9475,0.00030254868236682985
0.95,0.00030248299128820513
0.9525,0.00030241348738264332
0.955,0.00030233951739982973
0.9575,0.00030226115345749363
0.96,0.00030217858920774955
0.9625,0.00030209135700052337
0.965,0.00030199940885354722
0.9675,0.00030190362913191373
0.97,0.00030180458880098987
0.9725,0.00030170306377450505
0.975,0.00030159932290617461
0.9775,0.00030149448036654875
0.98,0.00030139049054341677
0.9825,0.0003012893339101331
0.985,0.00030119251210799754
0.9875,0.00030110209258694726
0.99,0.0003010197993105447
0.9925,0.0003009481005475399
0.995,0.00030088950335159097
