Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.1,3.4029532262421559e-09,1.3196043158495511e-09,-2.3788067313502856e-09,-4.8220275435992894e-09,-6.479384848637621e-09,-9.10283487602114e-09,-1.109162917365984e-08
0.1025,4.2179158435465418e-09,2.2452854350194642e-09,-1.346991859294461e-09,-3.7461079660204393e-09,-5.3705623788130657e-09,-7.9939986634809023e-09,-1.0865989557579375e-08
0.105,5.1553275478796034e-09,3.355831744422947e-09,-1.0733933375228138e-11,-2.2675434932822103e-09,-3.7894780275729526e-09,-6.2565494537786559e-09,-9.8143448905892854e-09
0.1075,6.1637434117670552e-09,4.5878774015216178e-09,1.5522429512697852e-09,-4.6528349992195194e-10,-1.8113369177268279e-09,-3.9829563982387449e-09,-7.9148337408622921e-09
0.11,7.185607409625299e-09,5.8624542694324742e-09,3.2282648856135343e-09,1.5263160777502673e-09,4.2025217299334539e-10,-1.345958506958279e-09,-5.280161128084686e-09
0.1125,8.1548783385671407e-09,7.0854240213889631e-09,4.8742357034101888e-09,3.5278734337443703e-09,2.7040807435378436e-09,1.413636906649027e-09,-2.1533967657036635e-09
0.115,8.9973344534043439e-09,8.1517154338897893e-09,6.3302086467391066e-09,5.3345351334223685e-09,4.8045387537802113e-09,4.0136394209214371e-09,1.1232462759539443e-09
0.1175,9.6343382014910484e-09,8.9528813981944792e-09,7.4353797892490926e-09,6.7398861195566097e-09,6.4808104334908549e-09,6.1646870928239224e-09,4.1559625265031048e-09
0.12,9.9929418843579387e-09,9.3913067261529327e-09,8.0499870401535093e-09,7.5654405285323926e-09,7.522478509354276e-09,7.6118828454483118e-09,6.5618312573483304e-09
0.1225,1.0019639168371817e-08,9.3976759984783236e-09,8.0783831881038153e-09,7.689463136749923e-09,7.7837109358644893e-09,8.174917458927856e-09,8.0327867785919749e-09
0.125,9.6939561824153958e-09,8.9473203211274867e-09,7.4884115787651416e-09,7.0694167084071907e-09,7.2092422792026707e-09,7.7785485830043846e-09,8.3876979093777665e-09
0.1275,9.0384280235486347e-09,8.0718748286205543e-09,6.323865849704457e-09,5.7549873498652789e-09,5.8488808598053122e-09,6.4695240579051954e-09,7.6051383723845674e-09
0.13,8.1180630355187506e-09,6.8569810405444889e-09,4.6988010289180885e-09,3.8793315553371432e-09,3.8469317946218142e-09,4.4046611345378825e-09,5.8182967039269943e-09
0.1325,7.0291911289530578e-09,5.4264711378104958e-09,2.7755828978795255e-09,1.6320284793204356e-09,1.4113089303605942e-09,1.815538252908726e-09,3.2769429411379229e-09
0.135,5.8849313480194929e-09,3.9237522372813426e-09,7.4084958120916204e-10,-7.6938106411428041e-10,-1.2187752370495159e-09,-1.0299378924849665e-09,2.9931296802447522e-10
0.1375,4.8003804224803541e-09,2.4938454521812242e-09,-1.2168543206254488e-09,-3.1052447259832938e-09,-3.8019542225023685e-09,-3.8622059868624781e-09,-2.7769814089841109e-09
0.14,3.8794048602130968e-09,1.2678499571421077e-09,-2.9259366482449966e-09,-5.1751254639360622e-09,-6.1182063281887926e-09,-6.4376115573084879e-09,-5.6380979815017546e-09
0.1425,3.2036837225244054e-09,3.4971889670405456e-10,-4.2481508340963322e-09,-6.8160502281647437e-09,-7.9882611914017196e-09,-8.5596951749119568e-09,-8.0284281100477513e-09
0.145,2.8237678745978779e-09,-1.9529306970409338e-10,-5.0934965224537788e-09,-7.9189851819246162e-09,-9.2905315968487891e-09,-1.0096115300315851e-08,-9.7761207091655001e-09
0.1475,2.754460212285435e-09,-3.4681851988991329e-10,-5.4288393724676774e-09,-8.4385392141993765e-09,-9.9708131159837619e-09,-1.098701224185672e-08,-1.0804707562725209e-08
0.15,2.9760936622918118e-09,-1.2795007596164563e-10,-5.2773874316787949e-09,-8.3931786161989097e-09,-1.0042431693440628e-08,-1.1243402819706079e-08,-1.1129992373571975e-08
0.1525,3.4405102208477277e-09,4.0182259692250076e-10,-4.7111318493229607e-09,-7.8579242263060133e-09,-9.5789809411610481e-09,-1.0938374170427071e-08,-1.0846134761749038e-08
