Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
0.115,7.8929739010953414e-05,0.00010923918843656617,0.00011097287782310492,0.00011128944130721324,0.00011143089744468428,0.00011153356810714498,0.00011155394942336166
0.1175,7.8256886950320878e-05,0.00010962101894208671,0.00011142304896946449,0.00011174249569746666,0.00011188530945170115,0.00011198911591041492,0.00011201098539691309
0.12,7.7548852747426027e-05,0.00010999459177390343,0.00011186942269568677,0.00011219176663114628,0.00011233584037345522,0.00011244053581375015,0.00011246347445942768
0.1225,7.6809999688151408e-05,0.00011035832464693226,0.00011231089291964521,0.00011263624726127811,0.00011278157069719873,0.00011288702358747084,0.00011291081301065503
0.125,7.6046252150519699e-05,0.00011071106750948709,0.00011274676898043083,0.00011307537389505208,0.00011322207981521526,0.00011332838305081129,0.00011335318260802822
0.1275,7.5264929870666485e-05,0.00011105147493913165,0.00011317541390296225,0.00011350710735421463,0.00011365497031380263,0.00011376147754616889,0.00011378590082763801
0.13,7.4476191318490858e-05,0.00011138125118896574,0.00011359923281851515,0.00011393445648780868,0.00011408389612418569,0.0001141912955810041,0.00011421651444824836
0.1325,7.3686850101506156e-05,0.000111698853780633,0.00011401687671369925,0.0001143559075484784,0.00011450721430459002,0.00011461599076263102,0.00011464267392601762
0.135,7.2903080915973984e-05,0.00011200276462964727,0.00011442723585167098,0.00011477024389244038,0.00011492362634282972,0.00011503419191722045,0.00011506279528944517
0.1375,7.2130475147966114e-05,0.00011229158121991677,0.00011482941295659905,0.00011517646195761722,0.00011533203190917047,0.00011544471453176324,0.00011547553285051221
0.14,7.1374359811046976e-05,0.00011256434008661425,0.00011522297926295285,0.00011557404755254678,0.00011573182539154269,0.00011584686082735391,0.0001158801150346172
0.1425,7.0640325856563224e-05,0.00011282093065132866,0.00011560818312887148,0.00011596316476225134,0.00011612306949362164,0.00011624051525535767,0.00011627628048013042
0.145,6.9933662493937255e-05,0.00011306184665043842,0.00011598577386039461,0.00011634449282928126,0.00011650635505644823,0.00011662604151170398,0.00011666417320573093
0.1475,6.9258457428957891e-05,0.00011328771238813637,0.00011635681086493167,0.00011671908102134376,0.00011688270698924908,0.00011700433349434098,0.00011704459616925781
0.15,6.8617462419053336e-05,0.00011349913283832422,0.00011672257304662098,0.00011708823850720505,0.00011725345346535768,0.00011737667715557475,0.00011741882814086355
0.1525,6.801230664080369e-05,0.00011369665954211473,0.00011708447410131973,0.00011745343470435385,0.00011762010894542292,0.00011774461421046636,0.00011778845450124197
0.155,6.7443741099804149e-05,0.00011388074006801603,0.00011744394522082737,0.00011781617839075044,0.00011798424864957913,0.00011810981714988904,0.00011815525309413958
0.1575,6.6911987865129471e-05,0.00011405173509280962,0.00011780231243067394,0.00011817789321996462,0.00011834738337887548,0.00011847396209839444,0.00011852107608967858
0.16,6.6416554178738132e-05,0.00011420943565871111,0.00011816007204994918,0.00011853905123509891,0.00011870995427772903,0.0001188374411583174,0.00011888602837843999
0.1625,6.5956709932644183e-05,0.00011435356835368522,0.00011851756998699214,0.00011890004382577185,0.00011907239437021095,0.00011920080147378222,0.00011925070584421115
0.165,6.5531066197319321e-05,0.00011448334975767323,0.00011887458585415296,0.00011926066816386455,0.00011943451383048095,0.00011956391161532384,0.00011961497683378289
0.1675,6.513764329483378e-05,0.00011459758095230932,0.00011923053607266432,0.00011962034440626216,0.00011979573015627501,0.00011992620288095321,0.00011997826523046144
0.17,6.4774304786824346e-05,0.00011469500889189086,0.00011958472695801021,0.00011997837951773741,0.00012015534582198913,0.00012028697543195729,0.00012033989191849489
0.1725,6.4438917898688124e-05,0.00011477447936694845,0.00011993643753216428,0.00012033404428320975,0.00012051262078718248,0.00012064546570232491,0.00012069910980501076
0.175,6.4129498465660399e-05,0.00011483511134136458,0.00012028504491658533,0.00012068670702899079,0.00012086691498768214,0.00012100101173320549,0.00012105529501234374
0.1775,6.3844242037992209e-05,0.00011487637222896036,0.00012063008214078001,0.00012103588856398575,0.00012121773938806969,0.00012135310026991953,0.00012140797045168651
0.18,6.3581560870044541e-05,0.00011489815382921042,0.00012097132048032283,0.0001213813535574134,0.00012156485524075914,0.00012170148330471566,0.00012175695532635638
0.1825,6.3340017608548165e-05,0.00011490073506090579,0.00012130880019015967,0.00012172314896436321,0.00012190831870529715,0.00012204623433402388,0.00012210241677452376
0.185,6.3118325432074478e-05,0.00011488476124946915,0.00012164281326746548,0.00012206158935238782,0.00012224846789835847,0.00012238773872971703,0.0001224448657648547
0.1875,6.2915233917830936e-05,0.0001148510663271245,0.00012197369854725661,0.00012239701707576319,0.00012258564784413707,0.00012272634598773624,0.00012278466540519066
0.19,6.2729529823011231e-05,0.00011480062625806927,0.00012230178655540634,0.00012272975409568731,0.00012292016995301246,0.00012306234443763519,0.00012312204431260505
0.1925,6.2559957099721073e-05,0.00011473442198110922,0.00012262727184758228,0.00012305996300695788,0.00012325216253667088,0.00012339579081938293,0.00012345689039036515
0.195,6.2405433740175866e-05,0.00011465368091258978,0.00012295054551159765,0.0001233880758131504,0.00012358209667503209,0.00012372723327455022,0.0001237898714443291
0.1975,6.2264698353970327e-05,0.00011455938672999377,0.00012327157396726276,0.00012371402414679139,0.00012390986859650742,0.00012405649637322718,0.00012412063760732089
0.2,6.2136463330821521e-05,0.00011445241900053156,0.00012359025959677536,0.00012403768912502058,0.00012423533799459289,0.00012438339816862428,0.00012444889748045355
0.2025,6.2019302354829613e-05,0.00011433339852287085,0.00012390646345842221,0.00012435892048019061,0.00012455834150894551,0.00012470775197402596,0.00012477439800626623
0.205,6.1911798223889883e-05,0.0001142028142633096,0.00012422018197499481,0.00012467774333398102,0.00012487892946250697,0.00012502966441935273,0.00012509734413841111
0.2075,6.1812361808480701e-05,0.00011406070059512849,0.00012453090782302192,0.00012499355068091577,0.00012519639150297183,0.00012534822438242785,0.00012541642569961894
0.21,6.1720213895659579e-05,0.00011390782765413363,0.00012483919673207411,0.00012530706249131053,0.00012551160718686147,0.00012566464184563116,0.00012573351983130414
0.2125,6.1634142023054504e-05,0.00011374413866076767,0.00012514467822666764,0.00012561783624703723,0.00012582405584293755,0.00012597824230689875,0.0001260476694631234
0.215,6.1553277295676897e-05,0.00011356972315455487,0.00012544748761422102,0.00012592605365176166,0.00012613395747323428,0.00012628932216500116,0.0001263593454097748
0.2175,6.1476711910825774e-05,0.0001133843115735344,0.00012574755643643914,0.00012623163186218766,0.00012644120592065594,0.00012659772226642814,0.00012666830201048766
0.22,6.1403809808931712e-05,0.00011318766659164832,0.000126045162951987,0.00012653491548548658,0.00012674620284808963,0.00012690395096828609,0.00012697526778993634
