Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
0.3225,5.6992994522435932e-11,6.1590101455519979e-12,-1.0493274623914293e-11,-1.1329829837728239e-11,-1.2006342806853823e-11,-1.2346764200023072e-11,-1.2462836469593749e-11
0.325,5.6908897724339538e-11,5.3205993328542643e-12,-1.1615844846395604e-11,-1.253412390802419e-11,-1.3267401567587161e-11,-1.3639234471701466e-11,-1.3770938648608175e-11
0.3275,5.6864937306543892e-11,4.5198453863992077e-12,-1.2676114109181341e-11,-1.3694372946472916e-11,-1.4495071428335355e-11,-1.4900421734304007e-11,-1.5043378896355393e-11
0.33,5.6887738008490954e-11,3.7788322645454816e-12,-1.3661607805439093e-11,-1.4798245478241297e-11,-1.5677238409443158e-11,-1.6118213566573167e-11,-1.6266526778566436e-11
0.3325,5.6993998625348035e-11,3.1117325323143514e-12,-1.4568718823663354e-11,-1.5840848694788949e-11,-1.6808345370351966e-11,-1.7286720727389711e-11,-1.743389486942884e-11
0.335,5.7195529308472541e-11,2.523998077156799e-12,-1.5404215372190605e-11,-1.6825995539739776e-11,-1.7890446629533148e-11,-1.8407033460553076e-11,-1.8546862174497874e-11
0.3375,5.7494798704302846e-11,2.0178982380610727e-12,-1.6179201206194556e-11,-1.7759587475054659e-11,-1.8926179464258767e-11,-1.9480170677282136e-11,-1.9607715429098834e-11
0.34,5.788721186907351e-11,1.5917011822000596e-12,-1.6906934976666415e-11,-1.8647999544456531e-11,-1.991748269120745e-11,-2.0505919095858415e-11,-2.0618261258594505e-11
0.3425,5.8372015780872464e-11,1.2497472804850274e-12,-1.7591267206767535e-11,-1.9486754074622104e-11,-2.0854448313556098e-11,-2.1471774296055836e-11,-2.15680674255859e-11
0.345,5.895550657920161e-11,1.0113410566100667e-12,-1.8217369782465222e-11,-2.0252082064501833e-11,-2.1707321482214929e-11,-2.2345353911907031e-11,-2.2426382944294203e-11
0.3475,5.9641496891527611e-11,8.978161167013009e-13,-1.8764511572323818e-11,-2.0916046016055665e-11,-2.2442989145371799e-11,-2.3091492049671501e-11,-2.3158993529367689e-11
0.35,6.0441976935935428e-11,9.2059790584942823e-13,-1.9226939800608914e-11,-2.1465643137876361e-11,-2.304317952998654e-11,-2.3689911934722562e-11,-2.3745784370408668e-11
0.3525,6.1369224441005458e-11,1.0946483650617015e-12,-1.9598851427984649e-11,-2.18887356436251e-11,-2.3491382055972476e-11,-2.4122678330435349e-11,-2.4168580570931006e-11
0.355,6.243857994482487e-11,1.4379178777069659e-12,-1.9873037929724545e-11,-2.2173424734432277e-11,-2.3772920589318386e-11,-2.437470934760744e-11,-2.4412004984419391e-11
0.3575,6.3671054619176121e-11,1.9731080021966863e-12,-2.0036045334566551e-11,-2.2303593943119982e-11,-2.3870825024624264e-11,-2.4429943216029164e-11,-2.4459839425541337e-11
0.36,6.509507693302711e-11,2.732612358209151e-12,-2.0062363975663287e-11,-2.2253321266804184e-11,-2.3760174624417924e-11,-2.4265701024299384e-11,-2.4289414599371061e-11
0.3625,6.6743769978346918e-11,3.7543053758811167e-12,-1.9920270459098767e-11,-2.1993154808280703e-11,-2.3414203748882312e-11,-2.385850518023804e-11,-2.3877340467827297e-11
0.365,6.864823950772699e-11,5.0699137523785501e-12,-1.9585080982109936e-11,-2.1503701277158116e-11,-2.2817813512144956e-11,-2.3197112819752959e-11,-2.3212412927513271e-11
