Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.095,0.00032112318105625542,2.0670251539601116e-05,1.9175371158846801e-06,8.3531754820331521e-07,3.8124993235762442e-07,1.0267139679610039e-07,-2.6753333026892983e-08
0.0975,0.00033181272406703063,2.172413352418672e-05,1.926090257687611e-06,8.3151817279634201e-07,3.7281052291927819e-07,9.1191062090864479e-08,-3.9670546967303069e-08
0.1,0.00034459414500907966,2.285359220550638e-05,1.9430447599474378e-06,8.3535176029211901e-07,3.7176095342324405e-07,8.7507252959349892e-08,-4.4703282063743012e-08
0.1025,0.0003590502317320896,2.4059639780350257e-05,1.9650425705371949e-06,8.4355994100042523e-07,3.7477589503454583e-07,8.824304320114481e-08,-4.5289913361643701e-08
0.105,0.00037468927983576555,2.534658776925602e-05,1.9917499761865784e-06,8.5597714606428804e-07,3.8171785848748918e-07,9.3047098185168811e-08,-4.1567981192564592e-08
0.1075,0.00039096601306867903,2.6714378579634135e-05,2.0189908035699713e-06,8.6857120775589896e-07,3.8865029176528159e-07,9.7833378863780001e-08,-3.7599325341262969e-08
0.11,0.00040731367691188361,2.8163211177245098e-05,2.045993540763542e-06,8.8070037897466619e-07,3.9502316440635415e-07,1.0199636313876654e-07,-3.4191637964703022e-08
0.1125,0.00042317158961207083,2.9694931504917652e-05,2.0727946777402915e-06,8.9251617314833827e-07,4.0106579894115227e-07,1.0572900203180176e-07,-3.1177787960526705e-08
0.115,0.00043800344614772186,3.1315145075833062e-05,2.0989540994547658e-06,9.0353988628100102e-07,4.063398871964481e-07,1.0859289831779383e-07,-2.9007833765890255e-08
0.1175,0.00045130603295656598,3.3032341406815685e-05,2.1244126418248059e-06,9.136184034523305e-07,4.1068055034679261e-07,1.104555569141285e-07,-2.783107457906161e-08
0.12,0.00046262514735001498,3.4857843229053539e-05,2.1497582258688044e-06,9.2322542671868302e-07,4.1452577407947182e-07,1.1177911284542988e-07,-2.7191065861174102e-08
0.1225,0.00047157598705410583,3.6805195472694804e-05,2.175399468185198e-06,9.3266283678385388e-07,4.181632229691252e-07,1.1283379530797135e-07,-2.6793165700251409e-08
0.125,0.00047786057163103459,3.8889337798720256e-05,2.2018802111592099e-06,9.4241297313198681e-07,4.2209918952764348e-07,1.1408978868602351e-07,-2.616794554318895e-08
0.1275,0.00048128186619423078,4.1120127955934069e-05,2.227477199618015e-06,9.5074925830804325e-07,4.2462254967236447e-07,1.1389429919580249e-07,-2.6936216829505413e-08
0.13,0.0004817670860106871,4.3513143604171992e-05,2.2550160933873425e-06,9.6046099261244242e-07,4.2847898989355128e-07,1.1510665115625467e-07,-2.6255827815369415e-08
0.1325,0.00047935286805381926,4.6087079972811977e-05,2.2840185886325576e-06,9.7103873574618744e-07,4.3313606866019665e-07,1.1717665022630118e-07,-2.4705895330661055e-08
0.135,0.00047417793044078209,4.8864194037663878e-05,2.3143115257784921e-06,9.8228594013925871e-07,4.3843923526856432e-07,1.198416772230704e-07,-2.2579754923487427e-08
0.1375,0.00046646809132082497,5.1867512734405819e-05,2.3456940530795683e-06,9.9400432682816736e-07,4.4426425944789093e-07,1.2287931589401109e-07,-2.0110235479266533e-08
0.14,0.00045651874815048356,5.5117821834932919e-05,2.3780117925218129e-06,1.0060414456990936e-06,4.5051519727527558e-07,1.2614079785559115e-07,-1.7451646343280192e-08
0.1425,0.00044467917673896902,5.862897101061511e-05,2.4110123869842952e-06,1.018159077890495e-06,4.5696532848940578e-07,1.2939367083287759e-07,-1.4832226193878848e-08
0.145,0.00043133116356874912,6.2408472745040735e-05,2.4443731405579222e-06,1.0300628172615407e-06,4.6332199124804001e-07,1.3231548505135528e-07,-1.2519879506270403e-08
0.1475,0.00041686185799088367,6.6461590636529539e-05,2.4779266446913103e-06,1.0416092717521676e-06,4.6946757550154242e-07,1.347709484435247e-07,-1.0603528395116841e-08
0.15,0.000401641188960998,7.0792287615463749e-05,2.5116133218238541e-06,1.0527519400063937e-06,4.7538356950816565e-07,1.3678130805220258e-07,-9.0457065946610284e-09
0.1525,0.00038600516566565391,7.5402876516291454e-05,2.5454648267031984e-06,1.0635029458157995e-06,4.8110244693483185e-07,1.3846634030979092e-07,-7.7423370827251211e-09
0.155,0.00037024432649896343,8.0293116856642498e-05,2.5796259259873344e-06,1.0739671710927461e-06,4.8671867535882361e-07,1.4001461415141373e-07,-6.5121935908861434e-09
0.1575,0.00035460098148134167,8.5458474815817178e-05,2.6143692697779931e-06,1.0843692634258074e-06,4.9243787506681449e-07,1.4169723076776741e-07,-5.0895083906275036e-09
0.16,0.00033926599903832006,9.0888180324078682e-05,2.649472446968143e-06,1.0944560263435136e-06,4.9798459693239562e-07,1.4328265904778696e-07,-3.7546449830744062e-09
0.1625,0.00032438270634029508,9.656612951603033e-05,2.6850669891881848e-06,1.104340048241808e-06,5.0346733790167284e-07,1.4490914760044902e-07,-2.4280861970210547e-09
0.165,0.00031004891546280961,0.00010247124472769497,2.7212163847368505e-06,1.1140590600303985e-06,5.0891291318431358e-07,1.4662108625101757e-07,-1.1069740208791063e-09
0.1675,0.00029632365815483367,0.00010857847331930827,2.7579804280779773e-06,1.1236234803216169e-06,5.1430443162144624e-07,1.4840581177234379e-07,1.8403839501909691e-10
0.17,0.00028323654378510117,0.00011485664940136877,2.795430887172864e-06,1.1330507714658364e-06,5.1963706131140641e-07,1.5022835425369309e-07,1.4375375934167076e-09
0.1725,0.00027079734087008799,0.00012126743831395775,2.8336107231483086e-06,1.142332386708044e-06,5.2488993442409601e-07,1.5203653149909491e-07,2.6421706581000536e-09
0.175,0.00025900421821292794,0.00012776499068474262,2.8725580117894577e-06,1.1514707101847224e-06,5.3005934233535339e-07,1.5380191851832136e-07,3.7494621140389584e-09
0.1775,0.00024784897445836914,0.00013429672434749735,2.9122939140296214e-06,1.160456108486221e-06,5.3513575917885099e-07,1.5549955767306568e-07,4.8353695627718435e-09
0.18,0.00023732028257291915,0.0001408048256775738,2.9528569086622249e-06,1.1693061948930192e-06,5.4013580825758781e-07,1.5713947783505463e-07,5.7406481034737154e-09
0.1825,0.00022740690408030071,0.00014722864970743228,2.9943408573665757e-06,1.178091224515195e-06,5.4512598277793962e-07,1.5878345450580877e-07,6.6140544900974393e-09
0.185,0.00021809716990683588,0.00015350668631658525,3.0369041981932839e-06,1.1869407474011001e-06,5.5023029455549514e-07,1.605536003586157e-07,7.6118372921035569e-09
0.1875,0.00020937951357959567,0.00015957832656165585,3.0806138793175241e-06,1.1958869104551614e-06,5.554696841933331e-07,1.624731576907368e-07,8.7909491864748024e-09
0.19,0.00020123963897635227,0.00016538574622667254,3.1254713324474906e-06,1.2048956792529492e-06,5.6080033602536805e-07,1.6450023626667997e-07,1.009622615811291e-08
0.1925,0.00019366297549701408,0.00017087593792362962,3.1713858191382978e-06,1.213822079158009e-06,5.660640784557934e-07,1.6647841130224031e-07,1.136817888695611e-08
0.195,0.00018663840032243011,0.00017600367683275918,3.2185969172338435e-06,1.2228422602106373e-06,5.7141970127023659e-07,1.6857100037820816e-07,1.276732898537053e-08
0.1975,0.00018014822466025065,0.00018074273304690119,3.2670184735380936e-06,1.2318052289611674e-06,5.7669752119647832e-07,1.7061438673527467e-07,1.4126471313072822e-08
0.2,0.00017416934845815605,0.00018510434811083628,3.316648662799942e-06,1.2406274363709149e-06,5.8179378171996305e-07,1.7250580974520026e-07,1.5337736751518405e-08
0.2025,0.00016867538299683804,0.00018911641142427168,3.3675656652355921e-06,1.2492730295624324e-06,5.8665258814469927e-07,1.7418191971119863e-07,1.6328038129466271e-08
0.205,0.00016363813092025654,0.00019282639889867993,3.4200525949311737e-06,1.2578788534555857e-06,5.9140491313428765e-07,1.7575424620493334e-07,1.7197319377687674e-08
0.2075,0.00015902857548738669,0.00019629564979231168,3.4738255885786935e-06,1.2660311294153701e-06,5.9562790696129258e-07,1.7678137558651402e-07,1.7492572054961313e-08
0.21,0.00015481948625275477,0.0001996030066711016,3.5297373917061452e-06,1.274462417129157e-06,6.0006055041783841e-07,1.7799070751504968e-07,1.7942287308270307e-08
0.2125,0.00015098405607188948,0.00020283702580767033,3.5875794496673388e-06,1.2828698998048772e-06,6.0439136190145935e-07,1.7906273653334845e-07,1.8232025261712765e-08
0.215,0.00014749779625137678,0.00020609471178291238,3.6476428361619489e-06,1.2914490037290235e-06,6.0881258069525004e-07,1.8017864536102566e-07,1.8543719339651606e-08
0.2175,0.00014433807494574537,0.00020947505725713817,3.7099321982286362e-06,1.3001042744017129e-06,6.1323266978095955e-07,1.812422893533288e-07,1.8781077655099671e-08
