Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.0975,2.8190683121404306e-10,2.7115264500063371e-10,1.5921298561003476e-10,-1.4246815282888932e-11,-8.0389530863013631e-11,-1.1589251888832094e-10,-1.2026841184916814e-10
0.1,3.3055403762464191e-10,3.2163416000747324e-10,2.1514524817992106e-10,4.2014125043831547e-11,-2.419555819761991e-11,-5.9494672524037764e-11,-6.199547089586142e-11
0.1025,3.9418114543165672e-10,3.8559347253836554e-10,2.8464376737009469e-10,1.1566288303804434e-10,5.0395433299097493e-11,1.5306421701039982e-11,1.4746103836879958e-11
0.105,4.7031810095965038e-10,4.608826938841993e-10,3.6596574030637123e-10,2.062114571786438e-10,1.4357711352417755e-10,1.0877550530201935e-10,1.0791696484734578e-10
0.1075,5.5272645622802814e-10,5.4311184777996901e-10,4.5735775347301775e-10,3.1385117353594969e-10,2.5717159799091777e-10,2.2493191003545996e-10,2.232378619536109e-10
0.11,6.3615916910041888e-10,6.2716974309729994e-10,5.530604306946394e-10,4.3165758076817369e-10,3.8418641850482743e-10,3.5688068701340172e-10,3.5463718801809213e-10
0.1125,7.1553217673246618e-10,7.0765173294462534e-10,6.460096901900985e-10,5.4986307799280744e-10,5.1394084597192246e-10,4.9335251944616144e-10,4.9102881800636457e-10
0.115,7.8447775445310839e-10,7.7791567856749836e-10,7.2801831156640996e-10,6.5706070824264296e-10,6.3373241343248172e-10,6.2096339538826257e-10,6.1943046090154217e-10
0.1175,8.3684159425084428e-10,8.3137936294075521e-10,7.9090774803718283e-10,7.4161253842147131e-10,7.3025233581062593e-10,7.2539428601946575e-10,7.253238269040913e-10
0.12,8.6774231567852283e-10,8.6268603792305514e-10,8.2800270611108326e-10,7.9383700724566882e-10,7.9215970680687142e-10,7.9427136150358455e-10,7.957076205035467e-10
0.1225,8.7333074999679618e-10,8.6765832392494031e-10,8.3451474450822623e-10,8.0700588946193698e-10,8.1146236012261792e-10,8.1885264220607869e-10,8.2148954010311679e-10
0.125,8.5227168273925537e-10,8.447062175649426e-10,8.0875471111227484e-10,7.786689031513496e-10,7.8499040949899362e-10,7.9555453891936904e-10,7.9897960220943875e-10
0.1275,8.0258885729572945e-10,7.9211169290084077e-10,7.5008960576695208e-10,7.0882794149415397e-10,7.1257141167485496e-10,7.2385013170207962e-10,7.273465040943818e-10
0.13,7.3316950075791293e-10,7.1833143606413593e-10,6.669124394511291e-10,6.0703570679927448e-10,6.0425535676444679e-10,6.1429399851755574e-10,6.1772337654982695e-10
0.1325,6.4935778561587927e-10,6.2890079673751159e-10,5.6578545814366992e-10,4.8179122970560306e-10,4.692568983392994e-10,4.7634976049753557e-10,4.7970651627770265e-10
0.135,5.5908719498093421e-10,5.3208043012821138e-10,4.5605845420319803e-10,3.4463403019978505e-10,3.2003248377893235e-10,3.2283693239560048e-10,3.2605668229631925e-10
