Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.085,2.019970420676824e-11,2.1972273765902817e-11,2.1973368671519372e-11,2.1975392925191948e-11,2.197749803865492e-11,2.1975512990698285e-11,2.1980614484951016e-11
0.0875,2.006951948261389e-11,2.1953864623690857e-11,2.1953811216284209e-11,2.195470681314596e-11,2.1953553893719249e-11,2.1948306689485873e-11,2.1941001148782592e-11
0.09,1.9922097106698266e-11,2.1919581209613433e-11,2.1921828908010294e-11,2.1922076090528646e-11,2.1921696544423806e-11,2.192300569993359e-11,2.1920544658116112e-11
0.0925,1.979460867587324e-11,2.1901667341627227e-11,2.190148460248785e-11,2.1904366112474465e-11,2.1908490711797124e-11,2.1912766049893362e-11,2.1914502355157844e-11
0.095,1.965748911178842e-11,2.1872630263701296e-11,2.1872659397431024e-11,2.1872801108038505e-11,2.1871983120028449e-11,2.1869238467391708e-11,2.1871212160986252e-11
0.0975,1.9518044482714988e-11,2.1843104641312487e-11,2.1847536978691738e-11,2.1847308721682496e-11,2.1846041154041535e-11,2.1846525558421067e-11,2.1848278075804992e-11
0.1,1.9389325142131067e-11,2.1824768270098046e-11,2.1827234205895278e-11,2.1829288537776877e-11,2.183049641593809e-11,2.1834789855090057e-11,2.1834250548104474e-11
0.1025,1.9244623558618842e-11,2.1791645974847234e-11,2.1793548205483687e-11,2.1794906457632282e-11,2.1794524453975368e-11,2.1794598929520947e-11,2.1790276949366144e-11
0.105,1.9100737600060471e-11,2.1767907321618546e-11,2.1770682679445938e-11,2.1772579103201524e-11,2.1774707560476835e-11,2.1775258015931706e-11,2.1765341606062635e-11
0.1075,1.895907979925979e-11,2.1748403143940563e-11,2.1751400294071913e-11,2.1751516953136259e-11,2.1751332990094502e-11,2.1753278068654897e-11,2.1762531866865234e-11
0.11,1.8799295249674677e-11,2.1719114411151677e-11,2.1719353290649568e-11,2.17222096460457e-11,2.1718310283198499e-11,2.1718752853552391e-11,2.1722105362224375e-11
0.1125,1.8643526441674348e-11,2.1699436912730033e-11,2.1703026202014727e-11,2.1705396392262879e-11,2.1706087790128674e-11,2.1704313096116017e-11,2.1706308210007134e-11
0.115,1.8473898236187042e-11,2.1674890747478694e-11,2.1680066383676491e-11,2.1679779545358754e-11,2.1679145788902704e-11,2.1683223212683256e-11,2.168186643351947e-11
0.1175,1.8299114695489417e-11,2.1653936405871514e-11,2.1658319221510895e-11,2.1656516690050618e-11,2.1655566904640328e-11,2.1651423212462996e-11,2.165584652587112e-11
0.12,1.811322829303022e-11,2.1628974495167947e-11,2.1629706342490826e-11,2.1631665387839077e-11,2.1630374816136805e-11,2.1627880536346066e-11,2.1625495624829795e-11
0.1225,1.7925789878523977e-11,2.1613058822497825e-11,2.1615758241892581e-11,2.1617233720781757e-11,2.1620129069796743e-11,2.1619585384504744e-11,2.1622032056421533e-11
0.125,1.77267122443202e-11,2.1588409763025692e-11,2.1595657799068342e-11,2.1599785089424319e-11,2.160194560916574e-11,2.1600018751049855e-11,2.160316654933945e-11
0.1275,1.752483409476268e-11,2.1565162751271209e-11,2.1572742928696058e-11,2.1572305984800627e-11,2.1568314988195224e-11,2.1568133126072653e-11,2.1569826946132993e-11
0.13,1.7313481443710944e-11,2.1535942463551115e-11,2.1538434617584773e-11,2.1536020412885801e-11,2.1533057212259097e-11,2.1532698179408953e-11,2.1532666299564712e-11
0.1325,1.7108756109344794e-11,2.151552870619897e-11,2.1518764681474691e-11,2.1518098030663535e-11,2.1517482116757291e-11,2.1515357859971599e-11,2.1513787937905565e-11
0.135,1.6898071362488247e-11,2.1486339887652354e-11,2.1491545361318813e-11,2.1493576882372818e-11,2.1494339280073418e-11,2.149389524441959e-11,2.1504138414068948e-11
0.1375,1.6695336504718526e-11,2.1462170228445793e-11,2.1469613306464585e-11,2.1468646460634741e-11,2.1467121491401258e-11,2.1466990255846413e-11,2.1460252727505216e-11
0.14,1.6492188428259155e-11,2.1431098636078666e-11,2.14431394481085e-11,2.1441937126322224e-11,2.1440069887038045e-11,2.1439071096520819e-11,2.1447428732459688e-11
0.1425,1.6297172969287367e-11,2.1406054377824287e-11,2.1416791496339081e-11,2.1417777053714865e-11,2.1415781701616524e-11,2.1414474705124037e-11,2.1414619375673653e-11
0.145,1.6105173978013254e-11,2.1375539927110549e-11,2.138888595961099e-11,2.138756186319535e-11,2.1389818043560625e-11,2.1385624724869193e-11,2.1390121942470641e-11
0.1475,1.5915889877301787e-11,2.1339666583138833e-11,2.1352876269138834e-11,2.1352798863412909e-11,2.1351323812304416e-11,2.1351840342689898e-11,2.1356977047747399e-11
0.15,1.5741845143908835e-11,2.1309160602829354e-11,2.1322084658186245e-11,2.1323982843122617e-11,2.1324431957605798e-11,2.1323287862621561e-11,2.1325685283269389e-11
0.1525,1.5579194726140772e-11,2.1283187718936499e-11,2.1300918664414064e-11,2.1301203592575327e-11,2.1302515705470477e-11,2.1302334048289586e-11,2.1300333321462699e-11
