Physical Time (s),enth_flux_viscous_top Monitor (kg-m/s^3): top_cv1,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv2,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv3,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv4,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv5,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv6,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv7
0.22,1.0351485006024572e-08,7.9963441741840552e-09,3.1668540191674897e-09,5.1419760665581388e-10,-5.6077680840599862e-10,-8.4017557728884321e-10,7.6753818372866776e-10
0.2225,1.0211747877188635e-08,7.7889610133671463e-09,2.7988405504541135e-09,-7.1517981184668298e-12,-1.2214683873216526e-09,-1.7335196803178382e-09,-1.7924994041123069e-10
0.225,1.0025649877048591e-08,7.5249705908332375e-09,2.3597044380177315e-09,-6.1312972382839249e-10,-1.9828017504735141e-09,-2.7785746228643037e-09,-1.4334830922897751e-09
0.2275,9.81677435969227e-09,7.232351104171577e-09,1.8849253682248736e-09,-1.2595399583395596e-09,-2.7906155968169903e-09,-3.8998826598660173e-09,-2.9002760055280222e-09
0.23,9.611861646482259e-09,6.9431611777438021e-09,1.4151637323362808e-09,-1.8964813442072861e-09,-3.5847370306874743e-09,-5.0143458520455065e-09,-4.4665249701206418e-09
0.2325,9.4374266731561866e-09,6.6896008284942959e-09,9.9156457892664916e-10,-2.4737618576849001e-09,-4.3052270323110767e-09,-6.0394844063300535e-09,-6.0123952751760697e-09
0.235,9.3164831027580441e-09,6.5001125489962451e-09,6.5095302459476323e-10,-2.946505138177912e-09,-4.8987653255105414e-09,-6.9016284190781418e-09,-7.4231940049351137e-09
0.2375,9.265892866966533e-09,6.3961094471931214e-09,4.2162609461435475e-10,-3.2801564242020677e-09,-5.3243707153855306e-09,-7.54327390200135e-09,-8.6004542446658904e-09
0.24,9.2960092377449518e-09,6.3915859804883287e-09,3.2322338919178917e-10,-3.4501980821573727e-09,-5.5526567900428977e-09,-7.9219451862416096e-09,-9.462413717046161e-09
0.2425,9.4078143422981512e-09,6.4893495135421411e-09,3.6052183385221981e-10,-3.4507779289751266e-09,-5.5768013839705091e-09,-8.0247393669450243e-09,-9.9644743682310563e-09
0.245,9.5944482150188491e-09,6.6821744231614716e-09,5.2508527352048329e-10,-3.2923521821670746e-09,-5.4092562365001333e-09,-7.8644537592212424e-09,-1.0095442871160231e-08
0.2475,9.8408566277687187e-09,6.9523888422324538e-09,7.9457574113732827e-10,-3.0025935822258738e-09,-5.0831024368202859e-09,-7.4818731958932961e-09,-9.8838576966168879e-09
0.25,1.0125996396978984e-08,7.2746234499206433e-09,1.1363431169898278e-09,-2.6219822841125636e-09,-4.6468499972308412e-09,-6.9395781849112098e-09,-9.3935880379205721e-09
0.2525,1.0427109859732787e-08,7.6209631417149986e-09,1.5141076257352671e-09,-2.1956035865831649e-09,-4.1546227197741243e-09,-6.3092718197758579e-09,-8.7092645138578349e-09
0.255,1.0725250872011688e-08,7.9680869705174435e-09,1.8963824444018579e-09,-1.7634399205978459e-09,-3.6551059790007353e-09,-5.6577459472297401e-09,-7.9173456954328414e-09
0.2575,1.1003152844597501e-08,8.2939150476316329e-09,2.2535565125204034e-09,-1.3625476071152113e-09,-3.1929691878948012e-09,-5.0464504384748684e-09,-7.103755511432379e-09
0.26,1.1249351736619711e-08,8.5830479378112995e-09,2.5639807033912845e-09,-1.0204369086335555e-09,-2.8016887533680335e-09,-4.5230394658374088e-09,-6.3415961930229252e-09
0.2625,1.1457017587875175e-08,8.8257138651617885e-09,2.8140074262862599e-09,-7.5411073131955671e-10,-2.5017547648962451e-09,-4.1181102768452812e-09,-5.6861085077432917e-09
0.265,1.1625940227942222e-08,9.0203827652868382e-09,3.00050866371902e-09,-5.6761746351798271e-10,-2.2983129388867894e-09,-3.8423165771415898e-09,-5.1706382409703625e-09
0.2675,1.1760281660413179e-08,9.1711286073843037e-09,3.1282093284509372e-09,-4.5482239291638715e-10,-2.1838223456010017e-09,-3.6886452019166885e-09,-4.8065653841063044e-09
0.27,1.1867810883962826e-08,9.2867199045341698e-09,3.2079384692950374e-09,-4.0198352558317606e-10,-2.1414142086873329e-09,-3.6363300171245019e-09,-4.5856196238017408e-09
0.2725,1.1957720239979952e-08,9.3781022979663409e-09,3.2538623538588709e-09,-3.9109442497510197e-10,-2.1488040601890283e-09,-3.6555780911427296e-09,-4.4825775407469216e-09
0.275,1.2040154591809963e-08,9.4576354139315221e-09,3.2818667398270786e-09,-4.0245639456034941e-10,-2.1820658222208613e-09,-3.7133445883734741e-09,-4.461815789889419e-09
0.2775,1.212424799861166e-08,9.5367088187122758e-09,3.3067682937237903e-09,-4.179622643462551e-10,-2.2195331874614282e-09,-3.7792370953218641e-09,-4.4847553418768017e-09
0.28,1.2218037525837297e-08,9.6255084558110457e-09,3.3416070023390499e-09,-4.2203776189346571e-10,-2.2429914527250526e-09,-3.8279088997049177e-09,-4.5160799833150908e-09
0.2825,1.2326437329054753e-08,9.7305986302444734e-09,3.3950372530942141e-09,-4.0445307659740346e-10,-2.240682822285734e-09,-3.8427698314336676e-09,-4.529081793091189e-09
0.285,1.2452772770769175e-08,9.8566707145487747e-09,3.4731088625265964e-09,-3.5846260334962655e-10,-2.2053329952250118e-09,-3.813968133407087e-09,-4.5051809588541068e-09
0.2875,1.2596537115544059e-08,1.0003738047804509e-08,3.5763601113382282e-09,-2.8376899439872822e-10,-2.137268198220755e-09,-3.7420209344383741e-09,-4.4376680575734256e-09
0.29,1.2755021125012808e-08,1.0169133399027483e-08,3.7020384903840003e-09,-1.8394769339218954e-10,-2.0414891507388752e-09,-3.6345284956117756e-09,-4.3289099442288821e-09
