Physical Time (s),enth_flux_viscous_left Monitor (kg-m/s^3)
1.0075,4.0978231302089988e-08
1.01,4.1217929337798803e-08
1.0125,4.144438525968533e-08
1.015,4.165488157390543e-08
1.0175,4.184693463330028e-08
1.02,4.2018331727104394e-08
1.0225,4.2167203394609388e-08
1.025,4.2292058275604911e-08
1.0275,4.2391820522548848e-08
1.03,4.2465840612765597e-08
1.0325,4.2513915259084749e-08
1.035,4.2536284873041996e-08
1.0375,4.2533632789241243e-08
1.04,4.2507066065223058e-08
1.0425,4.2458088399921653e-08
1.045,4.2388570417328268e-08
1.0475,4.230071058725226e-08
1.05,4.2196995376342488e-08
1.0525,4.2080148319654317e-08
1.055,4.19530712918318e-08
1.0575,4.1818788230058599e-08
1.06,4.1680368616766073e-08
1.0625,4.1540894831558979e-08
1.065,4.1403390514496801e-08
1.0675,4.1270771027243031e-08
1.07,4.1145799092857987e-08
1.0725,4.1031028500902728e-08
1.075,4.0928789227238595e-08
1.0775,4.0841089011641469e-08
1.08,4.0769618289752347e-08
1.0825,4.0715732180851513e-08
1.085,4.0680423868614907e-08
1.0875,4.0664301693692117e-08
1.09,4.0667587649058889e-08
1.0925,4.0690120772504372e-08
1.095,4.0731369562967502e-08
1.0975,4.0790454569192061e-08
1.1,4.0866180527774683e-08
1.1025,4.0957081273390654e-08
1.105,4.1061466990596352e-08
1.1075,4.117748375810725e-08
1.11,4.1303158232381372e-08
1.1125,4.1436445410386683e-08
1.115,4.1575253260859669e-08
1.1175,4.1717494833893555e-08
1.12,4.1861113127865837e-08
1.1225,4.2004109814992373e-08
1.125,4.2144579370545501e-08
1.1275,4.228073980426988e-08
1.13,4.2410959996476107e-08
1.1325,4.2533783922891665e-08
1.135,4.2647953690496826e-08
1.1375,4.275243388138869e-08
1.14,4.2846405076765192e-08
1.1425,4.2929282707434867e-08
1.145,4.3000722342189359e-08
1.1475,4.3060617098199075e-08
1.15,4.3109087796677206e-08
1.1525,4.3146460132903231e-08
1.155,4.3173242818970729e-08
1.1575,4.3190103836472724e-08
1.16,4.3197845074413698e-08
1.1625,4.3197374354740171e-08
1.165,4.3189680954987246e-08
1.1675,4.3175814199198786e-08
1.17,4.3156861205450541e-08
1.1725,4.3133927926985506e-08
1.175,4.3108121291215969e-08
1.1775,4.3080529985665605e-08
1.18,4.3052202511121027e-08
1.1825,4.3024126505578921e-08
1.185,4.299721779274567e-08
1.1875,4.2972322282955048e-08
1.19,4.2950211444831802e-08
1.1925,4.2931568389272544e-08
1.195,4.2916972652388744e-08
1.1975,4.2906893266209707e-08
1.2,4.2901687989866087e-08
1.2025,4.2901604282247672e-08
1.205,4.2906770509293675e-08
1.2075,4.2917182519681876e-08
1.21,4.2932693721796608e-08
1.2125,4.2953018092331329e-08
1.215,4.2977743048822169e-08
1.2175,4.3006355323456762e-08
1.22,4.3038271363877527e-08
1.2225,4.3072857064143809e-08
1.225,4.3109432589060425e-08
1.2275,4.3147260373637092e-08
1.23,4.3185542398031244e-08
1.2325,4.3223424209972048e-08
1.235,4.3260005840010723e-08
1.2375,4.3294358149915414e-08
1.24,4.3325537815396698e-08
1.2425,4.3352608504487382e-08
1.245,4.3374668644982915e-08
1.2475,4.3390882161680726e-08
1.25,4.3400498587258647e-08
1.2525,4.3402862445030843e-08
1.255,4.339742048923591e-08
1.2575,4.3383735722678152e-08
1.26,4.3361504987165749e-08
1.2625,4.3330564556094811e-08
1.265,4.3290885594965041e-08
1.2675,4.3242561600374148e-08
1.27,4.3185809728927976e-08
1.2725,4.3120979132431566e-08
1.275,4.3048560138183972e-08
1.2775,4.2969187042437657e-08
1.28,4.2883630677372867e-08
1.2825,4.2792758431845455e-08
1.285,4.2697516239671447e-08
1.2875,4.2598909951820396e-08
1.29,4.249798926055652e-08
1.2925,4.2395848849288565e-08
1.295,4.2293617345632034e-08
1.2975,4.219243953876182e-08
1.3,4.2093460282251673e-08
1.3025,4.199779926456224e-08
1.305,4.1906526996935571e-08
1.3075,4.1820650538178618e-08
1.31,4.1741107726743417e-08
1.3125,4.1668754275157305e-08
1.315,4.1604377617812965e-08
1.3175,4.1548670778571196e-08
1.32,4.1502237634348728e-08
1.3225,4.1465583684225411e-08
1.325,4.1439131079993854e-08
1.3275,4.1423217761755979e-08
1.33,4.141809332561683e-08
1.3325,4.1423906305023596e-08
1.335,4.1440700579916909e-08
1.3375,4.1468418552725558e-08
1.34,4.1506909384565865e-08
1.3425,4.1555932056749808e-08
1.345,4.1615153408308425e-08
1.3475,4.1684140063496815e-08
1.35,4.1762362701388176e-08
1.3525,4.1849190724689355e-08
1.355,4.1943912757542758e-08
1.3575,4.2045728362873425e-08
1.36,4.2153770077052358e-08
1.3625,4.2267103910355059e-08
1.365,4.2384738036760391e-08
1.3675,4.2505620078456918e-08
1.37,4.2628648608054993e-08
1.3725,4.2752678188717633e-08
1.375,4.2876544454535781e-08
1.3775,4.299908590222808e-08
1.38,4.3119160092983983e-08
1.3825,4.3235649207443214e-08
1.385,4.3347455018815037e-08
1.3875,4.345351024724076e-08
1.39,4.3552781627356408e-08
1.3925,4.3644285122235131e-08
1.395,4.3727097674926056e-08
1.3975,4.3800379506867679e-08
1.4,4.3863361999378281e-08
1.4025,4.391539043872743e-08
1.405,4.3955910176296307e-08
1.4075,4.3984488975214273e-08
1.41,4.4000827696065887e-08
1.4125,4.4004734538566858e-08
1.415,4.3996121774865933e-08
1.4175,4.3975009259488842e-08
1.42,4.3941538447287661e-08
1.4225,4.3895971003403457e-08
1.425,4.3838696672916102e-08
1.4275,4.3770219242270965e-08
1.43,4.3691143608673502e-08
1.4325,4.3602162000557627e-08
1.435,4.3504046626728788e-08
