Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.1475,-2.6920887532736393e-06,2.6260041889102981e-07,4.9249116084957856e-07,5.1677028931885791e-07,5.2537537595409411e-07,2.6251986193279829e-07,7.1754989862299905e-08
0.15,-3.4877246793888338e-06,-8.0223604249109528e-08,3.2904154447748653e-07,3.9912914785572115e-07,4.6415646824501089e-07,3.4180510515575045e-07,4.6908453546873946e-08
0.1525,-4.0479958078113963e-06,-3.4435243313397432e-07,1.8811646381779647e-07,2.8260877711020425e-07,3.7823239961708768e-07,3.9329332892789479e-07,2.1691938976626679e-08
0.155,-4.3443657947488191e-06,-5.2016895468372494e-07,7.6995604018551666e-08,1.8023902477940667e-07,2.8366926916917275e-07,4.0781534736279895e-07,3.4623294050559113e-09
0.1575,-4.3818656512134052e-06,-6.1068311297515375e-07,-3.507041615887479e-09,9.9029313313393829e-08,1.9432643988079835e-07,3.8494249657854966e-07,1.6305210481035315e-09
0.16,-4.1973271662864683e-06,-6.2886484317620654e-07,-5.6939243902182838e-08,4.0374203763383848e-08,1.1955326346485058e-07,3.3213603483215632e-07,2.3977779548065416e-08
0.1625,-3.8532069081132838e-06,-5.9417155770164473e-07,-8.9087985590549712e-08,1.6093269689390848e-09,6.3384945020356168e-08,2.6182679638683511e-07,7.2497155701408631e-08
0.165,-3.4225972578528853e-06,-5.2848733721997447e-07,-1.0625203284226766e-07,-2.1989839581610699e-08,2.5262650949322704e-08,1.8742719301600833e-07,1.4109879542767126e-07
0.1675,-2.9756138844501763e-06,-4.5236132595743485e-07,-1.1403518433899317e-07,-3.5395736736223419e-08,1.8543531293766417e-09,1.1995052223974336e-07,2.1655363020374372e-07
0.17,-2.5692015564804265e-06,-3.8281911194566643e-07,-1.1682681771425991e-07,-4.274565436643174e-08,-1.1050712238043803e-08,6.6306069284054044e-08,2.8217700247558458e-07
0.1725,-2.2400616938989156e-06,-3.3179424701262474e-07,-1.1780587507286416e-07,-4.7054496442815436e-08,-1.7342618052621934e-08,2.9030312481962392e-08,3.2293550205122458e-07
0.175,-2.0004629542371936e-06,-3.051331465272938e-07,-1.1904317796807575e-07,-5.0301431060986012e-08,-2.0031923458273262e-08,7.1633177248032387e-09,3.299832482425486e-07
0.1775,-1.8384364717267919e-06,-3.0245026327080275e-07,-1.2157413090749196e-07,-5.3647387432505563e-08,-2.1176392499821254e-08,-2.3529233312693685e-09,3.0297700449236957e-07
0.18,-1.7244841957304496e-06,-3.1807483674333574e-07,-1.2544744670293944e-07,-5.7631294200692522e-08,-2.2051054628669978e-08,-3.3053934467845295e-09,2.4946498279768071e-07
0.1825,-1.6199982794793685e-06,-3.4293917569538424e-07,-1.2983304665029809e-07,-6.2311344291620525e-08,-2.3383109521429538e-08,7.4925501871508773e-10,1.8205420120759482e-07
0.185,-1.4875997203832811e-06,-3.669578461357127e-07,-1.3322219894870689e-07,-6.7346718901542797e-08,-2.5536219329305427e-08,6.9488598600562149e-09,1.1445606502563782e-07
0.1875,-1.2985125207758187e-06,-3.8130174992793534e-07,-1.3371378953732835e-07,-7.2048186104775048e-08,-2.8609175597292848e-08,1.3193754139826028e-08,5.8030084052198641e-08
0.19,-1.0381738485309714e-06,-3.8011334014330508e-07,-1.2935362017300694e-07,-7.5416503951166758e-08,-3.2440661538481682e-08,1.8023762101288637e-08,1.964636958214945e-08
