Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.0875,1.1882673876014721e-16,1.6492275200838597e-16,7.6380334830338524e-17,3.277543489580779e-17,-2.1013196725366237e-18,2.9084095877251905e-19,1.3759739014713516e-17
0.09,6.9006197243177981e-17,5.3955859076164845e-17,8.9948901596669671e-17,7.5620188833681341e-17,1.0273224359425979e-16,1.0113509709105731e-16,1.0444183357582954e-16
0.0925,-5.0549353020812154e-17,-1.0395037130491083e-16,-9.6547711173226914e-17,8.1842675182445163e-18,1.1153460921317689e-17,-1.7276505504279045e-17,-5.5844708888394283e-19
0.095,-1.1374506954920159e-16,-1.2071423289812345e-16,-1.3852716006581609e-16,-1.6366643265470468e-16,-1.6323796539816905e-16,-1.1599931609434927e-16,-1.1539448932995086e-16
0.0975,5.4958016555261945e-17,6.9396998246458031e-17,6.0919786137639337e-17,9.0022239659941524e-17,6.4145909709415346e-17,3.191204302261336e-17,-1.8554073022017383e-17
0.1,-4.369779227315775e-17,-5.4188168002397286e-17,-6.4442874031011809e-17,-4.2755199249070768e-17,-4.4302494421863324e-17,-3.2532527995342793e-18,4.8508293132412172e-17
0.1025,1.040506137039154e-16,9.967725011714486e-17,-4.4397556189658218e-17,-4.8486080446953789e-17,-3.6912986411027807e-17,-4.3459704010395182e-17,-4.8340283460480194e-17
0.105,-2.5844890398211462e-16,-2.5350044248164946e-16,-2.0770824458582643e-16,-2.3535314993691937e-16,-2.5232551800387136e-16,-2.4480084150018556e-16,-1.7971248415256017e-16
0.1075,-2.3979209660607122e-16,-2.1920484025436653e-16,-2.019434600010042e-16,-2.1374657958485238e-16,-2.1872475974010964e-16,-2.0371314613795497e-16,-2.9166866560766361e-16
0.11,6.5049900365078428e-17,7.2467863578049881e-17,1.7374635690082982e-16,1.3636044362963785e-16,1.2675019955233576e-16,1.3841201204047398e-16,1.4226957977377273e-16
0.1125,-2.335165278386275e-16,-2.3207809829074738e-16,-1.9977530975120776e-16,-1.4411367156059517e-16,-1.6476471745485702e-16,-1.7387953147163103e-16,-2.2761937290796785e-16
0.115,-1.9888608523238233e-16,-1.8285553564063379e-16,-1.4338716887739346e-16,-1.4516522072915964e-16,-1.5753261774394872e-16,-1.2898453598177043e-16,-2.0567575956880596e-16
0.1175,3.1222364089042333e-17,3.8540249557945495e-17,1.1872525906030721e-17,1.297866456604513e-17,1.2190924131686368e-17,2.3302638063060204e-17,3.9614362203683964e-17
0.12,1.1085178918076052e-16,1.1146524070259851e-16,1.1298607909544905e-16,1.2379925280500439e-16,1.2438575113726047e-16,1.2349911118929138e-16,1.5147394526460737e-16
0.1225,1.4883276706561647e-16,1.554796651424634e-16,1.4597605088523109e-16,1.3740113819463324e-16,1.3883830284287296e-16,1.4905207097108146e-16,1.3492722597304682e-16
0.125,-1.4032640074669105e-16,-1.2937742233535338e-16,-1.204977668031272e-16,-1.2624585272057469e-16,-1.2189618733910742e-16,-1.2558395545378495e-16,-1.4660178485175983e-16
0.1275,-2.4569333558337634e-16,-2.469365714506197e-16,-2.1343431957072296e-16,-2.2647260582352004e-16,-2.3173452616531385e-16,-2.245122714586518e-16,-2.4326685899569741e-16
0.13,9.4594692918293907e-17,8.920796681712026e-17,5.9044791923889341e-17,5.4109491951960122e-17,5.1015258964707087e-17,4.5507491859015972e-17,2.1553987535269216e-17
0.1325,-2.9709422769272942e-17,-6.5232809367990504e-17,-3.9161307447679555e-17,-2.2539464894881538e-17,-1.7885218924752095e-17,-1.3506326637033407e-17,2.2990530764334993e-17
0.135,-1.332860240675016e-17,-2.1816266765055663e-17,-1.6169618464398838e-17,-4.7086534861905714e-17,-5.3404428204239956e-17,-6.0251028070876258e-17,-5.492309603589293e-17
0.1375,9.5096425139794772e-18,1.7123321026639968e-17,5.3695790362456098e-17,1.2858326222013174e-16,1.1673824399687692e-16,1.1308635844772735e-16,1.1152641860958822e-16
0.14,2.1410823413292345e-17,-1.0684243419951011e-17,8.9024971847995314e-17,1.267801249023867e-17,-2.0381076349961571e-17,-1.7222840846328879e-17,-3.2103865432698367e-17
0.1425,-2.1828258914696669e-16,-2.4718937610134418e-16,-2.0023384108644076e-16,-2.2088412313379358e-16,-2.1005339135813347e-16,-2.2554604710115588e-16,-2.2060635209990529e-16
0.145,7.7926315499814555e-17,2.0047953762245418e-16,2.155098559818627e-16,2.0209490639387753e-16,2.4165279177323002e-16,2.3018907123199619e-16,2.2477686852228105e-16
0.1475,-4.5488662940647904e-17,2.743955412295861e-17,5.7617976634987314e-17,1.0109032805041304e-16,1.0050757647706736e-16,1.2690181706283345e-16,1.2841373807367927e-16
0.15,-1.2795819577407518e-16,-8.0664722851499904e-17,4.4559303394021974e-17,-3.804986054626188e-17,-2.6960955880144092e-17,-4.1917100228839554e-18,-1.2760607546183392e-18
0.1525,-7.6731901939461369e-17,-7.2352354465647984e-17,7.1305421864758002e-17,1.6984702470765818e-17,5.9310907306698737e-17,8.0101494601137418e-17,7.2341088321748329e-17
0.155,3.2220352774722683e-16,3.6879002484215931e-16,2.6216000395823823e-16,2.1539427821847482e-16,1.8068586164504287e-16,1.6810072124993813e-16,1.5893311223048425e-16
0.1575,1.5565752815944492e-16,1.0941221322022309e-16,1.4264192327528898e-16,1.7755782612310952e-16,1.9110407958628584e-16,2.5605699524097557e-16,2.6954725133559053e-16
0.16,-1.932417181420793e-16,-1.4324189022564544e-16,-2.9109776455278538e-16,-1.5122761885898447e-16,-1.2993892479913545e-16,-1.926874050873738e-16,-1.9379180097296633e-16
0.1625,-7.4461346162803097e-17,-1.7535778557234687e-16,-2.1794700505608968e-16,-3.1382880094027579e-16,-3.4712475837905417e-16,-3.9450761287416389e-16,-4.1049381157757143e-16
0.165,7.0701305228082448e-18,1.0236600989249224e-16,1.6009835314658593e-16,1.0044241189586012e-16,1.4525609674485538e-16,1.4895083844169998e-16,1.3352631157985491e-16
0.1675,6.5159356758058249e-17,1.2976855197498011e-17,1.5161625284535945e-16,1.3826926469278079e-16,1.3572629097134062e-16,1.3038775985940743e-16,1.3008921408044834e-16
0.17,-3.5156838693297315e-16,-2.9493109335213952e-16,-2.5035999311485978e-16,-2.0974754843195826e-16,-2.4205292345116384e-16,-2.2735627153289567e-16,-2.63737492913462e-16
0.1725,-1.7468723658072408e-16,-1.9412533413145775e-16,-9.3256844752251909e-17,-1.1681493488772061e-16,-1.926938876950802e-16,-2.2039893764199391e-16,-2.2570076221069346e-16
0.175,4.9977281859587711e-16,5.5428591938620175e-16,4.87741971122048e-16,4.8757626901450704e-16,4.5988361785594847e-16,4.6249507387619016e-16,4.5759671933804786e-16
0.1775,1.8639450058212303e-16,1.7569434768643925e-16,3.0280613825900606e-16,2.7145496129888842e-16,2.4889413335851637e-16,1.9069266174990151e-16,1.7507591941551673e-16
0.18,-1.8534482152343575e-16,-2.7003998775068505e-16,-3.0249367838629996e-16,-2.5266701280459928e-16,-2.3323477759567164e-16,-3.163436570400698e-16,-3.4783013652206999e-16
0.1825,2.3660439270572816e-16,2.2951824774938994e-16,4.3408521575751403e-16,3.9108155075946406e-16,4.5621370689096634e-16,4.9938634754910036e-16,4.9968759477100717e-16
0.185,1.1740499722222985e-16,1.8080712002167104e-16,3.2407527382826032e-16,3.9394198427899956e-16,4.0061124357397677e-16,4.2452537895058708e-16,4.2561654703426257e-16
0.1875,2.0762337694296487e-16,1.7862346329361113e-16,1.2901445635814522e-16,1.1263803626997337e-16,7.2895280560105736e-17,1.0773699067987718e-16,1.3897311425865396e-16
0.19,-3.4534531280361485e-16,-3.5885526749206183e-16,-4.1613598826006588e-16,-4.6350674355643139e-16,-3.8996353866507132e-16,-4.2836391598930362e-16,-4.4867239817322742e-16
0.1925,-5.5691743468519224e-17,-5.6374037267202184e-17,9.1633902991696703e-17,9.1483392914787504e-17,9.8443408989690375e-17,1.5430191396367408e-16,2.7358369556060975e-16
0.195,-1.5633430404262291e-16,-2.4020871800252944e-16,-4.0630947475216508e-16,-3.5540842703132677e-16,-3.2495163342129042e-16,-2.7168862151684698e-16,-3.1895196184310732e-16
0.1975,6.5837172366479984e-17,6.6702487076505607e-17,3.2783476524087148e-17,6.5801968332678278e-17,1.46734616054061e-17,1.4893893091226586e-17,-5.6779065219013157e-17
0.2,-1.821197683137532e-16,-1.6880580226236573e-16,-1.1675111278488624e-16,-8.3811866334534529e-17,-1.1824836660126332e-16,-1.252850291932651e-16,-7.3089352362597491e-17
0.2025,5.0208019607800193e-17,1.0582738022397753e-17,1.5133723300250159e-17,1.4907895297950615e-17,5.5901660444788168e-18,-4.3395524400311457e-18,-4.8771754533813515e-17
0.205,-7.2420148006957849e-17,-6.5509640846551012e-17,-1.4785304608913494e-16,-7.5326791837255416e-17,-1.024145539524249e-16,-1.0367231677684227e-16,-8.3025347037825614e-17
0.2075,-1.4203599295151602e-16,-8.4288928007539738e-17,-2.1036568447291279e-16,-2.5074123752490536e-16,-2.669481911830659e-16,-2.6594901154941235e-16,-2.5641500896533984e-16
0.21,-6.570156592775047e-17,-6.8019009643155688e-17,1.8529306427579937e-17,-9.2672470561289938e-17,-9.2278997917786295e-17,-7.501929674877841e-17,-7.8891222864767496e-17
0.2125,-2.4538133456751131e-16,-2.321469145186002e-16,-1.9295094882415375e-16,-2.0363404185004959e-16,-2.0782509870453843e-16,-2.1438929481266782e-16,-2.014174201149961e-16
0.215,2.2659806887737118e-16,2.0220432881477065e-16,1.5818313388217322e-16,1.5175805788849805e-16,1.4092281352678056e-16,1.2594124327732081e-16,1.2635214815244642e-16
0.2175,-2.7356555454576684e-17,-8.8329883536489847e-17,-8.625921088924898e-17,-2.9312927196741375e-17,-2.7287267003434389e-17,-3.4118125386865319e-17,-1.117600949222724e-17
0.22,4.4127340595058237e-16,3.5761152018085467e-16,3.9087947357584456e-16,3.6423888374897717e-16,3.660239059322533e-16,3.5786311255076625e-16,3.6188481666301453e-16
0.2225,3.2486394575964221e-17,1.9797358962947058e-17,7.8060106427474498e-17,4.0200491713439551e-17,7.1902179876370825e-17,8.1700833867910965e-17,6.3183533544798817e-17
0.225,-1.4444933237421599e-16,-1.2233559830547948e-16,-8.4670700985155026e-17,-4.3493323379992525e-17,-1.9786843924622199e-17,-3.9264465206053186e-20,-1.5104307482828744e-17
0.2275,5.410978642227068e-16,5.8036641262754141e-16,4.2924415730859887e-16,5.0780602296947152e-16,5.0091137668835525e-16,5.1725027217785408e-16,5.4939809643964311e-16
0.23,-1.7251879328332104e-16,-1.370157853079074e-16,-1.1099792201451556e-16,-1.594817190906499e-16,-1.3845441627853286e-16,-1.7584850765000881e-16,-1.6518316859876888e-16
0.2325,3.6756912137473502e-16,3.4993315990832487e-16,2.8971814161214493e-16,2.745066579199826e-16,2.6302577685541029e-16,2.4321540530588528e-16,2.3826581072075597e-16
0.235,1.8844022544283727e-16,1.452430873130237e-16,-9.252571576296019e-17,-7.6450082122550518e-17,-1.0093346255851636e-16,-2.0533845805829013e-16,-1.9774142218855357e-16
0.2375,-3.7775693316995364e-16,-3.0465993133732652e-16,-2.149224671684369e-16,-1.5000239797290169e-16,-1.0155745682161919e-16,-2.2668469490174245e-17,-1.0001851426670209e-17
0.24,-3.4053331122342828e-16,-3.276261744378843e-16,-2.9985752499049906e-16,-3.9111083996741157e-16,-4.4044603649735928e-16,-4.7889179544910694e-16,-4.5219697438061786e-16
0.2425,2.8125457256367557e-16,2.8752318604246919e-16,2.3042155908319909e-16,2.9617379757651388e-16,1.9200749940271805e-16,1.5348094776913381e-16,1.9094774743944488e-16
0.245,3.1502381497283433e-16,2.621448560922484e-16,9.6126785736853446e-17,1.2287738789226921e-16,1.7759627205155915e-16,1.7856807794627307e-16,1.5641541650372303e-16
0.2475,1.2439079575957268e-16,2.0034592483684637e-16,3.4139244225382374e-16,3.7034088108907534e-16,3.730854986421448e-16,4.3999639417636473e-16,4.2746034100020057e-16
0.25,-3.3542362171223475e-17,7.3474103424168561e-17,-1.7894959919057105e-16,-2.5351939957418031e-16,-3.3227128039324385e-16,-2.9827991067897554e-16,-2.8727013624263032e-16
0.2525,-1.9104783858283906e-16,-1.4744632973347741e-16,-2.216833530736755e-16,-2.4770085869263483e-16,-2.4125457314396007e-16,-2.483736556183827e-16,-2.1379724573025906e-16
0.255,2.2612259367262723e-16,2.207280745704018e-16,3.991992538439592e-16,3.9554229826225164e-16,4.0563434821966124e-16,4.4660054671962428e-16,3.4572803930125768e-16
0.2575,-2.5418983350824694e-16,-2.2116182987979396e-16,-3.1165778589847266e-16,-2.7812375154940139e-16,-2.4067386762275703e-16,-2.4984266479187566e-16,-3.1403617926003089e-16
0.26,-8.6989461235635331e-17,-1.1189112786799136e-16,-1.4536719234040202e-16,-1.6684373753497524e-16,-1.6223408124623618e-16,-1.0533765359038524e-16,-5.3653628098758117e-17
0.2625,-1.199320068049027e-16,-1.9308158707661188e-16,-1.9039344966428352e-16,-1.8806059008077801e-16,-1.9765226504914093e-16,-2.4024398744257503e-16,-2.1215677511148845e-16
0.265,-9.69014047768481e-17,-1.1188134819511651e-16,-9.3905620357051172e-17,-7.474261991179261e-17,-4.9515394734856323e-17,-9.5668973041643259e-17,-6.4896097271742695e-17
0.2675,2.7470246395418528e-17,-1.3251019463218914e-17,1.1786254894319074e-16,1.6471848951206682e-16,1.3003429002341078e-16,1.2801900605506595e-16,1.2151552792935963e-16
0.27,-4.3255647490123665e-16,-3.8144192093671093e-16,-2.6582934311989877e-16,-3.832295083972754e-16,-4.0023312663308345e-16,-3.9473750946200843e-16,-4.0324152574785541e-16
0.2725,1.5528455231878147e-16,1.9599856117379588e-16,2.0717690350204131e-16,4.9751815927186303e-16,3.9605493653046391e-16,3.861050260398575e-16,3.9035631479297398e-16
0.275,-2.0854010326436523e-16,-1.9116731878821604e-16,-3.8611129267675207e-16,-3.2979475712522679e-16,-3.6667367701662383e-16,-4.04090414544658e-16,-3.9562010388441676e-16
0.2775,-6.6297347286937492e-17,-1.7375935898988054e-17,-6.757624099700732e-17,-1.6812315648517894e-16,-2.1801135598466222e-16,-2.4085659039884182e-16,-2.3385750486145243e-16
0.28,9.5105628560749241e-17,1.9583923006383037e-16,4.0859347193124683e-18,-8.10643798466787e-17,-1.4929041282736915e-16,-1.2294733205800574e-16,-1.159604134577905e-16
0.2825,-6.9779370856237243e-17,5.0020973995880334e-18,-8.3903315114219799e-17,-1.4953632273213665e-16,-1.5862439797216628e-16,-1.6082302627785132e-16,-1.6493849724203378e-16
0.285,-3.2822102514236839e-16,-3.6267976381242173e-16,-5.3807964530049055e-16,-4.8379532850289479e-16,-4.9137291850443529e-16,-4.943876888189036e-16,-5.0428301855024211e-16
0.2875,-1.3440772665611318e-16,-1.1014395734318819e-17,-1.0544041443026355e-16,-8.669212379117543e-17,-1.4379078122078317e-17,-3.9123339103152743e-17,-3.6361627650208223e-17
0.29,-3.1404985761110556e-16,-3.2364171521073927e-16,-1.8428949064291565e-16,-2.7565506174296675e-16,-3.6020733215061171e-16,-3.4466342316508004e-16,-3.4637483135391385e-16
0.2925,4.3796890673454543e-16,4.2071011187780954e-16,6.288417285538923e-16,5.9131735111967475e-16,6.87250775398863e-16,6.1619483069731703e-16,6.2954650291462458e-16
0.295,2.9407057935208656e-16,3.3001802198193769e-16,4.7977038813350464e-16,3.9695728462436035e-16,4.4094646823527072e-16,5.0860048746570282e-16,5.1355612241485638e-16
0.2975,3.2296791119906713e-16,3.0303209457714949e-16,-8.4964902057473545e-18,-5.5409899055199749e-17,-3.3459781948245163e-17,1.1399387445262825e-18,8.0199916596535519e-18
0.3,1.8886707691502615e-17,4.696314926435359e-17,-2.1711128976401982e-17,-9.9854430723769134e-17,-9.0160849555938415e-17,-9.9955796300323354e-17,-7.6766648109874899e-17
0.3025,1.107722445461944e-16,5.9571836758225735e-17,2.5235754585400609e-17,-5.5141641611743934e-17,-4.6704506065301508e-17,-3.6948451234547284e-17,-3.3786900464629958e-17
0.305,-2.0878553835648238e-17,-1.2547303962038979e-16,-1.9418216135724425e-16,-8.9468850262935093e-17,-1.303280832794843e-16,-1.4701138022890179e-16,-1.4989911644840171e-16
0.3075,-3.0287977534540787e-18,-3.8614931317596998e-17,3.6362144938040661e-17,1.2307281401800293e-16,1.6624921162485591e-16,1.5048439694899245e-16,1.4733966598731632e-16
0.31,-1.1007889723013101e-16,-1.1774915346257091e-16,-2.0389454861331443e-16,-1.6440378892059635e-16,-1.0542021851942824e-16,-1.1881085131869243e-16,-1.0463650879866724e-16
0.3125,7.2102281784677262e-17,1.4319661647178628e-16,1.9046264504744615e-16,1.3357566916446109e-16,1.7211551122125454e-16,1.8531194698302863e-16,1.6513820303877177e-16
0.315,-9.7200767506449164e-17,-2.4546296649908225e-16,-1.9528169242390153e-16,-1.9163213345563279e-16,-2.2978165860707113e-16,-2.2651916979727451e-16,-2.131591854440106e-16
0.3175,3.1411996237286498e-16,3.0558870287500908e-16,4.0008076684845828e-16,3.7862015039185679e-16,4.6984362857688792e-16,4.3434343625450336e-16,4.4648083081732829e-16
0.32,4.4117133029939341e-17,3.2548059630689428e-17,1.4390397323692655e-16,1.1881666298905815e-16,2.1163622573676952e-16,2.8601618765513567e-16,2.6584182983359473e-16
0.3225,-1.2620811993255381e-17,1.6146926081247821e-17,-1.9527293159176179e-17,-4.5428311168868406e-17,-3.4462435306863813e-17,-5.6932704746659195e-17,-3.6508386241844875e-17
0.325,3.0576508121006075e-16,3.5536471737682712e-16,1.3703741418956962e-16,2.4340255488870854e-16,3.249791187156362e-16,3.0883997397057785e-16,2.9837407254777782e-16
0.3275,8.1045657303373657e-17,1.7702597041893753e-16,1.6247911831682471e-16,1.8949633025603925e-16,2.3514431633064922e-16,2.5375693154610058e-16,3.0814706435472413e-16
0.33,-2.5601491156324177e-16,-2.50803409414137e-16,-2.8668847765098764e-16,-1.9983297802346423e-16,-2.3916634669033414e-16,-3.1588889555655615e-16,-3.058234660298e-16
0.3325,-3.6031034415109053e-16,-4.4404192165293749e-16,-6.2448605662391902e-16,-7.3805537068682614e-16,-6.6309862611110005e-16,-6.3614369938500694e-16,-6.053070256995802e-16
0.335,6.9310644055569345e-17,8.5471302203805951e-17,1.0108587764402718e-16,2.6019724806889229e-16,2.9400682167477201e-16,2.767298841603392e-16,2.9016493612131594e-16
0.3375,3.1855498085528532e-16,3.2809000560907381e-16,3.361640509430298e-16,1.5213477049554499e-16,2.2235037013022307e-16,1.6651716195329288e-16,1.4591146893865916e-16
0.34,-2.1111945855686172e-16,-3.196060473681987e-16,-2.8520914272501953e-16,-3.0218179739032169e-16,-2.9965403068640667e-16,-3.7220374782448919e-16,-3.933997420132984e-16
0.3425,-3.510901921205139e-17,2.8416384895777724e-18,3.2478318051537678e-16,1.4003580740087854e-16,2.1575765227212782e-16,2.2069218147073092e-16,1.7447262063359432e-16
0.345,1.2779326560624696e-16,1.6704756060136799e-16,3.0335020411301589e-16,3.3604797062247922e-16,2.8622639403400356e-16,2.8075438356020418e-16,2.7128435957282343e-16
0.3475,7.2675903580601854e-18,5.849288693621907e-17,1.2534135045658649e-16,-7.8837120460173434e-17,-3.5992436630709338e-17,-3.8005792588058429e-17,-4.9663430979636821e-17
0.35,2.0335827142092077e-16,1.6409309518236857e-18,2.1794385845730444e-16,1.1331995499676921e-16,1.3373583781108369e-16,6.9867533858520109e-17,2.9283912594522364e-17
0.3525,1.4173966061066642e-16,1.6129297532447465e-16,-9.2811236041288443e-17,-9.901292030199115e-17,-8.4416915977998048e-17,-1.3212880532431014e-16,-1.5129117053202488e-16
0.355,-6.5650331784689883e-16,-7.6874468483651813e-16,-7.3740804441641337e-16,-7.4724677789132841e-16,-7.5371261917677325e-16,-7.045795090489692e-16,-7.1257003121673576e-16
0.3575,-3.0224573998662536e-16,-2.8177202775392409e-16,-1.7444544151917841e-16,-2.1129576407332236e-16,-2.2135887410058595e-16,-2.0456168098197441e-16,-2.1630846584113836e-16
0.36,-4.8110953575274873e-17,1.6049767589292086e-17,6.6447577847077874e-17,-1.4535655553666475e-16,-1.3586461079809495e-16,-1.3209863667878603e-16,-1.1780462471674519e-16
0.3625,4.7687174301562875e-16,4.6547352530041954e-16,4.2157491862141278e-16,5.5684462148820794e-16,6.0701204773791365e-16,5.5332324629712388e-16,5.5494649982315564e-16
0.365,2.5047554019244784e-16,2.8737240293499559e-16,4.7592234038439883e-17,5.1532671607395635e-17,1.6067805307800641e-17,-3.161715120103489e-17,-3.3788857637881114e-17
0.3675,1.5122380792992471e-17,2.1702933612107633e-17,1.7736375892824238e-16,4.6762967850227907e-16,3.7403939676489284e-16,3.996983497643544e-16,4.1751844032437912e-16
