Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.0975,2.9536375510491047e-10,2.8931891581546181e-10,1.649645970073389e-10,2.6040250136266086e-11,-3.706571979113681e-11,-6.8179590228929214e-11,-7.207300705148778e-11
0.1,3.440937712093245e-10,3.3953746930495156e-10,2.2069534301889444e-10,8.1724624163564404e-11,1.8875766736254634e-11,-1.1996363646196711e-11,-1.392109808010721e-11
0.1025,4.0799730380421041e-10,4.0342289818957102e-10,2.9061777912062544e-10,1.5430561177113056e-10,9.2586910092545768e-11,6.1659487690544946e-11,6.1673361827840522e-11
0.105,4.8470252564114435e-10,4.789172949294208e-10,3.7307716026541587e-10,2.4325852474197227e-10,1.8415258678216887e-10,1.5303564211043557e-10,1.5265998351251466e-10
0.1075,5.679775718912529e-10,5.6160081153577113e-10,4.6619208888397456e-10,3.4874580496132619e-10,2.9532335923564799e-10,2.661417808443917e-10,2.6479075255466931e-10
0.11,6.5248783727540425e-10,6.4630014250446884e-10,5.6400448416291518e-10,4.6398602208480432e-10,4.1925078459537825e-10,3.942659894733509e-10,3.9221448012761565e-10
0.1125,7.3300072102722003e-10,7.2749895508008413e-10,6.5917683625275062e-10,5.7944649882976062e-10,5.4553841451432983e-10,5.2646156942606055e-10,5.2419672234694102e-10
0.115,8.0300469797830799e-10,7.9843855761063419e-10,7.4324258582220134e-10,6.8402130998171964e-10,6.6188032812250124e-10,6.4979453543449432e-10,6.4822218695605361e-10
0.1175,8.5623263142020695e-10,8.5247532618343127e-10,8.0781859393071588e-10,7.6642105019965808e-10,7.5544045719649963e-10,7.5049018627174403e-10,7.5031707424581999e-10
0.12,8.8776173928494159e-10,8.8427367141038089e-10,8.46143832997609e-10,8.1730232616401794e-10,8.1535077628540519e-10,8.1671776981162548e-10,8.1801239210725951e-10
0.1225,8.9377498692272052e-10,8.8973075844386478e-10,8.5344679111369132e-10,8.3018309832054137e-10,8.3399192847994473e-10,8.401585348353708e-10,8.4262908756880388e-10
0.125,8.7299176790225821e-10,8.67316632072989e-10,8.2809934733889624e-10,8.026919432985835e-10,8.0836698505504223e-10,8.174201386304e-10,8.2066078274463935e-10
0.1275,8.2348298701071838e-10,8.1530945500993227e-10,7.6951203119053222e-10,7.3470279839592197e-10,7.3822405573107942e-10,7.4790365491864246e-10,7.5120591238263876e-10
0.13,7.542318432352892e-10,7.4221027839879182e-10,6.8624771113990546e-10,6.3562959228244002e-10,6.3344784515247765e-10,6.4195383848387946e-10,6.4517707028327081e-10
0.1325,6.7064421290524857e-10,6.5353050840628219e-10,5.8496084498389816e-10,5.1369178104554914e-10,5.0290600516335986e-10,5.0866324089137452e-10,5.1179929252029274e-10
0.135,5.8068014249175081e-10,5.5748963969209893e-10,4.7506723456275779e-10,3.8012180859398355e-10,3.5863994322702984e-10,3.6040927051911131e-10,3.6339338122378165e-10
0.1375,4.9340679544752337e-10,4.636150902009931e-10,3.6736916983737528e-10,2.4766064874953509e-10,2.1425998899601124e-10,2.111854325188335e-10,2.1385770316645521e-10
0.14,4.1779712419371346e-10,3.8143026020318908e-10,2.7258773355573901e-10,1.2892164892731426e-10,8.3236683508507052e-11,7.4832402687918261e-11,7.7016586511836244e-11
0.1425,3.6136952618757712e-10,3.1905250275122823e-10,1.9993527419072925e-10,3.4862282892195337e-11,-2.2653471449059049e-11,-3.6544214010989224e-11,-3.4974350640890311e-11
0.145,3.2922172343128165e-10,2.8214511696213756e-10,1.5597923090758551e-10,-2.648673856084396e-11,-9.463900102759271e-11,-1.1387092760448965e-10,-1.1293796132364887e-10
0.1475,3.2340845582524725e-10,2.730758680599641e-10,1.4350514932297589e-10,-5.1388283262407993e-11,-1.2841009992479419e-10,-1.5260363845084953e-10,-1.5221949623881282e-10
0.15,3.4275772911434225e-10,2.9071060573189373e-10,1.6128416315746496e-10,-4.0705877090805121e-11,-1.2445817764124574e-10,-1.5308597203695679e-10,-1.5312898917778058e-10
0.1525,3.8329789689881273e-10,3.3088149718915049e-10,2.0458267884405118e-10,5.834936744691965e-13,-8.7598831074012079e-11,-1.200587911511191e-10,-1.2046731414163114e-10
0.155,4.3931829396748839e-10,3.875066596461419e-10,2.6641151505767164e-10,6.4691971490081913e-11,-2.5719083170185803e-11,-6.139656103259716e-11,-6.222723085017346e-11
0.1575,5.0439881177004182e-10,4.5368451818166211e-10,3.3876513419995086e-10,1.4234772918687918e-10,5.1559849476306298e-11,1.3211675391442716e-11,1.1775600548098226e-11
0.16,5.7193784194643786e-10,5.2262089383077964e-10,4.1426874265539931e-10,2.2497567891178649e-10,1.3529318785912758e-10,9.4863114260936293e-11,9.2529997928653089e-11
0.1625,6.3646454920594052e-10,5.88435932103808e-10,4.8620912656767823e-10,3.0440309461061655e-10,2.1666390723638089e-10,1.7461670699993683e-10,1.710332245478693e-10
0.165,6.9388231048932597e-10,6.4674384306782432e-10,5.4964027814614006e-10,3.7442683288971304e-10,2.8880981774872036e-10,2.4545580579106645e-10,2.4024997208762529e-10
0.1675,7.4167168849804201e-10,6.948619645222218e-10,6.0158685615844374e-10,4.3115413715498207e-10,3.4724286854702453e-10,3.0271699197110832e-10,2.9554005764366245e-10
0.17,7.7890042189598045e-10,7.317936034014793e-10,6.4099188745233709e-10,4.7303262148764727e-10,3.8996241755058425e-10,3.4421423296001538e-10,3.347719847418232e-10
0.1725,8.0594376316415797e-10,7.5796108737838415e-10,6.684410176583368e-10,5.0062623094907117e-10,4.1731750315094922e-10,3.7015697658364381e-10,3.5823526238602959e-10
0.175,8.2413702058575376e-10,7.7482060574728182e-10,6.8569545134537992e-10,5.1609365678712803e-10,4.3150852749519263e-10,3.8268717397390704e-10,3.6816795431904519e-10
0.1775,8.3540966135080977e-10,7.8447285608404861e-10,6.9524615407377453e-10,5.2264668155421751e-10,4.3604419082418237e-10,3.853803982488971e-10,3.6825956486218504e-10
0.18,8.4197868807332345e-10,7.893116098556734e-10,6.9985732575006037e-10,5.2392628631989246e-10,4.350498548096314e-10,3.8255434708368979e-10,3.629488979523304e-10
0.1825,8.4614906282627026e-10,7.9177388937745436e-10,7.0223008581403685e-10,5.2348094281840534e-10,4.3264431446365284e-10,3.7861793323302649e-10,3.5675843070742378e-10
0.185,8.501186723617322e-10,7.9411676546848895e-10,7.047240799716488e-10,5.2432886994828789e-10,4.3238835577041674e-10,3.774687126959048e-10,3.5368047011927679e-10
0.1875,8.5565339656526505e-10,7.9816424652157646e-10,7.0923646937975135e-10,5.2881334534757444e-10,4.370851154691027e-10,3.8229521179588374e-10,3.5706462348223838e-10
0.19,8.6403688484130088e-10,8.0524529268834805e-10,7.1711964198274774e-10,5.3845356695701089e-10,4.4853887724702981e-10,3.9525001672120313e-10,3.6928267862973069e-10
0.1925,8.7592816215113505e-10,8.1608185792823263e-10,7.29134982953793e-10,5.5392672576113589e-10,4.6749778948173564e-10,4.1733063427919066e-10,3.9162063805889087e-10
0.195,8.9195218676347371e-10,8.3115524679135388e-10,7.4545608811477286e-10,5.7488952224507034e-10,4.9334102704536928e-10,4.4785371175525921e-10,4.2347664927770551e-10
0.1975,9.1169111468982018e-10,8.5006206544363501e-10,7.6564392312486465e-10,6.0038721311453747e-10,5.2471212347577682e-10,4.8530174955638077e-10,4.6351745702606363e-10
0.2,9.3425041281103199e-10,8.7187248503420828e-10,7.8867549989673852e-10,6.2876332703008096e-10,5.5936908201274088e-10,5.2702225979891068e-10,5.0910866093477235e-10
0.2025,9.5827565376421357e-10,8.9517054479959965e-10,8.1302887741480706e-10,6.5785115004654123e-10,5.9446904574532747e-10,5.6956822979485828e-10,5.5663900202955582e-10
0.205,9.8226599955427758e-10,9.1830730752745118e-10,8.368337086777406e-10,6.8513849676090828e-10,6.2679651571273948e-10,6.0899429516475658e-10,6.0179792596796209e-10
0.2075,1.0035145743359963e-09,9.387231109407784e-10,8.57847084623616e-10,7.0813535082360364e-10,6.5334464137505328e-10,6.4161050755770707e-10,6.4048714999855528e-10
0.21,1.0212870039245265e-09,9.5522556242130788e-10,8.7418519902747153e-10,7.2433093572139233e-10,6.7102207615841492e-10,6.6361977891009347e-10,6.6830246954449201e-10
0.2125,1.0332812067331442e-09,9.6560454801328366e-10,8.8391901400800762e-10,7.3181851592739599e-10,6.7771065478873037e-10,6.7244540724020661e-10,6.8219075945459202e-10
0.215,1.0385676554180549e-09,9.6876964020759359e-10,8.8580852966361008e-10,7.2930602150365976e-10,6.7201104357767994e-10,6.6639427199882054e-10,6.8002481213770252e-10
0.2175,1.0363986928696269e-09,9.6398092729878011e-10,8.792472553875668e-10,7.164127917514249e-10,6.5367419121033101e-10,6.4515053506110073e-10,6.6112006341103068e-10
