Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.0925,4.7502741146691331e-06,1.3958403063748567e-07,3.8698171470587497e-09,9.2423505233371192e-10,4.8618063454178444e-10,4.5955179805498106e-11,3.079688459182344e-11
0.095,4.8002465064929742e-06,1.4657471595924679e-07,4.3444371826053615e-09,1.0489232023724288e-09,5.7461332031063594e-10,1.3402004955418099e-10,4.6603775120707973e-11
0.0975,4.8177518571823035e-06,1.5194280104852355e-07,4.7802644350409229e-09,1.1793704683512467e-09,6.4714343981508204e-10,2.4351638769957406e-10,3.7281269588360789e-11
0.1,4.7988218426534223e-06,1.5452451364999079e-07,5.0136279751138527e-09,1.2677458199090485e-09,6.9059956376050573e-10,3.3819513781115643e-10,1.3498941164205693e-11
0.1025,4.7445142011339068e-06,1.5374875459392218e-07,4.9146619846584527e-09,1.2596773295189201e-09,6.864351625086073e-10,3.874381596454561e-10,1.930170199278027e-12
0.105,4.6607337945960779e-06,1.4979677480121133e-07,4.4527369501859584e-09,1.1236346167809841e-09,6.2059925275072861e-10,3.7730610305450111e-10,2.4809000142268617e-11
0.1075,4.5570445998931813e-06,1.4354943630947109e-07,3.7186872651146541e-09,8.7473375343083157e-10,4.957273538132355e-10,3.1390214054646694e-10,8.3226511784289064e-11
0.11,4.4452269096166437e-06,1.3634642745038964e-07,2.8866977471248113e-09,5.7453365935234296e-10,3.3673310762114016e-10,2.1944801865401659e-10,1.5411602669836564e-10
0.1125,4.3374104669856124e-06,1.2961465728367455e-07,2.1341836513332953e-09,3.0201762716507636e-10,1.8276074408632924e-10,1.2270312725466237e-10,2.0351504273109449e-10
0.115,4.2446090958773733e-06,1.2456813777196219e-07,1.5718648438620215e-09,1.1492964326767102e-10,6.9362500489303481e-11,4.8161625302169575e-11,2.0726222745526903e-10
0.1175,4.1758618304535234e-06,1.2208483166206106e-07,1.2224182867693634e-09,2.5980630537381083e-11,1.2266642056922676e-11,8.1925946499335022e-12,1.6485772593103111e-10
0.12,4.1377568082737632e-06,1.2271681150018497e-07,1.0509719251879445e-09,6.2141499644991983e-12,2.4526026728787068e-12,6.7546115282258894e-13,9.8213150787181944e-11
0.1225,4.1342849664168082e-06,1.2676684468796657e-07,1.0210510619080299e-09,1.0794252264063994e-11,1.488831111007625e-11,1.2715507378981031e-11,3.7608262089146306e-11
0.125,4.1668459598973755e-06,1.3434124869845476e-07,1.1386221517162666e-09,9.6097105746625796e-12,2.4737034190329106e-11,2.8334628398845763e-11,4.8028002136432293e-12
0.1275,4.2341881203803044e-06,1.4531167867463053e-07,1.458882015956185e-09,4.2600552355870301e-12,2.0950553624765916e-11,3.6132303585887569e-11,3.4389239650045408e-12
0.13,4.3326699893091995e-06,1.5926908029554112e-07,2.0558577611740682e-09,2.326261952332119e-11,9.5668870237937745e-12,3.3021868264420573e-11,2.1240066855345552e-11
0.1325,4.4569440131750689e-06,1.7550374419784771e-07,2.9765259458829168e-09,1.0251028904124109e-10,6.7241333713630592e-12,2.2822171836824263e-11,4.0502020597564489e-11
0.135,4.6006757896619588e-06,1.9298352468903366e-07,4.2039205022698757e-09,2.6498667406404835e-10,2.807065018210441e-11,1.1922142222391315e-11,4.8667673419940539e-11
0.1375,4.7572242706220941e-06,2.1042274342058746e-07,5.6432913021836541e-09,5.0918361271090459e-10,8.1079730141567249e-11,5.2108913361990212e-12,4.3051331543403917e-11
0.14,4.9203205129915114e-06,2.2644906076583944e-07,7.134901747341602e-09,8.0861922926280829e-10,1.6281435153652523e-10,4.2828179089314375e-12,2.8969233377882685e-11
0.1425,5.0847285516769747e-06,2.3985169234108626e-07,8.490075225741013e-09,1.1203404546867706e-09,2.6226448815346469e-10,7.9547105435807675e-12,1.4309209596838741e-11
0.145,5.2469172080125694e-06,2.4986259975439596e-07,9.5390578327023908e-09,1.3978940581545935e-09,3.6493382138462182e-10,1.3923407346506577e-11,4.5406911992751632e-12
0.1475,5.4054665493154256e-06,2.5632564340235006e-07,1.0172510917648708e-08,1.6032516549576904e-09,4.5715281957010578e-10,2.0314148274857437e-11,8.0815581775362831e-13
0.15,5.5610036981048655e-06,2.5969196492363267e-07,1.0363313828133752e-08,1.714458117129784e-09,5.2871554256791458e-10,2.6369525327436937e-11,1.1051976126705499e-12
0.1525,5.715748781200386e-06,2.6088712283897908e-07,1.0164522364307331e-08,1.7284565041830385e-09,5.7388893552822677e-10,3.2289206677051603e-11,2.6865048589604327e-12
0.155,5.872824090752182e-06,2.6111212192100767e-07,9.6874946110809063e-09,1.6595695502426077e-09,5.9149672827058287e-10,3.8697460684679837e-11,3.8374945123106062e-12
0.1575,6.0354663040109918e-06,2.6162904077853885e-07,9.0698552573081826e-09,1.5343831468824613e-09,5.8461555156871414e-10,4.6172191704231277e-11,4.2360571670573092e-12
0.16,6.2063037459928536e-06,2.6356791268295797e-07,8.4440128652870035e-09,1.3842871715214792e-09,5.598074884983255e-10,5.5000003815967397e-11,4.2837119665285623e-12
0.1625,6.3868237884164284e-06,2.6778619100942e-07,7.9148545948748403e-09,1.2379619221281426e-09,5.2566714712902611e-10,6.5151827782587542e-11,4.2934615452593248e-12
0.165,6.5771608293249367e-06,2.7480078464316285e-07,7.5504443802258099e-09,1.1163792289714734e-09,4.9093651377988673e-10,7.6401930719741902e-11,4.1720286361243287e-12
0.1675,6.7761773809158088e-06,2.8479107173613433e-07,7.3835714782425832e-09,1.0313913258039857e-09,4.6285622372237625e-10,8.8518876520003311e-11,3.6187877312266942e-12
0.17,6.9817317734880828e-06,2.9763708328592631e-07,7.4176305873935701e-09,9.869243569456353e-10,4.4624229736460516e-10,1.0143434968076815e-10,2.5019845954040331e-12
0.1725,7.1910751623743978e-06,3.1298095867730996e-07,7.6321324817369119e-09,9.8091315654617776e-10,4.432343178493914e-10,1.1527369529898531e-10,1.1122938517533568e-12
0.175,7.4013130898402856e-06,3.3030587622193562e-07,7.9868422391530607e-09,1.0066232751884468e-09,4.5333065461056921e-10,1.3019891689262166e-10,1.6947410923284513e-13
0.1775,7.6098880852760494e-06,3.4903305655216232e-07,8.4265115037501769e-09,1.0532262086522161e-09,4.7340494959342456e-10,1.4607857732761977e-10,6.1404743468656358e-13
0.18,7.814948170258708e-06,3.6862324065090578e-07,8.8885451467764581e-09,1.106479556935327e-09,4.9777231160235615e-10,1.6208262168830449e-10,3.3123993002427911e-12
0.1825,8.0155343228152924e-06,3.886740710539416e-07,9.3137255840477211e-09,1.1505099709965881e-09,5.1871122473382955e-10,1.7637076669206906e-10,8.7917934814816823e-12
0.185,8.2115344706571307e-06,4.0897830384541367e-07,9.6573267516504495e-09,1.1708808855217782e-09,5.2781254098909688e-10,1.860967698536826e-10,1.7065121781389994e-11
0.1875,8.403446801114926e-06,4.2953621669260609e-07,9.8969184125082097e-09,1.1580535513025998e-09,5.1808156514980869e-10,1.8791438133024306e-10,2.7527642615375937e-11
0.19,8.5920244696946388e-06,4.5051835721142552e-07,1.0034374027975061e-08,1.10979511458932e-09,4.861275490209361e-10,1.7899684992433632e-10,3.8914707487806186e-11
0.1925,8.77787818802677e-06,4.7219604209530322e-07,1.0091899200784832e-08,1.0314132632738492e-09,4.3348057709478854e-10,1.5829128375399963e-10,4.9365724033005553e-11
0.195,8.9612030836482573e-06,4.9486095704565132e-07,1.0104217472611149e-08,9.3378124787940612e-10,3.6633070445750182e-10,1.2746776937151269e-10,5.6682117325467478e-11
0.1975,9.141563944884949e-06,5.1876010615580677e-07,1.0109862789857427e-08,8.3008013774994269e-10,2.9369435956507901e-10,9.1013566233291914e-11,5.8835533274535804e-11
0.2,9.317898626024935e-06,5.4405967442118803e-07,1.0144173334732026e-08,7.3261298987871743e-10,2.2475841664899319e-10,5.5204301460401319e-11,5.4650925167675673e-11
0.2025,9.4886279539733215e-06,5.708515887300461e-07,1.0235422996473512e-08,6.5077123732608176e-10,1.6652934121550761e-10,2.6214163802608607e-11,4.4437238838933607e-11
0.205,9.6518444977239188e-06,5.9916783186711335e-07,1.0403934590139263e-08,5.9051483678110948e-10,1.2265412552828904e-10,8.0864410404431222e-12,3.0267870579408665e-11
0.2075,9.8055394633473234e-06,6.2900097110321759e-07,1.066308619861192e-08,5.5499559864199018e-10,9.3637945993959025e-11,1.3996851011421129e-12,1.5656244250257075e-11
0.21,9.9478685531028728e-06,6.603252283710128e-07,1.1021285513838576e-08,5.457100229013038e-10,7.8140849790168255e-11,3.237950662184126e-12,4.5738494327399823e-12
0.2125,1.0077330126884219e-05,6.931245081189528e-07,1.1484174004702672e-08,5.6359708464800936e-10,7.4680545472967934e-11,8.5423560825462e-12,1.1178108661381062e-13
0.215,1.0192932314909016e-05,7.2739407225908197e-07,1.2056304143687067e-08,6.0968754843474932e-10,8.2998915929086315e-11,1.2296229939120706e-11,3.3171235110823157e-12
0.2175,1.0294214040128444e-05,7.6307100239914553e-07,1.2741556979826729e-08,6.8511906387694699e-10,1.0455524585207982e-10,1.1626836134527073e-11,1.271828244871389e-11
0.22,1.0381191870233119e-05,7.9996301759795567e-07,1.3542105048144756e-08,7.9057807553322645e-10,1.4201628775771975e-10,6.9773452667293737e-12,2.4792073678966174e-11
0.2225,1.0454147635061667e-05,8.3770894938017645e-07,1.4456092256618215e-08,9.2534220033840611e-10,1.9797402574146087e-10,1.9297759812101739e-12,3.5210056935060494e-11
0.225,1.051354609900769e-05,8.7580030095706345e-07,1.5474625168144882e-08,1.0861995137520446e-09,2.7336446650042473e-10,1.8129548203053985e-12,4.0378512656568273e-11
0.2275,1.0559805889729241e-05,9.137226652783853e-07,1.6579075543280527e-08,1.2666039553536049e-09,3.6613957046681461e-10,1.1666230989834738e-11,3.8665774647044932e-11
0.23,1.0593189731792665e-05,9.5096409013235393e-07,1.7739879374768056e-08,1.4564270952075273e-09,4.7066269276257789e-10,3.4316452719786084e-11,3.0857538623608631e-11
0.2325,1.0613796041951239e-05,9.8697048951821521e-07,1.8917500344014925e-08,1.6425483298472264e-09,5.7806019247255906e-10,6.9213914735993033e-11,1.9724249312452575e-11
0.235,1.062151991106801e-05,1.0211574736825742e-06,2.0065710205477682e-08,1.8103940248517461e-09,6.7752463957764462e-10,1.1235527449656899e-10,8.9486607802254021e-12
0.2375,1.0615798502771114e-05,1.05289453134321e-06,2.1137074067631901e-08,1.9461947382209007e-09,7.5831286060048077e-10,1.572583092543231e-10,1.8537592667406658e-12
0.24,1.0596262970957227e-05,1.0817381713715652e-06,2.208856682709143e-08,2.0379629733492568e-09,8.1090746101910048e-10,1.9601931879570116e-10,3.7725426528508266e-13
0.2425,1.0561799923394167e-05,1.1067928494686158e-06,2.2886774243192413e-08,2.080379079794608e-09,8.3070131737473421e-10,2.2230401926609818e-10,4.5790971811254252e-12
