Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.175,1.5762583392009752e-07,1.1535360801724716e-07,4.5911736065304993e-08,7.4061716599908458e-09,-1.1461995824462678e-08,-2.3274918962649711e-08,-2.5197367430869108e-09
0.1775,1.4714780293545213e-07,1.0666815898280614e-07,3.6400106229318212e-08,-5.3231283224351899e-09,-2.7510726375086954e-08,-4.6788072566570272e-08,-2.8604541894642631e-08
0.18,1.2897733673892847e-07,9.219594633570837e-08,2.4072408745473806e-08,-1.9378431449146901e-08,-4.4118617670706734e-08,-6.9912160524318499e-08,-5.7895851854578919e-08
0.1825,1.0745899428701958e-07,7.5796671778040074e-08,1.2515973773714635e-08,-3.0985735092938191e-08,-5.7312154822944846e-08,-8.8353011541514116e-08,-8.5699057962237938e-08
0.185,8.631777245227565e-08,6.0607057929568516e-08,4.395848859957366e-09,-3.7382867326016038e-08,-6.4114277071938005e-08,-9.8718995435518792e-08,-1.0754809131840072e-07
0.1875,6.8120872236703917e-08,4.8616183195905835e-08,1.10032724283864e-09,-3.7242430857278203e-08,-6.3063163721844584e-08,-9.9139154449305849e-08,-1.1999158540204285e-07
0.19,5.4149776256169901e-08,4.0647474925100737e-08,2.8305315133244422e-09,-3.0597326760074107e-08,-5.4211109603386719e-08,-8.9403424952983706e-08,-1.2100433614297272e-07
0.1925,4.4537324818767896e-08,3.6557772461005903e-08,8.8950856522239706e-09,-1.8511719566498263e-08,-3.8825685370803001e-08,-7.0802564059660218e-08,-1.1016151442203802e-07
0.195,3.8559131643565026e-08,3.5519900597913719e-08,1.8032319946561593e-08,-2.6963935777635384e-09,-1.8979385945273702e-08,-4.5798001915130506e-08,-8.8645489833467262e-08
0.1975,3.4968859030860367e-08,3.630092567002177e-08,2.8679175012702981e-08,1.4831755787444558e-08,2.8639332749203324e-09,-1.7590609786424881e-08,-5.9096737792477939e-08
0.2,3.2325975687821739e-08,3.7521974750084635e-08,3.9203191786419357e-08,3.2049102348870435e-08,2.4249912879100884e-08,1.0413149344588329e-08,-2.5236729005323899e-08
0.2025,2.929332598430637e-08,3.789956834278895e-08,4.8114799605267698e-08,4.7183656533838072e-08,4.3089619334711281e-08,3.5174444927849781e-08,8.7384090794737099e-09
0.205,2.4889875527821805e-08,3.645908975667332e-08,5.4234600050711837e-08,5.8878966324778435e-08,5.7876263015749846e-08,5.4468147098330353e-08,3.8829786573425234e-08
0.2075,1.8685495817678455e-08,3.2723027688811779e-08,5.6848181500397924e-08,6.6309857015796185e-08,6.7798873011638629e-08,6.7172758794468436e-08,6.1891029050827596e-08
0.21,1.0872725378943501e-08,2.6807423397960314e-08,5.5826716977864528e-08,6.9268938016043701e-08,7.2784768144799745e-08,7.3387835499205464e-08,7.6192945028863162e-08
0.2125,2.1826348775383438e-09,1.9375316804156435e-08,5.1630847792009272e-08,6.8141120859136982e-08,7.3392920554140563e-08,7.4253820537650041e-08,8.1671233163664065e-08
0.215,-6.3433247890248885e-09,1.1443773543803282e-08,4.5171784059961277e-08,6.374812179787032e-08,7.0566466023254913e-08,7.1493133285095272e-08,7.9745614464385477e-08
0.2175,-1.3633364095171964e-08,4.1318324975939745e-09,3.760703943915064e-08,5.7149016592857732e-08,6.5364312977749066e-08,6.6863167416707128e-08,7.2815661210291754e-08
0.22,-1.8861637221533884e-08,-1.5993836326270803e-09,3.0122855722796416e-08,4.9462534699238696e-08,5.8770566868828155e-08,6.1718077918487295e-08,6.3605502693676111e-08
0.2225,-2.1613995532447636e-08,-5.1144376591696181e-09,2.3780806890945902e-08,4.1771234662086121e-08,5.1645957056671256e-08,5.6831501352747829e-08,5.4570854066408765e-08
0.225,-2.1921180391243502e-08,-6.1605986267817847e-09,1.9436445705557384e-08,3.5095792146083787e-08,4.4794319382056424e-08,5.2498502053293797e-08,4.7512452974062128e-08
0.2275,-2.0160727431488986e-08,-4.8158938268898988e-09,1.7717671284299357e-08,3.039857787026184e-08,3.9068968468769785e-08,4.8826985235317098e-08,4.3448957099525151e-08
0.23,-1.6894974268168995e-08,-1.3929587901445712e-09,1.8995709559934091e-08,2.8522596432909702e-08,3.5380652885123489e-08,4.6010268727082394e-08,4.2667729178029965e-08
0.2325,-1.2707658257462962e-08,3.6562586577528218e-09,2.3338194201128519e-08,3.0062607902328462e-08,3.45781227799511e-08,4.4453475196559756e-08,4.4889649394297295e-08
0.235,-8.0994256679490478e-09,9.7909881537994756e-09,3.0432935750347962e-08,3.5180690815397917e-08,3.7214345074973254e-08,4.4688530212888126e-08,4.9445426079597037e-08
0.2375,-3.4333043732092184e-09,1.6415076112771624e-08,3.9537117442635324e-08,4.3441146082240638e-08,4.3283964094346693e-08,4.7121102198567699e-08,5.5408979083037055e-08
0.24,1.2913723952270279e-09,2.3191737707067366e-08,4.9914250249506644e-08,5.4145815470973696e-08,5.2357523319229812e-08,5.1841955611123621e-08,6.1701953502561132e-08
0.2425,5.6969179117858778e-09,2.9095248123635639e-08,5.9518401981132493e-08,6.51093925227141e-08,6.2593591214369729e-08,5.808687264278078e-08,6.7091720349524195e-08
0.245,1.0073931502467456e-08,3.3942565564103408e-08,6.7191535734504969e-08,7.4714453788259864e-08,7.2353160883604466e-08,6.4858847938898831e-08,7.0676046680696943e-08
0.2475,1.4668287318348044e-08,3.7587575412900516e-08,7.1719608071290346e-08,8.109293317912148e-08,7.9568019634951823e-08,7.0585733137316143e-08,7.1711313288140276e-08
0.25,1.9770126487372059e-08,4.0260639994716404e-08,7.2743116745996636e-08,8.3254508255655946e-08,8.2884178266250553e-08,7.3935501768678215e-08,7.0054983509668902e-08
0.2525,2.5616159916105652e-08,4.2407211712687832e-08,7.0708501974872974e-08,8.1266910140749665e-08,8.2012324499554056e-08,7.4240532685601192e-08,6.610373856659676e-08
0.255,3.2461626220377303e-08,4.4390989713550213e-08,6.604527259326373e-08,7.5419038646879896e-08,7.7006192551722351e-08,7.1063129241596942e-08,5.9993558571722476e-08
0.2575,4.017030076984407e-08,4.6670648187582859e-08,5.9924684504744069e-08,6.6946649939473896e-08,6.8898790021803402e-08,6.493969501174831e-08,5.2638018778663191e-08
0.26,4.8585822556573854e-08,4.9508047627166488e-08,5.3233596702715463e-08,5.6879719226999725e-08,5.8667981302977091e-08,5.6496070400752689e-08,4.4506066174110385e-08
0.2625,5.7205884707932104e-08,5.3070037432824883e-08,4.7292839297047722e-08,4.6917758291398729e-08,4.8034965041411181e-08,4.7205520353093147e-08,3.6706350360888377e-08
0.265,6.5572311288558691e-08,5.7181329366204103e-08,4.2573743888510578e-08,3.783151610104245e-08,3.7843791924396921e-08,3.7851566911878681e-08,2.9484281190972252e-08
0.2675,7.3135412649757225e-08,6.1616850073022472e-08,3.9717530843518384e-08,3.0715909242613631e-08,2.9311025299445845e-08,2.9642208431474314e-08,2.3562853981435768e-08
0.27,7.9503787286871494e-08,6.6102223177819063e-08,3.8917883330753386e-08,2.6122712920411742e-08,2.3116711893981302e-08,2.330336651221041e-08,1.9306935433614104e-08
0.2725,8.4194921158379344e-08,7.02263276217206e-08,4.0241367035487667e-08,2.4591055044943462e-08,2.0024850199602289e-08,1.9667173452167474e-08,1.7331106101440777e-08
0.275,8.7227512449024363e-08,7.382889257817852e-08,4.338524681160412e-08,2.5961790024343777e-08,2.0021466037861103e-08,1.8822649966475869e-08,1.7663480263685338e-08
0.2775,8.8725809064533156e-08,7.6779908597433845e-08,4.7894909148678655e-08,2.9822993607501125e-08,2.2838330713525555e-08,2.0628766204801969e-08,2.0194999123705806e-08
0.28,8.8910578551994827e-08,7.9124468736429282e-08,5.3543754281120138e-08,3.5877609791570073e-08,2.8225711287603759e-08,2.4930778541190276e-08,2.485460911338451e-08
0.2825,8.7794954780808793e-08,8.0539560082139694e-08,5.9457838692917205e-08,4.3147748917227808e-08,3.5288993790951267e-08,3.1004414125616571e-08,3.0983160454828812e-08
0.285,8.536136871092684e-08,8.0897849701059811e-08,6.5301462817697343e-08,5.1210063800240793e-08,4.3605848460728356e-08,3.8521858142812025e-08,3.8322023147960312e-08
0.2875,8.1752040911213364e-08,7.9944858338265407e-08,6.9937188432998458e-08,5.8556128574892206e-08,5.1616186161871302e-08,4.6062350790179743e-08,4.551677451524732e-08
0.29,7.7145017420932337e-08,7.7689856745943744e-08,7.2880620940886581e-08,6.43772634585666e-08,5.8398833875174898e-08,5.2731075430169406e-08,5.1741319413130148e-08
0.2925,7.1989905724961601e-08,7.4384513122680527e-08,7.3778038424047583e-08,6.7880094697645353e-08,6.2975046775391193e-08,5.7515400427926714e-08,5.6062836697912861e-08
0.295,6.6313472035906902e-08,7.0091666825510683e-08,7.2695310369419579e-08,6.8990489482187585e-08,6.5154439819312001e-08,6.012517502354707e-08,5.8241052543956375e-08
0.2975,6.0006907925144562e-08,6.4739436164212664e-08,6.9609720546626733e-08,6.7625521768661034e-08,6.4762330589200579e-08,6.0279521824914499e-08,5.8018992194860607e-08
