Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.8575,-2.4430102547174741e-08
0.86,-2.3915446128554081e-08
0.8625,-2.3418810781088678e-08
0.865,-2.2942092801357676e-08
0.8675,-2.2493892515530071e-08
0.87,-2.2065006595050543e-08
0.8725,-2.1662783263692319e-08
0.875,-2.1288503821855929e-08
0.8775,-2.0934074463341608e-08
0.88,-2.0609071929342215e-08
0.8825,-2.0302837010258043e-08
0.885,-2.003638403796469e-08
0.8875,-1.980471037101326e-08
0.89,-1.9600238963886539e-08
0.8925,-1.9430914430975495e-08
0.895,-1.9289890399207327e-08
0.8975,-1.9183009726767199e-08
0.9,-1.9104738155434553e-08
0.9025,-1.9061087652540679e-08
0.905,-1.9042348156043034e-08
0.9075,-1.9045121186467267e-08
0.91,-1.9075282155616828e-08
0.9125,-1.9134489222196255e-08
0.915,-1.9228431912472854e-08
0.9175,-1.9342057268929143e-08
0.92,-1.9474894894668042e-08
0.9225,-1.9631327305275194e-08
0.925,-1.9811201153481125e-08
0.9275,-2.0009629089401012e-08
0.93,-2.0227693975372013e-08
0.9325,-2.0465463262541558e-08
0.935,-2.0720685606811356e-08
0.9375,-2.098684485127169e-08
0.94,-2.1271352952967399e-08
0.9425,-2.1575870094094745e-08
0.945,-2.1897109408055554e-08
0.9475,-2.2230942321751663e-08
0.95,-2.25734847410172e-08
0.9525,-2.2940201620871848e-08
0.955,-2.3322478763016112e-08
0.9575,-2.3714917445566588e-08
0.96,-2.412370197990219e-08
0.9625,-2.454953562636207e-08
0.965,-2.4994732614588787e-08
0.9675,-2.5454410274955857e-08
0.97,-2.5927479973021476e-08
0.9725,-2.6419684753239857e-08
0.975,-2.6928334232764676e-08
0.9775,-2.7458897424545263e-08
0.98,-2.8002926831305927e-08
0.9825,-2.8568716454623327e-08
0.985,-2.9152573305412932e-08
0.9875,-2.9746576707971319e-08
0.99,-3.0360078938177802e-08
0.9925,-3.0994421088986209e-08
0.995,-3.164055190465968e-08
0.9975,-3.2301573190979334e-08
1.0,-3.298019157537614e-08
1.0025,-3.3670560451854533e-08
1.005,-3.4371024016021501e-08
1.0075,-3.5085836593052435e-08
1.01,-3.5805192542530244e-08
1.0125,-3.6537181308105203e-08
1.015,-3.7273246941098402e-08
1.0175,-3.8018898320628856e-08
1.02,-3.8766567478072744e-08
1.0225,-3.9514849095595836e-08
1.025,-4.0268146231888611e-08
