Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.1225,7.0894069327815586e-05,0.00010380180724174943,0.00010574226415299484,0.00010606713878659593,0.00010621243277168946,0.00010631750287590419,0.00010634013204368554
0.125,7.0059902667296908e-05,0.00010405912407950558,0.00010608127693157032,0.00010640908759598934,0.00010655573006227204,0.00010666175310581243,0.00010668531408091191
0.1275,6.9207863990767415e-05,0.00010430248781214802,0.00010641106682717855,0.00010674153414494046,0.00010688921323634019,0.00010699554690315568,0.0001070187161893208
0.13,6.8348153739318263e-05,0.00010453394753780833,0.00010673447473274854,0.00010706795267593592,0.00010721698428912327,0.00010732427202262268,0.00010734829152850455
0.1325,6.7487474008571637e-05,0.00010475226600661748,0.00010705057671150447,0.00010738730472168832,0.00010753788498638213,0.00010764650977184059,0.0001076721124701615
0.135,6.6631920942453367e-05,0.00010495633382030703,0.00010735882066817308,0.00010769899251949992,0.00010785127349078551,0.00010796150297588359,0.00010798919041105591
0.1375,6.5787157794296549e-05,0.00010514532676067941,0.00010765905823685964,0.00010800282185233737,0.0001081569158362072,0.00010826892527756258,0.00010829900798136346
0.14,6.4958750361801716e-05,0.00010531898923896505,0.00010795174100928742,0.00010829920786433982,0.00010845519642618205,0.00010856910440893821,0.00010860178120011783
0.1425,6.4152662951333755e-05,0.00010547795253430965,0.00010823800179822965,0.00010858922812871279,0.000108747139493646,0.00010886295947842908,0.00010889824246728238
0.145,6.3374547791973911e-05,0.00010562326712190915,0.00010851922475656179,0.00010887420099778953,0.00010903399892134325,0.00010915160768281062,0.00010918925295668175
0.1475,6.2628688177087158e-05,0.0001057557238594934,0.00010879663212351197,0.00010915531918774722,0.00010931694031532214,0.00010943616534265331,0.000109475814631748
0.15,6.1917819420152591e-05,0.00010587566648022749,0.00010907116172757347,0.00010943351401901211,0.00010959688977316968,0.00010971756827091263,0.000109758852463356
0.1525,6.1243397072162297e-05,0.00010598306257461828,0.00010934350849244284,0.00010970949090574599,0.0001098745611030985,0.00010999656984703354,0.00011003918327881061
0.155,6.0605939267207177e-05,0.00010607762722263767,0.00010961420895247465,0.00010998381926613607,0.00011015055065255595,0.00011027383856501565,0.0001103176235986518
0.1575,6.0005488458192749e-05,0.00010615903613031648,0.00010988374220278644,0.00011025703852927204,0.00011042545044197128,0.00011055008029107388,0.00011059511533779881
0.16,5.9441504450361544e-05,0.00010622659423343939,0.00011015197970336427,0.00011052896982656654,0.00011069902604776596,0.00011082494924447719,0.00011087109234342382
0.1625,5.8913358284194844e-05,0.0001062798081644164,0.00011041894699014065,0.00011079967006307009,0.0001109713628465029,0.00011109858706569068,0.00011114580501252383
0.165,5.8419862280663285e-05,0.00010631791045115711,0.00011068438285992196,0.00011106889154795216,0.00011124222304449001,0.00011137077193098945,0.00011141907156733195
0.1675,5.795927711632175e-05,0.00010633988531387379,0.00011094787044595545,0.00011133622391660389,0.00011151119729104424,0.00011164108553134206,0.00011169047860416374
0.17,5.7529725543568927e-05,0.00010634478995863941,0.00011120904306710027,0.0001116013076371328,0.00011177792853629239,0.00011190916354334247,0.00011195966513929441
0.1725,5.7129334485823778e-05,0.00010633186010925194,0.00011146761108982996,0.0001118638530233912,0.00011204212399941575,0.00011217469723592919,0.00011222629678988345
0.175,5.6756358838782131e-05,0.00010630062838536229,0.00011172342189072127,0.0001121237075091074,0.00011230362986887345,0.00011243752498376083,0.00011249019324835845
0.1775,5.6409180517514207e-05,0.00010625092855339355,0.00011197643611256677,0.00011238082855442413,0.00011256239991887372,0.00011269759202689063,0.00011275127695061982
0.18,5.6086314585772096e-05,0.0001061829059547859,0.00011222673384539558,0.00011263529833167839,0.00011281851811835862,0.0001129549873722163,0.00011300965426198853
0.1825,5.5786323293402903e-05,0.00010609693442483081,0.00011247449043517201,0.00011288730635975192,0.00011307218747858199,0.00011320994301391052,0.00011326561793879129
0.185,5.5507821117043678e-05,0.00010599359225098374,0.00011271995083018554,0.0001131371254140584,0.00011332370746218245,0.00011346281441436203,0.00011351963601782954
0.1875,5.524938610983948e-05,0.0001058735174550911,0.00011296325765544717,0.00011338490401072901,0.00011357323084150926,0.00011371376470230986,0.00011377189039486742
0.19,5.5009599623961711e-05,0.00010573742038911742,0.00011320445983419097,0.00011363068207870962,0.00011382078672427112,0.00011396280286652582,0.00011402234873587176
0.1925,5.4787005983684823e-05,0.00010558601026907554,0.0001134434560624445,0.0001138743240615966,0.00011406620322836867,0.00011420968535321597,0.00011427062383188413
0.195,5.4580365619996487e-05,0.00010542029469464019,0.00011368039346491002,0.00011411601536530297,0.00011430970164435303,0.00011445470743046925,0.00011451715627937635
0.1975,5.4388326382056894e-05,0.00010524112889977394,0.00011391509219448372,0.00011435553995753372,0.0001145510272631938,0.00011469753726854953,0.00011476146099251157
0.2,5.420958421952481e-05,0.00010504936509925776,0.00011414741854513944,0.00011459274378764876,0.00011479000245803865,0.00011493794899964958,0.00011500321638899737
0.2025,5.404275849390551e-05,0.00010484567766001429,0.00011437728642700391,0.00011482753290241072,0.00011502652008645122,0.00011517580608585888,0.00011524222503466997
