Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.0825,6.2946994628027198e-12,1.8845978067157451e-12,6.3147363537743376e-13,5.8749032945681778e-13,5.2333713183353748e-13,5.3060481141023814e-13,-4.6817376749278681e-14
0.085,5.7159651202632249e-12,4.3218189376170328e-13,-1.317171453379675e-12,-1.338655597118628e-12,-1.3951200235640648e-12,-1.4111082886875537e-12,-1.7632876007001033e-12
0.0875,4.3094007943460184e-12,-1.8709555427485799e-12,-4.167627504328909e-12,-4.2253954025915964e-12,-4.2488062848358308e-12,-4.2821515276779463e-12,-4.4039609507607536e-12
0.09,2.6091449378497285e-12,-4.5142907824632639e-12,-7.3995900546906545e-12,-7.5570492932049459e-12,-7.5622845758043174e-12,-7.5967387339987463e-12,-7.5988463416928363e-12
0.0925,1.1960667551103015e-12,-6.8766730962940897e-12,-1.0377472845803738e-11,-1.0676019597280599e-11,-1.0711052463939655e-11,-1.0733357869398176e-11,-1.0716985802026684e-11
0.095,4.2177681992150043e-13,-8.4722333475994209e-12,-1.2569182962713214e-11,-1.3020900679003042e-11,-1.3133211167864623e-11,-1.3153927599837821e-11,-1.3150891954000194e-11
0.0975,3.8014258843537074e-13,-8.9906433964306503e-12,-1.3568775034450804e-11,-1.4158996289054152e-11,-1.4368695445653446e-11,-1.4432985113333046e-11,-1.443922074330612e-11
0.1,1.0060038508644871e-12,-8.2668443976050488e-12,-1.3075275249934932e-11,-1.3766196645167588e-11,-1.4060930492105849e-11,-1.4227343097483759e-11,-1.4237571860249293e-11
0.1025,2.125484562386298e-12,-6.3438500287582356e-12,-1.1002328195709295e-11,-1.1735022909212007e-11,-1.2080872116671773e-11,-1.237941677270021e-11,-1.2400832713270336e-11
0.105,3.4534649541710043e-12,-3.5768811848780082e-12,-7.6564285487133972e-12,-8.3548973750102424e-12,-8.7103014922990982e-12,-9.117284532038506e-12,-9.1737880123051338e-12
0.1075,4.6357764720553665e-12,-6.0404432531419049e-13,-3.7662232288837611e-12,-4.3509097795618073e-12,-4.6758124589244612e-12,-5.1251392626464749e-12,-5.24824878730919e-12
0.11,5.3760264474714095e-12,1.8897428652198305e-12,-2.3417562151386197e-13,-6.4759926580688166e-13,-9.088408892289445e-13,-1.3245342925589666e-12,-1.5311071855548859e-12
0.1125,5.5757240939352042e-12,3.4955909059498477e-12,2.2873792847713831e-12,2.0554974749156498e-12,1.8781931602323606e-12,1.5548590373723411e-12,1.2804444992591086e-12
0.115,5.3405565807991719e-12,4.200439296589804e-12,3.6343287220053162e-12,3.5431388312285152e-12,3.4500577981613446e-12,3.2493864936655395e-12,2.9549600011657291e-12
0.1175,4.8755908607743525e-12,4.2630272496516749e-12,4.0519333066646204e-12,4.034437327294572e-12,4.0039432797680539e-12,3.9267196649167357e-12,3.6778009836950892e-12
0.12,4.3918093546190344e-12,4.0242926027789172e-12,3.9588916604738005e-12,3.95747511960066e-12,3.9564137493553115e-12,3.9764925479057524e-12,3.8374301558217491e-12
0.1225,4.076020556597959e-12,3.7843251252757188e-12,3.7428617420318393e-12,3.7235044043893868e-12,3.7264456903876916e-12,3.7985896020826365e-12,3.8139176855551912e-12
0.125,4.0786022852808741e-12,3.7455253179881291e-12,3.6573053424008408e-12,3.588927274724051e-12,3.5897700964542326e-12,3.666440389494213e-12,3.8451739382371315e-12
0.1275,4.4370459279890806e-12,3.9310281491512903e-12,3.7484706868938605e-12,3.5693442676264743e-12,3.5701618393112926e-12,3.6222094628469456e-12,3.9320613705074913e-12
0.13,4.9605811585757095e-12,4.0777467317177682e-12,3.7756811809534768e-12,3.3850886768972915e-12,3.3672066380264946e-12,3.3929984111372713e-12,3.7705493854865951e-12
0.1325,5.2083088578416845e-12,3.6348989421585241e-12,3.2152000018952718e-12,2.5067832842373519e-12,2.4093836659368531e-12,2.4210112521626325e-12,2.7945975813541361e-12
0.135,4.6685995731927948e-12,1.9919462569412054e-12,1.4704654933622538e-12,3.8693159906629905e-13,1.162584968491197e-13,1.1037535458318858e-13,4.2424068034021523e-13
0.1375,3.0770743973052112e-12,-1.13122194660268e-12,-1.7509443183909413e-12,-3.1790151988253316e-12,-3.7104104613935385e-12,-3.7741522918001099e-12,-3.5462653918891994e-12
0.14,6.5448155875770319e-13,-5.3883208828855204e-12,-6.1313655251708635e-12,-7.7865543796161205e-12,-8.6142688486003057e-12,-8.8080957366601043e-12,-8.6642812777376781e-12
0.1425,-1.9273627840902767e-12,-9.8472727088097266e-12,-1.0758021481680415e-11,-1.2474293383984278e-11,-1.3558297570723033e-11,-1.3955506413783102e-11,-1.3877595095861568e-11
0.145,-3.8570747082826432e-12,-1.3392872210449007e-11,-1.4507399431187489e-11,-1.6122591862976587e-11,-1.7357757478727277e-11,-1.7995836366915548e-11,-1.7963446408403561e-11
0.1475,-4.5533691675480982e-12,-1.5218077393937808e-11,-1.6540988793737281e-11,-1.7937599413110666e-11,-1.9189541812164241e-11,-2.0049056685898221e-11,-2.0048663802558307e-11
0.15,-3.858081698451464e-12,-1.5089594469064833e-11,-1.6591754806585898e-11,-1.7712866958233237e-11,-1.8858952582477109e-11,-1.9867485169613356e-11,-1.9893862483579158e-11
0.1525,-1.9987521502377988e-12,-1.3306465906841949e-11,-1.4941579459347287e-11,-1.578420834920834e-11,-1.6742222483387575e-11,-1.7797662792694303e-11,-1.7849694478081132e-11
0.155,5.8627009942033556e-13,-1.0469416297215766e-11,-1.2196037848749233e-11,-1.2792706739264141e-11,-1.3529903721059477e-11,-1.4529835738174814e-11,-1.4605397612426787e-11
0.1575,3.433654523189053e-12,-7.2273416606880967e-12,-9.0244401675571904e-12,-9.4238294952537398e-12,-9.9493553831149735e-12,-1.0814704534755507e-11,-1.090904015946564e-11
0.16,6.1765647330565833e-12,-4.1062493417636017e-12,-5.9782506829169883e-12,-6.2309415293571567e-12,-6.5796681314429725e-12,-7.2666836486169164e-12,-7.3755570674392797e-12
0.1625,8.5857390100717628e-12,-1.4460995582781289e-12,-3.4195091217648539e-12,-3.5700727238718738e-12,-3.7861600939037998e-12,-4.2865474158139924e-12,-4.4112130105720596e-12
0.165,1.055406802392082e-11,5.8441617419507759e-13,-1.5312227756690688e-12,-1.6152833328581002e-12,-1.7403629927213229e-12,-2.0729829026621931e-12,-2.2218557147987821e-12
0.1675,1.2056267212657772e-11,1.9389855067004807e-12,-3.6454530642989993e-13,-4.0874068827806361e-13,-4.7608351062472787e-13,-6.7516359253193694e-13,-8.5909392790112029e-13
0.17,1.3112985694675343e-11,2.6509363835541352e-12,1.1966081371768497e-13,9.6515127948855051e-14,6.3176631310832625e-14,-4.0982449193456285e-14,-2.6421472861209442e-13
0.1725,1.377236367142336e-11,2.8107771913208646e-12,2.9331221302133033e-14,1.4898125532705824e-14,2.0976085784910006e-17,-4.4543998935867298e-14,-2.973483824581286e-13
0.175,1.4103271303058785e-11,2.5550570588212367e-12,-4.7085241886682719e-13,-4.8354602518205508e-13,-4.8942554780326035e-13,-5.0248494881921949e-13,-7.6090114108322077e-13
0.1775,1.4195410983459683e-11,2.0551856942058779e-12,-1.1754264525304569e-12,-1.1889966832636155e-12,-1.191174912337247e-12,-1.1924681377945904e-12,-1.4261957989980897e-12
0.18,1.4153791842050346e-11,1.4950926454985014e-12,-1.8691450690241734e-12,-1.8831802030882778e-12,-1.8842638565528958e-12,-1.8856700855432683e-12,-2.0700958777703025e-12
0.1825,1.4089033907346549e-11,1.0432124401562778e-12,-2.364609435325406e-12,-2.3776212647132086e-12,-2.3787246403998238e-12,-2.3854866559948633e-12,-2.511437160187119e-12
0.185,1.4103721437578699e-11,8.2645543994534449e-13,-2.5343785152634734e-12,-2.546120366381036e-12,-2.5479673571070395e-12,-2.5603157327104309e-12,-2.6366526472600676e-12
