Physical Time (s),FreestreamTemperature Monitor (K)
0.9125,300.0000000003127
0.915,300.00000000030735
0.9175,300.00000000030212
0.92,300.00000000029701
0.9225,300.00000000029189
0.925,300.00000000028678
0.9275,300.00000000028172
0.93,300.00000000027671
0.9325,300.00000000027171
0.935,300.00000000026677
0.9375,300.00000000026199
0.94,300.00000000025722
0.9425,300.00000000025244
0.945,300.00000000024772
0.9475,300.00000000024312
0.95,300.00000000023869
0.9525,300.00000000023414
0.955,300.00000000022965
0.9575,300.00000000022533
0.96,300.00000000022106
0.9625,300.00000000021686
0.965,300.00000000021265
0.9675,300.00000000020856
0.97,300.00000000020458
0.9725,300.0000000002006
0.975,300.00000000019668
0.9775,300.0000000001927
0.98,300.00000000018883
0.9825,300.00000000018491
0.985,300.00000000018099
0.9875,300.00000000017724
0.99,300.00000000017343
0.9925,300.00000000016956
0.995,300.00000000016581
0.9975,300.00000000016206
1.0,300.00000000015825
1.0025,300.0000000001545
1.005,300.00000000015081
1.0075,300.00000000014705
1.01,300.00000000014347
1.0125,300.00000000013983
1.015,300.00000000013631
1.0175,300.00000000013279
1.02,300.00000000012938
1.0225,300.00000000012608
1.025,300.00000000012278
1.0275,300.0000000001196
1.03,300.00000000011642
1.0325,300.00000000011335
1.035,300.00000000011039
1.0375,300.00000000010749
1.04,300.00000000010476
1.0425,300.00000000010215
1.045,300.00000000009959
1.0475,300.00000000009709
1.05,300.00000000009464
1.0525,300.00000000009237
1.055,300.00000000009027
1.0575,300.00000000008816
1.06,300.00000000008617
1.0625,300.0000000000843
1.065,300.00000000008248
1.0675,300.0000000000806
1.07,300.00000000007884
1.0725,300.00000000007708
1.075,300.00000000007537
1.0775,300.00000000007384
1.08,300.00000000007225
1.0825,300.00000000007071
1.085,300.00000000006912
1.0875,300.00000000006759
1.09,300.00000000006611
1.0925,300.00000000006469
1.095,300.00000000006321
1.0975,300.00000000006185
1.1,300.00000000006054
1.1025,300.00000000005929
1.105,300.00000000005798
1.1075,300.00000000005679
1.11,300.00000000005554
1.1125,300.00000000005434
1.115,300.00000000005309
1.1175,300.00000000005184
1.12,300.0000000000507
1.1225,300.00000000004945
1.125,300.00000000004832
1.1275,300.00000000004712
1.13,300.00000000004593
1.1325,300.00000000004468
1.135,300.00000000004337
1.1375,300.00000000004212
1.14,300.00000000004087
1.1425,300.00000000003962
1.145,300.00000000003831
1.1475,300.00000000003718
1.15,300.00000000003598
1.1525,300.00000000003479
1.155,300.00000000003371
1.1575,300.00000000003251
1.16,300.00000000003138
1.1625,300.0000000000303
1.165,300.00000000002916
1.1675,300.00000000002814
1.17,300.00000000002706
1.1725,300.00000000002609
1.175,300.00000000002518
1.1775,300.00000000002422
1.18,300.00000000002331
1.1825,300.00000000002245
1.185,300.00000000002166
1.1875,300.00000000002086
1.19,300.00000000002018
1.1925,300.0000000000195
1.195,300.00000000001887
1.1975,300.00000000001819
1.2,300.00000000001756
1.2025,300.000000000017
1.205,300.00000000001643
1.2075,300.00000000001592
1.21,300.00000000001535
1.2125,300.00000000001484
1.215,300.00000000001432
1.2175,300.00000000001381
1.22,300.00000000001336
1.2225,300.00000000001279
1.225,300.00000000001239
1.2275,300.00000000001199
1.23,300.0000000000116
1.2325,300.0000000000112
1.235,300.00000000001074
1.2375,300.00000000001035
1.24,300.00000000000989
1.2425,300.00000000000955
1.245,300.00000000000921
1.2475,300.00000000000887
1.25,300.00000000000847
1.2525,300.00000000000813
1.255,300.00000000000784
1.2575,300.00000000000756
1.26,300.00000000000733
1.2625,300.00000000000705
1.265,300.00000000000676
1.2675,300.00000000000659
1.27,300.00000000000631
1.2725,300.00000000000608
1.275,300.00000000000591
1.2775,300.00000000000568
1.28,300.00000000000546
1.2825,300.00000000000529
1.285,300.00000000000506
1.2875,300.00000000000495
1.29,300.00000000000477
1.2925,300.00000000000466
1.295,300.0000000000046
1.2975,300.0000000000046
1.3,300.0000000000046
1.3025,300.00000000000466
1.305,300.00000000000472
1.3075,300.00000000000477
1.31,300.00000000000483
1.3125,300.00000000000489
1.315,300.000000000005
1.3175,300.00000000000517
1.32,300.00000000000534
1.3225,300.00000000000551
1.325,300.00000000000557
1.3275,300.00000000000568
1.33,300.0000000000058
1.3325,300.00000000000597
1.335,300.00000000000608
1.3375,300.00000000000625
1.34,300.00000000000642
1.3425,300.00000000000659
1.345,300.00000000000671
1.3475,300.00000000000688
1.35,300.00000000000705
1.3525,300.00000000000728
1.355,300.00000000000739
1.3575,300.00000000000745
1.36,300.0000000000075
1.3625,300.00000000000762
1.365,300.00000000000767
1.3675,300.00000000000773
1.37,300.00000000000773
1.3725,300.00000000000773
1.375,300.00000000000767
1.3775,300.00000000000762
1.38,300.00000000000756
1.3825,300.00000000000745
1.385,300.00000000000728
1.3875,300.00000000000705
1.39,300.00000000000688
1.3925,300.00000000000665
1.395,300.00000000000637
1.3975,300.00000000000608
1.4,300.0000000000058
1.4025,300.00000000000551
1.405,300.00000000000517
1.4075,300.00000000000489
1.41,300.0000000000046
1.4125,300.00000000000421
1.415,300.00000000000392
1.4175,300.00000000000358
1.42,300.00000000000324
1.4225,300.00000000000284
1.425,300.00000000000239
1.4275,300.00000000000199
1.43,300.00000000000171
1.4325,300.00000000000131
1.435,300.00000000000091
1.4375,300.00000000000063
1.44,300.00000000000028
1.4425,299.99999999999994
1.445,299.9999999999996
1.4475,299.99999999999932
1.45,299.99999999999898
1.4525,299.99999999999858
1.455,299.99999999999829
1.4575,299.99999999999801
1.46,299.99999999999767
1.4625,299.99999999999733
1.465,299.9999999999971
1.4675,299.99999999999687
1.47,299.99999999999665
1.4725,299.99999999999636
1.475,299.99999999999613
1.4775,299.99999999999596
1.48,299.99999999999579
1.4825,299.99999999999551
1.485,299.99999999999534
1.4875,299.99999999999523
1.49,299.99999999999511
1.4925,299.99999999999494
1.495,299.99999999999483
1.4975,299.99999999999471
1.5,299.9999999999946
1.5025,299.99999999999454
1.505,299.99999999999443
1.5075,299.99999999999432
1.51,299.99999999999415
1.5125,299.99999999999403
1.515,299.99999999999392
1.5175,299.9999999999938
1.52,299.99999999999363
1.5225,299.99999999999346
1.525,299.99999999999324
1.5275,299.99999999999301
1.53,299.99999999999278
1.5325,299.99999999999261
1.535,299.9999999999925
1.5375,299.99999999999244
1.54,299.99999999999238
1.5425,299.99999999999221
1.545,299.9999999999921
1.5475,299.99999999999187
1.55,299.9999999999917
1.5525,299.99999999999159
1.555,299.99999999999147
1.5575,299.99999999999136
1.56,299.9999999999913
1.5625,299.99999999999125
1.565,299.99999999999113
1.5675,299.99999999999102
1.57,299.99999999999085
1.5725,299.99999999999073
1.575,299.99999999999068
1.5775,299.99999999999068
1.58,299.99999999999073
1.5825,299.99999999999073
1.585,299.99999999999073
1.5875,299.99999999999079
1.59,299.99999999999091
1.5925,299.99999999999096
1.595,299.99999999999113
1.5975,299.9999999999913
1.6,299.99999999999153
1.6025,299.99999999999176
1.605,299.99999999999199
1.6075,299.99999999999221
1.61,299.9999999999925
1.6125,299.99999999999272
1.615,299.99999999999312
1.6175,299.99999999999346
1.62,299.9999999999938
1.6225,299.99999999999415
1.625,299.99999999999449
1.6275,299.99999999999488
1.63,299.99999999999523
1.6325,299.99999999999551
1.635,299.99999999999585
1.6375,299.99999999999619
1.64,299.99999999999653
1.6425,299.99999999999687
1.645,299.99999999999716
1.6475,299.9999999999975
1.65,299.9999999999979
1.6525,299.99999999999824
1.655,299.99999999999852
1.6575,299.99999999999892
1.66,299.99999999999926
1.6625,299.99999999999955
1.665,299.99999999999983
1.6675,300.00000000000006
1.67,300.00000000000034
1.6725,300.00000000000051
1.675,300.00000000000063
1.6775,300.0000000000008
1.68,300.00000000000097
1.6825,300.00000000000108
1.685,300.00000000000125
1.6875,300.00000000000136
1.69,300.00000000000159
1.6925,300.00000000000171
1.695,300.00000000000182
1.6975,300.00000000000188
1.7,300.00000000000188
1.7025,300.00000000000193
1.705,300.00000000000199
1.7075,300.00000000000199
1.71,300.00000000000199
1.7125,300.00000000000205
1.715,300.00000000000205
1.7175,300.0000000000021
1.72,300.00000000000222
1.7225,300.00000000000222
1.725,300.00000000000222
1.7275,300.00000000000222
1.73,300.00000000000222
1.7325,300.00000000000222
1.735,300.00000000000222
1.7375,300.00000000000216
1.74,300.00000000000205
1.7425,300.00000000000199
1.745,300.00000000000193
1.7475,300.00000000000182
1.75,300.00000000000171
1.7525,300.00000000000159
1.755,300.00000000000153
1.7575,300.00000000000136
1.76,300.00000000000125
1.7625,300.00000000000108
1.765,300.00000000000097
1.7675,300.0000000000008
1.77,300.00000000000068
1.7725,300.00000000000051
1.775,300.00000000000028
1.7775,300.00000000000011
1.78,299.99999999999994
1.7825,299.99999999999977
1.785,299.99999999999955
1.7875,299.99999999999932
1.79,299.99999999999915
1.7925,299.99999999999898
1.795,299.99999999999875
1.7975,299.99999999999847
1.8,299.99999999999829
1.8025,299.99999999999812
1.805,299.9999999999979
1.8075,299.99999999999767
1.81,299.99999999999744
1.8125,299.99999999999721
1.815,299.99999999999704
1.8175,299.99999999999687
1.82,299.9999999999967
1.8225,299.99999999999648
1.825,299.99999999999636
1.8275,299.99999999999619
1.83,299.99999999999613
1.8325,299.99999999999596
1.835,299.99999999999591
1.8375,299.99999999999579
1.84,299.99999999999562
1.8425,299.99999999999562
1.845,299.99999999999562
1.8475,299.99999999999562
1.85,299.99999999999562
1.8525,299.99999999999562
1.855,299.99999999999568
1.8575,299.99999999999562
1.86,299.99999999999568
1.8625,299.99999999999579
1.865,299.99999999999585
1.8675,299.99999999999591
1.87,299.99999999999602
1.8725,299.99999999999608
1.875,299.99999999999613
1.8775,299.99999999999619
1.88,299.99999999999625
1.8825,299.99999999999636
1.885,299.99999999999642
1.8875,299.99999999999648
1.89,299.99999999999659
1.8925,299.9999999999967
1.895,299.99999999999682
1.8975,299.99999999999687
1.9,299.99999999999693
1.9025,299.99999999999699
1.905,299.9999999999971
1.9075,299.99999999999716
1.91,299.99999999999721
1.9125,299.99999999999727
1.915,299.99999999999733
1.9175,299.99999999999733
1.92,299.99999999999733
1.9225,299.99999999999733
1.925,299.99999999999733
1.9275,299.99999999999721
1.93,299.99999999999716
1.9325,299.99999999999716
1.935,299.99999999999716
1.9375,299.99999999999716
1.94,299.99999999999716
1.9425,299.9999999999971
1.945,299.99999999999704
1.9475,299.99999999999699
1.95,299.99999999999693
1.9525,299.99999999999687
1.955,299.99999999999682
1.9575,299.99999999999682
1.96,299.99999999999676
1.9625,299.9999999999967
1.965,299.99999999999659
1.9675,299.99999999999676
1.97,299.9999999999967
1.9725,299.99999999999659
1.975,299.99999999999648
1.9775,299.99999999999642
1.98,299.99999999999636
1.9825,299.99999999999631
1.985,299.99999999999625
1.9875,299.99999999999613
1.99,299.99999999999608
1.9925,299.99999999999596
1.995,299.99999999999585
1.9975,299.99999999999579
2.0,299.99999999999568
2.0025,299.99999999999562
2.005,299.99999999999557
2.0075,299.99999999999545
2.01,299.99999999999545
2.0125,299.99999999999551
2.015,299.99999999999551
2.0175,299.99999999999557
2.02,299.99999999999562
2.0225,299.99999999999568
2.025,299.99999999999574
2.0275,299.99999999999579
2.03,299.99999999999579
2.0325,299.99999999999579
2.035,299.99999999999579
2.0375,299.99999999999568
2.04,299.99999999999562
2.0425,299.99999999999557
2.045,299.99999999999557
2.0475,299.99999999999551
2.05,299.99999999999545
2.0525,299.99999999999545
2.055,299.9999999999954
2.0575,299.99999999999528
2.06,299.99999999999523
2.0625,299.99999999999511
2.065,299.99999999999494
2.0675,299.99999999999477
2.07,299.99999999999454
2.0725,299.99999999999437
2.075,299.9999999999942
2.0775,299.99999999999409
2.08,299.99999999999392
2.0825,299.99999999999369
2.085,299.99999999999346
2.0875,299.99999999999329
2.09,299.99999999999312
2.0925,299.99999999999284
2.095,299.99999999999261
2.0975,299.99999999999238
2.1,299.99999999999221
2.1025,299.99999999999204
2.105,299.99999999999181
2.1075,299.99999999999159
2.11,299.99999999999136
2.1125,299.99999999999113
2.115,299.99999999999096
2.1175,299.99999999999073
2.12,299.99999999999056
2.1225,299.99999999999039
2.125,299.99999999999022
2.1275,299.99999999999
