Physical Time (s),ep_left Monitor (kg-m/s^3)
0.6625,2.1812061766326726e-07
0.665,2.1856911195796478e-07
0.6675,2.1968533794084026e-07
0.67,2.2160493070474003e-07
0.6725,2.2440585227653378e-07
0.675,2.2809920106466895e-07
0.6775,2.3262326303713584e-07
0.68,2.3784349898655958e-07
0.6825,2.4356198439642507e-07
0.685,2.4953450304461409e-07
0.6875,2.5549420153480417e-07
0.69,2.6117918152629149e-07
0.6925,2.6635049382127795e-07
0.695,2.708064627854419e-07
0.6975,2.7439078702132152e-07
0.7,2.7699609429218356e-07
0.7025,2.7856390378826892e-07
0.705,2.7908348913068483e-07
0.7075,2.785893543397852e-07
0.71,2.7715644956233454e-07
0.7125,2.7489322291052366e-07
0.715,2.7193069833107825e-07
0.7175,2.6841179159761906e-07
0.72,2.6447681318183508e-07
0.7225,2.6024950672192171e-07
0.725,2.5582456104588049e-07
0.7275,2.5126512985854641e-07
0.73,2.4660268298425412e-07
0.7325,2.4184408678037712e-07
0.735,2.3692952974103046e-07
0.7375,2.3169768056838525e-07
0.74,2.2597415123914946e-07
0.7425,2.1960757936941251e-07
0.745,2.1246679845237835e-07
0.7475,2.0445318615247294e-07
0.75,1.9551847993103949e-07
0.7525,1.8566659046241764e-07
0.755,1.7494639961804029e-07
0.7575,1.6345004144613055e-07
0.76,1.5132422538849072e-07
0.7625,1.3878419945575136e-07
0.765,1.2612135730213993e-07
0.7675,1.1368121679078788e-07
0.77,1.0183169754488859e-07
0.7725,9.0930087446224096e-08
0.775,8.1298753954371897e-08
0.7775,7.3212093786961239e-08
0.78,6.6889112739453735e-08
0.7825,6.2489704874829932e-08
0.785,6.0112491532944008e-08
0.7875,5.9794243440484311e-08
0.79,6.1510302108917396e-08
0.7925,6.5174336234870219e-08
0.795,7.0634492273108761e-08
0.7975,7.7675395216955369e-08
0.8,8.6015719243873075e-08
0.8025,9.5314433821927246e-08
0.805,1.0518880191882785e-07
0.8075,1.1523721752770106e-07
0.81,1.2506431837474339e-07
0.8125,1.3430642885397354e-07
0.815,1.4265218990065211e-07
0.8175,1.4986637628214724e-07
0.82,1.5579946668205618e-07
0.8225,1.6039459372728544e-07
0.825,1.6368810211604611e-07
0.8275,1.6580552524528321e-07
0.83,1.6695309337118645e-07
0.8325,1.6740788518833973e-07
0.835,1.6750586218621651e-07
0.8375,1.6762859883999407e-07
0.84,1.6818881397290989e-07
0.8425,1.6961437132410831e-07
0.845,1.7233019415661726e-07
0.8475,1.7673683188773529e-07
0.85,1.8318894135614168e-07
0.8525,1.9197678373257951e-07
0.855,2.0330131447111335e-07
0.8575,2.1727194477060114e-07
0.86,2.3389174550378954e-07
0.8625,2.5306400835174869e-07
0.865,2.7459595405466997e-07
0.8675,2.9820696150635376e-07
0.87,3.2354174076906585e-07
0.8725,3.5017261428630394e-07
0.875,3.7761125530792083e-07
0.8775,4.0531596877891622e-07
0.88,4.3271043514537293e-07
0.8825,4.5920095974687079e-07
0.885,4.8420034840693173e-07
0.8875,5.0714709874349147e-07
0.89,5.2753598815381984e-07
0.8925,5.4493716445095165e-07
0.895,5.5902115347413753e-07
0.8975,5.6956762066398498e-07
0.9,5.7646551256094984e-07
0.9025,5.7971379997143902e-07
0.905,5.7941104074301956e-07
0.9075,5.7574376000570209e-07
0.91,5.6897129626438072e-07
0.9125,5.594140784054621e-07
0.915,5.4745064408901591e-07
0.9175,5.3352042892570287e-07
0.92,5.1812328676595045e-07
0.9225,5.0178807893766405e-07
0.925,4.8502186097140969e-07
0.9275,4.6827020684455543e-07
0.93,4.5190533284521461e-07
0.9325,4.3622920815665945e-07
0.935,4.2148056407183111e-07
0.9375,4.0784005956878372e-07
0.94,3.9543637880978022e-07
0.9425,3.843495595146485e-07
0.945,3.7461365447114578e-07
0.9475,3.6621796747682623e-07
0.95,3.5910835156188597e-07
0.9525,3.5319067194408132e-07
0.955,3.4833935531455685e-07
0.9575,3.4440838681666668e-07
0.96,3.4124277916941546e-07
0.9625,3.3868574859884372e-07
0.965,3.3659059064990175e-07
0.9675,3.3482126320250795e-07
0.97,3.3325172797167603e-07
0.9725,3.3176826226403394e-07
0.975,3.3027532270237252e-07
0.9775,3.286947454879558e-07
0.98,3.2696723465188349e-07
0.9825,3.2504834691337257e-07
0.985,3.2290974420465957e-07
0.9875,3.2053711370181655e-07
0.99,3.1792694805274578e-07
0.9925,3.1508261219187439e-07
0.995,3.1201078947715621e-07
0.9975,3.0871945168461427e-07
1.0,3.0521585635629025e-07
1.0025,3.0150359022721145e-07
1.005,2.9758127113162987e-07
1.0075,2.9343936910724602e-07
1.01,2.8906017133809527e-07
1.0125,2.844202610919738e-07
1.015,2.7949238511775912e-07
1.0175,2.7425085441500701e-07
1.02,2.6867254435017343e-07
1.0225,2.6274374564967879e-07
1.025,2.564653262534167e-07
1.0275,2.498571829401309e-07
1.03,2.4296224406086312e-07
1.0325,2.3584903940682362e-07
1.035,2.2861166876382358e-07
1.0375,2.2137001787844293e-07
1.04,2.1426631150674666e-07
1.0425,2.0746291962784992e-07
1.045,2.0113355758110316e-07
1.0475,1.9545977382755937e-07
1.05,1.9062213165624285e-07
1.0525,1.8679222288310764e-07
1.055,1.8412525575352987e-07
1.0575,1.8275266005680016e-07
1.06,1.827770056173131e-07
1.0625,1.8426821190326703e-07
1.065,1.8725991299209324e-07
1.0675,1.9174691443286211e-07
1.07,1.9768404480102959e-07
1.0725,2.0498491717370192e-07
1.075,2.135226525894766e-07
1.0775,2.2313502882961688e-07
1.08,2.3362514826955594e-07
1.0825,2.4477083137705718e-07
1.085,2.563225837384203e-07
1.0875,2.6801311280371811e-07
1.09,2.7956602934629915e-07
1.0925,2.9070528686466387e-07
1.095,3.0116547724466774e-07
1.0975,3.1070249081704118e-07
1.1,3.1910162927811583e-07
1.1025,3.2618539625741089e-07
1.105,3.3181791951225417e-07
1.1075,3.3590551755286194e-07
1.11,3.3839615011371928e-07
1.1125,3.3927858034911505e-07
1.115,3.3858096147009428e-07
1.1175,3.3637163075851385e-07
1.12,3.3275786001186973e-07
1.1225,3.2788308340838593e-07
1.125,3.2192163928259441e-07
1.1275,3.1507313893932923e-07
1.13,3.0755659218939954e-07
1.1325,2.9960395166706353e-07
1.135,2.9145326211569777e-07
1.1375,2.8334105469615029e-07
1.14,2.7549523286351733e-07
1.1425,2.6812909003598968e-07
1.145,2.6143771764946417e-07
1.1475,2.5559479413129133e-07
1.15,2.5074969554417097e-07
1.1525,2.4702480785047123e-07
1.155,2.4451373915886465e-07
1.1575,2.4328082843061131e-07
1.16,2.4336191517852161e-07
1.1625,2.4476505541571673e-07
1.165,2.4747225805011303e-07
1.1675,2.5144313299157469e-07
1.17,2.5661712434383193e-07
1.1725,2.6291582309751474e-07
1.175,2.7024568016137066e-07
1.1775,2.7850215013733673e-07
1.18,2.8757822362920127e-07
1.1825,2.9738061254530105e-07
1.185,3.0783550109781629e-07
1.1875,3.1886394279132999e-07
1.19,3.303607592130875e-07
1.1925,3.4220081744593239e-07
1.195,3.5425364241809061e-07
1.1975,3.6639240778893822e-07
1.2,3.7849660754535235e-07
1.2025,3.9045262676661183e-07
1.205,4.0215286466074901e-07
1.2075,4.1349246644963651e-07
1.21,4.243688511436021e-07
1.2125,4.3468727195721244e-07
1.215,4.4435922525075292e-07
1.2175,4.5330807381262829e-07
1.22,4.6147403808780963e-07
1.2225,4.6881391646280964e-07
1.225,4.752997335769231e-07
1.2275,4.8091346078819522e-07
1.23,4.8564281783166528e-07
1.2325,4.8948026790198403e-07
1.235,4.9242243713463389e-07
1.2375,4.9447014227859792e-07
1.24,4.9562736944737489e-07
1.2425,4.9590218934397054e-07
1.245,4.9530811432544429e-07
1.2475,4.938642936469119e-07
1.25,4.9159478288457674e-07
1.2525,4.885264100504092e-07
1.255,4.8468809899651268e-07
1.2575,4.8010872248747545e-07
1.26,4.7481905829503659e-07
1.2625,4.6884941371906306e-07
1.265,4.622294062858535e-07
1.2675,4.5498408208705926e-07
1.27,4.4713677120083162e-07
1.2725,4.3871226955742086e-07
1.275,4.2973784511496487e-07
1.2775,4.2024768643753888e-07
1.28,4.1027957591343529e-07
1.2825,3.9987374839998731e-07
1.285,3.8906925674807142e-07
1.2875,3.7790628972834416e-07
1.29,3.6642511092854338e-07
1.2925,3.5467035314823796e-07
1.295,3.4269192949584056e-07
1.2975,3.3054360782753674e-07
1.3,3.1828038451886346e-07
1.3025,3.0595594650309255e-07
1.305,2.9361898352683376e-07
1.3075,2.8131309333438729e-07
1.31,2.6907883986579811e-07
1.3125,2.5695269998877743e-07
1.315,2.4496779715983539e-07
1.3175,2.3315212365396361e-07
1.32,2.2152875349974311e-07
1.3225,2.101166228493408e-07
1.325,1.9893437538614968e-07
1.3275,1.8800278979709786e-07
1.33,1.7734545778155933e-07
1.3325,1.6698745518652403e-07
1.335,1.5695549193785251e-07
1.3375,1.4728077671777436e-07
1.34,1.3800045951744453e-07
1.3425,1.2915567569906292e-07
1.345,1.2079700024121883e-07
1.3475,1.1297482183424704e-07
1.35,1.0574027219742694e-07
1.3525,9.9146107141118267e-08
1.355,9.3246908662114867e-08
1.3575,8.8097456815265252e-08
1.36,8.375181085293766e-08
1.3625,8.0261621527615231e-08
1.365,7.7674684232876506e-08
1.3675,7.6028086881990518e-08
1.37,7.5347668773485521e-08
1.3725,7.5645854899899305e-08
1.375,7.6922871602312385e-08
1.3775,7.9168685831566848e-08
1.38,8.2364101184777397e-08
1.3825,8.6480019230091451e-08
1.385,9.1476905927427192e-08
1.3875,9.7303484685434695e-08
1.39,1.0389718351767625e-07
1.3925,1.1118433421255022e-07
1.395,1.1908233134685384e-07
1.3975,1.2750118081267633e-07
1.4,1.3634214610075885e-07
1.4025,1.4550501923977575e-07
1.405,1.548894953850841e-07
1.4075,1.643965514093135e-07
1.41,1.7393204459288915e-07
1.4125,1.8340638180707912e-07
1.415,1.9273616524427033e-07
