Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.1425,2.0345575024135048e-08,2.2226202414645956e-08,2.2229235100183516e-08,2.2229235434903818e-08,2.222923547473501e-08,2.2229235484065855e-08,2.2229235485094424e-08
0.145,1.994770114252915e-08,2.1828646652691643e-08,2.1832224299187901e-08,2.1832224644695456e-08,2.1832224685177404e-08,2.1832224694619224e-08,2.1832224695684414e-08
0.1475,1.9567460397804342e-08,2.1450462161996721e-08,2.1454685791845913e-08,2.1454686148636721e-08,2.1454686189780321e-08,2.1454686199321495e-08,2.1454686200422469e-08
0.15,1.9203002541261164e-08,2.1090265869202268e-08,2.109525195693909e-08,2.1095252325518198e-08,2.1095252367338859e-08,2.1095252376982418e-08,2.1095252378112939e-08
0.1525,1.8852100920488919e-08,2.0746155870995475e-08,2.0752037950387647e-08,2.0752038331266157e-08,2.0752038373777979e-08,2.0752038383539458e-08,2.0752038384690328e-08
0.155,1.8512713184232723e-08,2.041630146127342e-08,2.0423231748796453e-08,2.0423232142498574e-08,2.0423232185711042e-08,2.0423232195611534e-08,2.0423232196772085e-08
0.1575,1.8183770109076498e-08,2.009975062094163e-08,2.0107901491587286e-08,2.0107901898663975e-08,2.0107901942580893e-08,2.0107901952641242e-08,2.0107901953799894e-08
0.16,1.7865260299691134e-08,1.9796530169090554e-08,1.9806095396384876e-08,1.980609581741957e-08,1.9806095862039895e-08,1.9806095872276163e-08,1.9806095873421381e-08
0.1625,1.7557718591497097e-08,1.9507140768381282e-08,1.9518336436004199e-08,1.9518336871622047e-08,1.951833691694177e-08,1.9518336927362651e-08,1.9518336928485311e-08
0.165,1.7261069358965857e-08,1.9231411946940696e-08,1.9244477016921687e-08,1.9244477467796454e-08,1.9244477513811734e-08,1.9244477524417642e-08,1.9244477525514656e-08
0.1675,1.6974336320152072e-08,1.8968221731120978e-08,1.898341818749236e-08,1.8983418654359335e-08,1.8983418701068987e-08,1.8983418711853966e-08,1.8983418712929585e-08
0.17,1.6696672498765943e-08,1.8716533635793116e-08,1.8734145885573867e-08,1.8734146369236797e-08,1.8734146416642974e-08,1.873414642759834e-08,1.873414642866177e-08
0.1725,1.6427454551189993e-08,1.8475496371317709e-08,1.8495830025681716e-08,1.8495830527015904e-08,1.8495830575123735e-08,1.8495830586241473e-08,1.849583058730399e-08
0.175,1.6166381776836974e-08,1.8244550095134563e-08,1.8267930228479328e-08,1.82679307484341e-08,1.8267930797250782e-08,1.8267930808525578e-08,1.8267930809597654e-08
0.1775,1.5913364567143505e-08,1.8023329030491791e-08,1.8050098131377312e-08,1.8050098670975919e-08,1.8050098720509827e-08,1.8050098731939819e-08,1.8050098733028881e-08
0.18,1.5668459383343702e-08,1.7811606157142119e-08,1.7842121915435511e-08,1.784212247577672e-08,1.7842122526036856e-08,1.7842122537623201e-08,1.78421225387325e-08
0.1825,1.5431573224761888e-08,1.7609006069933946e-08,1.7643638860259399e-08,1.7643639442521388e-08,1.7643639493516858e-08,1.7643639505262753e-08,1.7643639506391084e-08
