Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
0.855,-3.0552829165323439e-05
0.8575,-2.8783074709734911e-05
0.86,-2.7283966374861904e-05
0.8625,-2.6075013038187178e-05
0.865,-2.5158288213789361e-05
0.8675,-2.4520034557688975e-05
0.87,-2.4132133484980202e-05
0.8725,-2.3954431324607712e-05
0.875,-2.3934850252865711e-05
0.8775,-2.401479050057871e-05
0.88,-2.412930347196184e-05
0.8825,-2.421018948824101e-05
0.885,-2.4188975955034598e-05
0.8875,-2.3999975059045815e-05
0.89,-2.3585801220645974e-05
0.8925,-2.2900227561130896e-05
0.895,-2.1906977709608393e-05
0.8975,-2.0583889200349856e-05
0.9,-1.8926602900014941e-05
0.9025,-1.6946115791494326e-05
0.905,-1.4667698475975541e-05
0.9075,-1.2131821354929353e-05
0.91,-9.391260835764956e-06
0.9125,-6.5112288617840256e-06
0.915,-3.5709736208743966e-06
0.9175,-6.6096037718045492e-07
0.92,2.1156284653618829e-06
0.9225,4.6540055952465881e-06
0.925,6.8596572367463157e-06
0.9275,8.6534668961702617e-06
0.93,9.9714804273567241e-06
0.9325,1.0763370010812905e-05
0.935,1.0991732170228627e-05
0.9375,1.0632327835192615e-05
0.94,9.6743920007534577e-06
0.9425,8.1210948174240901e-06
0.945,5.9900873841967984e-06
0.9475,3.3140628172734767e-06
0.95,1.394936660902666e-07
0.9525,-3.4742525525173848e-06
0.955,-7.4567245916146004e-06
0.9575,-1.1728984792255947e-05
0.96,-1.6206428250207516e-05
0.9625,-2.0801342438552621e-05
0.965,-2.5426805468506492e-05
0.9675,-2.9999640354414366e-05
0.97,-3.4440034436214428e-05
0.9725,-3.8672526586825196e-05
0.975,-4.2627929519235023e-05
0.9775,-4.6245178986237183e-05
0.98,-4.9472930494811495e-05
0.9825,-5.2267625838017321e-05
0.985,-5.4596578639690047e-05
0.9875,-5.6437673984064294e-05
0.99,-5.7778911948327185e-05
0.9925,-5.8617507717331337e-05
0.995,-5.8958532426457008e-05
0.9975,-5.881387637819434e-05
1.0,-5.8201467314670326e-05
1.0025,-5.7144579036524892e-05
1.005,-5.567128480049449e-05
1.0075,-5.381345503378588e-05
1.01,-5.1605779117833459e-05
1.0125,-4.9085493640862658e-05
1.015,-4.6291445444821228e-05
1.0175,-4.326532310067443e-05
1.02,-4.0047213773911534e-05
1.0225,-3.667912526307249e-05
1.025,-3.3204828066791815e-05
1.0275,-2.9668643741348626e-05
1.03,-2.6115902663355083e-05
1.0325,-2.2591392754959175e-05
1.035,-1.9139640797965198e-05
1.0375,-1.5806511144917432e-05
1.04,-1.2635679565330756e-05
1.0425,-9.6730903458779503e-06
1.045,-6.9620980563428073e-06
1.0475,-4.5434541024589779e-06
1.05,-2.4548680301221043e-06
1.0525,-7.2993738504192747e-07
1.055,6.0262265979819397e-07
1.0575,1.5199209523812756e-06
1.06,2.0054013526798974e-06
1.0625,2.0493930002052533e-06
1.065,1.6495281054753973e-06
1.0675,8.1116543893168854e-07
1.07,-4.5245563581543206e-07
1.0725,-2.1199287985674446e-06
1.075,-4.1615456816198857e-06
1.0775,-6.539951431118802e-06
1.08,-9.2099804475137964e-06
1.0825,-1.212035872000558e-05
1.085,-1.5212861203654989e-05
1.0875,-1.8424221992164992e-05
1.09,-2.1687818400047856e-05
1.0925,-2.4935658921875624e-05
1.095,-2.8099919157241266e-05
1.0975,-3.1115298703019102e-05
1.1,-3.3922304251709809e-05
1.1025,-3.6468891342878322e-05
1.105,-3.8711486141122444e-05
1.1075,-4.0615526339408652e-05
1.11,-4.2155516393017389e-05
1.1125,-4.3313721379232984e-05
1.115,-4.4080244517130052e-05
1.1175,-4.4453227697501441e-05
1.12,-4.4438545302347307e-05
1.1225,-4.4050244853458215e-05
1.125,-4.3310155445561768e-05
1.1275,-4.224657366082658e-05
1.13,-4.0893770796530433e-05
1.1325,-3.929097875076976e-05
1.135,-3.7481153092235058e-05
1.1375,-3.5509668130933054e-05
1.14,-3.3422930105923981e-05
1.1425,-3.1268314241837656e-05
1.145,-2.9092007582380109e-05
1.1475,-2.6938412325265821e-05
1.15,-2.4849447139680193e-05
1.1525,-2.2863731441117196e-05
1.155,-2.1015492343396488e-05
1.1575,-1.9334608772291063e-05
1.16,-1.7846666505978614e-05
1.1625,-1.6572015602444629e-05
1.165,-1.5525486632265664e-05
1.1675,-1.4716527229856935e-05
1.17,-1.414919851533816e-05
1.1725,-1.3822192161787101e-05
1.175,-1.3729030774773267e-05
1.1775,-1.3858331093720508e-05
1.18,-1.4194524152122642e-05
1.1825,-1.4719574558176426e-05
1.185,-1.54147754843859e-05
1.1875,-1.625999056841822e-05
1.19,-1.7231772119632436e-05
1.1925,-1.8303505340003151e-05
1.195,-1.9446912716934902e-05
1.1975,-2.0632885463394557e-05
1.2,-2.1832821159645622e-05
1.2025,-2.3019490007031673e-05
1.205,-2.4167293882973865e-05
1.2075,-2.5252217172910428e-05
1.21,-2.6251929702945126e-05
1.2125,-2.7146384495560022e-05
1.215,-2.79177620268475e-05
1.2175,-2.8551219928750655e-05
1.22,-2.9035484485701092e-05
1.2225,-2.9363117631731338e-05
1.225,-2.9530405380984474e-05
1.2275,-2.9536859334870904e-05
1.23,-2.9384659615047006e-05
1.2325,-2.9078349417546765e-05
1.235,-2.8624657222666245e-05
1.2375,-2.8032094659537165e-05
1.24,-2.7310913386508905e-05
1.2425,-2.6472945994681271e-05
1.245,-2.5531569778262247e-05
1.2475,-2.4501226642686004e-05
1.25,-2.3397427000705085e-05
1.2525,-2.22371304971253e-05
1.255,-2.1037341075670994e-05
1.2575,-1.9814902333938631e-05
1.26,-1.8586831313983165e-05
1.2625,-1.7369038630432331e-05
1.265,-1.6177580814778337e-05
1.2675,-1.5027342812849326e-05
1.27,-1.3932407390973129e-05
1.2725,-1.2904785005539607e-05
