Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.115,-4.6366967637439704e-17,-2.7800236286804081e-17,5.4955694187622753e-17,5.0725180020504645e-17,7.7779527332354229e-17,1.0101343684434104e-16,3.6045476161707535e-17
0.1175,-5.7514829476766192e-16,-5.8299414212312414e-16,-4.9472267759501592e-16,-4.8379425972561262e-16,-4.8769043981629792e-16,-4.8411861848748851e-16,-5.0968484196606339e-16
0.12,9.4736380569324426e-17,1.0340157665237861e-16,9.8764440860440261e-17,9.6742578178796406e-17,9.9555329872556328e-17,1.0150126647613661e-16,6.2074181454892472e-17
0.1225,1.4047129216278867e-16,1.40629569266743e-16,1.8493498163837394e-16,1.9095732805003969e-16,1.9033039184436726e-16,1.8632807504617029e-16,1.7478577906696672e-16
0.125,-3.7559543698621525e-16,-3.6943558127014273e-16,-3.6379405268468955e-16,-3.5494775107312569e-16,-3.5351323778745614e-16,-3.5421043927658488e-16,-3.5356987304958787e-16
0.1275,-1.2864198946955727e-16,-9.5415103852930521e-17,-1.3352035085677225e-16,-1.5916276940086115e-16,-1.6079133482588462e-16,-1.5619399253790381e-16,-1.8272748048760427e-16
0.13,-7.1581805316276651e-17,-6.5004919986542622e-17,-8.1827259223396776e-17,-7.9985053190360932e-17,-8.0053786286143004e-17,-7.3933192132441631e-17,-2.5486275924828541e-17
0.1325,-2.2925068077976761e-16,-1.9013440675958525e-16,-2.1116237354004869e-16,-1.7033504543784692e-16,-1.7594606748038063e-16,-1.7535529906919954e-16,-2.1733471847148954e-16
0.135,2.5954815106594636e-16,2.7394352871313937e-16,2.7127188004105752e-16,3.1711495922849604e-16,3.0949885070882994e-16,3.2454087529128604e-16,3.3787234740762649e-16
0.1375,-3.0730410569253935e-16,-3.1760986668651877e-16,-4.5449830774305209e-16,-4.5244671950085614e-16,-4.5203872395873859e-16,-4.5294042981092606e-16,-4.236257582694159e-16
0.14,1.1242475798645521e-16,7.7261338225934102e-17,3.745599929176216e-17,1.0711657177882211e-18,3.9403912467386303e-17,5.3878410589596061e-17,6.6398069376194317e-17
0.1425,2.3047885598706691e-17,5.2473229695306829e-18,7.5509550802418134e-17,1.4214511831528518e-16,1.2619633622625458e-16,1.2412381244497837e-16,1.1653978394684609e-16
0.145,-8.5370888093814395e-18,2.7223302125472408e-18,1.3142074787449581e-17,1.2663645140469587e-16,1.3125796178671711e-16,1.3920345922094039e-16,1.2846194141846506e-16
0.1475,4.0021941102480573e-17,-3.5466463908032871e-18,-8.4715855268171052e-18,-1.0723074357107977e-16,-9.0376197723968478e-17,-1.0810628432476895e-16,-1.1453486526151291e-16
0.15,4.4635101734319665e-17,3.1421005280591136e-17,8.3734608859566237e-17,4.8206239600304478e-17,5.7594815363423201e-17,1.9700675119995124e-17,1.5115773861698007e-17
0.1525,-1.2662329465874151e-16,-9.7512731262866489e-17,-4.8409928374051542e-17,-1.1705071364747221e-16,-1.1944097742881208e-16,-1.2692451622768852e-16,-1.1000621716737437e-16
0.155,1.9015493210478901e-16,2.1266002582653371e-16,2.7600320204220027e-16,3.5274090816371007e-16,2.9701507389508606e-16,2.7080445234464289e-16,2.6791314694807655e-16
0.1575,-9.266568489557922e-17,-3.6696428281973175e-17,1.8121199447535112e-17,1.821952384101886e-17,6.9748674317550678e-17,9.6348061492812281e-17,8.4616241959317108e-17
0.16,1.2778587324139108e-16,2.2401193011642015e-16,1.2721569050930274e-16,2.0232742263624723e-17,4.1158811724891379e-17,7.6004502748240456e-17,9.6333667002145492e-17
0.1625,-7.7211042547619488e-17,-7.6124897128036008e-17,-5.7818566854910629e-17,-2.1256675461737982e-17,-4.5649930484137151e-17,-5.4047880410697009e-17,-5.0945890326233878e-17
0.165,2.6426165470647257e-16,2.4016156283217913e-16,2.6169825362821034e-16,2.6832259745480302e-16,2.2742153724017394e-16,2.1868553025432602e-16,2.1733922545617483e-16
0.1675,1.5207659408962651e-17,-3.1297105120277932e-17,7.2432922899457732e-17,6.3008457615604343e-17,5.5924968406003912e-17,3.8463180417188653e-17,6.033163720136497e-17
0.17,-8.6025981681101464e-18,-4.0653059555284776e-19,2.7604638368457363e-17,-5.0968997241038709e-17,-2.1142271677411434e-17,-5.6787398557927531e-18,-1.6701470870275646e-17
0.1725,3.8256295224111525e-19,-7.1202379925602312e-17,-5.3269739268030158e-17,-8.1847128575120027e-17,-1.1949922121421013e-16,-5.0549301205574083e-17,-2.5662694665801668e-17
0.175,-1.1590553241359758e-16,-1.3152711028824299e-16,-1.4007986209224118e-16,-1.3361764341064332e-16,-9.5594290136635943e-17,-1.1756395175289462e-16,-1.337880134929382e-16
0.1775,-2.139738176216568e-16,-1.758413430357955e-16,-1.5071186271123693e-16,-8.4985738800714627e-17,-3.8042195518926019e-17,-1.3450680648551617e-18,1.9480158083704334e-18
0.18,-1.3048829678584229e-16,-1.3964880873995001e-16,-1.1725797751435283e-16,-2.159985470232867e-16,-2.1825873612952588e-16,-2.766343010240681e-16,-2.6690181858061759e-16
0.1825,2.0461977382127294e-16,2.296143827295599e-16,2.6304794627760814e-16,2.1839685934541099e-16,2.3811250630100151e-16,2.9534877303887037e-16,2.5770940894192918e-16
0.185,1.9909530182846064e-16,2.4879582337543127e-16,3.5506633316398584e-16,4.6988703946749904e-16,5.4117866254119579e-16,4.9980626274863221e-16,4.0823235025193515e-16
