Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.11,7.4580935590214996e-05,0.00010234387816805938,0.00010394105224597552,0.00010425107393498185,0.0001043889854454657,0.00010448755516977729,0.00010450221108646177
0.1125,7.3922121786814521e-05,0.0001026540993294899,0.00010431268127772858,0.00010462595368149259,0.00010476565164773937,0.00010486620012701184,0.00010488369704102541
0.115,7.3221111168076002e-05,0.00010295641334345833,0.00010467966486018019,0.00010499601761143883,0.00010513733036512764,0.00010523947770641217,0.00010525912236348802
0.1175,7.2480129909355934e-05,0.00010324932027671507,0.00010504079699418579,0.0001053600376318015,0.00010550275742512884,0.0001056060649353918,0.00010562704504548934
0.12,7.1702897324429048e-05,0.00010353159898206308,0.00010539532405529531,0.00010571737986357575,0.00010586140380870872,0.00010596564323692043,0.00010598754526027783
0.1225,7.0894105177439013e-05,0.00010380185046269856,0.00010574230738142438,0.00010606718201506667,0.00010621247600016805,0.00010631754610438522,0.00010634017527216682
0.125,7.0059938119085887e-05,0.00010405916725255335,0.0001060813201130446,0.00010640913077750569,0.00010655577324379637,0.00010666179628733924,0.00010668535726243896
0.1275,6.9207899034716061e-05,0.00010430253093634675,0.00010641110996088378,0.00010674157727868858,0.0001068892563700964,0.0001069955900369144,0.00010701875932307977
0.13,6.8348188369726965e-05,0.00010453399061283857,0.0001067345178185186,0.00010706799576174976,0.00010721702737494534,0.00010732431510844729,0.00010734833461432941
0.1325,6.7487508223068691e-05,0.00010475230903164445,0.00010705061974868384,0.0001073873477589124,0.0001075379280236146,0.00010764655280907563,0.00010767215550739682
0.135,6.663195474172316e-05,0.00010495637679375183,0.00010735886365539482,0.00010769903550676734,0.00010785131647806147,0.00010796154596316218,0.00010798923339833478
