Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.12,8.8776173925142423e-10,8.8427367137691575e-10,8.4614383296488088e-10,8.1730232613198031e-10,8.1535077625340592e-10,8.1671776977961266e-10,8.1801239207524287e-10
0.1225,8.9377498688893764e-10,8.8973075841013835e-10,8.5344679108066417e-10,8.3018309828806646e-10,8.3399192844740199e-10,8.401585348027652e-10,8.4262908753618505e-10
0.125,8.7299176786916871e-10,8.6731663203997312e-10,8.2809934730663495e-10,8.0269194326692398e-10,8.0836698502328108e-10,8.1742013859854662e-10,8.2066078271276601e-10
0.1275,8.23482986979349e-10,8.1530945497866443e-10,7.6951203116014925e-10,7.3470279836636722e-10,7.3822405570146408e-10,7.47903654888929e-10,7.5120591235290358e-10
0.13,7.542318432063445e-10,7.422102783699897e-10,6.862477111121853e-10,6.3562959225593033e-10,6.3344784512601573e-10,6.4195383845733306e-10,6.4517707025670208e-10
0.1325,6.7064421287923798e-10,6.5353050838046692e-10,5.8496084495940482e-10,5.1369178102276693e-10,5.0290600514078889e-10,5.0866324086874989e-10,5.117992924976465e-10
0.135,5.8068014246889591e-10,5.5748963966950066e-10,4.7506723454173975e-10,3.8012180857525111e-10,3.5863994320871327e-10,3.6040927050078538e-10,3.6339338120543582e-10
0.1375,4.9340679542771695e-10,4.6361509018150772e-10,3.6736916981972102e-10,2.4766064873476806e-10,2.1425998898189013e-10,2.111854325047567e-10,2.1385770315236129e-10
0.14,4.177971241765247e-10,3.8143026018638345e-10,2.7258773354098485e-10,1.2892164891602956e-10,8.3236683498108306e-11,7.4832402677622912e-11,7.701658650152766e-11
0.1425,3.613695261723099e-10,3.1905250273639827e-10,1.9993527417812105e-10,3.4862282883577149e-11,-2.2653471456556459e-11,-3.654421401832218e-11,-3.4974350648232314e-11
0.145,3.2922172341706454e-10,2.8214511694839892e-10,1.5597923089617536e-10,-2.648673856784108e-11,-9.4639001033253624e-11,-1.1387092760992629e-10,-1.1293796132909032e-10
0.1475,3.2340845581113999e-10,2.7307586804636148e-10,1.4350514931174004e-10,-5.1388283268928502e-11,-1.2841009992979367e-10,-1.5260363845556875e-10,-1.5221949624353328e-10
0.15,3.4275772909944954e-10,2.9071060571751686e-10,1.612841631454284e-10,-4.0705877097953977e-11,-1.2445817764672799e-10,-1.5308597204210811e-10,-1.5312898918293024e-10
0.1525,3.8329789688238399e-10,3.3088149717323641e-10,2.0458267883039795e-10,5.8349366575205701e-13,-8.7598831080960293e-11,-1.2005879115769198e-10,-1.2046731414819963e-10
0.155,4.3931829394897536e-10,3.8750665962813377e-10,2.6641151504180844e-10,6.4691971479098195e-11,-2.5719083179341917e-11,-6.1396561041340149e-11,-6.2227230858908952e-11
0.1575,5.0439881174912315e-10,4.5368451816123468e-10,3.3876513418153487e-10,1.4234772917321163e-10,5.1559849464487645e-11,1.3211675380068776e-11,1.1775600536736177e-11
