Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.145,3.0596692330763141e-10,2.5413895422967695e-10,1.3706649932049506e-10,-7.3740657130680106e-11,-1.5022220114609865e-10,-1.6998151499086184e-10,-1.6885638758016232e-10
0.1475,2.9961624762059691e-10,2.4457813557608266e-10,1.2427577173081431e-10,-1.0020360020734863e-10,-1.8631669287903678e-10,-2.113529831486952e-10,-2.1083269730104159e-10
0.15,3.1838143553060604e-10,2.6178746165637891e-10,1.4158749407289026e-10,-9.0439889500760183e-11,-1.8374785947615757e-10,-2.1346431421367301e-10,-2.1344562447750309e-10
0.1525,3.5834717220594089e-10,3.0163184078521562e-10,1.843315545902436e-10,-4.9432675323398756e-11,-1.4735784957579442e-10,-1.810763104237285e-10,-1.8150842692131429e-10
0.155,4.1386366151932712e-10,3.580523037485644e-10,2.4558259109617081e-10,1.4965553522475534e-11,-8.513888706374449e-11,-1.2217548665965684e-10,-1.2311572809740429e-10
0.1575,4.7852719957443226e-10,4.2412183209534968e-10,3.1736120277343578e-10,9.3332877922363952e-11,-6.9233541168630925e-12,-4.6672674269805415e-11,-4.8296756489411199e-11
0.16,5.4570942711895341e-10,4.9299082027112034e-10,3.9229881302458555e-10,1.7690000343118647e-10,7.8080176872632353e-11,3.6251158604539329e-11,3.3662770411718887e-11
0.1625,6.0988270694025255e-10,5.5870277175965292e-10,4.6365979969254583e-10,2.5727640172949001e-10,1.6076569933616254e-10,1.1735387451632225e-10,1.1346179414621007e-10
0.165,6.6689530839373275e-10,6.1680320387748736e-10,5.2647201097354092e-10,3.2806929695168256e-10,2.3401415716450404e-10,1.8935086697782989e-10,1.837990104311236e-10
0.1675,7.1419796126053545e-10,6.6456511413748033e-10,5.777409489838353e-10,3.8525225662012381e-10,2.9315157795809351e-10,2.4737985170408748e-10,2.398353142496324e-10
0.17,7.5084215827910251e-10,7.0097114632686982e-10,6.1639236322549768e-10,4.2720010408714166e-10,3.3607181147617495e-10,2.8913922746055503e-10,2.7932053977835975e-10
0.1725,7.7723241407931026e-10,7.2647271154387238e-10,6.4303031979232791e-10,4.5449980733099093e-10,3.6313615321442992e-10,3.148446518393015e-10,3.0254475513997825e-10
0.175,7.9476223886808926e-10,7.425921233186192e-10,6.5945732120239426e-10,4.6940699984202919e-10,3.7665540566880983e-10,3.2674744562474338e-10,3.1184976939244827e-10
0.1775,8.0543580965926984e-10,7.515180060257932e-10,6.682169674804931e-10,4.7527776868436472e-10,3.8031475279944282e-10,3.2860488435119792e-10,3.1110349545287347e-10
0.18,8.1153612581248056e-10,7.5572455679863753e-10,6.7211805226262968e-10,4.7590526355803535e-10,3.7843786967041021e-10,3.249409502886725e-10,3.0495071404478925e-10
0.1825,8.1538505520897158e-10,7.5767826400343476e-10,6.7385874550396204e-10,4.7493870637570624e-10,3.7529505778012305e-10,3.2032572513789789e-10,2.980774393258541e-10
0.185,8.1916762562988733e-10,7.5963446658245848e-10,6.7577546244217585e-10,4.7545712379170817e-10,3.7455697187028907e-10,3.1877645487895715e-10,2.946017430104941e-10
0.1875,8.2458303958396905e-10,7.6335963080016111e-10,6.7969652914296612e-10,4.797862636002439e-10,3.7904622448387878e-10,3.2350729608023905e-10,2.979026839438822e-10
0.19,8.3284015769756611e-10,7.7011284410888732e-10,6.8690691950502628e-10,4.8939403447096649e-10,3.9053829191241729e-10,3.3664393402882895e-10,3.1033109959817669e-10
0.1925,8.4453011086254636e-10,7.8055081952105187e-10,6.9811588611885198e-10,5.0488800638746003e-10,4.0971550368159533e-10,3.5911653450994855e-10,3.3310797315907142e-10
0.195,8.6023563268846251e-10,7.9511152001031774e-10,7.1346909110771157e-10,5.2585149079913745e-10,4.3586977919414273e-10,3.9015034850718513e-10,3.6554286238625392e-10
0.1975,8.7953885099780387e-10,8.1339018646309723e-10,7.325507017442546e-10,5.5129253776647866e-10,4.6757651177262625e-10,4.2815153622730393e-10,4.0622462744643205e-10
0.2,9.0160049584897662e-10,8.3451343775011657e-10,7.5441429004561194e-10,5.7956570926388682e-10,5.0256219373681665e-10,4.7042774365892576e-10,4.5247504349431966e-10
0.2025,9.2514281679103969e-10,8.5714379255952153e-10,7.776353104387273e-10,6.0853810204155688e-10,5.3796668703881469e-10,5.135067249312703e-10,5.006519734224994e-10
0.205,9.4875442198129226e-10,8.7972267676997881e-10,8.0044804668103753e-10,6.357473823243946e-10,5.7056810577591719e-10,5.5342963809426155e-10,5.4642534939785998e-10
0.2075,9.6981118994622014e-10,8.9977385597175068e-10,8.2070902923435457e-10,6.5876126291563685e-10,5.9736022408841797e-10,5.8649741045335467e-10,5.856776850822014e-10
0.21,9.8762338208882617e-10,9.1614038891552732e-10,8.3655920013607091e-10,6.750618060047365e-10,6.1518955702344932e-10,6.0884477554150315e-10,6.1393080930006092e-10
0.2125,9.9990443391961593e-10,9.2661937310110098e-10,8.4607702239750142e-10,6.8273829160431938e-10,6.2188536804638226e-10,6.1783169294061633e-10,6.2805706540506161e-10
0.215,1.0056877378676313e-09,9.3006857345055757e-10,8.4795756165781214e-10,6.8043429218602389e-10,6.1594711270399426e-10,6.1165477631540104e-10,6.2581070966617802e-10
