Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.1625,1.1280302618035036e-11,2.1067625007710842e-12,-1.3131885715279107e-11,-1.6841420903489096e-11,-1.7550151453211886e-11,-1.7783168895985614e-11,-1.7788421734816537e-11
0.165,1.4168967480314949e-11,6.0894894068834249e-12,-7.6955720074610169e-12,-1.1010893550734664e-11,-1.1646779757328378e-11,-1.1884603725381401e-11,-1.1894395455632085e-11
0.1675,1.6819430898668602e-11,9.4326652722855468e-12,-3.4474031010233438e-12,-6.4967856794261871e-12,-7.0761339977064244e-12,-7.3176613353493511e-12,-7.3344626510530411e-12
0.17,1.9044646398632522e-11,1.1992714006897378e-11,-5.091448190154193e-13,-3.4260860114711312e-12,-3.9710901684966732e-12,-4.218307221787567e-12,-4.2451836811615173e-12
0.1725,2.0747017241615983e-11,1.3733327509937214e-11,1.1496433582202978e-12,-1.7571983581173395e-12,-2.2911031207906992e-12,-2.5482520018847796e-12,-2.5890624483969346e-12
0.175,2.1926092590169367e-11,1.4723278721312849e-11,1.6939768796751394e-12,-1.3029273643835548e-12,-1.8464448401794847e-12,-2.118678733774087e-12,-2.1782665509624523e-12
0.1775,2.2660150760270214e-11,1.5116156362043273e-11,1.3983636981681684e-12,-1.7567783412783801e-12,-2.3249110645146653e-12,-2.6164184893287988e-12,-2.7003466015492018e-12
0.18,2.3075263732284328e-11,1.5117680909242316e-11,6.0743517056899553e-13,-2.7330553703284117e-12,-3.3318526287009903e-12,-3.6434615823502401e-12,-3.7568805327637386e-12
0.1825,2.3315234299965053e-11,1.4948844651414099e-11,-3.1663594889407915e-13,-3.8234028783230754e-12,-4.4472789487563293e-12,-4.7739412798405871e-12,-4.9195313222156302e-12
0.185,2.3519327810242764e-11,1.4813392924592783e-11,-1.0504544456604631e-12,-4.6617040602783013e-12,-5.2929038376520946e-12,-5.6221251711320086e-12,-5.7975968028316921e-12
0.1875,2.3809366889918694e-11,1.4875068402128634e-11,-1.3548326006087452e-12,-4.9799584000279444e-12,-5.5916555183583579e-12,-5.9043274060667073e-12,-6.1005119468116979e-12
0.19,2.4283731908823912e-11,1.5246796411541439e-11,-1.0977631130535362e-12,-4.6387473345986017e-12,-5.201615403947919e-12,-5.4761121349545538e-12,-5.676951198314976e-12
0.1925,2.5014863397918687e-11,1.5990244458026255e-11,-2.5114318631387016e-13,-3.6246672459011122e-12,-4.1147942359467492e-12,-4.3334371109707693e-12,-4.518832834104874e-12
0.195,2.6047351954151621e-11,1.7121280734523502e-11,1.1306537127163893e-12,-2.0226175036231669e-12,-2.4274620250730086e-12,-2.5825447521446482e-12,-2.7338334597929297e-12
0.1975,2.73939439130328e-11,1.8615141163848294e-11,2.9366931819962257e-12,1.9950808542018211e-14,-3.0013445294883396e-13,-3.9623732243646429e-13,-5.0235951902757495e-13
0.2,2.902939813221831e-11,2.0408135105082585e-11,5.0186729845247713e-12,2.3210888593361694e-12,2.074748088304116e-12,2.023597760798031e-12,1.9622988929875622e-12
0.2025,3.0883433997233655e-11,2.2395159524441719e-11,7.1984807220283628e-12,4.6767960530383836e-12,4.4875223692999727e-12,4.4641591799783713e-12,4.436980510202431e-12
0.205,3.2836537455781801e-11,2.4426663870276457e-11,9.2674857646710354e-12,6.8608501674066733e-12,6.710836111537608e-12,6.7010873188007443e-12,6.6928163681568976e-12
0.2075,3.4722813396870911e-11,2.6310652073761032e-11,1.0986093067097985e-11,8.6221417320003807e-12,8.4950957020066876e-12,8.4906508234360822e-12,8.489192458611936e-12
0.21,3.634619232721121e-11,2.7827453413512234e-11,1.2094400017035498e-11,9.6922252469837225e-12,9.5738484095636481e-12,9.5713642768582586e-12,9.5727215150071983e-12
0.2125,3.7510972175262563e-11,2.8758962838283523e-11,1.233783280368398e-11,9.8082857381504992e-12,9.6851317220318523e-12,9.6834840556429152e-12,9.6911938109994845e-12
0.215,3.8062039115948986e-11,2.8928693487195957e-11,1.1505482696911861e-11,8.7499852669327636e-12,8.6074285964976997e-12,8.6054901227005687e-12,8.6252783330812129e-12
0.2175,3.7922784579728506e-11,2.824064464268919e-11,9.4700671906180988e-12,6.3794917692165879e-12,6.1994009981063463e-12,6.1951954657689179e-12,6.2288403065736586e-12
0.22,3.7118426127767176e-11,2.6705121171676029e-11,6.2182732448230536e-12,2.6736019168992176e-12,2.4323019017057639e-12,2.4225153327777812e-12,2.4652239590758674e-12
0.2225,3.5772678261055731e-11,2.443997549739801e-11,1.8604259649400411e-12,-2.2630409505410268e-12,-2.5956758614376599e-12,-2.617254765239202e-12,-2.5745042133897838e-12
0.225,3.4084999869293486e-11,2.165381649245211e-11,-3.3751347684056248e-12,-8.198636670288979e-12,-8.6578970231337618e-12,-8.7030289792886109e-12,-8.6684947833877878e-12
0.2275,3.2290406927773369e-11,1.861181746143271e-11,-9.165199174087359e-12,-1.479221498848617e-11,-1.5414294826312954e-11,-1.5502141705133564e-11,-1.5479761070784775e-11
0.23,3.0619024665105072e-11,1.5598845139556167e-11,-1.5121867592183551e-11,-2.1620333672079165e-11,-2.2435232509014947e-11,-2.2590861661494445e-11,-2.2580741449224131e-11
0.2325,2.9266757488536949e-11,1.2889201036569956e-11,-2.0824375244244467e-11,-2.8209084421317094e-11,-2.923225042757694e-11,-2.9480695052276075e-11,-2.9482906441494238e-11
