Physical Time (s),xth_left Monitor (kg-m/s^3)
1.3175,-5.5295216590414726e-14
1.32,-2.1943968876035192e-14
1.3225,-7.1300847621109434e-14
1.325,-2.4869140034355277e-14
1.3275,1.3905632485500454e-14
1.33,2.0142396082225049e-15
1.3325,1.66587368191888e-13
1.335,-4.8910176426075926e-14
1.3375,1.0759400896028559e-14
1.34,4.5010792008015418e-14
1.3425,2.2136800677991436e-14
1.345,-7.1825373764913034e-14
1.3475,7.8432592870079058e-14
1.35,3.3009298287712462e-14
1.3525,1.7851465196836235e-13
1.355,-9.694296774959501e-17
1.3575,1.2636202771929425e-14
1.36,2.8198081070719789e-13
1.3625,-4.370038368341347e-14
1.365,-5.9118485812977942e-14
1.3675,-6.0414181369620553e-14
1.37,5.4351452199885016e-14
1.3725,1.6016386902031488e-14
1.375,-2.0960102030054862e-14
1.3775,-1.3663080931904652e-13
1.38,2.2108543928167582e-14
1.3825,-1.6782999244131882e-14
1.385,6.9238263952480572e-14
1.3875,-1.3202984793493228e-14
1.39,-6.5301257816950883e-14
1.3925,-1.7874691888838313e-13
1.395,8.538461324249075e-14
1.3975,5.1911757774479759e-15
1.4,1.3723744698852392e-13
1.4025,1.7219504602526673e-14
1.405,3.3398594700348802e-14
1.4075,-6.9357307726055681e-14
1.41,7.5434678183936012e-14
1.4125,-9.7435080626463514e-14
1.415,-2.3426720500250405e-14
1.4175,9.1793913918431348e-14
1.42,-6.2094831189777566e-14
1.4225,1.3260088127506594e-14
1.425,-5.2070419340017724e-14
1.4275,-3.7491025188134962e-14
1.43,1.158705495367591e-14
1.4325,2.7777053255790168e-14
1.435,5.3645637841289176e-15
1.4375,-4.7726197433986417e-14
1.44,-1.1422377987860581e-13
1.4425,-1.3171771433147475e-13
1.445,-4.4968173014633462e-14
1.4475,-9.9506448795741002e-14
1.45,-8.2400205167514603e-14
1.4525,6.2441841556586062e-14
1.455,3.3546171807022624e-14
1.4575,-5.6738864159508025e-14
1.46,-4.7904151061350426e-14
1.4625,1.2028350535693009e-13
1.465,1.2427344237934585e-13
1.4675,-1.367048515498841e-14
1.47,1.0059628071427929e-13
1.4725,-2.0835133550513103e-14
1.475,6.4122386325899539e-15
1.4775,-8.8576257731137616e-14
1.48,-1.0767105474194886e-13
1.4825,-1.4539224621041257e-15
1.485,-3.2426624167904578e-14
1.4875,1.7761923281995499e-13
1.49,-5.1615861269849783e-14
1.4925,-6.8959676356296713e-14
1.495,1.0861556850747547e-13
1.4975,6.9139941778377462e-14
1.5,-1.8261492899290508e-13
1.5025,1.8215568947479354e-15
1.505,-2.2142000963907424e-14
1.5075,3.94130205559184e-14
1.51,2.0909570347718954e-14
1.5125,-5.780548617854299e-14
1.515,5.8878905268608614e-14
1.5175,-2.2299385659795657e-14
1.52,-1.6512258969801285e-13
1.5225,-8.9092346091371142e-14
1.525,1.2484657675157317e-14
1.5275,-4.0133336319074673e-14
1.53,8.0448304193337189e-14
1.5325,1.4431668092767326e-13
1.535,1.1526199048905636e-13
1.5375,-3.2710262983982138e-14
1.54,-1.3426545572720574e-14
1.5425,-1.1446341769125188e-13
1.545,5.0561013117583683e-14
1.5475,5.4912463850896492e-14
1.55,1.9081457111992111e-13
1.5525,8.865622341666823e-14
1.555,-1.6291791700166246e-14
1.5575,-1.5155688092353551e-13
1.56,-2.8147215215858337e-14
1.5625,2.7321009055537167e-14
1.565,2.1997770576089621e-14
1.5675,-7.3928216531446188e-14
1.57,6.4085801417955067e-14
1.5725,3.6397382791833434e-14
1.575,1.1160673323301913e-13
1.5775,-7.07640715677246e-14
1.58,-1.8734275373779399e-14
1.5825,1.9965169739113526e-14
1.585,-1.0180300028555004e-13
1.5875,-1.0453552956006345e-13
1.59,7.8119014302594535e-14
1.5925,1.8350362730151147e-14
1.595,1.8715354457194156e-14
1.5975,1.6988099154360481e-14
1.6,-1.0545853379084717e-13
1.6025,-2.2221873575952414e-14
1.605,-3.2993473674436668e-14
1.6075,-5.4321471368697491e-14
1.61,1.6127876158272338e-14
1.6125,4.3528072139030006e-14
1.615,-1.8910669880521117e-13
1.6175,-3.7836037352027702e-14
1.62,3.7150438995923155e-14
1.6225,-1.6913434304910802e-14
1.625,1.2822502447929791e-13
1.6275,-3.7342468777713265e-14
1.63,-4.746221048701257e-14
1.6325,-2.3965431130548168e-14
1.635,3.5605392988464975e-14
1.6375,-3.6314966012072741e-15
1.64,7.9296700377408817e-14
1.6425,-2.6009911661980105e-14
1.645,1.0149528539988366e-13
1.6475,5.9370407792671204e-16
1.65,-1.0329869470453729e-13
1.6525,-8.6663452041899334e-14
1.655,6.6864801226808509e-14
1.6575,5.8210365396187848e-14
1.66,-1.2255999081603392e-14
1.6625,-1.0416393453118189e-13
1.665,1.8955015536492223e-14
1.6675,-2.3214401808970742e-13
1.67,-2.7211415882006284e-14
1.6725,-6.489185941483773e-14
1.675,-1.7704984044671046e-13
1.6775,1.4269222488718566e-13
1.68,8.3023952263467896e-14
1.6825,-1.6508340144958642e-13
1.685,4.3099441185425284e-14
1.6875,-2.0517339055232295e-14
1.69,-1.1678911606195239e-14
1.6925,-4.9728004985523436e-14
1.695,3.9543782199986711e-14
1.6975,-2.599433693349238e-14
1.7,-1.1716304545334751e-13
1.7025,-1.1071746596523413e-15
1.705,-2.2671338112005076e-14
1.7075,-4.9976663238518248e-14
1.71,-9.0288771214226185e-14
1.7125,-5.5014022349220322e-14
1.715,5.3470641186385696e-14
1.7175,-5.3726098700749513e-14
1.72,-1.3988372825964539e-13
1.7225,-2.4163907071064757e-14
1.725,3.5083870731546687e-14
1.7275,-3.6910660667610711e-14
1.73,-1.9544466397042247e-14
1.7325,7.0795235732649743e-15
1.735,-3.4397123215349035e-14
1.7375,-2.2619908068821494e-14
1.74,2.9239123726921968e-14
1.7425,-1.0451328691547392e-13
1.745,-3.5031259991174076e-14
1.7475,1.3881761033732334e-14
1.75,-3.4002649305384764e-14
1.7525,-7.0912489686578738e-14
1.755,-4.8085116781449446e-14
1.7575,1.3183050461195625e-13
1.76,5.4687701134521126e-14
1.7625,-6.8443123508165587e-14
1.765,-1.4117253203646869e-13
1.7675,1.449254856744333e-13
1.77,-1.4139767727113106e-13
1.7725,6.8862519065111333e-14
1.775,9.0605438976359365e-15
1.7775,-4.2474931806746222e-14
1.78,1.5122993594140434e-13
1.7825,-1.1573029161785854e-13
1.785,-1.8032929880020183e-13
1.7875,-3.9639099650170657e-14
1.79,5.4686330426432687e-15
1.7925,5.4872527241766105e-14
1.795,5.7863902335177908e-15
1.7975,-8.8660438435821891e-16
1.8,3.1172056679631738e-14
1.8025,-7.1911769429828746e-14
1.805,9.0936911966517237e-14
1.8075,-7.7365268049550524e-15
1.81,-2.1571773392338992e-14
1.8125,6.7765422030347292e-14
1.815,6.3584198434738121e-14
1.8175,4.7352895988683046e-15
1.82,3.3159988856098123e-14
1.8225,-1.576944204866467e-14
1.825,6.5744066500976726e-14
1.8275,1.1071033762816591e-13
1.83,-3.863202441218793e-14
1.8325,1.3614084885522818e-13
1.835,6.2193229519904362e-14
1.8375,-4.5459082309215998e-14
1.84,-3.5178683798961365e-14
1.8425,6.0063086212692612e-14
1.845,4.0230840096713043e-14
1.8475,3.873267232983461e-14
1.85,5.8597202344773877e-14
1.8525,6.5594605182269391e-14
1.855,-4.3746577709052908e-15
1.8575,1.0040531961094557e-13
1.86,1.0974018038236251e-15
1.8625,2.2729730304663187e-14
1.865,-4.6154185840223602e-14
1.8675,-2.8170429345695636e-15
1.87,5.2030126765918624e-14
1.8725,3.918840096689648e-14
1.875,-5.8241685550601794e-14
1.8775,-1.2377475759643916e-13
1.88,6.3754807043831806e-14
1.8825,5.1667973342303667e-14
1.885,-1.3324172390766136e-13
1.8875,-1.6958425230998097e-14
1.89,-1.5576381005468777e-13
1.8925,-5.3831143164792373e-15
1.895,-3.1037779418940451e-14
1.8975,-5.7947716642918258e-14
1.9,4.0051867940508164e-14
1.9025,-1.0581723642462919e-13
1.905,-1.5535357160969e-13
1.9075,-8.6287065930179564e-14
1.91,-3.993698203048722e-14
1.9125,-1.2584600401987995e-13
1.915,6.4335204098182902e-15
1.9175,-6.1554989430482801e-15
1.92,-9.7861670446234318e-14
1.9225,8.7080665599842253e-15
1.925,5.6759148940489518e-14
1.9275,-1.3643001049188634e-14
1.93,-1.0074526466713428e-13
1.9325,4.880866168724085e-14
1.935,-1.4043111392583736e-13
1.9375,-6.1326726743957174e-14
1.94,-8.7207001726573513e-14
1.9425,1.0279109724004915e-14
1.945,5.5191687136278225e-15
1.9475,-9.4336847045300519e-14
1.95,-1.2015734498798415e-13
1.9525,-1.8198628611934639e-13
1.955,9.0475411815794392e-15
1.9575,4.9216064385458074e-14
1.96,-7.6079867579023483e-14
1.9625,3.0741670771761978e-14
1.965,-4.2626396916214391e-15
1.9675,-1.9742657444396872e-14
1.97,-1.4934266845871532e-13
1.9725,-5.4692238298561429e-14
1.975,-1.5912502894565145e-14
1.9775,1.2420588263867709e-13
1.98,7.560634631737541e-14
1.9825,-1.4379124952523919e-14
1.985,8.0881417239942579e-14
1.9875,8.3186997416762778e-14
1.99,-4.9017343192164441e-14
1.9925,4.762278800486392e-14
1.995,7.4718594528635834e-14
1.9975,-4.1356035930441294e-14
2.0,-8.5682055505324476e-14
2.0025,7.923374701744927e-14
2.005,-4.8404514315640321e-14
2.0075,4.0837259578742654e-14
2.01,9.0644050566418282e-14
2.0125,-1.106012157332719e-13
2.015,-5.4356384255367997e-14
2.0175,2.5913527621082234e-14
2.02,5.343660105729393e-14
2.0225,1.1176439412006886e-13
2.025,-3.4250553815101777e-14
2.0275,-1.0207941501732696e-13
2.03,-1.3694343712194894e-13
2.0325,-4.7363315960869169e-14
2.035,3.2272802649256908e-14
2.0375,9.6220591382944556e-14
2.04,-4.5463306181723463e-14
2.0425,-1.3529512752764315e-13
2.045,-4.8170145749289633e-14
2.0475,-1.3951832912668268e-14
2.05,3.0342550459028999e-14
2.0525,-2.0755780596753365e-15
