Physical Time (s),enth_flux_pressure_right Monitor (kg-m/s^3): right_cv1,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv2,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv3,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv4,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv5,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv6,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv7
3.94,0.00013586713269648761,6.5097007264142145e-05,5.1324693708077898e-05,4.4502858371158645e-05,3.7444080572154853e-05,2.8035730313799095e-05,2.0709256195118757e-05
3.9425,0.00013546090022627016,6.7111070907731335e-05,5.2661313058237187e-05,4.5420268517910647e-05,3.8211443976209404e-05,2.8670096579556671e-05,2.1507511563803324e-05
3.945,0.00013511467387723963,6.9027843079821967e-05,5.389039325078764e-05,4.6289548919900694e-05,3.8971398194781547e-05,2.932305595491391e-05,2.2324773706730155e-05
3.9475,0.00013483286629977393,7.0794748662163934e-05,5.4983151047073732e-05,4.709212443649674e-05,3.9712801579256661e-05,2.9986711291559707e-05,2.3157621252478195e-05
3.95,0.00013462008332610007,7.2357220631230705e-05,5.5932693051591213e-05,4.7818730287290406e-05,4.0427092570941097e-05,3.065903449322002e-05,2.4000164914914279e-05
3.9525,0.00013447987325449111,7.3657040363450026e-05,5.6714893732948345e-05,4.8463730684652181e-05,4.1101796414624771e-05,3.1332923634022785e-05,2.4848321609883015e-05
3.955,0.0001344120965281102,7.4638714616031483e-05,5.7310548021842213e-05,4.9014108291847571e-05,4.1740558746250822e-05,3.2006348932067686e-05,2.5698470221392562e-05
3.9575,0.00013442112029865853,7.5257031065915466e-05,5.7718924945059033e-05,4.9463430646814105e-05,4.234104434523211e-05,3.2674113319339053e-05,2.654655214847897e-05
3.96,0.00013450395611791529,7.5483763713829355e-05,5.7923382187324927e-05,4.9803142089387298e-05,4.2882667121775384e-05,3.3326801226019917e-05,2.7386566086411625e-05
3.9625,0.00013466568989097812,7.5300411787033848e-05,5.7921158004704213e-05,5.0026741427690671e-05,4.3358474334869106e-05,3.3969440367585685e-05,2.8213651235031429e-05
3.965,0.0001349035857871158,7.471509718561751e-05,5.7721812376241593e-05,5.0138842975201653e-05,4.3768234453451707e-05,3.4593574264932366e-05,2.9024432335085326e-05
3.9675,0.00013521826091144603,7.3736623748195821e-05,5.7339392125793229e-05,5.0158892470747156e-05,4.4121093967255465e-05,3.5194270395415181e-05,2.9814443207631978e-05
3.97,0.00013560330277609305,7.2413211690942864e-05,5.6785983300159645e-05,5.0079937309037703e-05,4.4399491530078812e-05,3.5733089014880636e-05,3.0578906523160958e-05
3.9725,0.00013605938799597921,7.0784359338402897e-05,5.607905934489776e-05,4.9906415691681516e-05,4.4614518038497939e-05,3.6258704704962188e-05,3.1310769276510247e-05
3.975,0.00013658025448330349,6.8912521453427957e-05,5.5238022645802472e-05,4.964311864891674e-05,4.4769588087763773e-05,3.6752846476828359e-05,3.2004946131705968e-05
3.9775,0.00013715527676020538,6.6864806116637677e-05,5.4288025226468923e-05,4.9295408434688829e-05,4.4856596591325595e-05,3.7223485471872262e-05,3.2657208474214667e-05
3.98,0.00013777696073916359,6.4706860205395643e-05,5.324158697543597e-05,4.8870179108999501e-05,4.4883322428775191e-05,3.7646726573762478e-05,3.3261385800153074e-05
3.9825,0.00013843477688646287,6.2504580147366138e-05,5.2127171320203823e-05,4.8381821692379472e-05,4.4842570493666063e-05,3.801698850981637e-05,3.3819614256912515e-05
3.985,0.00013911646757056565,6.0314257171782681e-05,5.09671875659003e-05,4.7839290599529094e-05,4.4733946602536007e-05,3.8344485490670409e-05,3.4330158814065202e-05
3.9875,0.00013981308939190439,5.8187655278762069e-05,4.9777752704212911e-05,4.7250977352492533e-05,4.4569622920228108e-05,3.8624518156026144e-05,3.4786637766677918e-05
3.99,0.0001405088721020608,5.6159137531077485e-05,4.8577324163565185e-05,4.662739270024093e-05,4.4354748160205971e-05,3.8847896710056092e-05,3.5187991886620012e-05
3.9925,0.00014119034009695642,5.4254372342990613e-05,4.7382590133760748e-05,4.5978317092479606e-05,4.4092016336584345e-05,3.9020698300290261e-05,3.5532439258248046e-05
3.995,0.00014184192640408593,5.2490162616197045e-05,4.6208037336069866e-05,4.5311926382629638e-05,4.3782555641183904e-05,3.9142365987917936e-05,3.5814474521277225e-05
3.9975,0.00014245006448402575,5.0873272425100665e-05,4.50688236481369e-05,4.4635595895520084e-05,4.3434178969732173e-05,3.9210709813159746e-05,3.6032936174276321e-05
4.0,0.00014300419534647504,4.9404730888116919e-05,4.3977543528134063e-05,4.3957402789289552e-05,4.3050727992392669e-05,3.9226637245503544e-05,3.6187297705121959e-05
4.0025,0.00014349041824428466,4.808451917537133e-05,4.2930097756725401e-05,4.3287487321498375e-05,4.2638915038249525e-05,3.9195035176188602e-05,3.62766173949714e-05
4.005,0.00014389968878504277,4.6908193752520679e-05,4.1954008769767598e-05,4.2632190203588314e-05,4.2201961554976916e-05,3.9104807538868617e-05,3.6300811603318976e-05
4.0075,0.00014422033011117548,4.5871350079569102e-05,4.1047216294540501e-05,4.2000266718336501e-05,4.1745252681997838e-05,3.8966388806737402e-05,3.6261411425313906e-05
4.01,0.00014444598740726976,4.4967999273814091e-05,4.0215134902611157e-05,4.1400092831255571e-05,4.1273048543033582e-05,3.877617981100978e-05,3.6157698454130103e-05
4.0125,0.00014458217668072176,4.4194415691434973e-05,3.9459842165674155e-05,4.08214194022089e-05,4.0792958099380105e-05,3.8534760662606153e-05,3.5989693518872034e-05
4.015,0.00014462551421019889,4.3546759998989854e-05,3.8785469789246827e-05,4.0277598152917396e-05,4.0313244998139382e-05,3.8251235187475191e-05,3.5758810540726489e-05
