Physical Time (s),lift Monitor (N)
1.0525,9.4886619390495713e-06
1.055,9.7185473482460178e-06
1.0575,9.9291740956125728e-06
1.06,1.0119192485517194e-05
1.0625,1.0288288345203107e-05
1.065,1.0436121993712375e-05
1.0675,1.0561927655369121e-05
1.07,1.0664652035152225e-05
1.0725,1.0743391658253728e-05
1.075,1.0798463653922384e-05
1.0775,1.08297310439522e-05
1.08,1.0836699205983217e-05
1.0825,1.0818911325719726e-05
1.085,1.0776034066031351e-05
1.0875,1.0708099111206775e-05
1.09,1.0615413203968807e-05
1.0925,1.0497995369997229e-05
1.095,1.0355795490091579e-05
1.0975,1.0188832955897844e-05
1.1,9.9971820121911137e-06
1.1025,9.7805875536111818e-06
1.105,9.5388411294777779e-06
1.1075,9.2716430739814183e-06
1.11,8.9782478148196745e-06
1.1125,8.6582502440596804e-06
1.115,8.3124590921823584e-06
1.1175,7.9420010418088997e-06
1.12,7.5469418391302512e-06
1.1225,7.1283075120488977e-06
1.125,6.687813625689076e-06
1.1275,6.2262290869776035e-06
1.13,5.7441300567835364e-06
1.1325,5.2424046922378795e-06
1.135,4.7217421263698042e-06
1.1375,4.1836882928087146e-06
1.14,3.6285787142976816e-06
1.1425,3.0575981004990922e-06
1.145,2.4719979474281574e-06
1.1475,1.872641904227342e-06
1.15,1.260600756027593e-06
1.1525,6.3726775686590987e-07
1.155,3.6314572620518021e-09
1.1575,-6.3886035516565117e-07
1.16,-1.2882137138078806e-06
1.1625,-1.9430898155682279e-06
1.165,-2.6021297658619665e-06
1.1675,-3.2639060724598281e-06
1.17,-3.9265579393434234e-06
1.1725,-4.5893236341378074e-06
1.175,-5.2509467742191321e-06
1.1775,-5.9099098348519261e-06
1.18,-6.5646994161349887e-06
1.1825,-7.2139419859724495e-06
1.185,-7.8546755105586359e-06
1.1875,-8.4810228267422348e-06
1.19,-9.0882485065918e-06
1.1925,-9.6773357474389764e-06
1.195,-1.0253334219056202e-05
1.1975,-1.0817166619440662e-05
1.2,-1.1365175887938351e-05
1.2025,-1.1892898722100311e-05
1.205,-1.2398158115319761e-05
1.2075,-1.2879863807820533e-05
1.21,-1.3337146647052582e-05
1.2125,-1.3768646473807432e-05
1.215,-1.4171067708408115e-05
1.2175,-1.4542001199685012e-05
1.22,-1.4881489932108716e-05
1.2225,-1.5187670214308475e-05
1.225,-1.5459147522469788e-05
1.2275,-1.5695187680092839e-05
1.23,-1.5895282025089225e-05
1.2325,-1.6057675298776e-05
