Physical Time (s),ev_left Monitor (kg-m/s^3)
0.6725,-3.9800722576047994e-08
0.675,-3.9943448794516249e-08
0.6775,-4.0074249915499734e-08
0.68,-4.0192422124847365e-08
0.6825,-4.0297892909922563e-08
0.685,-4.0391267740063085e-08
0.6875,-4.0473872809584239e-08
0.69,-4.054773642186674e-08
0.6925,-4.0615546956854533e-08
0.695,-4.0680545624152548e-08
0.6975,-4.0746346133012327e-08
0.7,-4.0816707897771197e-08
0.7025,-4.089529382406205e-08
0.705,-4.0985443214184574e-08
0.7075,-4.1089979974267695e-08
0.71,-4.121106042586708e-08
0.7125,-4.1350056360121326e-08
0.715,-4.1507482481582518e-08
0.7175,-4.1682958200851142e-08
0.72,-4.1875210399465711e-08
0.7225,-4.2082118882598587e-08
0.725,-4.2300803670943257e-08
0.7275,-4.2527735248335409e-08
0.73,-4.2758886839471394e-08
0.7325,-4.2989942438480109e-08
0.735,-4.3216604562864844e-08
0.7375,-4.3434848532308164e-08
0.74,-4.3641023081210453e-08
0.7425,-4.3831925961563519e-08
0.745,-4.4004914509548407e-08
0.7475,-4.4158060030160484e-08
0.75,-4.4290295018039915e-08
0.7525,-4.4401460720788393e-08
0.755,-4.4492219631814362e-08
0.7575,-4.4563899994674064e-08
0.76,-4.461838413497157e-08
0.7625,-4.4658098303692334e-08
0.765,-4.4686050523982075e-08
0.7675,-4.4705809114012877e-08
0.77,-4.4721333489246215e-08
0.7725,-4.4736697718755854e-08
0.775,-4.4755790917414265e-08
0.7775,-4.4782077306314045e-08
0.78,-4.4818446805263564e-08
0.7825,-4.4867157310742098e-08
0.785,-4.492983229629528e-08
0.7875,-4.5007485741323685e-08
0.79,-4.5100554816681902e-08
0.7925,-4.5208933491373825e-08
0.795,-4.5332007447900644e-08
0.7975,-4.5468686732809801e-08
0.8,-4.5617440803011108e-08
0.8025,-4.577636391466451e-08
0.805,-4.5943264289742881e-08
0.8075,-4.6115771101632218e-08
0.81,-4.6291449144860172e-08
0.8125,-4.6467909205463826e-08
0.815,-4.6642907697442359e-08
0.8175,-4.6814435222691514e-08
0.82,-4.698078490957643e-08
0.8225,-4.7140590593491667e-08
0.825,-4.7292830043554796e-08
0.8275,-4.7436810158814378e-08
0.83,-4.7572138497543694e-08
0.8325,-4.7698691660260468e-08
0.835,-4.7816586844093873e-08
0.8375,-4.7926157337033274e-08
0.84,-4.8027929111575182e-08
0.8425,-4.8122596956465492e-08
0.845,-4.8211000361649962e-08
0.8475,-4.8294098609636843e-08
0.85,-4.8372943404167221e-08
0.8525,-4.8448649403865273e-08
0.855,-4.8522379673233858e-08
0.8575,-4.8595308992215352e-08
0.86,-4.8668601217530679e-08
0.8625,-4.8743394192571328e-08
0.865,-4.8820783739748248e-08
0.8675,-4.8901800023214539e-08
0.87,-4.8987384091188004e-08
0.8725,-4.9078357825923479e-08
0.875,-4.9175406639319642e-08
0.8775,-4.9279046348008895e-08
0.88,-4.9389602616111814e-08
0.8825,-4.9507198488200871e-08
0.885,-4.963174386645997e-08
0.8875,-4.9762925751984786e-08
0.89,-4.9900207484312899e-08
0.8925,-5.0042842842775405e-08
0.895,-5.0189903513945387e-08
0.8975,-5.0340317361530825e-08
0.9,-5.0492907717922767e-08
0.9025,-5.0646430560011956e-08
0.905,-5.0799596023150458e-08
0.9075,-5.0951090506021572e-08
0.91,-5.1099604772739575e-08
0.9125,-5.1243864187776605e-08
0.915,-5.1382636288708765e-08
0.9175,-5.1514790391054149e-08
0.92,-5.163931912650205e-08
0.9225,-5.1755387475363179e-08
0.925,-5.1862369953810404e-08
0.9275,-5.1959874693251975e-08
0.93,-5.2047766305253405e-08
0.9325,-5.2126186143270646e-08
0.935,-5.2195561830338506e-08
0.9375,-5.2256601358720152e-08
0.94,-5.2310267745715352e-08
0.9425,-5.2357716225476776e-08
0.945,-5.2400292160379713e-08
0.9475,-5.2439422212106268e-08
0.95,-5.2476584814414874e-08
0.9525,-5.2513262805740011e-08
0.955,-5.2550900656380336e-08
0.9575,-5.2590889153897944e-08
0.96,-5.2634566079479995e-08
0.9625,-5.268321264327901e-08
0.965,-5.2738053761366549e-08
0.9675,-5.2800225310522628e-08
0.97,-5.2870728874735229e-08
0.9725,-5.2950389339694162e-08
0.975,-5.3039803783710224e-08
0.9775,-5.3139313863275301e-08
0.98,-5.3248990214370122e-08
0.9825,-5.3368639957901011e-08
0.985,-5.3497816645750206e-08
0.9875,-5.3635835350708183e-08
0.99,-5.378179504261963e-08
0.9925,-5.3934601095893197e-08
0.995,-5.4092986848339359e-08
0.9975,-5.4255533029831739e-08
1.0,-5.4420692787058577e-08
1.0025,-5.458682363047974e-08
1.005,-5.4752223165041876e-08
1.0075,-5.491516911597635e-08
1.01,-5.5073964601393627e-08
1.0125,-5.5226985477180425e-08
1.015,-5.5372723849177592e-08
1.0175,-5.5509811811071523e-08
1.02,-5.5637069469980972e-08
1.0225,-5.5753528497762226e-08
1.025,-5.5858444228819114e-08
1.0275,-5.595131039695476e-08
1.03,-5.6031869800215097e-08
1.0325,-5.6100119946274412e-08
1.035,-5.6156308248023558e-08
1.0375,-5.6200923613089568e-08
1.04,-5.6234687451641716e-08
1.0425,-5.6258527118544861e-08
1.045,-5.6273552123299656e-08
1.0475,-5.6281024889549429e-08
1.05,-5.6282332905405178e-08
1.0525,-5.6278956282872208e-08
1.055,-5.6272450143734159e-08
1.0575,-5.6264408285814332e-08
1.06,-5.625641794098131e-08
1.0625,-5.6250016288779389e-08
1.065,-5.6246702851914946e-08
1.0675,-5.6247930814749477e-08
1.07,-5.6255022576835919e-08
1.0725,-5.6269159717817343e-08
1.075,-5.629135790230537e-08
1.0775,-5.6322443668440873e-08
1.08,-5.636303066697784e-08
1.0825,-5.6413513022659036e-08
1.085,-5.6474057682844671e-08
1.0875,-5.654459850205745e-08
1.09,-5.6624834346358998e-08
1.0925,-5.6714236896333398e-08
1.095,-5.6812068747483721e-08
1.0975,-5.6917408500333287e-08
1.1,-5.7029179169524587e-08
1.1025,-5.7146178318092753e-08
1.105,-5.7267109691564554e-08
1.1075,-5.7390615416876537e-08
1.11,-5.7515308866484518e-08
1.1125,-5.7639805938485784e-08
1.115,-5.7762753326266917e-08
1.1175,-5.7882854260230494e-08
1.12,-5.7998897131457276e-08
1.1225,-5.8109779455062126e-08
1.125,-5.8214528404955061e-08
1.1275,-5.8312309906442795e-08
1.13,-5.8402436215846305e-08
1.1325,-5.8484374284949351e-08
1.135,-5.8557753038904645e-08
1.1375,-5.862236739096349e-08
1.14,-5.8678174901446192e-08
1.1425,-5.8725287038189341e-08
1.145,-5.8763961180479917e-08
1.1475,-5.879459345727712e-08
1.15,-5.881770931227403e-08
1.1525,-5.8833948915269371e-08
1.155,-5.8844046034812593e-08
1.1575,-5.8848803327215451e-08
