Physical Time (s),FreestreamDensity Monitor (kg/m^3)
1.7775,1.18415
1.78,1.18415
1.7825,1.18415
1.785,1.18415
1.7875,1.18415
1.79,1.18415
1.7925,1.18415
1.795,1.18415
1.7975,1.18415
1.8,1.18415
1.8025,1.18415
1.805,1.18415
1.8075,1.18415
1.81,1.18415
1.8125,1.18415
1.815,1.18415
1.8175,1.18415
1.82,1.18415
1.8225,1.18415
1.825,1.18415
1.8275,1.18415
1.83,1.18415
1.8325,1.18415
1.835,1.18415
1.8375,1.18415
1.84,1.18415
1.8425,1.18415
1.845,1.18415
1.8475,1.18415
1.85,1.18415
1.8525,1.18415
1.855,1.18415
1.8575,1.18415
1.86,1.18415
1.8625,1.18415
1.865,1.18415
1.8675,1.18415
1.87,1.18415
1.8725,1.18415
1.875,1.18415
1.8775,1.18415
1.88,1.18415
1.8825,1.18415
1.885,1.18415
1.8875,1.18415
1.89,1.18415
1.8925,1.18415
1.895,1.18415
1.8975,1.18415
1.9,1.18415
1.9025,1.18415
1.905,1.18415
1.9075,1.18415
1.91,1.18415
1.9125,1.18415
1.915,1.18415
1.9175,1.18415
1.92,1.18415
1.9225,1.18415
1.925,1.18415
1.9275,1.18415
1.93,1.18415
1.9325,1.18415
1.935,1.18415
1.9375,1.18415
1.94,1.18415
1.9425,1.18415
1.945,1.18415
1.9475,1.18415
1.95,1.18415
1.9525,1.18415
1.955,1.18415
1.9575,1.18415
1.96,1.18415
1.9625,1.18415
1.965,1.18415
1.9675,1.18415
1.97,1.18415
1.9725,1.18415
1.975,1.18415
1.9775,1.18415
1.98,1.18415
1.9825,1.18415
1.985,1.18415
1.9875,1.18415
1.99,1.18415
1.9925,1.18415
1.995,1.18415
1.9975,1.18415
2.0,1.18415
2.0025,1.18415
2.005,1.18415
2.0075,1.18415
2.01,1.18415
2.0125,1.18415
2.015,1.18415
2.0175,1.18415
2.02,1.18415
2.0225,1.18415
2.025,1.18415
2.0275,1.18415
2.03,1.18415
2.0325,1.18415
2.035,1.18415
2.0375,1.18415
2.04,1.18415
2.0425,1.18415
2.045,1.18415
2.0475,1.18415
2.05,1.18415
2.0525,1.18415
2.055,1.18415
2.0575,1.18415
2.06,1.18415
2.0625,1.18415
2.065,1.18415
2.0675,1.18415
2.07,1.18415
2.0725,1.18415
2.075,1.18415
2.0775,1.18415
2.08,1.18415
2.0825,1.18415
2.085,1.18415
2.0875,1.18415
2.09,1.18415
2.0925,1.18415
2.095,1.18415
2.0975,1.18415
2.1,1.18415
2.1025,1.18415
2.105,1.18415
2.1075,1.18415
2.11,1.18415
2.1125,1.18415
2.115,1.18415
2.1175,1.18415
2.12,1.18415
2.1225,1.18415
2.125,1.18415
2.1275,1.18415
2.13,1.18415
2.1325,1.18415
2.135,1.18415
2.1375,1.18415
2.14,1.18415
2.1425,1.18415
2.145,1.18415
2.1475,1.18415
2.15,1.18415
2.1525,1.18415
2.155,1.18415
2.1575,1.18415
2.16,1.18415
2.1625,1.18415
2.165,1.18415
2.1675,1.18415
2.17,1.18415
2.1725,1.18415
2.175,1.18415
2.1775,1.18415
2.18,1.18415
2.1825,1.18415
2.185,1.18415
2.1875,1.18415
2.19,1.18415
2.1925,1.18415
2.195,1.18415
2.1975,1.18415
2.2,1.18415
2.2025,1.18415
2.205,1.18415
2.2075,1.18415
2.21,1.18415
2.2125,1.18415
2.215,1.18415
2.2175,1.18415
2.22,1.18415
2.2225,1.18415
2.225,1.18415
2.2275,1.18415
2.23,1.18415
2.2325,1.18415
2.235,1.18415
2.2375,1.18415
2.24,1.18415
2.2425,1.18415
2.245,1.18415
2.2475,1.18415
2.25,1.18415
2.2525,1.18415
2.255,1.18415
2.2575,1.18415
2.26,1.18415
2.2625,1.18415
2.265,1.18415
2.2675,1.18415
2.27,1.18415
2.2725,1.18415
2.275,1.18415
2.2775,1.18415
2.28,1.18415
2.2825,1.18415
2.285,1.18415
2.2875,1.18415
2.29,1.18415
2.2925,1.18415
2.295,1.18415
2.2975,1.18415
2.3,1.18415
2.3025,1.18415
2.305,1.18415
2.3075,1.18415
2.31,1.18415
2.3125,1.18415
2.315,1.18415
2.3175,1.18415
2.32,1.18415
2.3225,1.18415
2.325,1.18415
2.3275,1.18415
2.33,1.18415
2.3325,1.18415
2.335,1.18415
2.3375,1.18415
2.34,1.18415
2.3425,1.18415
2.345,1.18415
2.3475,1.18415
2.35,1.18415
2.3525,1.18415
2.355,1.18415
2.3575,1.18415
2.36,1.18415
2.3625,1.18415
2.365,1.18415
2.3675,1.18415
2.37,1.18415
2.3725,1.18415
2.375,1.18415
2.3775,1.18415
2.38,1.18415
2.3825,1.18415
2.385,1.18415
2.3875,1.18415
2.39,1.18415
2.3925,1.18415
2.395,1.18415
2.3975,1.18415
2.4,1.18415
2.4025,1.18415
2.405,1.18415
2.4075,1.18415
2.41,1.18415
2.4125,1.18415
2.415,1.18415
2.4175,1.18415
2.42,1.18415
2.4225,1.18415
2.425,1.18415
2.4275,1.18415
2.43,1.18415
2.4325,1.18415
2.435,1.18415
2.4375,1.18415
2.44,1.18415
2.4425,1.18415
2.445,1.18415
2.4475,1.18415
2.45,1.18415
2.4525,1.18415
2.455,1.18415
2.4575,1.18415
2.46,1.18415
2.4625,1.18415
2.465,1.18415
2.4675,1.18415
2.47,1.18415
2.4725,1.18415
2.475,1.18415
2.4775,1.18415
2.48,1.18415
2.4825,1.18415
2.485,1.18415
2.4875,1.18415
2.49,1.18415
2.4925,1.18415
2.495,1.18415
2.4975,1.18415
2.5,1.18415
2.5025,1.18415
2.505,1.18415
2.5075,1.18415
2.51,1.18415
2.5125,1.18415
2.515,1.18415
2.5175,1.18415
2.52,1.18415
2.5225,1.18415
2.525,1.18415
2.5275,1.18415
2.53,1.18415
2.5325,1.18415
2.535,1.18415
2.5375,1.18415
2.54,1.18415
