Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.1725,1.507930877438427e-07,1.1057083660832248e-07,4.8904006699554976e-08,1.7762112911038674e-08,4.6156866355768255e-09,3.0795584452092519e-09,2.3927450251391952e-08
0.175,1.5260189957830474e-07,1.1150042736769213e-07,4.5355440970498262e-08,9.5093831324852958e-09,-7.6226715871692634e-09,-1.7243512697139299e-08,4.672833913888412e-09
0.1775,1.4205027892980843e-07,1.0241765008802709e-07,3.4912150924418357e-08,-4.3364688258953594e-09,-2.479627876501055e-08,-4.1767379323747445e-08,-2.2046670482649325e-08
0.18,1.2312373344430313e-07,8.7042422390242149e-08,2.129251398748006e-08,-1.9874417138249641e-08,-4.2917435045060581e-08,-6.6316061874629737e-08,-5.2381250179951122e-08
0.1825,1.0034414006824323e-07,6.9445973886577124e-08,8.37757971773561e-09,-3.3010313447811224e-08,-5.7698372142821571e-08,-8.6295124962343108e-08,-8.1360682617435926e-08
0.185,7.7717147327475627e-08,5.3041802477408378e-08,-8.4127638875929325e-10,-4.062155710943426e-08,-6.5797260918984221e-08,-9.7959733549491802e-08,-1.0419158035422826e-07
0.1875,5.8111500013442873e-08,4.0072705611566456e-08,-4.7278552900580463e-09,-4.1104436981486307e-08,-6.5462938952420517e-08,-9.9156237331450958e-08,-1.1716683688746872e-07
0.19,4.3068053535753295e-08,3.1537524219247763e-08,-2.9734398718489154e-09,-3.4374889803147994e-08,-5.661522784010935e-08,-8.954282634013831e-08,-1.181537255394777e-07
0.1925,3.28923781847748e-08,2.7366848172935386e-08,3.6906715422933701e-09,-2.1552729595683581e-08,-4.056712278356833e-08,-7.0451686159397625e-08,-1.0679096489164654e-07
0.195,2.6924053733001617e-08,2.6708372182430561e-08,1.3848447849517319e-08,-4.5392733783007327e-09,-1.9580885339059416e-08,-4.4527894137533838e-08,-8.4461279491759361e-08
0.1975,2.3870238045957703e-08,2.822395627564499e-08,2.5719393659536705e-08,1.4386781491302859e-08,3.6105601173692068e-09,-1.523472682506199e-08,-5.4074944049153224e-08
