Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.17,3.9248079675740272e-11,2.8488733162980455e-12,8.2822757760696182e-14,-1.0993230854677547e-13,1.9330494783743272e-14,1.1436996875654886e-14,-6.0719875444870102e-14
0.1725,3.6304468806508523e-11,3.2641058688978494e-12,1.7823842593977952e-13,-1.1306234589736244e-13,-2.0034704615524268e-14,-7.7051599804945545e-14,-4.592326815860323e-14
0.175,3.3824626324208944e-11,3.6987187893043426e-12,-2.431502580684027e-14,-6.7069253347537279e-14,-1.2187504263845495e-13,-1.7685905526810461e-15,-6.1635530506687581e-14
0.1775,3.1147563132164811e-11,4.2066138937737116e-12,-7.9335499102302879e-14,6.4608670264140445e-14,-2.8099076283119614e-14,7.8523181807058214e-14,1.3555569160283956e-13
0.18,2.8976540046562975e-11,4.7030344552033208e-12,-6.165540447426139e-14,6.0907745056651937e-14,3.2923606891813944e-14,-8.551741158378864e-14,1.7330226449219647e-13
0.1825,2.7074572623360194e-11,5.2077384639485194e-12,-2.748312446445872e-14,-2.5219303201164246e-14,5.4188507863105279e-14,2.2863723619739649e-14,-3.9004668728539378e-14
0.185,2.489754780659668e-11,5.8259295725535634e-12,-1.1934834729505419e-14,3.8303936073187886e-14,-4.7278209586033194e-14,7.7953518703078021e-14,-3.6417650753512469e-14
0.1875,2.3193423141765459e-11,6.6607616220257248e-12,3.9421932908936368e-14,8.1048469591461209e-16,1.4638357880564562e-13,3.0282329640142451e-14,-5.8938278625515132e-14
0.19,2.1340373032256095e-11,7.1996090523987055e-12,3.758165094635592e-14,-1.2162527853662704e-14,8.4539310513620592e-14,-4.9192830156528657e-14,2.7335730717434238e-15
0.1925,1.985474522053715e-11,7.8938505652244299e-12,-3.3352905517966612e-14,1.2715274191043464e-13,-9.8061289085719446e-14,-9.319602072147452e-15,-2.3732081808916515e-14
0.195,1.8560012926032737e-11,8.5485060108705095e-12,-1.516424865232783e-14,-1.7466411865740415e-13,-4.3919188709850766e-14,-7.9651614737006244e-14,5.7690353890787475e-14
0.1975,1.7233619348543201e-11,9.1307237875602386e-12,-2.0732516342175535e-14,1.4807091407884774e-13,-1.4125967227152371e-13,-6.9153596333397828e-15,8.680521322830919e-14
0.2,1.6043374107504437e-11,9.9222160311087775e-12,5.4627582735586171e-14,-5.0799768395223466e-14,-1.8154150972822256e-14,1.753222890950078e-13,1.2272842165291801e-13
0.2025,1.4854764004777575e-11,1.0638243587856568e-11,-1.505969943317093e-14,7.0313964589490509e-14,-1.9194116244328787e-13,-5.2339215819977748e-14,3.5353290067746109e-14
0.205,1.4280995283744402e-11,1.115900566206229e-11,7.4386163708825516e-16,-3.080647328179228e-14,9.4754112491519456e-14,-2.0874830106425977e-14,5.2094654407709143e-14
0.2075,1.3120418893936433e-11,1.1526785076317163e-11,-1.0645817709161542e-13,-1.0685930757660645e-13,3.2472309670000784e-14,2.7067340583648678e-15,5.334036119088157e-14
0.21,1.2444656298228485e-11,1.2435838232153991e-11,-1.0171404715762285e-14,4.6694662950258616e-14,6.5484274826647105e-14,-9.235936626343963e-14,3.543695184846587e-14
0.2125,1.1771528457851251e-11,1.2925086571162469e-11,-3.4732080018912276e-15,-1.8852712606964128e-14,1.2672541089036333e-13,3.3494883226265391e-14,4.0604624878091574e-15
0.215,1.12964631672645e-11,1.347884616454637e-11,-4.0416367861778118e-14,9.2752744755484434e-15,1.0025769615193037e-13,1.1563930937328089e-13,-2.1850455666408908e-14
0.2175,1.0724802425711116e-11,1.3990802936940558e-11,1.3873743225323864e-13,1.8052887648737095e-13,-4.3581881909195513e-14,-1.9861305163360208e-15,-3.60644836987416e-14
0.22,1.0254733993379755e-11,1.4631641691857473e-11,-1.3768755331762874e-13,5.4240547023410375e-14,-1.2165580548288622e-13,1.3644577207553444e-14,-1.1361494098324249e-13
0.2225,9.8867306382491374e-12,1.5124652342292419e-11,3.8905483102720867e-14,1.5984699180282512e-13,-1.070600820517886e-13,1.041911408514512e-13,9.7694827852819482e-15
0.225,9.5586256948612022e-12,1.5859866330371844e-11,5.9427406213804699e-14,8.0054123692802164e-14,-3.163626393268108e-14,6.4759448177514724e-14,5.3577623988233258e-14
0.2275,9.1727673040941276e-12,1.6323915783024529e-11,9.3327018305957555e-14,-1.0718213121378877e-13,-4.4483936470462616e-14,9.4521389351345969e-14,-8.2283013246287232e-15
0.23,9.0429570359557265e-12,1.6957843284219935e-11,1.4407644166888516e-13,6.2364480155528863e-14,-6.4764625611572091e-15,5.2992596458457215e-14,8.2961307261299325e-14
0.2325,8.9196840390355854e-12,1.7735507112623461e-11,1.1884841225151905e-13,-5.7855181782239405e-14,-7.1928583704870114e-14,-5.3356767347810838e-16,1.3685209494844361e-13
