Physical Time (s),etp_left Monitor (kg-m/s^3)
1.04,1.1576311507498033e-07
1.0425,1.0904277444904525e-07
1.045,1.0285783823670112e-07
1.0475,9.7382844047398186e-08
1.05,9.2790424530626637e-08
1.0525,8.9243522058008193e-08
1.055,8.6888182997840177e-08
1.0575,8.5846377370925552e-08
1.06,8.6211181629609673e-08
1.0625,8.8043169017638714e-08
1.065,9.1366898473436599e-08
1.0675,9.616853491655124e-08
1.07,1.0239485081302428e-07
1.0725,1.0995216961134646e-07
1.075,1.1870715714703618e-07
1.0775,1.284920344945814e-07
1.08,1.391053477441835e-07
1.0825,1.5032140041784181e-07
1.085,1.6188824170177458e-07
1.0875,1.7353721628219015e-07
1.09,1.8499167680223571e-07
1.0925,1.9597640131138732e-07
1.095,2.0622784456584808e-07
1.0975,2.1550472891643384e-07
1.1,2.2359606820608719e-07
1.1025,2.3032884489167565e-07
1.105,2.3557228805069707e-07
1.1075,2.3923831746560295e-07
1.11,2.4128083504317095e-07
1.1125,2.4169480938064201e-07
1.115,2.4051472165957699e-07
1.1175,2.3781529029374653e-07
1.12,2.3371010785180694e-07
1.1225,2.2834875274554766e-07
1.125,2.2191143748498653e-07
1.1275,2.1460328615781705e-07
1.13,2.0664835984150218e-07
1.1325,1.9828311064058461e-07
1.135,1.8974944659038865e-07
1.1375,1.8128706124901332e-07
1.14,1.7312627746655129e-07
1.1425,1.6548204143731926e-07
1.145,1.5855031502324309e-07
1.1475,1.5250485747783724e-07
1.15,1.4749437140335808e-07
1.1525,1.436398763638964e-07
1.155,1.4103300379633477e-07
1.1575,1.3973559790905103e-07
1.16,1.3978058064365942e-07
1.1625,1.4117276978316907e-07
1.165,1.4389070824030624e-07
1.1675,1.4789039241016297e-07
1.17,1.5310757612407036e-07
1.1725,1.5946014978877604e-07
1.175,1.6685090772676432e-07
1.1775,1.7517174899407965e-07
1.18,1.8431227401849134e-07
1.1825,1.9417602773661066e-07
1.185,2.0468627619723795e-07
1.1875,2.1576140020139158e-07
1.19,2.2729380696823982e-07
1.1925,2.3915625588340052e-07
1.195,2.512165179866547e-07
1.1975,2.6334638313722643e-07
1.2,2.7542432221337233e-07
1.2025,2.8733605023104988e-07
1.205,2.9897367531980155e-07
1.2075,3.1023249088995706e-07
1.21,3.2101055727423533e-07
1.2125,3.3121426633281479e-07
1.215,3.4075670294289372e-07
1.2175,3.4956316965430619e-07
1.22,3.575760496421088e-07
1.2225,3.6475442745189414e-07
1.225,3.7107270516720083e-07
1.2275,3.7651534676371783e-07
1.23,3.8107272226181787e-07
1.2325,3.8474011069427767e-07
1.235,3.8751709358891189e-07
1.2375,3.8940753310521e-07
1.24,3.9041849685858613e-07
1.2425,3.9056110109885578e-07
1.245,3.8985177635070515e-07
1.2475,3.8831234477866399e-07
1.25,3.8596920402182717e-07
1.2525,3.8285116317951868e-07
1.255,3.7898875848136441e-07
1.2575,3.744120798065371e-07
1.26,3.6915267347735373e-07
1.2625,3.6324113836206435e-07
1.265,3.5670691910623044e-07
1.2675,3.4957448863112647e-07
1.27,3.4186623055983267e-07
1.2725,3.3360562534910293e-07
1.275,3.2481823271480762e-07
1.2775,3.155360943772887e-07
1.28,3.0579447164385103e-07
1.2825,2.9563077499708754e-07
1.285,2.8508108100992089e-07
1.2875,2.7418251217398061e-07
1.29,2.6297220784836379e-07
1.2925,2.5149163931727668e-07
1.295,2.3978752777358829e-07
1.2975,2.2791044859609432e-07
1.3,2.1591225572103887e-07
1.3025,2.0384361730135807e-07
1.305,1.9175038221661858e-07
1.3075,1.7967356211729783e-07
1.31,1.6765138509074983e-07
1.3125,1.5571824329241256e-07
1.315,1.4390540286974017e-07
1.3175,1.3223923357787568e-07
1.32,1.2074142738212771e-07
1.3225,1.0942978368618278e-07
1.325,9.8322031941632212e-08
1.3275,8.743822996261213e-08
1.33,7.68014362358839e-08
1.3325,6.6436403717259883e-08
1.335,5.636973911557623e-08
1.3375,4.6632773435792895e-08
1.34,3.7262985843386768e-08
1.3425,2.830202203361724e-08
1.345,1.980114133748275e-08
1.3475,1.1811619055132436e-08
1.35,4.3857299050451998e-09
1.3525,-2.4224163439394458e-09
1.355,-8.5566270400232153e-09
1.3575,-1.396033701247197e-08
1.36,-1.8577477710747392e-08
1.3625,-2.2354216353549728e-08
1.365,-2.5240389578293065e-08
1.3675,-2.7196367019330237e-08
1.37,-2.8193570687585764e-08
1.3725,-2.8216644051298049e-08
1.375,-2.7262298463428668e-08
1.3775,-2.5337446762656548e-08
1.38,-2.2458154471878562e-08
1.3825,-1.8650381596219544e-08
1.385,-1.3950512227731235e-08
1.3875,-8.4066687994784104e-09
1.39,-2.0783093591184129e-09
1.3925,4.9639409807034463e-09
1.395,1.2640375480550858e-08
1.3975,2.0863705944889833e-08
1.4,2.9537676577780088e-08
1.4025,3.8564287264269518e-08
1.405,4.784512716378241e-08
1.4075,5.7282712358854784e-08
1.41,6.6784052234309286e-08
1.4125,7.6260350711151718e-08
1.415,8.5628673365427308e-08
1.4175,9.4810123725919567e-08
1.42,1.0374113699321521e-07
1.4225,1.1237111568916844e-07
1.425,1.2065248251185279e-07
1.4275,1.2854852736380359e-07
1.43,1.3603085465805742e-07
1.4325,1.4307780284234224e-07
1.435,1.4967344216698467e-07
1.4375,1.558069833126851e-07
1.44,1.6147828444800942e-07
1.4425,1.6669466416640502e-07
1.445,1.7146788663702759e-07
1.4475,1.7581147293221908e-07
1.45,1.7973995371627889e-07
1.4525,1.8326989690590361e-07
1.455,1.8641950712708981e-07
1.4575,1.8920748712004133e-07
1.46,1.9165058631278873e-07
1.4625,1.937661890370661e-07
1.465,1.955741236928306e-07
1.4675,1.9709903570916497e-07
1.47,1.983703598509428e-07
1.4725,1.9941710329128904e-07
1.475,2.0026828141831378e-07
1.4775,2.0095304528853218e-07
1.48,2.0149931981274197e-07
1.4825,2.0193374455784074e-07
1.485,2.022820130810173e-07
1.4875,2.0257161949837806e-07
1.49,2.0283079607940148e-07
1.4925,2.0308682665008246e-07
1.495,2.0336652521135997e-07
1.4975,2.0369459734223836e-07
1.5,2.0409271558746457e-07
1.5025,2.0457849456737249e-07
1.505,2.0516444053826543e-07
1.5075,2.0585612997168822e-07
1.51,2.0665373519520233e-07
1.5125,2.0755082934582732e-07
1.515,2.0853558540574724e-07
1.5175,2.0959054902990105e-07
1.52,2.1069414720549199e-07
1.5225,2.1182157185976272e-07
1.525,2.1294396747880035e-07
1.5275,2.1402668974401902e-07
1.53,2.1502983558478397e-07
1.5325,2.1591127069837833e-07
1.535,2.1663135689969163e-07
1.5375,2.1715542125419909e-07
1.54,2.1745083518243008e-07
1.5425,2.174861621965176e-07
1.545,2.1723198768888427e-07
1.5475,2.1666307156871635e-07
1.55,2.1576442559981924e-07
1.5525,2.1453236857077939e-07
1.555,2.1297547321621941e-07
1.5575,2.111131168924793e-07
1.56,2.0898464728131235e-07
1.5625,2.0661863860846042e-07
1.565,2.0405400711106035e-07
1.5675,2.0133488857943701e-07
1.57,1.9850357300342032e-07
1.5725,1.9559845606310034e-07
1.575,1.9265291411661818e-07
1.5775,1.8971151292962033e-07
1.58,1.8681422895028626e-07
1.5825,1.8400139463912017e-07
1.585,1.813131530715907e-07
1.5875,1.7878557953744842e-07
1.59,1.7644826754413665e-07
1.5925,1.7432040891970754e-07
1.595,1.7240783272155922e-07
1.5975,1.7070544382642467e-07
1.6,1.6920077065894816e-07
1.6025,1.6787545867652048e-07
1.605,1.6670476948803764e-07
1.6075,1.6565649854977469e-07
1.61,1.6469040568121485e-07
1.6125,1.6376092430222519e-07
1.615,1.6281846056681491e-07
1.6175,1.6181584272550162e-07
1.62,1.6070113165502712e-07
1.6225,1.5941977317668097e-07
1.625,1.5791682258632125e-07
1.6275,1.5614088188886847e-07
1.63,1.5404538452441979e-07
1.6325,1.5158869501243492e-07
1.635,1.4873279948255589e-07
1.6375,1.4544455691024439e-07
1.64,1.416977909682479e-07
1.6425,1.3747560880442877e-07
1.645,1.3276962791112286e-07
1.6475,1.2758059371983294e-07
1.65,1.2191405891637574e-07
1.6525,1.1578225208049075e-07
1.655,1.0920712128613363e-07
1.6575,1.0222309148599316e-07
1.66,9.4878629569172937e-08
1.6625,8.7231767173012778e-08
1.665,7.9347152175804373e-08
1.6675,7.129585658087382e-08
1.67,6.3154644942136607e-08
1.6725,5.5008107187227484e-08
1.675,4.6946881154475068e-08
1.6775,3.9063260870463917e-08
1.68,3.1445256544721399e-08
1.6825,2.417747212021978e-08
1.685,1.7343398437144545e-08
1.6875,1.1027552690112661e-08
1.69,5.3148251007006059e-09
1.6925,2.8707666018925873e-10
1.695,-3.9797981743937458e-09
1.6975,-7.4208571975734573e-09
1.7,-9.9777130798451732e-09
1.7025,-1.1604246840184489e-08
1.705,-1.2267890972240559e-08
1.7075,-1.1950514927308921e-08
1.71,-1.0648764183063397e-08
1.7125,-8.3640696081249472e-09
1.715,-5.1181836874453775e-09
1.7175,-9.3878965460524794e-10
1.72,4.1466559438113136e-09
1.7225,1.0109849036637656e-08
1.725,1.6912082618266526e-08
1.7275,2.4507562506271331e-08
1.73,3.2807410056180978e-08
1.7325,4.1785470554602536e-08
1.735,5.136441592109715e-08
1.7375,6.1464595475456522e-08
