Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
0.465,1.8459666102617976e-05
0.4675,1.8459666102618024e-05
0.47,1.8459666102618078e-05
0.4725,1.8459666102618146e-05
0.475,1.845966610261821e-05
0.4775,1.8459666102618278e-05
0.48,1.8459666102618339e-05
0.4825,1.8459666102618403e-05
0.485,1.8459666102618464e-05
0.4875,1.8459666102618647e-05
0.49,1.8459666102618647e-05
0.4925,1.8459666102618674e-05
0.495,1.8459666102618684e-05
0.4975,1.8459666102618718e-05
0.5,1.8459666102618752e-05
0.5025,1.8459666102618783e-05
0.505,1.845966610261883e-05
0.5075,1.8459666102618857e-05
0.51,1.8459666102618901e-05
0.5125,1.8459666102618962e-05
0.515,1.8459666102619027e-05
0.5175,1.8459666102619081e-05
0.52,1.8459666102619149e-05
0.5225,1.8459666102619233e-05
0.525,1.845966610261925e-05
0.5275,1.8459666102619365e-05
0.53,1.8459666102619528e-05
0.5325,1.8459666102619701e-05
0.535,1.8459666102619867e-05
0.5375,1.8459666102620033e-05
0.54,1.8459666102620189e-05
0.5425,1.8459666102620341e-05
0.545,1.8459666102620477e-05
0.5475,1.8459666102620616e-05
0.55,1.8459666102620751e-05
0.5525,1.8459666102620907e-05
0.555,1.8459666102621056e-05
0.5575,1.8459666102621209e-05
0.56,1.8459666102621351e-05
0.5625,1.8459666102621497e-05
0.565,1.8459666102621629e-05
0.5675,1.8459666102621761e-05
0.57,1.8459666102621893e-05
0.5725,1.8459666102622018e-05
0.575,1.845966610262215e-05
0.5775,1.8459666102622289e-05
0.58,1.8459666102622445e-05
0.5825,1.8459666102622598e-05
0.585,1.8459666102622754e-05
0.5875,1.845966610262292e-05
0.59,1.8459666102623092e-05
0.5925,1.8459666102623262e-05
0.595,1.8459666102623438e-05
0.5975,1.8459666102623604e-05
0.6,1.845966610262379e-05
0.6025,1.845966610262397e-05
0.605,1.8459666102624146e-05
0.6075,1.8459666102624319e-05
0.61,1.8459666102624485e-05
0.6125,1.8459666102624658e-05
0.615,1.8459666102624807e-05
0.6175,1.8459666102624963e-05
0.62,1.8459666102625105e-05
0.6225,1.845966610262524e-05
0.625,1.8459666102625362e-05
0.6275,1.8459666102625488e-05
0.63,1.8459666102625606e-05
0.6325,1.8459666102625718e-05
0.635,1.8459666102625837e-05
0.6375,1.8459666102625955e-05
0.64,1.8459666102626074e-05
0.6425,1.8459666102626209e-05
0.645,1.8459666102626348e-05
0.6475,1.8459666102626487e-05
0.65,1.845966610262665e-05
0.6525,1.8459666102626809e-05
0.655,1.8459666102626982e-05
0.6575,1.8459666102627151e-05
0.66,1.8459666102627334e-05
0.6625,1.8459666102627514e-05
0.665,1.8459666102627693e-05
0.6675,1.845966610262787e-05
0.67,1.8459666102628032e-05
0.6725,1.8459666102628198e-05
0.675,1.8459666102628354e-05
0.6775,1.8459666102628507e-05
0.68,1.8459666102628649e-05
0.6825,1.8459666102628795e-05
0.685,1.8459666102628927e-05
0.6875,1.8459666102629052e-05
0.69,1.8459666102629181e-05
0.6925,1.845966610262931e-05
0.695,1.8459666102629432e-05
0.6975,1.8459666102629554e-05
0.7,1.8459666102629672e-05
0.7025,1.8459666102629797e-05
0.705,1.8459666102629919e-05
0.7075,1.8459666102630052e-05
0.71,1.8459666102630177e-05
0.7125,1.8459666102630306e-05
0.715,1.8459666102630431e-05
0.7175,1.8459666102630556e-05
0.72,1.8459666102630675e-05
0.7225,1.8459666102630804e-05
0.725,1.8459666102630916e-05
0.7275,1.8459666102631027e-05
0.73,1.8459666102631129e-05
0.7325,1.8459666102631227e-05
0.735,1.8459666102631315e-05
0.7375,1.84596661026314e-05
0.74,1.8459666102631481e-05
0.7425,1.8459666102631553e-05
0.745,1.845966610263162e-05
0.7475,1.8459666102631675e-05
0.75,1.8459666102631725e-05
