Physical Time (s),ek_vol Monitor (N): cv1,ek_vol Monitor (N): cv2,ek_vol Monitor (N): cv3,ek_vol Monitor (N): cv4,ek_vol Monitor (N): cv5,ek_vol Monitor (N): cv6,ek_vol Monitor (N): cv7
0.2025,7.9765163648399749e-06,9.4876800155565437e-06,9.5291356868500476e-06,9.5313462331238862e-06,9.5317800778243922e-06,9.5319045434930175e-06,9.5321316269215963e-06
0.205,8.0252454332842463e-06,9.5721081084667816e-06,9.6153347291480539e-06,9.6176505701579067e-06,9.6181363030702219e-06,9.6182904230669973e-06,9.6184952505944814e-06
0.2075,8.0729046351263403e-06,9.6561456630390905e-06,9.7012414191693024e-06,9.7036556383424488e-06,9.7041969927410881e-06,9.7043999480279978e-06,9.7045721703364625e-06
0.21,8.1193322322087508e-06,9.7396224110541974e-06,9.7866870043795009e-06,9.7891877629113546e-06,9.7897827406960615e-06,9.7900501352696433e-06,9.7901891020059889e-06
0.2125,8.1643632392741052e-06,9.8223821882931932e-06,9.8715264581429448e-06,9.874099508502872e-06,9.8747405112394373e-06,9.8750810080568565e-06,9.8751957883733148e-06
0.215,8.2078579975700369e-06,9.9043157398050919e-06,9.9556728968876772e-06,9.9583049950069741e-06,9.9589803161359073e-06,9.9593937448917657e-06,9.9595009694361471e-06
0.2175,8.2497223982405837e-06,9.9853766094909652e-06,1.0039111378208333e-05,1.0041793738340968e-05,1.0042490019949078e-05,1.0042967440987304e-05,1.0043087701140833e-05
0.22,8.2899193130183019e-06,1.0065583782289233e-05,1.0121896830664496e-05,1.0124627728574841e-05,1.0125332712753184e-05,1.0125858389867276e-05,1.0126012028583698e-05
0.2225,8.3284698937743752e-06,1.0145009651609226e-05,1.0204135546269369e-05,1.0206921436766476e-05,1.0207626267402995e-05,1.0208180973675271e-05,1.020838407996125e-05
0.225,8.365447169433142e-06,1.0223757797126682e-05,1.0285956152812281e-05,1.0288811097530117e-05,1.028951160227117e-05,1.0290076345806941e-05,1.0290337649736383e-05
0.2275,8.4009633387035239e-06,1.0301937523361001e-05,1.0367478589748069e-05,1.0370422223438077e-05,1.0371118952473713e-05,1.0371678146704617e-05,1.0371997336491407e-05
0.23,8.4351562806872672e-06,1.0379645951190491e-05,1.0448793411021101e-05,1.0451848001979067e-05,1.0452545197808346e-05,1.0453088514233469e-05,1.0453456236920208e-05
0.2325,8.4681784152994573e-06,1.0456958367212408e-05,1.0529951633155783e-05,1.053313890848342e-05,1.0533842904935654e-05,1.0534365522761472e-05,1.053476500483467e-05
0.235,8.5001852386770855e-06,1.0533921466004309e-05,1.0610959271980716e-05,1.0614297545826403e-05,1.0615015197336237e-05,1.0615516727086779e-05,1.0615926662381475e-05
0.2375,8.5313223565012421e-06,1.0610551011765837e-05,1.0691778539721547e-05,1.069528047359777e-05,1.069601807073772e-05,1.0696500819155595e-05,1.0696898947189642e-05
0.24,8.5618128827746572e-06,1.0687032371106077e-05,1.0772556322395756e-05,1.077622783804696e-05,1.0776990773556366e-05,1.0777457759265447e-05,1.07778233439304e-05
0.2425,8.5917899553314369e-06,1.0763290117730365e-05,1.085313163308529e-05,1.085697055550102e-05,1.0857763385998598e-05,1.0858218114141743e-05,1.0858535987027151e-05
0.245,8.6212897275070725e-06,1.0839273329863436e-05,1.0933400056148772e-05,1.0937395529868297e-05,1.0938222212477297e-05,1.0938668749901809e-05,1.0938930983960773e-05
0.2475,8.6502970952302601e-06,1.0914860644595019e-05,1.1013195067652382e-05,1.1017328103433997e-05,1.1018191699717945e-05,1.101863553015095e-05,1.1018842189930577e-05
0.25,8.6787193279469108e-06,1.0989904976528993e-05,1.1092348610727548e-05,1.1096594307365693e-05,1.1097496142221547e-05,1.1097944658814587e-05,1.10981026389406e-05
0.2525,8.7064281575208454e-06,1.1064293029477303e-05,1.1170755092220711e-05,1.1175085786384683e-05,1.117602451792828e-05,1.117648678971752e-05,1.1176607067175059e-05
0.255,8.7334078662785041e-06,1.1138143964821122e-05,1.1248575676231097e-05,1.125296357728143e-05,1.1253934572968416e-05,1.1254420617110179e-05,1.1254515263864605e-05
0.2575,8.7596778864797516e-06,1.121155058109892e-05,1.1325928483863889e-05,1.1330348691346078e-05,1.1331343800493569e-05,1.1331862319685373e-05,1.1331942684814742e-05
0.26,8.78521885694444e-06,1.1284639279926658e-05,1.1402982350500151e-05,1.1407414964115955e-05,1.1408423225211387e-05,1.1408979398956382e-05,1.1409055249576045e-05
0.2625,8.8099811732469691e-06,1.1357433453080694e-05,1.1479790196480132e-05,1.1484222310818047e-05,1.1485231412816961e-05,1.1485824875312647e-05,1.1485904417538886e-05
0.265,8.833895417586157e-06,1.1429952643072856e-05,1.1556409385008578e-05,1.1560836160247898e-05,1.1561834114355177e-05,1.1562458476285215e-05,1.1562548902654083e-05
0.2675,8.8569298272676257e-06,1.1502190137518282e-05,1.1632854028259439e-05,1.1637279143814492e-05,1.1638256130693082e-05,1.163889986873844e-05,1.1639007681367122e-05
0.27,8.8790662627722036e-06,1.157414553636567e-05,1.1709136657811077e-05,1.1713571476543241e-05,1.1714521217690651e-05,1.1715169818679164e-05,1.171530075504742e-05
0.2725,8.900305564784646e-06,1.1645745947418861e-05,1.1785164762329404e-05,1.1789625863253074e-05,1.1790546554950834e-05,1.1791185638909658e-05,1.1791344002845309e-05
0.275,8.9206401891942752e-06,1.1716924271909768e-05,1.186085236536238e-05,1.1865358688355926e-05,1.1866252542682019e-05,1.1866870420895196e-05,1.1867058356050588e-05
0.2775,8.9401159556493851e-06,1.1787624320247585e-05,1.1936112432173479e-05,1.1940682851022238e-05,1.1941555066182358e-05,1.1942144331637471e-05,1.1942361191143756e-05
0.28,8.9588801657816664e-06,1.1858034282593422e-05,1.2011130525616454e-05,1.2015783113050602e-05,1.2016640648471156e-05,1.2017198217605241e-05,1.2017440284746221e-05
0.2825,8.977101042226883e-06,1.1928241424090729e-05,1.2085955433995741e-05,1.2090705992673984e-05,1.2091556794895995e-05,1.2092083831117824e-05,1.2092344699216933e-05
0.285,8.9949200284848038e-06,1.1998411536127097e-05,1.216073783768736e-05,1.2165599276115893e-05,1.2166451678127929e-05,1.2166952707964844e-05,1.2167224167692674e-05
0.2875,9.012429615986728e-06,1.2068539548026886e-05,1.2235428828394153e-05,1.2240409537562918e-05,1.2241271502996045e-05,1.2241753621735497e-05,1.2242027374406546e-05
0.29,9.0296129328643359e-06,1.2138555202240713e-05,1.2309934572507538e-05,1.2315038065939645e-05,1.2315916406181133e-05,1.2316388142445187e-05,1.2316657439041082e-05
0.2925,9.0464007340379071e-06,1.2208278719046653e-05,1.2384048547341728e-05,1.2389273997414272e-05,1.2390173605981597e-05,1.2390643720856723e-05,1.239090460304214e-05
0.295,9.0627148445597843e-06,1.227759164385835e-05,1.2457650877807056e-05,1.2462994910784681e-05,1.246391861560933e-05,1.2464395350695825e-05,1.2464646916275946e-05
0.2975,9.0785660749631054e-06,1.234653568684876e-05,1.2530794111161975e-05,1.2536252725724145e-05,1.2537201574046524e-05,1.2537692333740531e-05,1.2537936517638469e-05
0.3,9.0940454313778214e-06,1.2415308723613967e-05,1.2603694691241707e-05,1.2609264625863884e-05,1.2610238458647042e-05,1.2610749819406194e-05,1.2610991082398629e-05
0.3025,9.1092283166875203e-06,1.2483996176106332e-05,1.2676430906332269e-05,1.2682109708765449e-05,1.2683107724601583e-05,1.2683645040905764e-05,1.268388992307758e-05
0.305,9.1240773611153057e-06,1.2552571608876977e-05,1.2748972571936222e-05,1.2754758553867733e-05,1.2755779848143169e-05,1.2756347050836295e-05,1.2756603459287245e-05
0.3075,9.138496791376289e-06,1.2620980936224807e-05,1.282128413091386e-05,1.2827177467516695e-05,1.2828221317349028e-05,1.2828821147482836e-05,1.2829097639260411e-05
0.31,9.1524361137412892e-06,1.2689179795588801e-05,1.2893343836856429e-05,1.2899348150801794e-05,1.29004142953807e-05,1.2901048433238647e-05,1.2901353237653286e-05
0.3125,9.1658658177298211e-06,1.2757129203386239e-05,1.2965134453317487e-05,1.2971257895136929e-05,1.2972347027602484e-05,1.2973016292891262e-05,1.2973356220150139e-05
0.315,9.1787590130189206e-06,1.2824820382800072e-05,1.3036672514836612e-05,1.3042928356366439e-05,1.3044042677818667e-05,1.3044747393639747e-05,1.3045126872280022e-05
0.3175,9.1911278681800342e-06,1.2892247696238528e-05,1.3107964368773882e-05,1.3114370154579117e-05,1.3115513719163553e-05,1.3116254033657777e-05,1.3116674177191718e-05
0.32,9.2029704034875523e-06,1.2959340870295917e-05,1.3178935626499753e-05,1.3185510975193808e-05,1.3186689596473795e-05,1.3187465888900349e-05,1.318792404820615e-05
0.3225,9.2143126944939791e-06,1.3026146242947067e-05,1.3249644757922382e-05,1.325641080472757e-05,1.3257631784222799e-05,1.3258445162590085e-05,1.3258934932512338e-05
0.325,9.2252210309861645e-06,1.3092725394187408e-05,1.3320153299806991e-05,1.3327131442857461e-05,1.3328403036541348e-05,1.3329255447483049e-05,1.3329766969775991e-05
0.3275,9.2357666849327006e-06,1.31591354784175e-05,1.3390511627560324e-05,1.3397722061591949e-05,1.3399052870162627e-05,1.3399947006957685e-05,1.3400467873091173e-05
0.33,9.2459882589619495e-06,1.3225395142718611e-05,1.3460728276196624e-05,1.3468188560617391e-05,1.3469586849281082e-05,1.3470525817057298e-05,1.3471042424610813e-05
0.3325,9.255900024378732e-06,1.329149382351737e-05,1.3530781692074111e-05,1.3538505614035847e-05,1.3539978570389699e-05,1.3540965322206235e-05,1.3541464435742131e-05
0.335,9.2655353181873222e-06,1.3357518487460807e-05,1.3600761945054114e-05,1.3608759708978376e-05,1.3610312913182008e-05,1.3611349582704831e-05,1.3611819299295651e-05
0.3375,9.2749669539006163e-06,1.3423500332432583e-05,1.3670682905241394e-05,1.3678959221377575e-05,1.3680595592720445e-05,1.3681682224066959e-05,1.36821133574571e-05
0.34,9.2842400521567189e-06,1.3489403480446544e-05,1.3740482982992136e-05,1.3749035129140999e-05,1.3750754077256425e-05,1.3751887566526087e-05,1.3752274948351474e-05
0.3425,9.2933311551177444e-06,1.3555147585538718e-05,1.3810064645729574e-05,1.3818882453000725e-05,1.3820679297562778e-05,1.3821852805954205e-05,1.3822195315410034e-05
0.345,9.3022299175840187e-06,1.3620654079827211e-05,1.3879333307114417e-05,1.388839974386922e-05,1.3890265463061132e-05,1.3891468195265396e-05,1.389176816242154e-05
0.3475,9.3109165710760061e-06,1.3685775065093439e-05,1.3948121443147252e-05,1.3957414043828091e-05,1.3959336126394609e-05,1.3960554073973697e-05,1.3960816318640007e-05
0.35,9.3193978161829513e-06,1.3750535433836349e-05,1.4016460257031768e-05,1.4025952884007011e-05,1.4027915703121007e-05,1.4029132152362701e-05,1.4029362325538132e-05
0.3525,9.3277403085446445e-06,1.3815006452975728e-05,1.4084415214856454e-05,1.4094077949531315e-05,1.4096063386270572e-05,1.4097259697741573e-05,1.4097463402065714e-05
0.355,9.3360324140420045e-06,1.3879277906825664e-05,1.4152067271445771e-05,1.4161866340896181e-05,1.4163854839962774e-05,1.4165011836531435e-05,1.4165193982092295e-05
0.3575,9.3443304223869756e-06,1.3943404705273869e-05,1.4219462013697791e-05,1.4229360044708234e-05,1.4231331626635152e-05,1.4232431277891074e-05,1.4232595733178342e-05
