Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.15,4.1780070798830777e-05,4.4207536431877222e-05,4.4255386775850126e-05,4.4257486360969422e-05,4.4257601110268163e-05,4.4257711180232082e-05,4.4257871708111855e-05
0.1525,4.1742642681460731e-05,4.4250670262257648e-05,4.4298780849291519e-05,4.4300848218226105e-05,4.4300953940515548e-05,4.4301048690810764e-05,4.4301215174324134e-05
0.155,4.1696806978249999e-05,4.4287531802011063e-05,4.4335905316330401e-05,4.4337932478892061e-05,4.4338027992802983e-05,4.4338109972306931e-05,4.4338274126445381e-05
0.1575,4.1645847104153748e-05,4.4321544630556038e-05,4.4370295881880043e-05,4.4372283796672192e-05,4.4372369376233574e-05,4.4372441094289052e-05,4.4372595442828529e-05
0.16,4.1592962242309213e-05,4.4356015024352971e-05,4.4405355394585139e-05,4.4407311923845657e-05,4.4407389159793695e-05,4.4407452574546358e-05,4.4407591690566108e-05
0.1625,4.1540676835663706e-05,4.439351439107236e-05,4.4443726239707492e-05,4.4445663584166761e-05,4.4445734921874813e-05,4.4445791437747341e-05,4.4445912858942658e-05
0.165,4.1490251849548402e-05,4.4435310649264929e-05,4.4486716690672535e-05,4.4488649055660873e-05,4.4488717226949298e-05,4.448876800826471e-05,4.4488872433350435e-05
0.1675,4.1441556663012898e-05,4.4481238476255951e-05,4.453417333926785e-05,4.4536115140191444e-05,4.4536182704004224e-05,4.453622901720564e-05,4.4536319678081947e-05
0.17,4.1393433307282851e-05,4.4530050795384008e-05,4.458483673059029e-05,4.4586801271576402e-05,4.4586870363972032e-05,4.4586913748318942e-05,4.4586995190146183e-05
0.1725,4.1344221516576386e-05,4.457995269011705e-05,4.4636882553116699e-05,4.4638881094694691e-05,4.4638953340273019e-05,4.4638995551738827e-05,4.4639072208674597e-05
0.175,4.1291859169709696e-05,4.4628717559946093e-05,4.4688047503110532e-05,4.4690088636597852e-05,4.4690165127596493e-05,4.4690207906886972e-05,4.469028295453275e-05
0.1775,4.1234543571710089e-05,4.4674350244713555e-05,4.4736301355507822e-05,4.4738390706490413e-05,4.4738471980092166e-05,4.4738516743846495e-05,4.4738591568196607e-05
0.18,4.1170892457349755e-05,4.4715267900876031e-05,4.4780037692360675e-05,4.4782178051707749e-05,4.4782264064930674e-05,4.4782311630392375e-05,4.4782385955635472e-05
0.1825,4.1100370693220277e-05,4.475070988715663e-05,4.4818488288982134e-05,4.4820680198976985e-05,4.482077034941562e-05,4.4820820776340978e-05,4.4820893242084148e-05
0.185,4.1023234989706964e-05,4.4780740593091581e-05,4.4851729061037285e-05,4.4853971709230643e-05,4.4854064949625418e-05,4.485411754964271e-05,4.4854186400387748e-05
0.1875,4.0940475664300385e-05,4.4806204638044043e-05,4.488063134558538e-05,4.4882923497110741e-05,4.4883018546698123e-05,4.4883072065665607e-05,4.4883135692152844e-05
0.19,4.0853617400973347e-05,4.4828457310345583e-05,4.4906589296352018e-05,4.4908930005478692e-05,4.4909025607192297e-05,4.4909078545753296e-05,4.490913576721587e-05
0.1925,4.076430232836163e-05,4.4848996047158593e-05,4.4931143927057454e-05,4.4933532875584497e-05,4.4933628024315778e-05,4.49336790218337e-05,4.4933729154209557e-05
0.195,4.067410118332185e-05,4.4869216174058831e-05,4.4955734513441218e-05,4.495817195397394e-05,4.4958266030690944e-05,4.4958314208106127e-05,4.4958357047784993e-05
0.1975,4.0584146376039988e-05,4.4890070817423356e-05,4.4981336666021106e-05,4.4983823069234871e-05,4.4983915854574897e-05,4.4983961010002302e-05,4.4983996842762455e-05
0.2,4.0495053611103496e-05,4.4912019555682384e-05,4.500840705550136e-05,4.5010942626130557e-05,4.5011034211277101e-05,4.5011076801326122e-05,4.5011106452952573e-05
0.2025,4.04067563408754e-05,4.4934837801843743e-05,4.5036710950450767e-05,4.5039295197003106e-05,4.5039385840395197e-05,4.5039426754010236e-05,4.5039451620749892e-05
0.205,4.031870465922343e-05,4.4957786310220918e-05,4.5065500698015726e-05,4.5068132228328414e-05,4.5068222219571232e-05,4.506826242091493e-05,4.5068284396314383e-05
0.2075,4.0230204770716929e-05,4.4979964900445782e-05,4.5093861936961133e-05,4.5096538597701184e-05,4.5096628187599218e-05,4.5096668356074522e-05,4.5096689586564652e-05
0.21,4.0140457953677562e-05,4.5000369161161563e-05,4.5120779146684144e-05,4.5123498502121392e-05,4.5123587929054435e-05,4.512362823761679e-05,4.5123650717034558e-05
0.2125,4.0048903547375456e-05,4.501823850170395e-05,4.5145483123643097e-05,4.5148243163942068e-05,4.5148332763210855e-05,4.5148372885670368e-05,4.5148397995003438e-05
0.215,3.9955132387301431e-05,4.5032970180743074e-05,4.5167367664069616e-05,4.5170167592805379e-05,4.5170257942733453e-05,4.517029728680632e-05,4.5170325443605241e-05
0.2175,3.9859117081007811e-05,4.5044376145528019e-05,4.5186241863784972e-05,4.5189082777744597e-05,4.5189174825202408e-05,4.5189212896434366e-05,4.5189243459498096e-05
0.22,3.9761189733411553e-05,4.5052648500256548e-05,4.520229279824077e-05,4.5205178071417189e-05,4.5205273184422368e-05,4.5205309937193238e-05,4.5205341427899345e-05
0.2225,3.9661951154455475e-05,4.5058277170883766e-05,4.5216000125357721e-05,4.5218935385204859e-05,4.521903530231267e-05,4.5219071342210048e-05,4.5219101922685503e-05
0.225,3.9562268416321123e-05,4.506205189654393e-05,4.5228135815188077e-05,4.5231128491409096e-05,4.5231235172189788e-05,4.5231271736470173e-05,4.52312997917867e-05
0.2275,3.9462989547171583e-05,4.5064750520310926e-05,4.5239444783783519e-05,4.5242503287591566e-05,4.5242618694923193e-05,4.5242657420539426e-05,4.5242682051444679e-05
0.23,3.9364917701183658e-05,4.506711989196217e-05,4.5250635372986465e-05,4.525376804263546e-05,4.5253893899760773e-05,4.5253936461738153e-05,4.5253957728213367e-05
0.2325,3.9268541989265945e-05,4.5069618042193397e-05,4.5262120996495858e-05,4.526533496459295e-05,4.5265472531754815e-05,4.5265520273595813e-05,4.5265539123068062e-05
0.235,3.9174143139625805e-05,4.507248098730608e-05,4.5274088222490572e-05,4.527738834860644e-05,4.5277538250015868e-05,4.5277591916416869e-05,4.5277609847297072e-05
0.2375,3.9081802171258361e-05,4.5075731268466541e-05,4.5286511022132779e-05,4.5289899066397671e-05,4.5290061188090485e-05,4.5290120823749384e-05,4.5290139410368891e-05
0.24,3.8988417109551651e-05,4.5076687968341665e-05,4.5296707478329313e-05,4.5300181414213936e-05,4.5300354875695599e-05,4.5300419854599692e-05,4.530044024570458e-05
