Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.1025,0.00076968728618346887,0.00045931256722096819,0.00041624712692770285,0.00039488400019226826,0.00037948970562397147,0.00028723413120434067,0.00023198531815513606
0.105,0.00062318351030729233,0.0003177528785475242,0.00028489636473829472,0.00026424770630111,0.00025011475173135605,0.00018488440061695436,8.4719757775201854e-05
0.1075,0.00047674119046474704,0.00017437157876541495,0.00015894347195254452,0.00014529034797323973,0.00013194207415751283,8.9052847866082085e-05,-4.8113661645371905e-05
0.11,0.00034700139582913633,4.337895798684418e-05,4.9782763523750293e-05,5.0233072327803033e-05,4.0531727668622307e-05,1.3515813807990225e-05,-0.00014444954587638042
0.1125,0.00024360917600818851,-6.6698858784092807e-05,-3.7850760461739707e-05,-1.7417763181213565e-05,-1.8417373746161857e-05,-3.4205816068757155e-05,-0.00019402686804928133
0.115,0.00016839746055192481,-0.00015374338336748985,-0.00010539340039110047,-6.1777065825324807e-05,-4.8435355636553395e-05,-5.3786943776487811e-05,-0.00019845206012984785
0.1175,0.00011833344631626022,-0.00021957099474341062,-0.0001574532858876985,-9.0943767412112277e-05,-5.8701639335412945e-05,-5.0363840925094579e-05,-0.00016766178352126381
0.12,8.7822830904450781e-05,-0.00026801526226571568,-0.00019954269240102723,-0.00011391329221563181,-6.0638240598434321e-05,-3.2549555264442081e-05,-0.00011605357006568373
0.1225,7.1430474675686031e-05,-0.00030250159387139785,-0.00023561124342355252,-0.00013741132066888117,-6.4135052374759716e-05,-9.5535836632740669e-06,-5.7850013603847524e-05
0.125,6.5743693420432521e-05,-0.00032446846781291141,-0.00026656391926040742,-0.00016400685010462744,-7.4978113280662031e-05,1.1083803299054244e-05,-3.7206950032150155e-06
0.1275,6.96437998650794e-05,-0.00033326287370603295,-0.00029028101988551433,-0.00019190343931117568,-9.3994361124004e-05,2.4541937381630434e-05,4.0466734517410994e-05
0.13,8.2649940527082879e-05,-0.0003281776761159199,-0.00030407720633385461,-0.00021736656799128723,-0.00011869862670177295,2.8443913739052909e-05,7.3269645998977719e-05
0.1325,0.00010440857495894889,-0.00030906228407412883,-0.00030602690745356285,-0.00023663254296749087,-0.00014519060556960698,2.2344636363708021e-05,9.6371269986942623e-05
0.135,0.00013465472254965076,-0.00027605439207877664,-0.00029491998159630455,-0.00024636610762678534,-0.00016902917850996658,7.4210906545630789e-06,0.00011288530563299419
0.1375,0.00017250587617817568,-0.00023015937336205405,-0.00027075048099785932,-0.00024452298608028047,-0.00018641939425209918,-1.4276440264357604e-05,0.00012562034027010488
0.14,0.00021591492177708147,-0.00017383116884087151,-0.00023501788917557759,-0.00023082801427171888,-0.00019497466916883029,-4.0393279291494369e-05,0.00013586895981124484
0.1425,0.00026140950911061634,-0.00011130064939009982,-0.0001908925489887373,-0.00020687153440869703,-0.00019400388751645594,-6.8460317904670028e-05,0.00014300853399521762
0.145,0.00030472648352996385,-4.7936806735097667e-05,-0.00014283679744796798,-0.00017580924965089625,-0.00018457102739479468,-9.6238363034067864e-05,0.00014488880615600363
0.1475,0.0003419346990546982,1.1123064738000534e-05,-9.5578981857569965e-05,-0.00014147048506968815,-0.0001689335627902961,-0.00012198542271526537,0.00013870051282722389
0.15,0.00037005256658460367,6.1857738637218515e-05,-5.3238078958751871e-05,-0.00010751584704314694,-0.00014970805972924878,-0.00014435595440063259,0.00012195578066018581
