Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
0.6825,1.9167999242244234e-05
0.685,2.1069591756271193e-05
0.6875,2.2893121801169962e-05
0.69,2.4600484718971576e-05
0.6925,2.6160146463634735e-05
0.695,2.7548527295059654e-05
0.6975,2.8750664641777319e-05
0.7,2.9759730436211622e-05
0.7025,3.0576111599385386e-05
0.705,3.1206515669951285e-05
0.7075,3.1662947814505262e-05
0.71,3.1961620841648939e-05
0.7125,3.2121554048701367e-05
0.715,3.2163083826509011e-05
0.7175,3.2105728967142067e-05
0.72,3.1965190626083633e-05
0.7225,3.1753689815290154e-05
0.725,3.1478061714889979e-05
0.7275,3.1138463401149388e-05
0.73,3.0728677565921834e-05
0.7325,3.0239204198704701e-05
0.735,2.9656097629367263e-05
0.7375,2.8955603698421422e-05
0.74,2.8112576221724315e-05
0.7425,2.7106767288364106e-05
0.745,2.5924485991098897e-05
0.7475,2.4560583726335848e-05
0.75,2.3020833366517341e-05
0.7525,2.1322238624041557e-05
0.755,1.9491741239000233e-05
0.7575,1.7565103885809513e-05
0.76,1.5587110494429451e-05
0.7625,1.3612817380544079e-05
0.765,1.1708310728806262e-05
0.7675,9.947266461787034e-06
0.77,8.4074350515657354e-06
0.7725,7.1601262560472439e-06
0.775,6.2716097779945298e-06
0.7775,5.799328094242836e-06
0.78,5.7869669734353768e-06
0.7825,6.2640327194984936e-06
0.785,7.2456210105805703e-06
0.7875,8.7309063914947771e-06
0.79,1.0704163699432967e-05
0.7925,1.3136218314162806e-05
0.795,1.5980488178031548e-05
0.7975,1.9173792416049577e-05
0.8,2.2635102702185619e-05
0.8025,2.6267961324147606e-05
0.805,2.9965107377788375e-05
0.8075,3.3613914173414368e-05
0.81,3.7101890402138586e-05
0.8125,4.03229122347539e-05
0.815,4.3181171321480716e-05
0.8175,4.5597330449626772e-05
0.82,4.7510048587608123e-05
0.8225,4.8878485349683798e-05
0.825,4.9683115101490491e-05
0.8275,4.9925428940959114e-05
0.83,4.9626397236948497e-05
0.8325,4.8824571651532004e-05
0.835,4.7573861666796712e-05
0.8375,4.5940198877885498e-05
0.84,4.3999081432757188e-05
0.8425,4.1833666188975652e-05
0.845,3.9531464940311875e-05
0.8475,3.7179167871374602e-05
0.85,3.4864074427118897e-05
0.8525,3.2665078837141174e-05
0.855,3.0648784352133477e-05
0.8575,2.8867720333012554e-05
0.86,2.7359063703947757e-05
0.8625,2.6142487458204086e-05
0.865,2.5220105637800745e-05
0.8675,2.4578082087136785e-05
0.87,2.418813155949706e-05
0.8725,2.4009824700453795e-05
0.875,2.3990721454333384e-05
0.8775,2.4071813413870596e-05
0.88,2.4187672692531097e-05
0.8825,2.4269611700563887e-05
0.885,2.4248632945465004e-05
0.8875,2.4058570025661986e-05
0.89,2.3641624941756472e-05
0.8925,2.2951230456337062e-05
0.895,2.1950865721855492e-05
0.8975,2.0618223362314997e-05
0.9,1.8948948896895604e-05
0.9025,1.6954150385910661e-05
0.905,1.4659331901442815e-05
0.9075,1.2105300441039894e-05
0.91,9.3452442048887846e-06
0.9125,6.4448716596997522e-06
0.915,3.4840105753449215e-06
0.9175,5.5378956378155988e-07
0.92,-2.2418905983877277e-06
0.9225,-4.7975389337365747e-06
0.925,-7.0180246854186851e-06
0.9275,-8.8237318413749363e-06
0.93,-1.0150327867569458e-05
0.9325,-1.0947204600044034e-05
0.935,-1.1176765401693431e-05
0.9375,-1.0814660337719135e-05
0.94,-9.850112086037975e-06
0.9425,-8.286356612781153e-06
0.945,-6.1411904078301476e-06
0.9475,-3.4475365744183084e-06
0.95,-2.5217338386667501e-07
0.9525,3.3851371357867451e-06
0.955,7.3935155181424246e-06
0.9575,1.1693550098094529e-05
0.96,1.6200123223154967e-05
0.9625,2.0825000609971114e-05
0.965,2.5480742860480489e-05
0.9675,3.0083683745194459e-05
0.97,3.4553531600655232e-05
0.9725,3.8814356421804219e-05
0.975,4.2796536243466273e-05
0.9775,4.6438601121349236e-05
0.98,4.9688861130950512e-05
0.9825,5.2503429740099688e-05
0.985,5.4849358775556718e-05
0.9875,5.6704330708828999e-05
0.99,5.8056180319578104e-05
0.9925,5.8902017720173642e-05
0.995,5.924686604862126e-05
0.9975,5.9102598961190525e-05
1.0,5.8487170845268269e-05
1.0025,5.7423933254537163e-05
1.005,5.5941075759315256e-05
1.0075,5.4070618729066899e-05
1.01,5.1847451556665168e-05
1.0125,4.9309029041444242e-05
1.015,4.6494463847354432e-05
1.0175,4.3445735765841233e-05
1.02,4.0203244573808743e-05
1.0225,3.6809335361347395e-05
1.025,3.3308138295508902e-05
1.0275,2.9744362983429445e-05
1.03,2.61637324044153e-05
1.0325,2.2611441014654087e-05
1.035,1.9132415266429864e-05
1.0375,1.5772924583003581e-05
1.04,1.2577035739555265e-05
1.0425,9.5910829710203251e-06
1.045,6.8587786487899293e-06
1.0475,4.4212015162723085e-06
1.05,2.316351056776929e-06
1.0525,5.7807525147917006e-07
1.055,-7.647174528922851e-07
1.0575,-1.6890075452615337e-06
1.06,-2.1781503235317936e-06
1.0625,-2.2224513677318134e-06
1.065,-1.8195787144386411e-06
1.0675,-9.7498375711267469e-07
1.07,2.9795994950789327e-07
1.0725,1.9776479409666435e-06
1.075,4.034128025080394e-06
1.0775,6.429762359633159e-06
1.08,9.1190403808088773e-06
1.0825,1.2050329134246816e-05
1.085,1.5164992313299396e-05
1.0875,1.8399336434216743e-05
1.09,2.1686286507783199e-05
1.0925,2.4957390890059675e-05
1.095,2.8144358543383372e-05
