Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.2025,1.4630785560212844e-06,3.4754655908364851e-08,-1.2046154970688811e-08,-7.1855046078508587e-09,-3.7982462690775976e-09,2.1316181483179415e-10,2.4492756843561058e-09
0.205,1.4993990509068154e-06,3.7122631830448809e-08,-1.241295965710188e-08,-7.6606131620732137e-09,-4.3266608671865449e-09,-2.2856116743306378e-10,2.8308675535628553e-09
0.2075,1.5344977841632746e-06,3.9681477640827375e-08,-1.2680648564890158e-08,-8.0698447225749937e-09,-4.8367026097375719e-09,-7.3940526280555532e-10,3.0028190834058866e-09
0.21,1.5681046556229605e-06,4.2381521025616458e-08,-1.2841448712191355e-08,-8.3889596394971664e-09,-5.2963919359070724e-09,-1.296399257725062e-09,2.9798625411177785e-09
0.2125,1.59997705025174e-06,4.5149384077204664e-08,-1.2898402806676714e-08,-8.6015519013165052e-09,-5.6764749570975214e-09,-1.8703894854473023e-09,2.7816759392954038e-09
0.215,1.6298952497899223e-06,4.7885755946227858e-08,-1.2865599097327707e-08,-8.7013459193097694e-09,-5.9538644833633396e-09,-2.4280472210527227e-09,2.4318098536180239e-09
0.2175,1.6576685363467734e-06,5.0499775284506363e-08,-1.2766971002471644e-08,-8.6934964147405338e-09,-6.1144064465141748e-09,-2.9347381166997595e-09,1.9570748632728326e-09
0.22,1.6831772167115013e-06,5.2884883943031981e-08,-1.2633552255686727e-08,-8.5943762008360594e-09,-6.1547399991657174e-09,-3.3579157354990869e-09,1.3872805946996663e-09
0.2225,1.706316896466738e-06,5.4925062273079502e-08,-1.2499781403911397e-08,-8.4298977490385081e-09,-6.0829474908382439e-09,-3.6704973178711991e-09,7.5486119394291867e-10
0.225,1.727018943119079e-06,5.6499135904957483e-08,-1.2399315081124088e-08,-8.2325111733319333e-09,-5.9179340190870281e-09,-3.8538229786345865e-09,9.4266339224237744e-11
0.2275,1.7453057680907668e-06,5.7406128459803556e-08,-1.2360972803191223e-08,-8.0373253340217291e-09,-5.687521273074002e-09,-3.8998520690317204e-09,-5.590966855537395e-10
0.23,1.7611289990794659e-06,5.77117184916107e-08,-1.2405452082278288e-08,-7.8779137822942984e-09,-5.425355504459141e-09,-3.8122597733229138e-09,-1.1703893416429733e-09
0.2325,1.7744389877982095e-06,5.741397774336345e-08,-1.2543157751857337e-08,-7.7825382483699845e-09,-5.167171877523785e-09,-3.6062059163361384e-09,-1.7070786068747876e-09
0.235,1.7851728630522005e-06,5.6541071434532239e-08,-1.2773326692455346e-08,-7.7712027227825813e-09,-4.9470167143508126e-09,-3.3070780157944103e-09,-2.140736294741403e-09
