Physical Time (s),enth_flux_pressure_right Monitor (W): right_cv1,enth_flux_pressure_right Monitor (W): right_cv2,enth_flux_pressure_right Monitor (W): right_cv3,enth_flux_pressure_right Monitor (W): right_cv4,enth_flux_pressure_right Monitor (W): right_cv5,enth_flux_pressure_right Monitor (W): right_cv6,enth_flux_pressure_right Monitor (W): right_cv7
0.1025,-1.2398668832831247e-05,-8.8059945606792008e-06,-9.5685991970992063e-07,3.4991316249813474e-06,1.8941467799531028e-06,-6.2886414164228936e-06,4.7806178221313791e-06
0.105,-1.5304054604593143e-05,-1.0314612481063659e-05,-1.8358368929181788e-07,3.691218592340581e-06,-1.5128818998329741e-06,-1.1280425555409058e-05,1.3500236101655175e-06
0.1075,-1.5725129554444439e-05,-9.950978801087937e-06,6.5720139605864635e-07,3.3262925542760524e-06,-3.5570100969057274e-06,-1.1588885429003207e-05,-2.091265223046533e-06
0.11,-1.3564507034467395e-05,-7.8062909673678902e-06,1.2858002421328513e-06,2.4067874284228296e-06,-3.7938570456988811e-06,-7.8891201559493062e-06,-4.6648219219700526e-06
0.1125,-9.2620193586245603e-06,-4.4034748251213975e-06,1.5600054133306649e-06,1.2882426382805848e-06,-2.1659269920700081e-06,-1.7422696754910517e-06,-5.7589419757717236e-06
0.115,-3.6652196560019886e-06,-5.1952295093669455e-07,1.514305163917381e-06,5.0371311761542754e-07,9.338556298559747e-07,4.9531997949819511e-06,-5.1315761761850768e-06
0.1175,2.1982509950768089e-06,3.0735958729416981e-06,1.3707836149216338e-06,5.1538902291653831e-07,4.7009914998301746e-06,1.0479259811252815e-05,-2.9388860110980649e-06
0.12,7.3342612949970033e-06,5.8068555525202722e-06,1.411929736132411e-06,1.4469705346410603e-06,8.0773732788536438e-06,1.3621045653023686e-05,2.5888488135672287e-07
0.1225,1.1068578864738771e-05,7.4891123448124375e-06,1.9120646935181987e-06,3.0559987926192318e-06,1.0113657168200586e-05,1.3880235749059366e-05,3.6880671255605676e-06
0.125,1.3182910167110632e-05,8.3072897398984811e-06,3.0354068500347197e-06,4.8535637565397021e-06,1.0254559196297102e-05,1.1473287885397392e-05,6.5858906057472995e-06
0.1275,1.3788042698631166e-05,8.5875474849527565e-06,4.638734861577216e-06,6.1853051199168009e-06,8.3808578969735782e-06,7.0772249290660701e-06,8.286230681497826e-06
0.13,1.3228410797914571e-05,8.6121516326677408e-06,6.2633092235959791e-06,6.4579643548572913e-06,4.8664499561387602e-06,1.6750610603247978e-06,8.3711575802116476e-06
0.1325,1.1976178205188919e-05,8.5373663676151546e-06,7.3296346067453082e-06,5.4124223622350055e-06,4.6279741956344637e-07,-3.7063151415214785e-06,6.8426624334772465e-06
0.135,1.0469954265715314e-05,8.3539269875046126e-06,7.3682072444638738e-06,3.188643701653831e-06,-3.9457504537410405e-06,-8.1979564206339711e-06,4.0887737725933837e-06
0.1375,8.9744414762560336e-06,7.8973475879159278e-06,6.1531818528803193e-06,2.145546533905897e-07,-7.5805863895978439e-06,-1.1234809448898362e-05,7.1319601952233882e-07
0.14,7.5051938343935671e-06,6.9072553432824078e-06,3.7579466003410321e-06,-2.9880647494260662e-06,-9.9923323044437126e-06,-1.2660231276350353e-05,-2.6596697176573885e-06
0.1425,5.8919723159740897e-06,5.155948805369701e-06,5.1604330542570529e-07,-5.9547945408254101e-06,-1.1114792231156361e-05,-1.269096424673936e-05,-5.5496738611689504e-06
0.145,3.9109820068795299e-06,2.5768855196825234e-06,-3.070797934420813e-06,-8.351178519280137e-06,-1.1182385047425086e-05,-1.1780009790721183e-05,-7.6756552541881351e-06
0.1475,1.419219082595229e-06,-6.8063010541359077e-07,-6.4654819169910516e-06,-1.0004050949913951e-05,-1.0601467437922329e-05,-1.0474775970941697e-05,-8.9710507112011254e-06
0.15,-1.5621564989747397e-06,-4.2812603430240564e-06,-9.2237027591868773e-06,-1.0887945507438376e-05,-9.7941253147238634e-06,-9.2607065286208676e-06,-9.5424594794730219e-06
0.1525,-4.8330634129439964e-06,-7.7973862489518933e-06,-1.107825352875576e-05,-1.1088545723420676e-05,-9.0851747652420139e-06,-8.4603762476876623e-06,-9.597893512065924e-06
0.155,-8.0481062879876037e-06,-1.0798289905701635e-05,-1.1951828996908485e-05,-1.0739834402160105e-05,-8.6188344216364832e-06,-8.1693748233907625e-06,-9.3470115075131876e-06
0.1575,-1.0782174966510087e-05,-1.2924748765603431e-05,-1.1924165440533956e-05,-9.9851302015784347e-06,-8.3549516286014712e-06,-8.2618340992640849e-06,-8.9340309398392403e-06
0.16,-1.2645207181538681e-05,-1.3953809666900003e-05,-1.1170023638374647e-05,-8.9488733824245043e-06,-8.1169928555041273e-06,-8.4453825667426295e-06,-8.4071004830930031e-06
0.1625,-1.3365846327090337e-05,-1.3819366826617085e-05,-9.9043215122060207e-06,-7.7306950948653421e-06,-7.6799041494658584e-06,-8.3606481288003878e-06,-7.7315625704054257e-06
0.165,-1.2848872904252491e-05,-1.2608081843634157e-05,-8.3263260483682305e-06,-6.3982782326900566e-06,-6.8461744599564675e-06,-7.6789819438423454e-06,-6.8273026777355136e-06
0.1675,-1.1187907843534997e-05,-1.0531148557552153e-05,-6.5934039604049836e-06,-4.9901385962488131e-06,-5.5065961155252218e-06,-6.1885318230653148e-06,-5.6227298202768711e-06
0.17,-8.6312107828041112e-06,-7.8752515861036058e-06,-4.8078204128897944e-06,-3.5133184469624786e-06,-3.6622975291010886e-06,-3.8496880585882172e-06,-4.0888773911369328e-06
0.1725,-5.5266641070002891e-06,-4.9554392759085804e-06,-3.0278565048950403e-06,-1.9621341612003097e-06,-1.4241270326799448e-06,-8.1978860030947525e-07,-2.2723378937543421e-06
0.175,-2.1977765602244841e-06,-2.0116887287275856e-06,-1.2279610059526874e-06,-2.8241009854332413e-07,1.0701443196318693e-06,2.6283027700470277e-06,-2.4357449808174229e-07
0.1775,1.0887339623530476e-06,7.9415643828962376e-07,6.5132847272510876e-07,1.5794554936918325e-06,3.6666262715326548e-06,6.1407557637435538e-06,1.8938978715424285e-06
