Physical Time (s),enth_flux_enthalpy_right Monitor (W): right_cv1,enth_flux_enthalpy_right Monitor (W): right_cv2,enth_flux_enthalpy_right Monitor (W): right_cv3,enth_flux_enthalpy_right Monitor (W): right_cv4,enth_flux_enthalpy_right Monitor (W): right_cv5,enth_flux_enthalpy_right Monitor (W): right_cv6,enth_flux_enthalpy_right Monitor (W): right_cv7
0.23,1.2355055196534395e-05,1.6197169184929922e-05,1.4804775398522099e-05,1.4416418208568254e-05,1.3626834066743373e-05,1.0845576883076977e-05,8.8084453948545406e-06
0.2325,1.1454301241883561e-05,1.5412512186723675e-05,1.4380432659134259e-05,1.4228981689660985e-05,1.3432935559530231e-05,1.0682346581204179e-05,8.6771484354247438e-06
0.235,1.0097434854469228e-05,1.4083632631344922e-05,1.3471442603854407e-05,1.3653316124909669e-05,1.2937828368306465e-05,1.0373213413006853e-05,8.4017467683382268e-06
0.2375,8.4265076036823065e-06,1.2357756893864123e-05,1.2119877523371053e-05,1.2672077666413336e-05,1.215002744489808e-05,9.9574549752278313e-06,7.9524940553936194e-06
0.24,6.543598505148475e-06,1.0348558165032763e-05,1.0346659583033338e-05,1.1244904695627116e-05,1.1036446565236257e-05,9.4196216866185692e-06,7.2785459290834454e-06
0.2425,4.5021963555609868e-06,8.1259032358696169e-06,8.1652228417091634e-06,9.3332747059659794e-06,9.5392156760499273e-06,8.691128794659054e-06,6.3230766254099003e-06
0.245,2.3307209093280918e-06,5.7370377510443258e-06,5.6124968979261002e-06,6.9426164364181447e-06,7.6176279340352574e-06,7.6812673839136347e-06,5.0547924994966699e-06
0.2475,4.9719811933796756e-08,3.2233455489152875e-06,2.7630693032206533e-06,4.1418856288497223e-06,5.2764357168808918e-06,6.304984752536899e-06,3.4818487604950155e-06
0.25,-2.306397797530124e-06,6.3781823392440393e-07,-2.6457696129398898e-07,1.0627688294173574e-06,2.5797984712558001e-06,4.5114462288360309e-06,1.6545909718646078e-06
0.2525,-4.6734427730290016e-06,-1.9382301573738955e-06,-3.3126519370516539e-06,-2.1092386663722476e-06,-3.4471313835855457e-07,2.3093079104280161e-06,-3.3923599613163177e-07
0.255,-6.9520047610471428e-06,-4.392615412909182e-06,-6.197796542477329e-06,-5.1612525122210194e-06,-3.3193847345756396e-06,-2.2318849632717926e-07,-2.3879167978455027e-06
0.2575,-9.0103602385746578e-06,-6.5837277999246253e-06,-8.7298772683042095e-06,-7.8808929431522463e-06,-6.1393293223070783e-06,-2.9375340170201118e-06,-4.3682321428737931e-06
0.26,-1.0699878862275223e-05,-8.3578839970398397e-06,-1.073592119340757e-05,-1.0083889076256403e-05,-8.6022366743274717e-06,-5.6336924752433736e-06,-6.1598126071432684e-06
0.2625,-1.1888508226353368e-05,-9.5825910567473305e-06,-1.2094337736115431e-05,-1.1649001180286188e-05,-1.0549013739315936e-05,-8.10516071997879e-06,-7.6683098930681431e-06
0.265,-1.2465063346091634e-05,-1.015099878440178e-05,-1.2731520723826818e-05,-1.2510325338230406e-05,-1.1866822127600063e-05,-1.0152389744290313e-05,-8.814055272948491e-06
0.2675,-1.2382293360029812e-05,-1.0024281719455833e-05,-1.2652857974717521e-05,-1.2684239664575181e-05,-1.2524653953854197e-05,-1.1639753231998831e-05,-9.5573405232084435e-06
0.27,-1.1648124641898935e-05,-9.2224387097218327e-06,-1.1921361331739404e-05,-1.2241406879079718e-05,-1.2552775223221826e-05,-1.2492865240829134e-05,-9.8782593159674716e-06
0.2725,-1.0339887560469613e-05,-7.8360407721459109e-06,-1.0659059270855279e-05,-1.1303739472350554e-05,-1.2044205285454405e-05,-1.2720138269771274e-05,-9.7870765112179609e-06
0.275,-8.581522819312638e-06,-6.0018750236683223e-06,-9.0158952866020299e-06,-1.0012006853671607e-05,-1.1124524200757817e-05,-1.2393699885109577e-05,-9.3129264642560493e-06
0.2775,-6.5329909977854895e-06,-3.8891590045233172e-06,-7.1561468007744358e-06,-8.5120877566634075e-06,-9.9347789423412622e-06,-1.1635078348192401e-05,-8.5080513913921799e-06
