Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.1125,8.654933661959114e-07,2.2042959025033299e-08,3.4789455294984174e-10,3.2762994543809351e-11,3.3709063155055356e-11,7.3017537373335785e-11,8.3000812616023556e-11
0.115,8.6562921443804119e-07,2.2924571893943125e-08,3.1317351354555479e-10,3.6326741701408955e-11,2.7622322556660435e-11,4.9453875925381022e-11,5.9608694564383778e-11
0.1175,8.6637822505755332e-07,2.3882221946121432e-08,2.9025947311030173e-10,2.9890488891457687e-11,1.7396668097770288e-11,3.1925128762449366e-11,4.6948251331630481e-11
0.12,8.6746415276830064e-07,2.4933653039566268e-08,2.8686724548228388e-10,1.8035230546867669e-11,1.4999871950740455e-11,3.6015462972504458e-11,5.2365597656821396e-11
0.1225,8.6843576137722595e-07,2.608490048790093e-08,3.04860620372077e-10,1.0831874411751389e-11,2.1272623609153507e-11,5.5895557435642324e-11,6.4938822137182608e-11
0.125,8.6878614313760651e-07,2.7327503185225514e-08,3.4012230547265952e-10,1.2457408969362789e-11,2.645000466195035e-11,7.2060340844547486e-11,6.9793190517845545e-11
0.1275,8.6809578790229599e-07,2.8643302093615131e-08,3.8440004541209138e-10,1.7737043578279104e-11,2.2998329410735851e-11,7.0934202679846914e-11,6.1799860212442902e-11
0.13,8.6618798542225736e-07,3.0010545277240852e-08,4.2827036360740265e-10,1.9474870745547455e-11,1.4164902966360443e-11,5.4934313327313488e-11,4.7696795060574616e-11
0.1325,8.6321398819711566e-07,3.1413126630020656e-08,4.6466439323255694e-10,1.716493478628871e-11,8.7232720373634447e-12,3.5900520775540841e-11,3.6836873080845631e-11
0.135,8.5963043672467901e-07,3.2842460042109983e-08,4.9267492417554705e-10,1.7403182293287598e-11,1.1954621057432614e-11,2.4448772068401629e-11,3.4219995889146279e-11
0.1375,8.5611273085168333e-07,3.4299205366980509e-08,5.1851969298190261e-10,2.6312114172168471e-11,2.1643133849742434e-11,2.3295896439170581e-11,3.8760494419257506e-11
0.14,8.5338416283219832e-07,3.5793474849160979e-08,5.5154420477536841e-10,4.284302982561564e-11,3.113209999261847e-11,2.7982355680894069e-11,4.5380331411104493e-11
0.1425,8.5200582544486521e-07,3.7344877403575272e-08,5.982893022169009e-10,5.9719787293387769e-11,3.5033669454276618e-11,3.1928626236942489e-11,4.8555180533322064e-11
0.145,8.5219376762954857e-07,3.8974253539113144e-08,6.581159442992732e-10,6.9975368891015422e-11,3.2581919100734651e-11,3.1174378697747353e-11,4.5365347771160209e-11
0.1475,8.5370405509692912e-07,4.069290711243281e-08,7.2282016861724025e-10,7.1839335200142454e-11,2.6724177153357528e-11,2.5880715976599014e-11,3.687007260657619e-11
0.15,8.5584332121583929e-07,4.2493707785826723e-08,7.7994039620514683e-10,6.8017893439664442e-11,2.0827538629491401e-11,1.8835828529847512e-11,2.6976406243669824e-11
0.1525,8.5764038469527716e-07,4.4351440607835514e-08,8.1764860031590176e-10,6.205272266103251e-11,1.6469669529177797e-11,1.3022182914428725e-11,2.0075838381439998e-11
0.155,8.5812741233294399e-07,4.6232378075597718e-08,8.2871268016756143e-10,5.5648769942197508e-11,1.3372738275062369e-11,9.8227504977950348e-12,1.8224473575006121e-11
0.1575,8.5663887020520766e-07,4.8105163765402869e-08,8.1217337148008804e-10,4.8666800836796638e-11,1.0679583030005523e-11,8.7779749220028831e-12,1.9948048579171066e-11
0.16,8.5300321122047127e-07,4.9952842084531565e-08,7.7297856637266556e-10,4.0679241407266268e-11,8.0106738930232239e-12,8.4915880612056771e-12,2.1531523722152168e-11
0.1625,8.4756334178548314e-07,5.1775535887835848e-08,7.1998433953962211e-10,3.2143235035188003e-11,5.5905498724630671e-12,7.8783105436429426e-12,2.0015037214144462e-11
0.165,8.4105412343317149e-07,5.3588863544637967e-08,6.6351133006950917e-10,2.4274815018804011e-11,3.7562431552707871e-12,6.8368808218626501e-12,1.5400110562783418e-11
0.1675,8.3439057729049315e-07,5.5417489034215452e-08,6.1334457009843704e-10,1.82197294705907e-11,2.5790305750752525e-12,6.0452696133998501e-12,1.0383221419961648e-11
0.17,8.2843760934123837e-07,5.7289875712065939e-08,5.7772535040196273e-10,1.4421367568906843e-11,1.9355723794067394e-12,6.1732884856242308e-12,7.8933694761567204e-12
0.1725,8.2381759140466938e-07,5.9233605279960624e-08,5.6271461894858946e-10,1.2698298783964899e-11,1.7981394755237048e-12,7.2424954999007821e-12,8.7987812871312593e-12
0.175,8.2080319611370823e-07,6.1267939106707947e-08,5.7189525070851504e-10,1.2712953366821048e-11,2.3116412573828357e-12,8.5745600146376603e-12,1.1532357596922523e-11
0.1775,8.1930274289457704e-07,6.3398286664453726e-08,6.0589875673461303e-10,1.4285245919302714e-11,3.5569600098399566e-12,9.2947554030900362e-12,1.3608864122621101e-11
0.18,8.1893117204847856e-07,6.5616257077978888e-08,6.6189227349353099e-10,1.7301983708881108e-11,5.264708907313657e-12,8.9883354712268018e-12,1.3719202256567703e-11
0.1825,8.1913075517021338e-07,6.7898713856603899e-08,7.3340253958967283e-10,2.1398480290156761e-11,6.814935115980497e-12,7.9842900916573368e-12,1.2617641591451815e-11
