Physical Time (s),ew_left Monitor (W)
1.2225,-1.2758011130468755e-18
1.225,-1.2646697162540424e-18
1.2275,-1.3071595275304452e-18
1.23,-1.3946177316562105e-18
1.2325,-1.5017829920303043e-18
1.235,-1.629120774639142e-18
1.2375,-1.6061635828370733e-18
1.24,-1.6682568003353733e-18
1.2425,-1.5940676592984868e-18
1.245,-1.5434985199142326e-18
1.2475,-1.500974301566853e-18
1.25,-1.4744582311031483e-18
1.2525,-1.4623779902263964e-18
1.255,-1.4598777872064562e-18
1.2575,-1.4646200316227888e-18
1.26,-1.3994187908914924e-18
1.2625,-1.2286806549409403e-18
1.265,-1.0540573243804407e-18
1.2675,-9.0091452695926424e-19
1.27,-7.5556930359428934e-19
1.2725,-6.1945651937539422e-19
1.275,-5.2125382577304752e-19
1.2775,-4.6734424674908358e-19
1.28,-4.2782437331123474e-19
1.2825,-3.5779813873661375e-19
1.285,-2.7726264495318842e-19
1.2875,-2.5983954938805574e-19
1.29,-2.447892463549428e-19
1.2925,-2.3539991574218851e-19
1.295,-2.3327172008939884e-19
1.2975,-2.3874226724510115e-19
1.3,-2.5082315730041269e-19
1.3025,-2.6767844718088674e-19
1.305,-3.9240517809751525e-19
1.3075,-5.0842834387516716e-19
1.31,-5.4331959820416217e-19
1.3125,-5.8138470156664979e-19
1.315,-6.4151684917956593e-19
1.3175,-7.2799196692319287e-19
1.32,-8.4090590218926102e-19
1.3225,-9.8029678916955988e-19
1.325,-1.140355971277592e-18
1.3275,-1.3197748110851344e-18
1.33,-1.5014575773584385e-18
1.3325,-1.6877419021305139e-18
1.335,-1.8515267474754203e-18
1.3375,-1.885002054447099e-18
1.34,-1.9488015525371136e-18
1.3425,-1.8563230892276412e-18
1.345,-1.75615823860989e-18
1.3475,-1.658555440561316e-18
1.35,-1.5746667786850385e-18
1.3525,-1.507151661420341e-18
1.355,-1.454898739706777e-18
1.3575,-1.4150149413954615e-18
1.36,-1.38457341048549e-18
1.3625,-1.3620871426827911e-18
1.365,-1.3460732516153278e-18
1.3675,-1.3343314076689289e-18
1.37,-1.3253478378521064e-18
1.3725,-1.3187686924065872e-18
1.375,-1.3142562140256734e-18
1.3775,-1.3110332759345296e-18
1.38,-1.3097345705587059e-18
1.3825,-1.3098387337347722e-18
1.385,-1.3110981507749412e-18
1.3875,-1.3140323366919803e-18
1.39,-1.3181416052752863e-18
1.3925,-1.3228778302675483e-18
1.395,-1.3274363798945614e-18
1.3975,-1.3314906629292951e-18
1.4,-1.3331013487447675e-18
1.4025,-1.3320900167901774e-18
1.405,-1.3276268353944174e-18
1.4075,-1.3185602603704417e-18
1.41,-1.304270048201855e-18
1.4125,-1.2852967596686626e-18
1.415,-1.2625093826629327e-18
1.4175,-1.2363425951328515e-18
1.42,-1.2075212803732371e-18
1.4225,-1.1768212110034282e-18
1.425,-1.1444324221343295e-18
1.4275,-1.1113822327484318e-18
1.43,-1.0779911560216326e-18
1.4325,-1.0443647325134521e-18
1.435,-1.0109085166926579e-18
1.4375,-9.7745327026878131e-19
1.44,-9.4546055344359677e-19
1.4425,-9.1399823847498927e-19
1.445,-8.8384280293209854e-19
1.4475,-8.5571002275568749e-19
1.45,-8.3037524809077054e-19
1.4525,-8.0858701217394981e-19
1.455,-7.9162701669030063e-19
1.4575,-7.7978253923079233e-19
1.46,-7.7405534805828051e-19
1.4625,-7.7520227423561072e-19
1.465,-7.8380713944616402e-19
1.4675,-7.9985080729387559e-19
1.47,-8.2385677936600609e-19
1.4725,-8.5603127107443581e-19
1.475,-8.9661925736600945e-19
1.4775,-9.4530273860727879e-19
1.48,-1.0020228233349811e-18
1.4825,-1.0661211561486042e-18
1.485,-1.1374391693400559e-18
1.4875,-1.2156587134084767e-18
1.49,-1.3008999779929439e-18
1.4925,-1.3931330458837105e-18
1.495,-1.4915317929103016e-18
1.4975,-1.5961039698210089e-18
1.5,-1.7053250120323893e-18
1.5025,-1.8194350153992462e-18
1.505,-1.9372938996533583e-18
1.5075,-2.0583666364852741e-18
1.51,-2.1804833243194473e-18
