Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.1775,-6.8133894584555439e-20,6.5144991967581945e-20,-1.4892317674788259e-20,8.7246821418002766e-20,-3.0625518602382249e-21,1.3361850863508893e-19,-1.4626407806334658e-19
0.18,6.3918776137234943e-19,-6.8257682304620812e-20,2.4155124584311744e-19,-6.3269173662472432e-20,-2.5316863382320686e-20,-7.6000565879453532e-21,-9.9639772066503448e-20
0.1825,7.8618891034833446e-20,-1.5493657264220656e-19,-4.0271522081477547e-20,-6.0089026196729612e-20,-1.5005953493608107e-21,4.1930504136786895e-20,-1.5211176987713017e-19
0.185,1.3129415363359038e-19,-2.2371869763915525e-20,1.0465074027374568e-19,1.8932369162808109e-20,3.5501798215956898e-21,-5.3977796671434922e-20,3.671367724038956e-20
0.1875,-2.8641952710270373e-19,6.3193878949410151e-21,-4.8129439268938364e-20,4.154651693283468e-20,-1.0466618837005912e-20,5.3385928921607758e-20,-6.5920527675781318e-20
0.19,1.341668167517148e-19,-2.2017075605966092e-19,1.7750015799304921e-19,-3.8629179626522885e-21,5.2226893045865453e-20,8.4416268065522583e-21,7.2899865358378627e-21
0.1925,2.3437978324842771e-19,-1.5037445099512251e-19,1.2473451486484371e-20,-1.2307655603494445e-19,-6.2043566440787275e-20,3.1041091697135923e-20,7.3927163538592324e-20
0.195,-8.8267106535876187e-20,2.4101135546194725e-20,3.7569786171503908e-19,3.7387822136145985e-21,-2.3561853551833668e-20,-1.0313141235579421e-19,-6.0210651486088263e-20
0.1975,-1.4092037924668502e-19,-2.929684221601981e-19,-3.4050191409369359e-19,-1.6674000045993373e-19,1.6917090052212077e-19,-6.5068169594634312e-20,-2.4123375141651387e-19
0.2,-1.2769471705420877e-19,-2.0610785934678113e-19,-1.6143468090051787e-19,-7.1513685965763341e-20,3.8524392270574976e-20,-4.1297474648213545e-20,-3.6421801469144027e-19
0.2025,4.8977681173884768e-19,-5.8997671154865625e-19,6.4305505500982101e-20,1.2671641047715683e-19,-9.2754800338583857e-20,-2.9194701991767863e-20,-5.3780346506195209e-21
0.205,3.8885294618802099e-19,2.1824705845872414e-19,-4.2222087876514371e-19,3.3099475048709115e-19,-6.7243000920454503e-20,-2.0247786133517233e-19,-4.5926653115078944e-20
0.2075,3.6573254459291412e-19,-1.5508914635379683e-19,4.6507684696718771e-19,-2.9101499796778408e-19,1.8791227992205166e-19,2.3555449068622508e-20,3.1606370370961248e-20
0.21,-8.5080762610811072e-19,-2.0815311294745163e-19,7.983894599637674e-19,3.2628829749219656e-19,-4.3503629478511631e-20,-8.462774174229284e-20,-2.314359602079534e-20
0.2125,-7.1281949152344776e-19,-9.1026867544119865e-20,-1.8710521770041017e-19,2.1937714681984912e-20,-5.7272943467125052e-20,-3.8487733909043075e-20,-2.4502765926474618e-20
0.215,-1.3773560663061097e-19,1.6023277869267131e-19,-2.4092314944494587e-19,-3.2518399508364216e-20,4.55669205599172e-20,2.5062600114004484e-20,-1.9412686474678429e-20
0.2175,-6.5121673271901547e-19,-9.8141675454454076e-20,-4.4947375764961598e-19,3.2306217716357078e-19,-5.5669285162153816e-20,9.0395153027159024e-21,2.3113112282715983e-20
