Physical Time (s),ep_bot Monitor (W): bot_cv1,ep_bot Monitor (W): bot_cv2,ep_bot Monitor (W): bot_cv3,ep_bot Monitor (W): bot_cv4,ep_bot Monitor (W): bot_cv5,ep_bot Monitor (W): bot_cv6,ep_bot Monitor (W): bot_cv7
0.235,-1.027514854548565e-08,-6.4090830137581011e-10,-3.7517515747583963e-09,-3.7286116662460664e-09,-2.3224903498759854e-09,-2.1021528037297788e-09,-4.8550699953158063e-10
0.2375,-8.7504094652673665e-09,-5.5536462141961382e-10,-3.3076454571423291e-09,-3.4151815620803833e-09,-2.2199165658853283e-09,-2.0858534133291049e-09,-6.500164092589254e-10
0.24,-6.6115079053713637e-09,-4.6038041067553978e-10,-2.6775030068422209e-09,-2.7933267104116174e-09,-1.8401801803416884e-09,-1.8017415282314639e-09,-7.0765169856258546e-10
0.2425,-4.2106566652731011e-09,-3.5359948761229358e-10,-1.9325965652260246e-09,-1.99653125942826e-09,-1.305665050221802e-09,-1.3379132739059608e-09,-5.8266601345603807e-10
0.245,-1.8836653073924674e-09,-2.2807301258252776e-10,-1.1438210162180586e-09,-1.1884028234587466e-09,-7.7391822420351813e-10,-7.9673766276229376e-10,-2.7132547246539736e-10
0.2475,1.3397808336123719e-10,-7.5371215542670475e-11,-3.6493118542381871e-10,-4.9378065083062978e-10,-3.64110598183741e-10,-2.739456981060715e-10,1.4699794549925577e-10
0.25,1.740707279327565e-09,1.1138684639562091e-10,3.7784827394596739e-10,4.1491819658336551e-11,-1.1555141375470288e-10,1.4619125730310153e-10,5.4267221398520592e-10
0.2525,2.9507497195081001e-09,3.3282929050612133e-10,1.0742912275180842e-09,4.4281719138157026e-10,5.0733082040366124e-12,3.9765832371047742e-10,7.9261440874981971e-10
0.255,3.8580170605816676e-09,5.7794973874056885e-10,1.7187169029899952e-09,7.6739867505402135e-10,6.5103202141425499e-11,4.5122793120909904e-10,8.31922189800821e-10
0.2575,4.5897613919984174e-09,8.2086952390371668e-10,2.2913652464597347e-09,1.0629158031105693e-09,1.267569352580856e-10,3.3763840052981982e-10,6.7631352897185495e-10
0.26,5.2594230816498023e-09,1.0219593553168217e-09,2.7499744116305051e-09,1.3464783181132644e-09,2.2952233462108566e-10,1.5739964439527957e-10,4.1169881148428184e-10
0.2625,5.9389876767382167e-09,1.1350128535276183e-09,3.0366911430290749e-09,1.6074222692942497e-09,3.9252431505529128e-10,5.5346130833537596e-11,1.552666942025409e-10
0.265,6.6400377089670604e-09,1.1178771941437308e-09,3.0949128074091238e-09,1.8224271146550772e-09,6.2102066557552648e-10,1.6226998440419717e-10,9.0630075465228089e-12
0.2675,7.3154203457439958e-09,9.4449081461782511e-10,2.8906613230931791e-09,1.9703112415528713e-09,9.0515371513456815e-10,5.2941160081667276e-10,2.4321090321159079e-11
0.27,7.8751169606335816e-09,6.1606751591659782e-10,2.4315513479403095e-09,2.0382289005622011e-09,1.2130156208371216e-09,1.0899429635089581e-09,1.8564321535819644e-10
0.2725,8.2171434005813668e-09,1.6586945986055251e-10,1.7711981639792652e-09,2.0218236070627992e-09,1.4905404024001684e-09,1.6760434944022186e-09,4.2039646677322753e-10
0.275,8.2649546352676315e-09,-3.4611717797923932e-10,9.9743931970415543e-10,1.9221583645632097e-09,1.677323048836865e-09,2.0910919833595967e-09,6.2904001793442591e-10
0.2775,7.9915269631443188e-09,-8.4507397974099259e-10,2.089285251251641e-10,1.7458143784517467e-09,1.7309352412296829e-09,2.1982553114554183e-09,7.2405576133760545e-10
0.28,7.4222711128460692e-09,-1.2581872982164414e-09,-5.0387299541048522e-10,1.5063135282282029e-09,1.6467366961009074e-09,1.9797143559940532e-09,6.6363784192037144e-10
0.2825,6.6187811601033066e-09,-1.5288392704669264e-09,-1.0740385166418932e-09,1.2244927495572446e-09,1.4592951636418383e-09,1.5385377693269886e-09,4.679373734879514e-10
0.285,5.6519671170184398e-09,-1.6299202203001295e-09,-1.4664199379723116e-09,9.2343214033333694e-10,1.2234540037287195e-09,1.0453615501419221e-09,2.1128036733830217e-10
0.2875,4.5825896449974841e-09,-1.5673563860957149e-09,-1.6759777115880604e-09,6.236250665802175e-10,9.8762640581256127e-10,6.5901381102929227e-10,-8.5741828736181828e-12
0.29,3.4556515116817674e-09,-1.376383666298966e-09,-1.7218979343781312e-09,3.3990567719327796e-10,7.7523152319987269e-10,4.5968799482631849e-10,-1.1391366785824913e-10
0.2925,2.3114969637081632e-09,-1.1111768992458589e-09,-1.6423176687340583e-09,8.0136202513690727e-11,5.8189104792905094e-10,4.2289376086186996e-10,-8.5214046675489613e-11
0.295,1.204528772524547e-09,-8.2856414667340855e-10,-1.4825133469858342e-09,-1.5251097784043074e-10,3.873626493437937e-10,4.4103243642922817e-10,2.5121029926294956e-11
0.2975,2.1213936304842298e-10,-5.7464648881223187e-10,-1.2894625723632348e-09,-3.5904783801177933e-10,1.7126310550918309e-10,3.7965686431256416e-10,1.1420321836378493e-10
0.3,-5.7058450677380478e-10,-3.7680896819753656e-10,-1.105400055358799e-09,-5.4432271805785205e-10,-7.5032754711040601e-11,1.4212429878718517e-10,7.7947595566056509e-11
0.3025,-1.056489190071502e-09,-2.4238093148825235e-10,-9.6369333899334518e-10,-7.1792515346695613e-10,-3.4511502792468116e-10,-2.8769549509678643e-10,-1.3641147719573439e-10
0.305,-1.1994631397428209e-09,-1.6431134984810298e-10,-8.8608999033085771e-10,-8.9141444832656471e-10,-6.2051144645813815e-10,-8.3926490366749598e-10,-5.0027729884001756e-10
0.3075,-1.0171234062313159e-09,-1.2860803862236033e-10,-8.8427651946489829e-10,-1.0768973934420963e-09,-8.7704999676451321e-10,-1.3820856349040797e-09,-9.1041095396028689e-10
0.31,-5.885722918107656e-10,-1.2183028297731664e-10,-9.6052720208621436e-10,-1.28248356560279e-09,-1.0919524017458446e-09,-1.7743237787030826e-09,-1.2283757238524475e-09
0.3125,-3.1108533190478055e-11,-1.3491700259276897e-10,-1.1121650569374566e-09,-1.5125288794869982e-09,-1.2506643926701887e-09,-1.9150619802962952e-09,-1.3341957663268956e-09
0.315,5.353864292888789e-10,-1.6351139177261489e-10,-1.3337774092156778e-09,-1.7697705269811273e-09,-1.3528759408917229e-09,-1.7799005488985029e-09,-1.1710793503070878e-09
0.3175,1.0227035653155318e-09,-2.0637604831910512e-10,-1.6179745134768316e-09,-2.0558553714260042e-09,-1.4145032332211508e-09,-1.4277497800548034e-09,-7.6554624467730674e-10
0.32,1.3910238171991982e-09,-2.6291183969942816e-10,-1.9508080444692516e-09,-2.3698116130178196e-09,-1.4641350674706039e-09,-9.7948817133752542e-10,-2.1827497912731155e-10
0.3225,1.6437606345595652e-09,-3.3143495927656162e-10,-2.3107778600885196e-09,-2.7023975354625627e-09,-1.5316298443371947e-09,-5.7604040112926752e-10,3.2914524463789234e-10
0.325,1.8114389503943956e-09,-4.0848054000851866e-10,-2.6645318311409159e-09,-3.0290614122046193e-09,-1.6338602302086377e-09,-3.3283922596120157e-10,7.3909838102031414e-10
0.3275,1.9325093780144999e-09,-4.8904615362855886e-10,-2.9690037098888035e-09,-3.307243972571197e-09,-1.7628753893478481e-09,-3.0346472308154918e-10,9.2051454739201323e-10
0.33,2.0353949125543545e-09,-5.6695829467610609e-10,-3.1771987688841601e-09,-3.4813803109963826e-09,-1.8838564153390245e-09,-4.6403244239653565e-10,8.565827334186131e-10
0.3325,2.1344594008904201e-09,-6.3596416581922271e-10,-3.2484875266418735e-09,-3.4962151430875914e-09,-1.9443331957770463e-09,-7.2305377573500319e-10,6.0798563728353794e-10
0.335,2.2328237961811943e-09,-6.9021629178296148e-10,-3.1581736758506965e-09,-3.3126825646497439e-09,-1.8915808456548282e-09,-9.5458471309605092e-10,2.8709948766626306e-10
0.3375,2.3289549009921943e-09,-7.2450661663339523e-10,-2.9046609715424666e-09,-2.9210748249664578e-09,-1.6914062465946985e-09,-1.0424219721538965e-09,1.4962538780622898e-11
0.34,2.4248873159670693e-09,-7.3590450609484212e-10,-2.5097569434326203e-09,-2.3443568686775047e-09,-1.3408413190947767e-09,-9.2099122651786342e-10,-1.233676634297967e-10
0.3425,2.5272567615447919e-09,-7.2312713234561321e-10,-2.0135240796610932e-09,-1.6354739936080873e-09,-8.7037657510759871e-10,-5.9735735997481268e-10,-1.0822618829113823e-10
0.345,2.6488791743566944e-09,-6.8720586864106887e-10,-1.4628873041431536e-09,-8.6283617466754444e-10,-3.3644274494103216e-10,-1.4765071600309376e-10,1.3252850537919431e-11
0.3475,2.805366417699128e-09,-6.3221926645019459e-10,-9.0663561878356454e-10,-9.7613875958571074e-11,1.9518840386854801e-10,3.1342491719732704e-10,1.5375276136120736e-10
0.35,3.0131620303341331e-09,-5.6420014036942484e-10,-3.8782994993928859e-10,5.9846325356856451e-10,6.6543988110174751e-10,6.7603363119907939e-10,2.2673280389969917e-10
0.3525,3.2895778600551263e-09,-4.8978333622043531e-10,6.2431069448899391e-11,1.1807948678982093e-09,1.0347168568594812e-09,8.7508813426016489e-10,1.8350264001738484e-10
0.355,3.6516266967413972e-09,-4.1513263753940534e-10,4.2545436346333326e-10,1.6252273919494978e-09,1.2883707716553858e-09,9.0919936512085345e-10,3.0741591075642697e-11
0.3575,4.1129647752578737e-09,-3.46054115097131e-10,6.9259753243882171e-10,1.9264060783328018e-09,1.4338439813979373e-09,8.3300109648208353e-10,-1.7610189039681388e-10
0.36,4.6799473572603621e-09,-2.8599947041375064e-10,8.6369582644052629e-10,2.0926385438513658e-09,1.4935757282488249e-09,7.2881115973988198e-10,-3.5794214379369387e-10
0.3625,5.3436088101509669e-09,-2.3627869427676116e-10,9.461013637552049e-10,2.1408816918598846e-09,1.4938696868643411e-09,6.7139572550192106e-10,-4.4322642388424334e-10
0.365,6.0748768717167297e-09,-1.9677650727162538e-10,9.5209537001812405e-10,2.0911381849607085e-09,1.4557501544302287e-09,7.0036559389492729e-10,-3.9354109803775833e-10
0.3675,6.8231736186179621e-09,-1.6635697619490784e-10,8.9710526038733321e-10,1.9631861604593938e-09,1.3903518912208872e-09,8.092371277668568e-10,-2.1594637194603871e-10
0.37,7.5213662747843049e-09,-1.4348971016981226e-10,7.9843998263337384e-10,1.7746996283028982e-09,1.298920851085569e-09,9.5290883562596319e-10,4.0530044095239974e-11
