Physical Time (s),ep_right Monitor (W): right_cv1,ep_right Monitor (W): right_cv2,ep_right Monitor (W): right_cv3,ep_right Monitor (W): right_cv4,ep_right Monitor (W): right_cv5,ep_right Monitor (W): right_cv6,ep_right Monitor (W): right_cv7
0.1375,2.4098430048914505e-08,3.3615281984924221e-08,6.7065478200826998e-10,2.2085944553406832e-09,6.0689096204918418e-09,1.8510342168930455e-09,-1.7921928627232536e-09
0.14,1.723481746371444e-08,4.0335753191414797e-08,4.8206088752008812e-09,-4.3662402981196582e-10,-6.0350935047442257e-09,8.3372570289756634e-09,-2.4008932231947773e-09
0.1425,1.1112711732829704e-08,4.3740839132231147e-08,6.738882393456475e-09,-6.5022649326757238e-09,-1.4387587100134042e-08,1.0788366196816699e-08,-7.3438137235949889e-10
0.145,4.6487879755799899e-09,4.2108490237716097e-08,2.9705522240156817e-09,-1.3614508807252836e-08,-1.6385348312123825e-08,9.3789101332502273e-09,2.6098164553217687e-09
0.1475,-5.7749511542648214e-09,3.2647554928841929e-08,-6.3052122553992029e-09,-1.837873155691589e-08,-1.3238074485678057e-08,6.1261725482474302e-09,5.8989990944576948e-09
0.15,-2.5343439803488659e-08,1.3698194332098182e-08,-1.7133106543615071e-08,-1.8808534941729309e-08,-8.0497564877099716e-09,3.0957552732892013e-09,7.4511359508321846e-09
0.1525,-5.8492236790866167e-08,-1.2648226159042825e-08,-2.4527842213737557e-08,-1.5272692493524145e-08,-3.5219573343102157e-09,1.2667208255805875e-09,6.6404690753403985e-09
0.155,-1.0659663850844329e-07,-4.028989468071352e-08,-2.5639110253349828e-08,-9.6927914093796367e-09,-7.5987503087098298e-10,5.0122378211272572e-10,4.0356804866816183e-09
0.1575,-1.6549074978503426e-07,-6.1697392495196404e-08,-2.1015963986987916e-08,-4.1306803594823227e-09,5.0378841830760891e-10,2.2943549979437329e-10,8.2604130689703668e-10
0.16,-2.2501345896247657e-07,-7.1737761698545991e-08,-1.3519066420624767e-08,2.0523676523091734e-10,1.0518222480069647e-09,7.0106329473178431e-11,-1.9215178586430174e-09
0.1625,-2.7177739763927763e-07,-6.9609890271356584e-08,-6.3163173908504481e-09,3.0216835608940416e-09,1.4773757331050598e-09,-3.9824058162006982e-11,-3.6553658095931774e-09
0.165,-2.9326447686869153e-07,-5.8328303627017905e-08,-1.324012325975436e-09,4.4943556145692335e-09,1.9990019104521897e-09,-8.91469195429214e-11,-4.3296131739380507e-09
0.1675,-2.8228325005224605e-07,-4.2503496940731321e-08,1.1397953712104241e-09,4.8688231212988952e-09,2.6052451958016841e-09,-2.0268794185484176e-10,-4.1914563368477265e-09
0.17,-2.3960827813691092e-07,-2.6197364467881862e-08,1.7880417111185181e-09,4.3961173715873877e-09,3.2199684805836601e-09,-5.7565241795346996e-10,-3.6029732956320548e-09
0.1725,-1.7405116544720242e-07,-1.1772502353744178e-08,1.5734133059100658e-09,3.437064688102315e-09,3.7388425583507505e-09,-1.2467337678070705e-09,-2.9110882376354146e-09
0.175,-9.9095744482677371e-08,-1.8751215833493109e-11,1.2052789148007839e-09,2.4578974471061082e-09,3.9770291799840366e-09,-2.001736571696911e-09,-2.3545337167980163e-09
0.1775,-2.9195072106377982e-08,9.0879209594679859e-09,1.0868356075169908e-09,1.8276940299439367e-09,3.6497767722269382e-09,-2.5312939471130514e-09,-1.9832633699090978e-09
0.18,2.4446977041837303e-08,1.5756859798913354e-08,1.4756477439142991e-09,1.5995398334998668e-09,2.4636310356884267e-09,-2.6801999943789007e-09,-1.6300781598169789e-09
0.1825,5.558826445992445e-08,2.0124793197392439e-08,2.5593677927845951e-09,1.479848665934323e-09,3.0605926024502433e-10,-2.5417678149072696e-09,-9.9328996761429889e-10
0.185,6.438940409363996e-08,2.2412082589619269e-08,4.3785240510262701e-09,1.0533494535599208e-09,-2.5645781420580513e-09,-2.3177577553124519e-09,1.6440630562715367e-10
0.1875,5.5833988076875074e-08,2.307856415554389e-08,6.6894347878255417e-09,1.2250121888241331e-10,-5.4817161437954592e-09,-2.1036474413088463e-09,1.7892266310989865e-09
0.19,3.802603008368695e-08,2.2791232100018957e-08,8.9549586350188102e-09,-1.0853314674806026e-09,-7.5672731005103392e-09,-1.8026566916024507e-09,3.4378316505015196e-09
0.1925,1.9749461184971778e-08,2.2239738598738416e-08,1.0555882453445035e-08,-2.0102702704986556e-09,-8.1073390387963506e-09,-1.2833158004237257e-09,4.4179730429083233e-09
