Physical Time (s),ev_left Monitor (W)
0.3225,-4.9824067831183817e-10
0.325,-4.7449980422049087e-10
0.3275,-4.4814299406271867e-10
0.33,-4.2146987006557907e-10
0.3325,-3.9658584383101318e-10
0.335,-3.752070007014805e-10
0.3375,-3.5858821353458431e-10
0.34,-3.4754300812511955e-10
0.3425,-3.4250989305229865e-10
0.345,-3.4362307299693505e-10
0.3475,-3.507754701804878e-10
0.35,-3.636314695978907e-10
0.3525,-3.8165729995116767e-10
0.355,-4.0410943284777084e-10
0.3575,-4.3001688697229586e-10
0.36,-4.5820492416304744e-10
0.3625,-4.8732921356044076e-10
0.365,-5.1590346805831262e-10
0.3675,-5.4240121100806074e-10
0.37,-5.6536062373569558e-10
0.3725,-5.8353405306805094e-10
0.375,-5.9601659109558034e-10
0.3775,-6.0235278884529279e-10
0.38,-6.0256821758872721e-10
0.3825,-5.9716475458427042e-10
0.385,-5.8706273377251662e-10
0.3875,-5.7350282766197475e-10
0.39,-5.5788704709570912e-10
0.3925,-5.4163300787914974e-10
0.395,-5.2604304996223653e-10
0.3975,-5.1221483315797596e-10
0.4,-5.0098613675620866e-10
0.4025,-4.9289789334615789e-10
0.405,-4.8821853088030511e-10
0.4075,-4.8693638340022598e-10
0.41,-4.8879571453424753e-10
0.4125,-4.9333028350279443e-10
0.415,-4.9994546621598825e-10
0.4175,-5.0797878862982797e-10
0.42,-5.1675175993598913e-10
0.4225,-5.2562918140570664e-10
0.425,-5.3407184766361654e-10
0.4275,-5.41702129980192e-10
0.43,-5.4831759142238963e-10
0.4325,-5.5391677850255578e-10
0.435,-5.5863253796463846e-10
0.4375,-5.6269895743438316e-10
0.44,-5.6638688949569429e-10
0.4425,-5.6994118191901154e-10
0.445,-5.7352647668212378e-10
0.4475,-5.7724440764395073e-10
0.45,-5.8110515960052731e-10
0.4525,-5.8502192961002014e-10
0.455,-5.8879802896225465e-10
0.4575,-5.9216995553721921e-10
0.46,-5.9483790764800207e-10
0.4625,-5.9656600759349931e-10
0.465,-5.9723258465109941e-10
0.4675,-5.968509960988489e-10
0.47,-5.9556292588107428e-10
0.4725,-5.9360173911662011e-10
0.475,-5.9128780322364739e-10
0.4775,-5.8900553538597434e-10
0.48,-5.8713226880476537e-10
0.4825,-5.8601826868023939e-10
0.485,-5.8593343728047322e-10
0.4875,-5.8706783895797454e-10
0.49,-5.8952011836716208e-10
0.4925,-5.9328892983605582e-10
0.495,-5.9826849534441429e-10
0.4975,-6.0426466816229818e-10
0.5,-6.1099312242367499e-10
0.5025,-6.1807227673715768e-10
0.505,-6.2500913999106189e-10
0.5075,-6.3125836042598725e-10
0.51,-6.3624253698652458e-10
0.5125,-6.3944130342867751e-10
0.515,-6.4045370824484876e-10
0.5175,-6.3908972155667813e-10
0.52,-6.3539415801436156e-10
0.5225,-6.2965832641433229e-10
0.525,-6.2238337235576426e-10
0.5275,-6.1421596091619018e-10
0.53,-6.058742562714123e-10
0.5325,-5.9809499087916038e-10
0.535,-5.9154529482406604e-10
0.5375,-5.8678780735366431e-10
0.54,-5.842450275973955e-10
0.5425,-5.842095565860155e-10
0.545,-5.8684958922025233e-10
0.5475,-5.922111188578989e-10
0.55,-6.0021389432889247e-10
0.5525,-6.1064176017335209e-10
0.555,-6.2314505941758811e-10
0.5575,-6.3724305105346301e-10
0.56,-6.5232769598305859e-10
0.5625,-6.6769125242011942e-10
0.565,-6.8255808150306803e-10
0.5675,-6.9612017110846194e-10
0.57,-7.0760632289766036e-10
0.5725,-7.1635017516823992e-10
0.575,-7.2184515976388335e-10
0.5775,-7.2379452252783005e-10
0.58,-7.2214290382269086e-10
0.5825,-7.1708403396619624e-10
0.585,-7.0905165172878252e-10
0.5875,-6.9867346764113233e-10
0.59,-6.8671249019544223e-10
0.5925,-6.740029171496198e-10
0.595,-6.6138478501934647e-10
0.5975,-6.4962535637845756e-10
0.6,-6.3937743342150982e-10
0.6025,-6.3114919090768674e-10
0.605,-6.2528928580206021e-10
0.6075,-6.2198975300762929e-10
0.61,-6.2129793876172369e-10
0.6125,-6.2313287626288123e-10
0.615,-6.2729877049830931e-10
0.6175,-6.3351684960857268e-10
0.62,-6.4144352387068743e-10
0.6225,-6.5069313280080413e-10
0.625,-6.6086914242977657e-10
0.6275,-6.7158003397111328e-10
0.63,-6.824604408939761e-10
0.6325,-6.9318809136256244e-10
0.635,-7.0349806407687767e-10
0.6375,-7.1318813143227526e-10
0.64,-7.2211943766513142e-10
0.6425,-7.3021335151107197e-10
0.645,-7.3743373369241677e-10
0.6475,-7.4377177895746568e-10
0.65,-7.4922699324485143e-10
0.6525,-7.5378236099876002e-10
0.655,-7.5740138545673952e-10
0.6575,-7.6002042027682927e-10
0.66,-7.6155477862068761e-10
0.6625,-7.619168998921179e-10
0.665,-7.6103694609937456e-10
0.6675,-7.5888892827496471e-10
0.67,-7.5551243712507621e-10
0.6725,-7.5103657867939952e-10
0.675,-7.4567925571630527e-10
0.6775,-7.3972938041886484e-10
0.68,-7.3354443948403861e-10
0.6825,-7.2750764134293841e-10
0.685,-7.2199729492100429e-10
0.6875,-7.173441971304656e-10
0.69,-7.1380591048414263e-10
0.6925,-7.1154341671389426e-10
0.695,-7.1061596062737758e-10
0.6975,-7.1099878787612952e-10
0.7,-7.1259459353098453e-10
0.7025,-7.1524742529654393e-10
0.705,-7.1878736512252954e-10
0.7075,-7.2303957600659297e-10
0.71,-7.2785091353108457e-10
0.7125,-7.3309869783704283e-10
0.715,-7.3869766424256538e-10
0.7175,-7.4458750370153464e-10
0.72,-7.5072384391500532e-10
0.7225,-7.5707248960124019e-10
0.725,-7.6357508998885727e-10
0.7275,-7.7012897515254388e-10
0.73,-7.7657355888207168e-10
0.7325,-7.8271143022234557e-10
0.735,-7.8831934286008655e-10
0.7375,-7.9317301002814899e-10
0.74,-7.9708238906552403e-10
0.7425,-7.9991608755438543e-10
0.745,-8.0163789148699554e-10
0.7475,-8.0231433549054175e-10
0.75,-8.0212816653889725e-10
0.7525,-8.0134193394113776e-10
0.755,-8.0025887008256629e-10
0.7575,-7.9918500052078833e-10
0.76,-7.9838243985586006e-10
0.7625,-7.9802902037077612e-10
0.765,-7.9817865356197311e-10
0.7675,-7.9874898936048641e-10
0.77,-7.9952780672953092e-10
0.7725,-8.0019552272836373e-10
0.775,-8.0036908002175695e-10
0.7775,-7.9965245059086285e-10
0.78,-7.9772409156220786e-10
0.7825,-7.9435674298736856e-10
0.785,-7.8947626531719466e-10
0.7875,-7.8319683199506502e-10
0.79,-7.7580535835045921e-10
0.7925,-7.6774044708587064e-10
0.795,-7.5955418471794274e-10
0.7975,-7.5184823433387118e-10
0.8,-7.4521339520241428e-10
0.8025,-7.4017937538177883e-10
0.805,-7.3716598761469843e-10
0.8075,-7.3643182080959811e-10
0.81,-7.3807255582657576e-10
0.8125,-7.4201975188089788e-10
0.815,-7.4805071161572463e-10
0.8175,-7.5582477401720382e-10
0.82,-7.6492741862148071e-10
0.8225,-7.7491280749637903e-10
0.825,-7.8533721245240035e-10
0.8275,-7.9579549413156104e-10
0.83,-8.0594466558257111e-10
0.8325,-8.1551654813550649e-10
0.835,-8.2431199626793441e-10
0.8375,-8.322028030896433e-10
0.84,-8.3910953505136141e-10
0.8425,-8.4498448809854944e-10
0.845,-8.4979588859557532e-10
0.8475,-8.5352304859928875e-10
0.85,-8.5614633522983575e-10
0.8525,-8.5764398871390407e-10
0.855,-8.5799845623911033e-10
