Physical Time (s),ev_right Monitor (W): right_cv1,ev_right Monitor (W): right_cv2,ev_right Monitor (W): right_cv3,ev_right Monitor (W): right_cv4,ev_right Monitor (W): right_cv5,ev_right Monitor (W): right_cv6,ev_right Monitor (W): right_cv7
0.23,2.4361485285973079e-07,1.6549633284083265e-08,4.0133074040786987e-10,5.3497674303372352e-11,1.1397821771523321e-11,3.9320806432076778e-12,9.3925287673789405e-13
0.2325,2.3970907809103128e-07,1.6244134158103659e-08,3.9661208017545607e-10,6.4182660047477546e-11,1.9293672001262613e-11,8.4607128660103718e-12,1.8182760569258402e-12
0.235,2.3584377191489389e-07,1.5962833521112551e-08,3.9035433494873499e-10,7.1743825835849912e-11,2.5858383231520866e-11,1.1604905169249811e-11,2.1113443601172342e-12
0.2375,2.3224002212538276e-07,1.5752054461258096e-08,3.7983155772740248e-10,7.2680780217069537e-11,2.7933922713724206e-11,1.1759463230186711e-11,1.6938882882044154e-12
0.24,2.2904188746207744e-07,1.563982571754494e-08,3.6454694493356699e-10,6.5886572478759669e-11,2.428629001481626e-11,9.0103824228125225e-12,9.231411277295604e-13
0.2425,2.2629307264593091e-07,1.5636563488838678e-08,3.4645155271774477e-10,5.3349784937056907e-11,1.6537916688875676e-11,4.8850291006711942e-12,2.7562283534535729e-13
0.245,2.2394246181938956e-07,1.573654925468127e-08,3.2926400444577473e-10,3.9042128516181623e-11,8.201064729168166e-12,1.4066528418776909e-12,8.6304287627037532e-15
0.2475,2.2188025916393281e-07,1.5922717128604535e-08,3.1734655768743986e-10,2.6773181866804098e-11,2.4645351257217001e-12,1.1166100997521108e-14,7.2199121668983139e-14
0.25,2.1994837332096215e-07,1.6171803813599082e-08,3.1468356961399247e-10,1.8619509313087016e-11,3.49125343210634e-13,8.7959865478821963e-13,2.5283215515590488e-13
0.2525,2.1799542318028806e-07,1.6459638776396243e-08,3.243065784306518e-10,1.4892159355398601e-11,5.4390276454816151e-13,2.9916516039340134e-12,3.6945614653899031e-13
0.255,2.1589286720626791e-07,1.6766722033318363e-08,3.480343681335716e-10,1.532482585803216e-11,9.3256375253237261e-13,4.809015884177781e-12,3.674228358258977e-13
0.2575,2.1356856576577306e-07,1.7081477191377085e-08,3.8632254534037503e-10,2.0230214894394603e-11,5.3440793399324753e-13,5.1856407710692799e-12,2.8945212826780575e-13
0.26,2.1101319464781559e-07,1.7401266897377486e-08,4.3796254557663068e-10,3.054761489261752e-11,3.2728946502582796e-13,3.9771141647856525e-12,1.9920835183923455e-13
0.2625,2.082732308535134e-07,1.7730922970830978e-08,4.9984402541169652e-10,4.6757865301633857e-11,2.3682937818718574e-12,2.0136245263655656e-12,1.3291971700916169e-13
0.265,2.0543363408269202e-07,1.8079354407479086e-08,5.670374536815752e-10,6.7616544867390628e-11,7.9716323559817887e-12,4.9575913094792509e-13,9.6050342541365269e-14
0.2675,2.0258807519480722e-07,1.8454424382193777e-08,6.3344152972682405e-10,8.9794628507734256e-11,1.6381503494380944e-11,2.0765246799111691e-13,7.8925579309229441e-14
0.27,1.9980991217968e-07,1.8858174077611616e-08,6.9291089470817336e-10,1.0883433020468815e-10,2.4930058180895533e-11,1.0634428475615661e-12,6.8593552903925349e-14
0.2725,1.9713202130390228e-07,1.9283239854534918e-08,7.4053789361261901e-10,1.2089228503254423e-10,3.0525521881989021e-11,2.2674928878705665e-12,5.500262394137796e-14
0.275,1.9453421165341695e-07,1.9711788409850226e-08,7.7358145513243193e-10,1.2424635390822184e-10,3.1388020898283793e-11,2.9259287514231298e-12,3.5928204774317541e-14
0.2775,1.9194528056478833e-07,2.0116820167552689e-08,7.9177808739614214e-10,1.1974779058728891e-10,2.7849184193508319e-11,2.6465789088719947e-12,1.790167733589797e-14
0.28,1.8925758869282912e-07,2.0466074527513918e-08,7.9690861707328087e-10,1.1013254699386634e-10,2.185104628595724e-11,1.7055159931668701e-12,9.3505415680729181e-15
0.2825,1.8634943764358886e-07,2.0727396742943111e-08,7.9194932128399629e-10,9.8756152328015556e-11,1.5695699984322763e-11,7.2120175590174575e-13,1.1792296959155031e-14
0.285,1.8311164136400603e-07,2.0874832564443538e-08,7.8011222378233512e-10,8.8467186065043612e-11,1.0963278890488696e-11,1.4757766765230707e-13,1.8898865639744907e-14
0.2875,1.7947882960877799e-07,2.0894005906848303e-08,7.6405582932978351e-10,8.1045325533778554e-11,8.2033398901307534e-12,1.7172991269920251e-15,2.3787892150420562e-14
0.29,1.7544042081999346e-07,2.0785389372715082e-08,7.4551426909805626e-10,7.7181490073312713e-11,7.3287038674005539e-12,1.2024742960243607e-14,2.5241121390472717e-14
0.2925,1.7104643774787766e-07,2.0565420740550487e-08,7.2525230486636358e-10,7.670819992072736e-11,8.1724384381431767e-12,1.7145323383739839e-14,2.6449499442931914e-14
0.295,1.6640019146463379e-07,2.02642537902674e-08,7.0333263189781436e-10,7.8819340729895124e-11,1.0694290877527517e-11,2.4305567752831107e-13,3.2161801175648649e-14
0.2975,1.6163585136585269e-07,1.9921849154872308e-08,6.7958598172738743e-10,8.2229467501943037e-11,1.4731146840544393e-11,1.1885914621776192e-12,5.3014957549375473e-14
0.3,1.5689713902635298e-07,1.9582894924798265e-08,6.5410929841776966e-10,8.537411579057742e-11,1.9617597186902585e-11,3.1806631497457063e-12,1.1217991191299217e-13
0.3025,1.5231429105672854e-07,1.9291626906591207e-08,6.2768582053762389e-10,8.6764317812763886e-11,2.4107288501569617e-11,5.952144061264916e-12,2.3701610454368943e-13
0.305,1.4798885534795295e-07,1.908742697654283e-08,6.0194696099590238e-10,8.5423453347442337e-11,2.6777734131206494e-11,8.6023934791410415e-12,4.2915180352693574e-13
0.3075,1.4398570406065109e-07,1.9001804718698526e-08,5.7928598785060416e-10,8.120979355078488e-11,2.6683938997855706e-11,1.0012289602689652e-11,6.3570167333054986e-13
0.31,1.4033136281940266e-07,1.9056784578756355e-08,5.625220817247605e-10,7.4856703150079828e-11,2.3832304476009306e-11,9.4885663813606552e-12,7.5863196468687429e-13
