Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.17,3.197549232993993e-13,-6.3554468134468076e-14,-2.0066007475315945e-14,-1.2452551960229411e-14,-1.6884252076790277e-14,-1.1927136154707172e-14,-5.4980519264907845e-14
0.1725,2.8441076557353864e-13,-6.5082094299020743e-14,-2.8346885163365905e-14,-6.5212595045328294e-15,-9.8361373067344111e-15,-4.646900741129079e-15,-1.450011878777569e-14
0.175,2.7504470235265781e-13,-7.0364275272173089e-14,-3.8470605070513939e-14,-2.4029808774398467e-15,-3.5230296942209817e-15,-1.3940892139745943e-16,1.0406974179335549e-14
0.1775,2.852102270994857e-13,-7.8268860169402977e-14,-4.9501749496103167e-14,-5.9467750332120399e-16,-4.8154217460973802e-16,7.9601238587509302e-16,1.4310378011150898e-14
0.18,3.0873814148332645e-13,-8.9004173785940806e-14,-6.1400863820933148e-14,-1.3017494155498854e-15,4.4418148392507327e-19,1.8976514454770953e-15,6.922274014233383e-15
0.1825,3.4251025490448352e-13,-1.047492148706046e-13,-7.5375453750054396e-14,-4.1638763194530425e-15,1.3640911067616004e-16,5.5651257730822008e-15,1.5685791558590057e-15
0.185,3.8814386187579177e-13,-1.2962863007691556e-13,-9.3834819699618055e-14,-8.5397573877646524e-15,3.2865213802008844e-16,8.9936892373639658e-15,2.6454054522518624e-15
0.1875,4.5131633174967651e-13,-1.6949626907324569e-13,-1.2011923116609292e-13,-1.399483167128381e-14,-1.1350933678031163e-15,7.5918711804564111e-15,4.6686793723898226e-15
0.19,5.3750273421819348e-13,-2.3147077497769295e-13,-1.5816967876507181e-13,-2.0366326512413658e-14,-5.0882593368051533e-15,1.0963446503781589e-15,1.1930555022371037e-15
0.1925,6.4563026556770633e-13,-3.2264878670068852e-13,-2.1192777610642446e-13,-2.7405036858947288e-14,-9.5522663303943784e-15,-5.6372205507089892e-15,-8.2398491298334337e-15
0.195,7.6498220327783444e-13,-4.478455829906532e-13,-2.8424271053355047e-13,-3.4588730696766338e-14,-1.1514945930956341e-14,-7.7355199190643344e-15,-1.9147122367852855e-14
0.1975,8.7983457506994272e-13,-6.067445523790816e-13,-3.7529020065997918e-13,-4.1365124332203677e-14,-9.964414464386303e-15,-5.0147430333598708e-15,-2.6861558910408129e-14
0.2,9.7981141056386468e-13,-7.9192319082102297e-13,-4.811174565115353e-13,-4.7415456261136625e-14,-6.5139381798670618e-15,-1.466237366696796e-15,-2.9337372409450955e-14
0.2025,1.0674994630509077e-12,-9.8985703681877728e-13,-5.937194352707955e-13,-5.2602743388378542e-14,-3.4164691392114348e-15,-8.6718927080385383e-16,-2.6853624141809105e-14
0.205,1.1563297666817765e-12,-1.1841424037701127e-12,-7.0276863341431632e-13,-5.6714096068116479e-14,-1.7071472640102946e-15,-3.4144924584384021e-15,-2.032737582402573e-14
0.2075,1.2608763604312573e-12,-1.3584404540375123e-12,-7.979331099465412e-13,-5.9324063558366983e-14,-1.1179995961241229e-15,-6.1005883142093305e-15,-1.0042514855279389e-14
0.21,1.3864666065555925e-12,-1.4980666869903479e-12,-8.7065932186732188e-13,-5.9968022192849757e-14,-9.8693134836543484e-16,-5.6140947005504541e-15,3.8641378379877958e-15
0.2125,1.5248801877058817e-12,-1.5903526696122767e-12,-9.1514756371090275e-13,-5.8403880908846476e-14,-8.965234013776022e-16,-1.0785689370195376e-15,1.9407039988881573e-14
0.215,1.6585858862776417e-12,-1.624868499664528e-12,-9.2832653321416819e-13,-5.4802467736411577e-14,-7.3891610570501061e-16,5.2677821803334667e-15,3.1747206488170827e-14
