Physical Time (s),massspec_vol Monitor (J): cv1,massspec_vol Monitor (J): cv2,massspec_vol Monitor (J): cv3,massspec_vol Monitor (J): cv4,massspec_vol Monitor (J): cv5,massspec_vol Monitor (J): cv6,massspec_vol Monitor (J): cv7
0.3375,6.7113515396921457e-14,1.5888338038281386e-14,8.7114210460243663e-15,-6.1949133808887637e-18,1.7870005307664157e-18,-1.644233468178781e-17,-1.3180197676911775e-18
0.34,6.6732087911765402e-14,1.5967771189284313e-14,8.7694511708516001e-15,4.9587012420969328e-18,-5.587181783488064e-19,-6.4943310666937665e-18,6.3438464048229994e-17
0.3425,6.633095821245348e-14,1.6051109766688825e-14,8.821677870456938e-15,6.0021290932389535e-18,7.9235597323039617e-18,-1.4832030152048844e-17,3.9162904291872185e-17
0.345,6.5943335392404601e-14,1.6138248524347795e-14,8.8701702973810341e-15,-5.5711986727199135e-18,5.9082722878493687e-18,1.3453625613962396e-18,-1.4859160326970565e-17
0.3475,6.5558774888874161e-14,1.6228701225572925e-14,8.9151947397558921e-15,-9.4368655575713525e-18,-1.5962275973473964e-18,-1.1885956676089929e-17,-2.7109460488737655e-18
0.35,6.5173904426122888e-14,1.6324192213708449e-14,8.9529707669700127e-15,3.3970106256629075e-18,7.1756782350433618e-18,4.5577811792270273e-18,-3.8253465900688112e-17
0.3525,6.4779574823134214e-14,1.6420910426998393e-14,8.9944638163292526e-15,-2.9661186605843964e-18,-3.1667779242168884e-18,1.3135620718453067e-17,-1.3286797953044167e-17
0.355,6.4406436585713418e-14,1.6520540458971855e-14,9.0479851053488286e-15,2.4302038830349268e-18,2.0643062971692124e-18,-2.4290185823736766e-17,-1.4317543883680433e-17
0.3575,6.4026399185748071e-14,1.6631192912468894e-14,9.0561760558117358e-15,2.7966907552909673e-18,1.0518594862648503e-18,-1.753394811780638e-17,1.9543983650680378e-17
0.36,6.3657722858012146e-14,1.6737109650833575e-14,9.0978648408916887e-15,2.0845532135104228e-18,-1.5119910480576634e-17,7.2647519835281902e-18,1.0827278715741289e-17
0.3625,6.3308596437530213e-14,1.6863252677816217e-14,9.1008501068029648e-15,-8.5863708695988113e-18,1.0325505957634277e-17,9.7650980341473311e-18,-8.5522419122760875e-18
0.365,6.2897547714636423e-14,1.6971852328686725e-14,9.1281796338233556e-15,8.5463106638381401e-18,-3.6087707890846317e-18,2.121461153602369e-18,-1.4204831666706609e-17
0.3675,6.2562328821461154e-14,1.7097479379573687e-14,9.1499593284102467e-15,1.3232773218058862e-17,-1.7439115853318112e-17,1.4924123355420142e-17,-2.3953875070958829e-17
0.37,6.2207190268369844e-14,1.7219427143213182e-14,9.1716944522029916e-15,1.8896386499198233e-17,-5.2495247932071031e-18,1.2599908171181175e-17,-7.6137847886764508e-18
0.3725,6.1864315632426102e-14,1.7341386599884758e-14,9.1786933678879956e-15,-1.39648135375888e-18,-4.4517453263599998e-18,1.2972366506981477e-17,2.8649861946863787e-17
0.375,6.1541636243636779e-14,1.7481617663438273e-14,9.1741600171059399e-15,1.608071190617381e-17,-2.1589004315601202e-17,2.8666348750920968e-17,-6.2710080339913494e-17
0.3775,6.1207227611581998e-14,1.7618385279559978e-14,9.1948267000288251e-15,2.3980260645593944e-17,-8.1999123564126595e-18,5.7280097179582513e-18,-2.4319245694377916e-17
