Physical Time (s),enth_flux_enthalpy_bot Monitor (W): bot_cv1,enth_flux_enthalpy_bot Monitor (W): bot_cv2,enth_flux_enthalpy_bot Monitor (W): bot_cv3,enth_flux_enthalpy_bot Monitor (W): bot_cv4,enth_flux_enthalpy_bot Monitor (W): bot_cv5,enth_flux_enthalpy_bot Monitor (W): bot_cv6,enth_flux_enthalpy_bot Monitor (W): bot_cv7
0.2525,-1.4961797415578927e-09,1.1378308256127345e-09,2.9524388195121664e-09,1.4085150532235376e-09,2.2147605067827588e-10,1.0561395917823736e-10,3.2608175188112153e-10
0.255,-4.4702231721055719e-09,2.2075191198698597e-09,5.4234484412845734e-09,2.6431566865609533e-09,4.3364466329981784e-10,-2.9422334285333335e-10,-1.6209899200982724e-10
0.2575,-7.2921313236218039e-09,3.346247173831674e-09,7.9400976338832733e-09,3.9979662959413966e-09,7.9297000810523232e-10,-6.6844391733602183e-10,-6.9717672346423616e-10
0.26,-9.5955939923783297e-09,4.4630374505731232e-09,1.0381048389404699e-08,5.5259920645874766e-09,1.4625721019302587e-09,-6.1436025998041935e-10,-1.0249060835631014e-09
0.2625,-1.1078569471839352e-08,5.4399601471071789e-09,1.2543742248669855e-08,7.1421374106117796e-09,2.4578537289740558e-09,1.0745179844815471e-10,-9.8648110069008662e-10
0.265,-1.1535796514535942e-08,6.1440510146755754e-09,1.4160156141327908e-08,8.6303998896900095e-09,3.6342313141698808e-09,1.4584132301515511e-09,-5.6346810446382613e-10
0.2675,-1.0957152739331263e-08,6.4672725911348979e-09,1.4992702624950979e-08,9.7328882268483083e-09,4.7461898001765692e-09,3.1215492267270046e-09,1.2224009144572024e-10
0.27,-9.4942330226687643e-09,6.3440525144452401e-09,1.4887763936027764e-08,1.0230323712098976e-08,5.5348670691270324e-09,4.6251982166890409e-09,8.6316955881174216e-10
0.2725,-7.445083382518149e-09,5.7776002577292994e-09,1.3842890054021252e-08,1.0028200746674644e-08,5.8260569866198634e-09,5.5374163305836157e-09,1.4440449185242791e-09
0.275,-5.1505261798108643e-09,4.8350408652608377e-09,1.199676266971381e-08,9.1718751702549484e-09,5.5817764543313334e-09,5.6335764544155025e-09,1.713757208290901e-09
0.2775,-2.9228133560364229e-09,3.6394620017709734e-09,9.5988673097741311e-09,7.826533997944112e-09,4.9020062133048396e-09,4.9685993264627016e-09,1.6310241591569586e-09
0.28,-9.8171500872980099e-10,2.344622319207248e-09,6.9494254235852981e-09,6.2158458259261181e-09,3.9741794425515222e-09,3.8235519908419661e-09,1.2671106430307221e-09
0.2825,5.7273630394463397e-10,1.104524642414022e-09,4.3321361698163754e-09,4.5527669491939932e-09,2.9972227995084196e-09,2.5681953385910122e-09,7.6897433190080411e-10
0.285,1.7451912387491033e-09,4.1941649101941423e-11,1.9643858643755702e-09,2.9907276102583095e-09,2.1162820066327675e-09,1.5143793734645519e-09,3.0167956687347616e-10
0.2875,2.5980916501000183e-09,-7.6592401261723694e-10,-1.4179703097391859e-11,1.6146661244241948e-09,1.3946907638129003e-09,8.2161720989102276e-10,-8.8874959454632649e-12
0.29,3.2120590077642939e-09,-1.2939408058762125e-09,-1.5400221913909256e-09,4.535167466692626e-10,8.2176387088311574e-10,4.7560873860299973e-10,-1.1715762510569355e-10
0.2925,3.6624351131572462e-09,-1.5638837273780921e-09,-2.6147049787425857e-09,-4.9688157109295913e-10,3.4556018044678736e-10,3.3284072599166401e-10,-6.9992618044309695e-11
0.295,4.0097410254341372e-09,-1.6268013679104639e-09,-3.2805001235431873e-09,-1.2499893664861159e-09,-8.7377412503007708e-11,2.0165051404874001e-10,1.4984434242707981e-11
0.2975,4.2949075869421757e-09,-1.5450465431148305e-09,-3.6036358699715113e-09,-1.817419357104428e-09,-5.0506302891695119e-10,-7.2938431848419756e-11,7.5217498758707335e-13
0.3,4.5357187893917922e-09,-1.3777530221882223e-09,-3.6596998051972077e-09,-2.2083116234656791e-09,-9.0211194965918732e-10,-5.4895068070225895e-10,-2.0576134588495395e-10
0.3025,4.7113930647044113e-09,-1.1714423105086735e-09,-3.5216921360486092e-09,-2.4344609008091139e-09,-1.2485080563664964e-09,-1.1711901062205235e-09,-6.062021460518416e-10
0.305,4.7522799516334046e-09,-9.5868683266529532e-10,-3.2530708107247073e-09,-2.5144539036490173e-09,-1.5072124789923876e-09,-1.7996451359014691e-09,-1.1016557340357976e-09
0.3075,4.5480210299344989e-09,-7.5891592173830385e-10,-2.9055325254878273e-09,-2.4768702221637102e-09,-1.6518725486139784e-09,-2.2674757953679937e-09,-1.5300482995254514e-09
0.31,3.987842763722977e-09,-5.8069973595709453e-10,-2.5170308034852521e-09,-2.3568036963201257e-09,-1.6781937477970341e-09,-2.4477192468955242e-09,-1.7353304481435405e-09
0.3125,3.0088404191633113e-09,-4.218912628516833e-10,-2.1117589804519257e-09,-2.1905539289539519e-09,-1.6054059949299603e-09,-2.3022259472199735e-09,-1.6352413753816881e-09
0.315,1.6421981680221217e-09,-2.7083622429663127e-10,-1.7019559347230806e-09,-2.0104657304816141e-09,-1.4702744782584172e-09,-1.8928281071243691e-09,-1.2559460042702057e-09
