Physical Time (s),Etau_left Monitor (W)
1.18,-3.7292895894864452e-11
1.1825,-3.7318819261142293e-11
1.185,-3.7389524776762561e-11
1.1875,-3.7505239190619016e-11
1.19,-3.7664135641012893e-11
1.1925,-3.7862972918389452e-11
1.195,-3.8096987084060461e-11
1.1975,-3.8359858274727923e-11
1.2,-3.8643764524173262e-11
1.2025,-3.8939273156685622e-11
1.205,-3.9236204451114706e-11
1.2075,-3.9524010533804372e-11
1.21,-3.9792374085639546e-11
1.2125,-4.0031644002931924e-11
1.215,-4.0233414491869438e-11
1.2175,-4.0390517032057007e-11
1.22,-4.0497148065754937e-11
1.2225,-4.0549613044321618e-11
1.225,-4.054590813787274e-11
1.2275,-4.0485951893694118e-11
1.23,-4.0371358341967833e-11
1.2325,-4.0205927306059751e-11
1.235,-3.9995071237854669e-11
1.2375,-3.9746533305792388e-11
1.24,-3.9468400956613467e-11
1.2425,-3.916945404252153e-11
1.245,-3.8858590521464742e-11
1.2475,-3.8544731628398307e-11
1.25,-3.8236668327643854e-11
1.2525,-3.7942884120313987e-11
1.255,-3.767132475537716e-11
1.2575,-3.7429354841485947e-11
1.26,-3.7224443114507815e-11
1.2625,-3.7062021765805197e-11
1.265,-3.694593312473303e-11
1.2675,-3.6878180635036362e-11
1.27,-3.6859063076575881e-11
1.2725,-3.6887317321973924e-11
1.275,-3.6960227876972907e-11
1.2775,-3.7074069161791549e-11
1.28,-3.7223437393684e-11
1.2825,-3.7402171602016067e-11
1.285,-3.7603523487594417e-11
1.2875,-3.7820806385118987e-11
1.29,-3.8047593013428347e-11
1.2925,-3.82775080640193e-11
1.295,-3.8504169722339301e-11
1.2975,-3.8721244844130781e-11
1.3,-3.8922579138452595e-11
1.3025,-3.9102434633078542e-11
1.305,-3.9255345241934829e-11
1.3075,-3.9376528435590838e-11
1.31,-3.9462337127409515e-11
1.3125,-3.9510630304590626e-11
1.315,-3.9520842027427452e-11
1.3175,-3.9493857648568079e-11
1.32,-3.9431873754706694e-11
1.3225,-3.9338133494395136e-11
1.325,-3.9216687437736479e-11
1.3275,-3.9072193445914541e-11
1.33,-3.8909585023628774e-11
1.3325,-3.8733840951774613e-11
1.335,-3.8550012093675354e-11
1.3375,-3.8362806889936067e-11
1.34,-3.8176257576610081e-11
1.3425,-3.7994103935879382e-11
1.345,-3.7819659272679037e-11
1.3475,-3.7655708915806029e-11
1.35,-3.750449321219269e-11
1.3525,-3.736767486929874e-11
1.355,-3.7246325320053374e-11
1.3575,-3.7141015770229413e-11
1.36,-3.7051825029006695e-11
1.3625,-3.6978552325525882e-11
1.365,-3.6920562659475212e-11
1.3675,-3.6876853688257689e-11
1.37,-3.6846033675829339e-11
1.3725,-3.6826443909123294e-11
1.375,-3.6816182603358329e-11
1.3775,-3.6813328741952545e-11
1.38,-3.6815964917782886e-11
1.3825,-3.6822298239792361e-11
1.385,-3.6830743893418689e-11
1.3875,-3.6839932838167883e-11
1.39,-3.6848727467162138e-11
