Physical Time (s),enth_flux_enthalpy_left Monitor (W)
0.7725,-8.4190778984750339e-07
0.775,-8.2674074498053048e-07
0.7775,-7.805023438802988e-07
0.78,-7.0881191558268838e-07
0.7825,-6.1742504068101195e-07
0.785,-5.1495026073656919e-07
0.7875,-4.0991481903504017e-07
0.79,-3.1069140030938787e-07
0.7925,-2.2473174495999332e-07
0.795,-1.5780658353956841e-07
0.7975,-1.1241327616252343e-07
0.8,-8.9877939491499599e-08
0.8025,-8.9067251636512408e-08
0.805,-1.0670299357661614e-07
0.8075,-1.3829281370723857e-07
0.81,-1.790802300216176e-07
0.8125,-2.2431783016429893e-07
0.815,-2.7012247980793299e-07
0.8175,-3.1350786333892095e-07
0.82,-3.5226813122834379e-07
0.8225,-3.855094294925188e-07
0.825,-4.1334949484342945e-07
0.8275,-4.3633808949880929e-07
0.83,-4.5544297482676212e-07
0.8325,-4.7134537228135088e-07
0.835,-4.8462324980009985e-07
0.8375,-4.955605615293336e-07
0.84,-5.0400170205266162e-07
0.8425,-5.0964402653761329e-07
0.845,-5.1183057626176206e-07
0.8475,-5.0945555817942836e-07
0.85,-5.0175955989054826e-07
0.8525,-4.8829373026398742e-07
0.855,-4.6892337937210249e-07
0.8575,-4.4414611397041468e-07
0.86,-4.1473953949412841e-07
0.8625,-3.8202360908049099e-07
0.865,-3.477540468692747e-07
0.8675,-3.1382893873268107e-07
0.87,-2.8223896410807258e-07
0.8725,-2.5482054504865502e-07
0.875,-2.3321146354651219e-07
0.8775,-2.1879709437045163e-07
0.88,-2.1240624100046444e-07
0.8825,-2.1436811123852616e-07
0.885,-2.2451047990334924e-07
0.8875,-2.4232970491712271e-07
0.89,-2.6679923769265094e-07
0.8925,-2.9660216235716325e-07
0.895,-3.3039906444152888e-07
0.8975,-3.665827920760993e-07
0.9,-4.0360417166689729e-07
0.9025,-4.3977399719472389e-07
0.905,-4.7364896914918032e-07
0.9075,-5.0384126532193787e-07
0.91,-5.2924719848707577e-07
0.9125,-5.491944938067343e-07
0.915,-5.6298607410492794e-07
0.9175,-5.7018340662356279e-07
0.92,-5.702287132506554e-07
0.9225,-5.6324218810201877e-07
0.925,-5.4944394687822922e-07
0.9275,-5.2900282359129942e-07
0.93,-5.0259317240809377e-07
0.9325,-4.7125967297224874e-07
0.935,-4.363536884691725e-07
0.9375,-3.9927989222518079e-07
0.94,-3.6177731794570727e-07
0.9425,-3.2562698224921276e-07
0.945,-2.9275610727239907e-07
0.9475,-2.6493681497761104e-07
0.95,-2.4390896317427006e-07
0.9525,-2.308819716545433e-07
0.955,-2.2675125267553088e-07
0.9575,-2.3184625374288812e-07
0.96,-2.460488797449826e-07
0.9625,-2.6854853176580706e-07
0.965,-2.9849571083942435e-07
0.9675,-3.3383108384935655e-07
0.97,-3.7241278084524058e-07
0.9725,-4.1170835548937809e-07
0.975,-4.4943954606564111e-07
0.9775,-4.8328024981523991e-07
0.98,-5.107065960223184e-07
0.9825,-5.3086211157947807e-07
0.985,-5.424919219839354e-07
0.9875,-5.4542396350420727e-07
0.99,-5.3944018162289992e-07
0.9925,-5.2558307150692116e-07
0.995,-5.0523491720287855e-07
0.9975,-4.8010073141142409e-07
1.0,-4.521562378527455e-07
1.0025,-4.2315392436814553e-07
1.005,-3.9460224380345383e-07
1.0075,-3.6786196413796916e-07
1.01,-3.4442784073543278e-07
1.0125,-3.2517009982843685e-07
1.015,-3.1068783752784142e-07
1.0175,-3.0134136715297987e-07
1.02,-2.9732748174070453e-07
1.0225,-2.9873959608256846e-07
1.025,-3.0560000727314283e-07
1.0275,-3.1743262026457109e-07
1.03,-3.3371143746682772e-07
1.0325,-3.5391259107489725e-07
1.035,-3.7729132400409021e-07
1.0375,-4.0310101847845883e-07
1.04,-4.3089290614440019e-07
1.0425,-4.5863147097494907e-07
1.045,-4.8475834552837257e-07
1.0475,-5.0768388620906035e-07
1.05,-5.2630101528258493e-07
1.0525,-5.3940934704225275e-07
1.055,-5.4587650149738783e-07
1.0575,-5.4529079571206953e-07
1.06,-5.3713959353201468e-07
1.0625,-5.2183028004102706e-07
1.065,-5.0002251146918691e-07
1.0675,-4.7269983736732175e-07
1.07,-4.4117350102896442e-07
1.0725,-4.0690955250552324e-07
1.075,-3.7140689346607932e-07
1.0775,-3.3662695482185281e-07
1.08,-3.0478585083709397e-07
1.0825,-2.7713331409459145e-07
1.085,-2.5449633809482789e-07
1.0875,-2.3739998502429875e-07
1.09,-2.2640741915155861e-07
1.0925,-2.219215085956489e-07
1.095,-2.2439609082974382e-07
1.0975,-2.3353844812811569e-07
1.1,-2.4881101888540852e-07
1.1025,-2.6967203297267072e-07
1.105,-2.9510953423800345e-07
1.1075,-3.2393480953404405e-07
1.11,-3.5497013698479213e-07
1.1125,-3.8688212319592312e-07
1.115,-4.1837082826528028e-07
1.1175,-4.4829759390552429e-07
1.12,-4.7546846326344068e-07
1.1225,-4.9889647158306573e-07
1.125,-5.1778660754059078e-07
1.1275,-5.3148612959355378e-07
1.13,-5.3968607720779062e-07
1.1325,-5.4226931878877356e-07
1.135,-5.3926596216881287e-07
1.1375,-5.3086681291557778e-07
1.14,-5.1734394621240883e-07
1.1425,-4.9921390404954281e-07
1.145,-4.7698224634099431e-07
1.1475,-4.5158063705949242e-07
1.15,-4.2386259577768893e-07
1.1525,-3.9473470675712062e-07
1.155,-3.6526897704773405e-07
1.1575,-3.3666441616567655e-07
1.16,-3.1008991541231584e-07
1.1625,-2.8662808029291505e-07
1.165,-2.6730445384708935e-07
1.1675,-2.5283480784476501e-07
1.17,-2.4386686308971638e-07
1.1725,-2.4054816070074773e-07
1.175,-2.4241012523672569e-07
1.1775,-2.4953440977241606e-07
1.18,-2.6147865052047359e-07
1.1825,-2.7743994012886311e-07
1.185,-2.9523497255159094e-07
1.1875,-3.1545697484893726e-07
1.19,-3.3705989059447515e-07
1.1925,-3.5956539612021278e-07
1.195,-3.8226561850153576e-07
1.1975,-4.0419285995200703e-07
1.2,-4.2422130319785608e-07
1.2025,-4.4113677341085565e-07
1.205,-4.5444431288791564e-07
1.2075,-4.6394770806109285e-07
1.21,-4.6969376368404582e-07
1.2125,-4.7187461473811664e-07
1.215,-4.7066143206975265e-07
1.2175,-4.6631928957591472e-07
1.22,-4.5925478828392776e-07
1.2225,-4.498658661529907e-07
1.225,-4.3863882206330505e-07
1.2275,-4.2598177759169629e-07
1.23,-4.1260294682423439e-07
1.2325,-3.9918711864837407e-07
1.235,-3.8616077176538871e-07
1.2375,-3.7542182433728e-07
1.24,-3.6567291978344234e-07
1.2425,-3.5722086147681758e-07
1.245,-3.4994203460338788e-07
1.2475,-3.438299669654155e-07
1.25,-3.3927167582822806e-07
1.2525,-3.3665225971621498e-07
