Physical Time (s),ep_top Monitor (W): top_cv1,ep_top Monitor (W): top_cv2,ep_top Monitor (W): top_cv3,ep_top Monitor (W): top_cv4,ep_top Monitor (W): top_cv5,ep_top Monitor (W): top_cv6,ep_top Monitor (W): top_cv7
0.2025,4.143755375419747e-09,2.1397783877542595e-09,5.4207930493518498e-09,4.0463554111176741e-09,2.2984845031042565e-09,1.7568819983265858e-09,-8.3855668499620103e-11
0.205,3.3263975688254186e-09,2.0112828498431175e-09,4.9995776997811143e-09,3.723700391887865e-09,2.0945027019233469e-09,1.4617415118724973e-09,-2.9072205405167942e-10
0.2075,2.5054555044281273e-09,1.7182406491439138e-09,4.2215842585926218e-09,3.0709482999566391e-09,1.6569828160227336e-09,9.9125952394208356e-10,-1.9460627700512118e-10
0.21,1.6249190280084281e-09,1.3097968033978278e-09,3.1859624217183135e-09,2.2063858331953045e-09,1.0942734687192305e-09,4.9172593240202557e-10,1.1142572457400875e-10
0.2125,6.1010721292628124e-10,8.4785230806992467e-10,2.0090737109584018e-09,1.2671361854844372e-09,5.3765969880186703e-10,1.4624191391434491e-10,4.5022917596623391e-10
0.215,-6.1305464096914513e-10,3.9303558056641759e-10,7.993863373588397e-10,3.6786919110146171e-10,9.2280353748395815e-11,5.5364277513996685e-11,6.5552020170344446e-10
0.2175,-2.1005224317768141e-09,-7.1200926929759576e-12,-3.5756384747714906e-10,-4.2556301540227284e-10,-2.046477186671064e-10,1.6473854676349499e-10,6.5359033751984088e-10
0.22,-3.8529558027877416e-09,-3.249704656148473e-10,-1.4010184257095145e-09,-1.1041506780678935e-09,-3.960572798196356e-10,2.947458805257215e-10,4.8503246790037538e-10
0.2225,-5.7839483761000563e-09,-5.5038607004445555e-10,-2.2945308656326442e-09,-1.7044090655984257e-09,-5.7937498872119887e-10,2.4840506337732208e-10,2.5743347329697986e-10
0.225,-7.70915139368686e-09,-6.8785186898569905e-10,-3.015804987392651e-09,-2.2753297994760243e-09,-8.5062539534175727e-10,-7.5972303789048635e-11,6.5712957721760029e-11
0.2275,-9.361134060501378e-09,-7.4990046308073312e-10,-3.5466845898995769e-09,-2.8339376973118044e-09,-1.246126401300609e-09,-6.3466638684481374e-10,-6.405239441172725e-11
0.23,-1.0441228946805013e-08,-7.5373614656610831e-10,-3.8597148233756985e-09,-3.3312223232481455e-09,-1.7096194184135946e-09,-1.2701403375777957e-09,-1.7224116564204532e-10
0.2325,-1.0696589335302764e-08,-7.1551956590083696e-10,-3.9235958926104832e-09,-3.6540006030499863e-09,-2.1055762132569392e-09,-1.792279324512348e-09,-3.1330951911883878e-10
0.235,-1.0033126738896443e-08,-6.4986234047625125e-10,-3.7278506303775246e-09,-3.6859211036384395e-09,-2.288647897619206e-09,-2.0644095431339077e-09,-4.9492318154386549e-10
0.2375,-8.5419980600557285e-09,-5.6676255037104955e-10,-3.2926085888841689e-09,-3.3723967598215557e-09,-2.1791915272016883e-09,-2.0425850972466447e-09,-6.5849946907213007e-10
0.24,-6.4725127232599545e-09,-4.7053653109626604e-10,-2.6697307323122347e-09,-2.7582000803212714e-09,-1.8035102934418096e-09,-1.763635175979763e-09,-7.1053840497622697e-10
0.2425,-4.157438855435985e-09,-3.6028380913166398e-10,-1.9315471986788465e-09,-1.9765897922479115e-09,-1.2817776240512439e-09,-1.3097874606516774e-09,-5.7992648810344315e-10
0.245,-1.9152039423742155e-09,-2.3045645825571222e-10,-1.1505381694057424e-09,-1.1878008991237668e-09,-7.6538211413783865e-10,-7.7722207397133419e-10,-2.6591908852198627e-10
0.2475,3.0523784664339416e-11,-7.3859928756095012e-11,-3.7901077394308787e-10,-5.1110024146830831e-10,-3.6732348377096382e-10,-2.5848008134026804e-10,1.5270926641022367e-10
0.25,1.5844539414813581e-09,1.1621262526574908e-10,3.5689103288841082e-10,1.1651300232746724e-11,-1.2448450613959187e-10,1.6164614005511246e-10,5.490216278639484e-10
0.2525,2.7665833507705791e-09,3.3955932170651815e-10,1.0499762688227829e-09,4.0699490083148512e-10,-4.8614989048826347e-12,4.1383166975653903e-10,8.0161877572708265e-10
0.255,3.6718890916684023e-09,5.8533140205483867e-10,1.6948055832597695e-09,7.3166530223493507e-10,5.588553340141784e-11,4.6545939774963832e-10,8.4431328768930563e-10
0.2575,4.422678975842088e-09,8.2754834324373785e-10,2.2701383462541569e-09,1.0323853770358689e-09,1.1845962500988921e-10,3.4676073601484558e-10,6.9031075445783845e-10
0.26,5.1282770114192162e-09,1.0267163267899905e-09,2.7337162019493739e-09,1.3255917667087269e-09,2.2335848783502456e-10,1.6054617666340412e-10,4.2347653281542344e-10
0.2625,5.8519054860902885e-09,1.1361307075962666e-09,3.0264290383957822e-09,1.6003919971074275e-09,3.9211080094618368e-10,5.5680286287448687e-11,1.6208563414039569e-10
0.265,6.5968671840246452e-09,1.1137908810718213e-09,3.0908870005825677e-09,1.832778661086316e-09,6.3093610970138897e-10,1.6683808087985107e-10,1.2605131900694032e-11
0.2675,7.3095263135142553e-09,9.3483333800880086e-10,2.8931812125116855e-09,1.9986444217484103e-09,9.2842753934285615e-10,5.4593357690495063e-10,3.0871756587465647e-11
0.27,7.8960468868772627e-09,6.0215940121372794e-10,2.4397357770072369e-09,2.0808969935372031e-09,1.2482577660585294e-09,1.1232116223350728e-09,2.0401022434949252e-10
0.2725,8.2548047614519284e-09,1.5101106821690371e-10,1.783002493581213e-09,2.0701933491366833e-09,1.5326113675466301e-09,1.7260119609817424e-09,4.5793259061824828e-10
0.275,8.3102195741963326e-09,-3.5782067607384222e-10,1.0100237862821163e-09,1.9666951348831328e-09,1.7180161412510054e-09,2.152445823186954e-09,6.8760893208699225e-10
0.2775,8.0373282007638829e-09,-8.4975573053243132e-10,2.2154579252563451e-10,1.7792531362536117e-09,1.7635563534490145e-09,2.2616284101842515e-09,7.9781893494729717e-10
0.28,7.4617363161764644e-09,-1.2532502290291673e-09,-4.9124339035918825e-10,1.5260080540870469e-09,1.668662059612264e-09,2.0355969970081818e-09,7.398820245298001e-10
0.2825,6.6449511229388808e-09,-1.5143184287918914e-09,-1.0605561517374465e-09,1.2316527283574624e-09,1.4714159031560921e-09,1.5797252926140591e-09,5.3113007549772794e-10
0.285,5.660442908751879e-09,-1.6076771346483789e-09,-1.4504135538163723e-09,9.2190831096012145e-10,1.2287215963359749e-09,1.0692027310642813e-09,2.4908911871269947e-10
