Physical Time (s),ev_top Monitor (W): top_cv1,ev_top Monitor (W): top_cv2,ev_top Monitor (W): top_cv3,ev_top Monitor (W): top_cv4,ev_top Monitor (W): top_cv5,ev_top Monitor (W): top_cv6,ev_top Monitor (W): top_cv7
0.1525,-1.303791217534441e-13,-8.106884891035413e-13,-1.2297548433937372e-12,-2.3972761930000207e-13,-1.2535840230721266e-14,1.1012096487375261e-14,8.1199521566010932e-14
0.155,1.6576135949184501e-14,-5.6469714356587222e-13,-9.295073456950393e-13,-1.8983151647708027e-13,-1.466796289461331e-14,4.2052068360507452e-16,1.438961844536376e-14
0.1575,1.9209192965317488e-13,-3.3662410109207296e-13,-6.2165516640284092e-13,-1.3553619712593579e-13,-1.6425162311890796e-14,-2.6626008723655996e-15,2.0031544639191521e-17
0.16,3.8481159441825426e-13,-1.7698404207704072e-13,-3.8064836314115501e-13,-9.0163061891260594e-14,-1.7179734090999854e-14,-1.5020008004187217e-14,-9.030160815542251e-15
0.1625,5.6271691434007638e-13,-8.635395330129561e-14,-2.2393057647849148e-13,-5.8186229249281781e-14,-1.6286656603774783e-14,-3.5672465775575439e-14,-4.6471449756229656e-14
0.165,6.8639815756924718e-13,-4.241143064498473e-14,-1.3508182115471873e-13,-3.8183876505261747e-14,-1.3617699015700904e-14,-4.5135415945479711e-14,-7.474503021192999e-14
0.1675,7.4075034920236307e-13,-2.3252837982111628e-14,-8.9871812218929085e-14,-2.6689592270651912e-14,-9.7518438852436772e-15,-3.2919088322192005e-14,-5.690215201517225e-14
0.17,7.4531634921658727e-13,-1.5514354253937573e-14,-6.9670165898202009e-14,-2.0503180948198738e-14,-5.7891339364697492e-15,-1.2207275643288101e-14,-1.8371007414929783e-14
0.1725,7.3644118711030829e-13,-1.2884821637110124e-14,-6.3518324539699544e-14,-1.7402277254839197e-14,-2.7680612660951662e-15,-1.2354029897012919e-15,-7.4999257669731935e-16
0.175,7.4525999496731158e-13,-1.2741940279959519e-14,-6.5648527864051526e-14,-1.6008016579817959e-14,-1.0896665283222584e-15,1.3542781946651118e-16,8.6884056465190411e-16
0.1775,7.8743145792839605e-13,-1.4032707262173365e-14,-7.2859463906132494e-14,-1.548815988442512e-14,-4.1291394265298682e-16,4.9105769292134583e-15,1.5898207570430175e-14
0.18,8.6102437162366089e-13,-1.6383128716500935e-14,-8.3181486054591121e-14,-1.5419770774224957e-14,-1.377747558895111e-16,1.5857735827755492e-14,4.1807059230806615e-14
